ParlaMint-FR_2018-10-15-O1018.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-15-O1018.u2	This afternoon, the Assembly began to hear the speakers in the general discussion. We are continuing this with Mrs. Amélie de Montchalin.
ParlaMint-FR_2018-10-15-O1018.u3	Madam President, the rapporteur-general of the Committee on Finance, the Secretary of State to the Minister for Action and Public Accounts, ladies and gentlemen, Marcel Proust said that it was desirable to replace "the opacity of sounds with transparency of ideas". As we enter into budgetary debates where figures can quickly obscure the meaning of action, it is more necessary than ever to be transparent about our ideas. The clarity of the project and the political choices it promotes indeed deserve better on the part of our oppositions than the counter-truths, approximations and masterpieces of parliamentary techniques mobilized to blur, lengthen and increase the examination of it. Who here wants a debate readable by the French, where projects would be opposed rather than battles of numbers, where everyone would finally have the courage to get out of postures and play cards on the table? Without dogmatism, we have made a political choice: to repair France through employment and investment so that the work pays, so that France exports, innovates, remains a prosperous country and finances its social model. If our oppositions had put forward alternative projects, it was their confrontation with the tangible results of this policy that I would have spoken of – to mention just a few: a record employment rate, an investment by companies at the highest level and small and medium-sized enterprises that are massively recovering from long-term financing. But, in the face of the partial, partial offensive and the bad faith that often animates this House, I must launch in the name of our majority and in front of the French an operation "transparency" absolutely necessary for the clarity of our debates. When we hear that we are presenting an "anti-buying power" budget, we say that this budget is 3.5 billion euros in additional purchasing power thanks to a 6 billion tax cut. Ever seen; On the contrary, artificial purchasing power has long been financed by debt and taxes – the French were thus taken back with one hand what they had been given with the other.
ParlaMint-FR_2018-10-15-O1018.u4	It doesn't change!
ParlaMint-FR_2018-10-15-O1018.u5	Give back the money!
ParlaMint-FR_2018-10-15-O1018.u6	Our responsibility is to remember that employment, and employment alone, is the real source of purchasing power. Thus, when we invest heavily in this budget for vocational training and skills, we invest in a job that pays better, we invest in the purchasing power of the French. As such, I would like to return to two themes that are dear to our oppositions: smoking and rising fuel prices.
ParlaMint-FR_2018-10-15-O1018.u7	Here, here!
ParlaMint-FR_2018-10-15-O1018.u8	As regards the first, we fully assume a behavioural tax that has reduced the number of smokers by one million already, while tobacco kills 73,000 people a year. Regarding the second, we strongly reject both populism and ecological unconsciousness. First of all, I would like to point out that two thirds of the increase in the price of fuel is due to the price of the barrel of oil in international markets and one third is due to the carbon trajectory, to which the signatories of the Paris climate agreement unanimously called for an urgent energy transition.
ParlaMint-FR_2018-10-15-O1018.u9	Racket!
ParlaMint-FR_2018-10-15-O1018.u10	No, not racket, but an investment in the future. We assume this policy and see the success of last year's vehicle conversion premium, which has already allowed 250,000 households – including 70% of non-taxable households – to buy a cleaner vehicle.
ParlaMint-FR_2018-10-15-O1018.u11	The workers don't thank you!
