ParlaMint-FR_2018-02-20-O1145.u1	The next item is the oral questions without debate.
ParlaMint-FR_2018-02-20-O1145.u2	Mr Michel Delpon has the floor to put his question, No 153, on the production of hydrogen in Bergeracois.
ParlaMint-FR_2018-02-20-O1145.u3	My question is to the Minister of State, Minister for the Ecological and Solidarity Transition. In Bergerac, unemployment is particularly high and non-relocable jobs are highly sought after. However, innovation associated with a potential growth factor such as hydrogen is a source of jobs. We already have hydroelectric, photovoltaic and biomass resources. Produced locally, hydrogen would be a performance vector for our territory and would strengthen its brand image linked to its recognition as a "biosphere reserve". All H2 applications could be grouped together: hydrogen for industry, for construction, for research and innovation, for the mobility of our citizens, for the conversion of electricity to gas – "Power to Gas". Communities and co-operatives, including farm equipment co-operatives, or CUMA, have mobilized to deploy hydrogen to the heart of the electoral district and meet future energy storage needs, as well as growing industrial demand. For Bergeracois, the storage of electricity will make energy storage the component of a strategy for the development of intermittent energies by developing the direct and indirect industrial fabric linked to these technologies, to secure in the long term the energy supply, to reduce our dependence on fossil fuels, to create territorial consensus around a coherent energy policy at the environmental level, to strengthen the struggle undertaken in Dordogne against the production of greenhouse gases due to our farms and our agroforestry waste. The various methods of hydrogen production, including microbial photosynthesis, storage solutions and crystalline structures, will be the subject of applied and comparative research within demonstrators that will group all economically encrypted declinations. Can we consider the establishment of an industrial technical centre for hydrogen in Bergerac, in partnership with the industrialists of the sector, the Institut national de la recherche agronomique and the Université Bordeaux 1? What technical and financial support from the State could we count on?
ParlaMint-FR_2018-02-20-O1145.u4	The Secretary of State to the Minister of State, Minister for Ecological and Solidarity Transition, has the floor.
ParlaMint-FR_2018-02-20-O1145.u5	Member of Parliament, you interviewed Minister of State Nicolas Hulot, Minister of Ecological and Solidarity Transition. Unfortunately, he could not be present; That's why I'm answering in his place. You are right, honourable Member: hydrogen has a potential role to play in the energy transition, but that is on condition that we know how to produce it from renewable energies, for example via electrolysis. Several uses can thus be targeted, starting with the decarbonization of the process of production of industrial hydrogen, the industry being today the main user of hydrogen. Hydrogen also offers long-term prospects for massive and above all interseasonal electricity storage. This is already useful in isolated systems and could become valuable for the insertion of a large proportion of variable renewable energies into larger systems, such as in metropolitan France. To best prepare us for the arrival of these technologies, the State finances, through the future investment programme, several projects of "Power to Gas" demonstrators, led by network managers. Finally, hydrogen can provide a solution for clean mobility, complementary to electricity and biogas. In particular, hydrogen has key advantages for intensive uses that require high autonomy and low charging time. Many projects are taking place in the territories around fleets of professional vehicles; Examples include "Hype" taxis in Paris or high-level buses that are soon to be put into service in Pau. In this context, Minister of State Nicolas Hulot entrusted a mission to the Directorate-General for Energy and Climate and the Office of the Commissioner for Atomic Energy and Alternative Energy, the CEA, to propose a strategy and accompanying measures to carry out first deployments in France and to strengthen the French industrial sector of hydrogen. The call for projects for pilot "hydrogen territories" launched in 2016 by the ministries of energy and industry had revealed the strong dynamics of French actors, particularly around the communities. It is now necessary to consolidate these projects and their economic model by grouping the uses of hydrogen around sustainable sources of production and moving on to another scale. The desirability of setting up technical centres will have to be assessed on the basis of the services provided to the ecosystem – for example, training, testing, qualification of materials, etc. – and an associated business model to consider the sustainability of the business. This will enable the State to consider possible support in a timely manner.
ParlaMint-FR_2018-02-20-O1145.u6	Mr Guy Bricout has the floor to put his question, No 158, on the financing of the Seine-Nord Europe Canal.
ParlaMint-FR_2018-02-20-O1145.u7	Madam Secretary of State, I would like to draw your attention to the report just made by the Infrastructure Guidance Board. I can only welcome the fact that it gives priority to everyday transport, while at the same time taking note of the need to carry out major projects, such as the Seine-Nord Europe Canal, which is of particular interest to me. One of the crucial issues remains the way infrastructure is financed. The report calls for an increase in the share of the domestic consumption tax on energy products, the ICTPE, and for the revenue from it to be allocated directly to transport. However, recent and future increases in the CTBTP weigh heavily on our citizens, particularly in rural areas. It is therefore crucial that they be able to see the effect of their efforts on their territory. I would therefore like to know whether the Government will follow the recommendations of the Duron report and allocate a new share of ICTPE to the regions and departments, which will enable them to develop transport, especially those of everyday life. Concerning the Seine-Nord Europe Canal, the Hauts-de-France region and the communities, under the leadership of the president of the region, Xavier Bertrand, took their responsibilities by accepting the regionalization of the project. However, the economic situation in the region prevented the creation of new taxes on its territory. I would therefore like to know whether, in the context of the allocation of the ICTPE to infrastructure financing, the Hauts-de-France region, in view of its commitment, will be entitled to an increase and whether an additional part of the rebalancing of taxation between diesel and petrol can be transferred to it so that it can finance infrastructure such as the Seine-Nord Europe Canal.
ParlaMint-FR_2018-02-20-O1145.u8	The Secretary of State to the Minister of State, Minister for Ecological and Solidarity Transition, has the floor.
ParlaMint-FR_2018-02-20-O1145.u9	On 1 February, the Minister responsible for transport received the report submitted by the Infrastructure Guidance Board – composed of parliamentarians, representatives of major associations, communities and experts – in order to implement the priority given by the President of the Republic to daily transport. I would like to commend the quality of this report and the considerable work that has been done, in a few months, by the members of the Council. The new vision that this report brings, the priorities it sets out – in particular the regeneration of existing transport networks – and the proposals it makes, in particular with regard to the financing of transport infrastructure projects, are essential elements of work to prepare the measures relating to the planning and financing of infrastructure that the Minister of Transport will shortly present in the framework of the mobility policy bill. The report makes proposals on the allocation of ICTPE to transport projects, particularly alternative modes to road transport. All of these recommendations are currently under discussion, led by the Minister responsible for Transport, with a view to the introduction of the mobility guidance bill. As far as the Seine-Nord Canal is concerned, I stress that this is a major project for our country, which will have a very strong impact on the modal shift towards waterways. As you know, as a result of the proposals made by the communities concerned, the Government has proposed that State funding, amounting to about €1 billion, be made through a loan from the project company, whose annuities would be financed by local national taxes, such as for the Société du Grand Paris. In addition, in line with the guidelines set by the Prime Minister last October, if additional regional resources were needed, in line with the logic of modal postponement, the State would assist in the establishment of a relevant legal framework. The Minister of Transport and the Minister of Public Action and Accounts are currently conducting discussions with communities to secure funding for the project. Finally, the regionalisation of the project company will be carried out within the framework of the mobility guidance bill.
ParlaMint-FR_2018-02-20-O1145.u10	Mr Guy Bricout has the floor.
ParlaMint-FR_2018-02-20-O1145.u11	I am pleased to hear that this is a major project for our country!
