ParlaMint-FR_2018-07-10-E1007.u1	The next item is the question to the Government.
ParlaMint-FR_2018-07-10-E1007.u2	The next speaker is Mr Laurent Garcia, for the Group of the Democratic and Related Movement.
ParlaMint-FR_2018-07-10-E1007.u3	[[Exclaims on the benches of the LR group]] Madam Minister of Transport, the news has just fallen: the closure envisaged by SNCF next year of the TGV line between Nancy and Lyon will force travellers to pass either by Marne - La Vallée or by Metz, in the north, then by Strasbourg, to finally join Lyon. Is that reasonable? In our parliamentary permanences, there is an increasing number of reactions from citizens, and a wind of panic is taking hold of older travellers, as well as families, who are already apprehensive of train changes at the various stations, with children and luggage, where the journey was so far direct. Many local and regional elected representatives and parliamentarians, of all political sensitivities, signed a petition, and some were moved by this closure, calling Lorraine a future "rail cul-de-sac". The reactions are all the more epidermal as more than 850 million euros have been invested by the Grand Est region and the communities to be served by the TGV.
ParlaMint-FR_2018-07-10-E1007.u4	Yes!
ParlaMint-FR_2018-07-10-E1007.u5	Moreover, what will happen to the European opening of Strasbourg, with this abolition? The origin of this situation would be the carrying out of renovation works of the Gare de Lyon Part-Dieu, but the doubt remains, including as to whether the decision is temporary or not. Locally, the reactions are all the more vivid as we are at the same time in the expectation of the future of the line 14 Nancy-Merrey and the station-station of Heillecourt. [[Rites and exclamations on the banks of the LR group]] Madam Minister, you have been able to demonstrate your sense of dialogue and listening during the discussions on the railway pact.
ParlaMint-FR_2018-07-10-E1007.u6	Let's see!
ParlaMint-FR_2018-07-10-E1007.u7	[[Applause on the benches of the MODEM group]] Will you show the same sense of listening to the Lorrains, especially the inhabitants of Nancy, and give up the program of closing this line, which forms the backbone of the economic, student, entrepreneurial and tourist activity of the region?
ParlaMint-FR_2018-07-10-E1007.u8	The Minister responsible for transport has the floor.
ParlaMint-FR_2018-07-10-E1007.u9	Mr President, you are asking me about the proposed modification of the TGV link between Nancy and Lyon and, more generally, about the service to the Grand Est. I confirm that from 2019 until 2023, the multimodal exchange center of Lyon Part-Dieu will have very important work,...
ParlaMint-FR_2018-07-10-E1007.u10	Is this Lyon's fault?
ParlaMint-FR_2018-07-10-E1007.u11	... essential to put an end to the saturation of one of the largest railway stations in France, which hosts 550 trains every day. This is, in fact, the most important railway project of the State-region plan contracts. Like any work project in the railway field, it will result in a limitation of the number of trains that can stop at the railway station; In this case, in Lyon Part-Dieu, two paths will be unavailable during the duration of the work. This will have temporary and inevitable consequences on several links between the Great East and the south of France. I am well aware of the effects that will result for the travellers and the territories concerned.
ParlaMint-FR_2018-07-10-E1007.u12	What about Angoulême-Limoges?
ParlaMint-FR_2018-07-10-E1007.u13	But I would like to assure you, honourable Member, that under no circumstances is this a closure project. SNCF will propose a new offer during the duration of the work. She is currently studying alternative service plans with the communities concerned. The maintenance of a round trip between Nancy and Lyon is planned for 2019;...
ParlaMint-FR_2018-07-10-E1007.u14	That would be good because if this continues, we will have to go through Germany!
ParlaMint-FR_2018-07-10-E1007.u15	...on the other hand, the possibility of starting the current service between Strasbourg and Marseille in Nancy is under consideration. [[Applause on a few benches of the LaREM and MODEM groups]] I will be particularly vigilant on these issues. I will have the opportunity to remind the SNCF leaders, whom I see this week, and will certainly keep all the elected representatives concerned informed. As I indicated during the discussion of the railway bill, our goal is to maintain a TGV service serving our territories.
ParlaMint-FR_2018-07-10-E1007.u16	You're privatizing SNCF!
ParlaMint-FR_2018-07-10-E1007.u17	The next speaker is Mrs Ericka Bareigts, for the New Left Group.
ParlaMint-FR_2018-07-10-E1007.u18	Mr President, ladies and gentlemen, ladies and gentlemen, my question is to Mrs Agnès Buzyn, Minister for Solidarity and Health.
ParlaMint-FR_2018-07-10-E1007.u19	And injustices!
ParlaMint-FR_2018-07-10-E1007.u20	I want to share here, Madam Minister, the testimony of a single mother, a part-time client advisor because her disability does not allow her to work any more. She receives a pension of 726 euros per month and between 600 and 700 euros of salary. From this month on, she will lose her business bonus of 140 euros per month.
ParlaMint-FR_2018-07-10-E1007.u21	This is outrageous!
