ParlaMint-FR_2018-11-27-O1083.u1	The next item is the oral questions without debate.
ParlaMint-FR_2018-11-27-O1083.u2	Mrs Zivka Park has the floor to raise question No. 408 by Mrs Naïma Moutchou, concerning the care of unaccompanied minors.
ParlaMint-FR_2018-11-27-O1083.u3	Madam Minister, my colleague Naïma Moutchou's question concerns the care of unaccompanied minors in Val-d'Oise. In recent years, the number of arrivals in France of foreign minors, called unaccompanied minors – MNA – has risen sharply. Thus, in 2017, there were 25,000 foreign minors taken over by the departments. MNAs are not subject to the rules of entry and residence of aliens and are not subject to any removal measures. They are subject to the ordinary law of child protection. Upon arrival in France, they are taken care of by the department's child welfare services – ASE – as part of a five-day temporary reception, after which they are oriented towards the appropriate structures. Some territories are experiencing a particularly large influx of MNA. In Val-d'Oise, 2100 miners came to the service of ESA in 2017, compared to 700 in 2016. As a result, the Department's budget increased sharply from €8 million in 2013 to €30 million in 2017. Under heavy pressure and overtaken by the influx of foreign minors, the departments felt abandoned by the State. They therefore asked him to play an increased role in the care of isolated foreign minors. This request was partially heard. For example, the State has provided social assistance for children with an exceptional amount of EUR 96 million, aimed at financing the care of MNAs, including the reception and evaluation phase. The department of Val-d'Oise is one of the thirty-seven departments that received a state allocation for 2017 in excess of 1 million euros, as part of the increase in the number of MNAs. However, this assistance is still insufficient in view of the saturation of the arrangements for the care and shelter of the MNAs, as well as the resulting financial burden on the departments. Many shortcomings are still to be regretted, particularly among the mechanisms for assessing the minority and the degree of isolation of young people. More than just a gesture, the departments need a tense hand, a large-scale support action. I would therefore like to know the solutions envisaged by the State to support more, humanly and financially, departments such as that of Val-d'Oise faced with important arrivals of MNA.
ParlaMint-FR_2018-11-27-O1083.u4	The next speaker is Ms. Custody of Seals, Minister of Justice.
ParlaMint-FR_2018-11-27-O1083.u5	The Government pays particular attention to the warnings issued by the departments in this regard, which indicate that the child protection systems have reached saturation levels. In the Val-d'Oise department, the number of MNAs increased from 319 in 2017 to 338 on 23 November this year. This figure corresponds to persons recognized as minors. The increased presence of unaccompanied minors in the Territory of course creates tensions, on the one hand between the departments, due to the disparities between them, and on the other hand for the policy of child protection, whose departments are major actors. That is why the Prime Minister carried out a very sustained interministerial work, in which the Assembly of the French Departments participated. It has identified four main axes. The first axis is to improve the financial conditions for taking over the period of assessment and sheltering of the MNAs. As of 1 January 2019, the Government has decided to increase the support provided to departments in this regard. It will pay, on a flat-rate basis, 500 euros per young person during the evaluation phase, and 90 euros per day of accommodation for fourteen days and then 20 euros until the twenty-third day, i.e. a total of 1940 euros per person, to be compared to the 1250 euros previously paid. In addition, the Government has provided the departments concerned with exceptional funding equivalent to 30 per cent of the costs of taking care of MNAs received in excess of 31 December 2017 compared to 31 December 2016. In this context, the Val-d'Oise department was compensated for €1.668 million. The second axis is to limit the phenomena of double evaluation or re-evaluation of ADNs. To this end, we will set up a biometric file as of January 2, 2019. This file, shared between departments, will be an essential tool for rapid, reliable and quality MNA support. We are also working to harmonize the criteria for assessing their age. Under the third axis, we plan to publish, in conjunction with the inter-ministerial mission for the protection of women from violence and the fight against trafficking in human beings, a circular on combating illegal immigration and trafficking in human beings. Finally, the fourth axis aims to enable, within the framework of the ongoing inter-ministerial work, the provision of care adapted to the specific nature of the NCMs, through the establishment of a specific offer of care as soon as they are sheltered, an offer of education and access to the law when they are taken over by the child protection services, as well as the dissemination of good practices of care during their minority and their access to the majority.
ParlaMint-FR_2018-11-27-O1083.u6	Mrs Danielle Brulebois, speaking on behalf of the Committee on the Environment, Public Health and Consumer Protection, raised her question, No. 405, on the proliferation of the box pyral.
ParlaMint-FR_2018-11-27-O1083.u7	My question is to the Minister for Agriculture and Food. I associate Julien Borowczyk, Member of Parliament for the Loire. I would like to draw the Minister's attention to the pyral of boxwood, a butterfly from South-East Asia. For several years, it has been proliferating continuously in the Jura department, where it causes numerous damage. It attacks parks, gardens and forest environments. The presence of this insect is a real embarrassment for the inhabitants of the department, because of the number of individuals, their density and the nuisances they cause. The pyral of the box is responsible for the risk of fires that could damage the areas of housing, health risks, and a significant deterioration in the quality of life. With regard to natural damage, this butterfly causes a strong defoliation of the box, destruction of their bark and a reduction in the number of their buds. The eradication of this insect through biocontrol, in particular by the use of bacillus thuringiensis produced for the removal of caterpillars laid by the pyral of the box, reaches its limits. The inhabitants therefore lack the means to combat the presence and development of this butterfly. Currently, the box borer is classified as a third category within the health hazard classification established by the Ministry of Agriculture and Food. The situation is deteriorating. The butterfly colonizes new territories without interruption. It therefore turns out that this classification in the third category is inappropriate. Is it possible to classify the box borer as the second category of health hazards, with a view to deploying a plan adapted to the gravity of the situation on the ground?
ParlaMint-FR_2018-11-27-O1083.u8	The Secretary of State to the Minister for Solidarity and Health has the floor.
ParlaMint-FR_2018-11-27-O1083.u9	Madam Member, your question is about the proliferation of the box pyral, a native butterfly in the wet subtropical regions of Asia. A defoliator of the box, it is now massively present on European territory. Omnipresent in the south and central Hexagon, the box borer has progressed northward and reached new departments. Caterpillars caused significant damage in infested areas, sometimes to the death of the defoliated box. At present, the means of control available are limited. In parks and gardens, methods of regulating existing populations do not allow eradication. In forest areas, chemical treatment is not possible, for both technical and economic and environmental reasons. The box pyral is spread throughout Europe. At the international level, it was removed from the alert lists of the European Plant Protection Office in 2011 due to its wide dissemination. At national level, it is classified as a third category health hazard, due to its wide dispersion, which obstructs any prospect of eradication. Health surveillance of the Territory has been adapted. For example, the Department of Forest Health of the Ministry of Agriculture and Food conducts continuous monitoring of areas defoliated by the box borer. In addition, the National Institute for Geographic and Forest Information – IGN – was instructed by the Ministry to qualify the level of damage during its next forest inventory campaign. Finally, the box borer is monitored as part of the national epidemiosurveillance network. In this context, the Ministry of Agriculture and Food supports the development of new means of struggle. He asked the Institut national de la recherche agronomique – INRA – to test the effectiveness of several ways of biological control, based in particular on the search for natural parasites of pyral eggs. In addition, the placing on the market of a new product for the control of box borers, based on sex pheromones, has been authorised by way of derogation. Finally, research is under way on the consequences of attacks, natural hazards, fire risk, soil erosion and block falls from mountain walls.
ParlaMint-FR_2018-11-27-O1083.u10	The next speaker is Mr Julien Borowczyk, to put his question, No 402, on fish farming in the Loire ponds.
ParlaMint-FR_2018-11-27-O1083.u11	I would like to alert the Minister of Agriculture and Food about the situation of fish farmers in the ponds of the Loire department, and more generally of France. I associate myself with my question, Danielle Brulebois, Member of Parliament for Jura. Pond fishing is a historical activity whose origins date back to the 13th century. The recreational fishery has more than 1.5 million licensees in our country. Commercial fishing in ponds was a major economic activity a few decades ago. To return to my constituency, the Forez has 300 ponds, which occupy a total area of 1500 hectares. They are part of the cultural heritage of the department, and are the place of a significant economic activity. They are also involved in regulating river flows and constitute water reservoirs. This heritage is common with other regions, such as Sologne, Brenne and Dombes. For several years, the yield of the Forez ponds has declined sharply. In 20 years, production has collapsed from 400 kg of fish per hectare to 100 kg of fish per hectare. All fish farming regions face the same disaster. As a result of this development, pond owners are gradually abandoning this activity. In the Forez, 300 ponds have already disappeared, and with them a unique biodiversity. Many owners, disembodied, are considering filling their ponds, which would have adverse effects on the natural environment. For the most part, this decline in productivity is due to the proliferation of piscivorous species, in particular that of the great cormorant, who is the first responsible for this situation. In France, it collects an average of 30000 tonnes of fish per year. It can capture fish weighing up to 1.5 kilos and inflict injuries on the bulk of the fish that affect their development. Once a migrant, he is now sedentary in the Forez and other areas, with ponds providing him with a pantry throughout the year. This puts the fish sector in jeopardy in the Forez, as well as in other fish farming areas. I would therefore like to know what measures the Government intends to take to preserve this heritage, which is the special feature of Forez and several other French regions, and what measures it intends to take to combat the proliferation of piscivorous species in the national territory.
