ParlaMint-FR_2018-12-18-O1109.u1	The next item is the oral questions without debate.
ParlaMint-FR_2018-12-18-O1109.u2	Mrs Anne-Laurence Petel has the floor to put her question, No 471, on sports technical advisers.
ParlaMint-FR_2018-12-18-O1109.u3	Madam Minister of Sport, my question concerns the situation of the sports technical advisors, CTS. [[Mrs Natalia Pouzyreff applauds]] But first of all, I would like to congratulate our handballers, European champions for the first time after winning the world title a year ago. I know that all French people are proud of them. Minister, the STCs are public service officers responsible for ensuring access to sport for all, detecting talent for high-performance sport, developing the elite of our athletes and training the executives of sports federations. Also, their mentoring mission is essential for the sport practice of all French people – recognized today by all scientists as beneficial to health and well-being. Nor should we forget the role of sport in building the social bond or learning rules and discipline: in short, in citizenship education. The function of STCs beyond the mere supervision of high-performance athletes, the French community and sport sector needs to preserve them from downsizing. While Paris will host the Olympic Games in 2024 and will be the space of a parenthesis, the world sports capital, we must be at the rendezvous by reacting to the concerns of French sports players. That is why, Madam Minister, I would like to know how the Government intends to respond to the fears of job abolition expressed by professionals in the sector and what solutions it intends to bring to this problem.
ParlaMint-FR_2018-12-18-O1109.u4	The Minister for Sport has the floor.
ParlaMint-FR_2018-12-18-O1109.u5	Mrs Petel, the French sports model was organised around the presence of state executives, representatives of the realities and various professions: team managers, selectors, coaches and developers of the sports practices and projects of the territories, who are now working with the federations. The Prime Minister's cap letter to my predecessor in the Ministry of Sport, dated July 26, 2018, announces the following trajectory: "As part of the Public Action 2022 process, you will be called upon to apply an employment plan of less 1600 FTEs" – full-time equivalents – "in the period 2018-2022 in order to implement the presidential commitment to reduce by 50,000 the number of public officials on the perimeter of the State and its operators. » However, in order to meet the Olympic and Paralympic Games, compliance with the ceiling letter will have to be reconciled with the need to preserve and enhance the quality of the action of the federations. Similarly, the deployment to the territories of the National Sport Agency's action, which will come into being in March 2019, will require a lot of project engineering to serve the communities, for which I will favour a trans-federal approach. I had the opportunity to stress the importance of the competences of the CTS in the service of French sport, both in terms of the development of practices and of training and of high level. Like all the agents of the Ministry of Sports, they play a role as catalysts for sports projects and accompany daily volunteers – some 3 million – who do sport in France. So, after an interview with the Prime Minister on September 10, I said that none of the 1600 STCs would lose their jobs. In a letter of 15 November addressed to the sports movement, the President of the Republic confirmed "that there had never been a question of abolishing 1,600 technical managerial posts. It is therefore necessary to define a transitional phase, providing for a change in the way in which STCs are managed without depriving themselves of their talent. Thus, as soon as I was appointed, I undertook a broad consultation on this issue. In this context, I have received individually each of the trade union organisations of the Ministry of Sport, as well as all the actors concerned. Today, I'm finishing the listening phase; I will then enter into a consultation that will allow me to draw up paths for the evolution of the mode of management of the CTS, which I will present to you in 2019.
ParlaMint-FR_2018-12-18-O1109.u6	Mrs Natalia Pouzyreff has the floor to put her question, No. 477, concerning the GSMC centre.
ParlaMint-FR_2018-12-18-O1109.u7	My question is addressed to the Minister of Armed Forces and concerns the expected development of the Galileo Security Monitoring Centre, GSMC – Galileo Security Monitoring Centre – located in Saint-Germain-en-Laye. Galileo, the European satellite radionavigation and geolocation system, offers its users – 200 million at the end of 2018 – a precision without comparison with its US, Russian or Chinese competitors. The GSMC, which has been operational 24 hours a day for the past two years, is responsible for ensuring system protection, crisis management and conducting the PRS – Public Regulated Service access control operations. Galileo centralizes highly encrypted transmission channels and orders for government and sensitive applications. However, the military market for PRS could be expanded ten times after an agreement between the European Union and the United States has been signed. Negotiations are under way and should logically conclude on a principle of reciprocity with GPS. Such a perspective requires a coherent dimension of the site's infrastructure. In addition, it would be undeniably interesting for France to host in this centre all the European expertise and means of testing enabling the validation of the modes of use of cryptographic applications produced by the different Member States. I would therefore like to know whether the plans to extend the study are adequate in relation to the new perspectives.
ParlaMint-FR_2018-12-18-O1109.u8	The Secretary of State to the Minister of Armed Forces has the floor.
ParlaMint-FR_2018-12-18-O1109.u9	Mrs Pouzyreff, you are asking us about a subject that is both technical and building. With regard to the validation of cryptographic modules manufactured by our European partners, a European mechanism now requires that the security functions of a module produced by one Member State must be evaluated by another Member State. The qualification and functional evaluation of the safety modules and equipment in the user segment will require testing facilities to be developed by the Galileo programme and acquired by France when available, in order to test its own equipment. In the future, this mechanism may need to be supplemented in order for a functional evaluation to be carried out at European level. With regard to infrastructure, as you have indicated, there are plans to build a new building on Camp des Loges in Saint-Germain-en-Laye. The procedure is ongoing and tenders must be received at the beginning of 2019. This new building, which will be delivered in the spring of 2021, is made necessary by the evolution of the technical requirements of the Galileo programme – those of the PRS and those of the safety monitoring mission. This infrastructure programme responds to the need to welcome new equipment and to host an increasing number of operators – not to anticipate an increase in the number of users. Indeed, the size of the GSMC does not depend on the number of users, but on the evolution of Galileo's missions. The ongoing negotiations with the U.S. to define their terms of access to the SRP therefore have no particular impact on the infrastructure.
ParlaMint-FR_2018-12-18-O1109.u10	Mrs Sereine Mauborgne has the floor to put her question, No. 478, on the Family Plan for the military.
ParlaMint-FR_2018-12-18-O1109.u11	On October 31, 2017, the Minister of the Armed Forces presented a plan to support families and improve the living conditions of military personnel, known as the Family Plan, designed to better reconcile demanding engagement with a successful family life. With 300 million new credits over five years – bringing global funding to 530 million over the period 2018-2022 – this plan will finance new measures that respond in a concrete and visible way to the constraints inherent in military life. The plan's forty-six new provisions are structured around three priorities: better consideration of operational absences, better support for mobility and the anchoring of the garrison at the heart of family and social life. In practical terms, it involves, for example, expanding and simplifying the provision of social benefits, increasing the number of day-care places, deploying a free Wi-Fi Internet network to all military fora – in garrison and operations –, increasing the advance notice period of transfer orders, and increasing moral and psychological support to families before, during and after missions. The Minister has committed to deploy 70% of the actions as early as 2018. The "Defence" mission of the 2019 finance bill, which is the first financial translation of the ambitions of the military programming law, continues to finance the Family Plan by allocating 57 million credits for social action and conversion measures. However, it would appear that some of them face some difficulties and raise questions within the units. There were also doubts as to the size of the measures in the Family Plan. In my department of Var, for example, the difficulties of access to housing and the importance among the military personnel of the rate of single geographicals are critical subjects for which the Family Plan has high expectations. Madam Secretary of State, could you please tell me what action the Ministry has taken to implement the measures of the Family Plan and to ensure, through communication, that the new arrangements are brought to the attention of the staff in all units?
