ParlaMint-FR_2018-10-16-O1019.u1	The next item is the question to the Government.
ParlaMint-FR_2018-10-16-O1019.u2	Mr David Habib has the floor for the Socialist and related group.
ParlaMint-FR_2018-10-16-O1019.u3	Mr President, I would like to refer to the floods that have affected the department of Aude. [[Mrs. and Mr. the deputies and members of the Government rise. Mrs. and Mr. Members applaud at length]] Before I ask you about this, Prime Minister, and before I greet you yesterday in this department, I, together with all the Socialist Members of Parliament, want to join in mourning the Audoises and the Audois, and wish each of the inhabitants of this department every courage to overcome this ordeal. We will mention – and this is legitimate – climate disruptions or even the waterproofing of the soil: I want to make other observations. [[Applause on all benches]] First, in France, relief services work remarkably well: salute their courage and skills. Secondly, coordination, under the authority of the prefects, responds well to the urgency of these situations. Thirdly, the problem is first of all anticipation and short-term forecasting, but also alerting. We have a duty in climate and technological risks to modernise and professionalise our warning system. Fourthly, the maintenance of rivers is an important issue: today, it is legally and administratively impossible to intervene on rivers, rivers and gaves, for example, to evacuate jams. [[Applause on the benches of the LR group and on some benches of the UDI-Agir group]] We must, Prime Minister, change our legislative and regulatory arsenal in this area. Fifthly, the natural disaster classification procedure is no longer appropriate. I take the example of my department: in Béarn, the commune of Gan was flooded on July 16, 2018. The Interdepartmental Committee gave a favourable opinion on 11 September. However, three months after the facts, the decree had not yet been published in the Official Gazette, which prohibited victims from receiving compensation. Yesterday, Prime Minister, you were questioned by the elected representatives and by the inhabitants of Aude, whom I want to greet. What answers do you intend to give them? [[Applause on the SOC and GDR benches]] Beyond that, in the face of this tragedy, but also thinking of the West Indies, can you make the commitment that all our policies on this subject will give rise to an assessment without a priori and, if necessary, to a challenge, as soon as possible?
ParlaMint-FR_2018-10-16-O1019.u4	The Prime Minister has the floor.
ParlaMint-FR_2018-10-16-O1019.u5	As you said, Mr President, on the night of Sunday to Monday, an event of literally never before seen intensity took place in the department of Aude: it led to material damage but, above all, to deaths, to a dramatic assessment and to a devastated landscape. He plunged the inhabitants of Aude, and in particular those of the few communes that I was allowed to visit, into dismay. First of all, like you, I would like to greet the memory of those who perished in this tragedy and to express our support to their families. As I had the opportunity to do yesterday, and the elected representatives struggled to share this word, I would also like to express my support for those who, on the night of Sunday to Monday, were afraid. This fear, often panicked, was the one they experienced when, in the middle of the night, without electricity, they found that the water was rising in their house and that it was likely to threaten their lives. This fear, the inhabitants of the Aude that I met yesterday told me about it with great dignity. She was real. We hear it, understand it, and, with the services of the State – and basically with all the human resources we have, whatever their administrative connection – try to provide answers and to accompany those who felt it. As you said, honourable Member, the rescues were up to date: they had indeed been prepositioned, because the weather event had been anticipated, but not its intensity or the chronological course of its demonstration, which made it even more serious than what had been imagined. The orange vigilance had indeed been declared, and the rescues, as I have just said, prepositioned. As early as Monday morning, more than 700 firefighters, civil security personnel, gendarmes, police officers, local authorities and the prefecture mobilized. I do not want to forget, of course, the volunteers and the role played by the Red Cross and other volunteers: all have mobilized to provide the necessary relief and assistance. Their work has been remarkable. Mr President, you said that and I thank you for it: it has never been called into question. On the contrary, he was praised by the elected representatives as well as by the people concerned. [[Applause on a few benches of the LaREM and MODEM groups]] Faced with these tragedies, knowing that, in relief and assistance, the public response is up to the stakes is already a great thing. You have also indicated that it is necessary, Mr Member – this is a question on which we will of course have to come back – to have what is sometimes called, in technical language, a "return of experience": we will indeed have to continue to learn, in the same way that France had learned of the considerable floods of 1999, which had caused twenty-six deaths in Aude, and a total of thirty. A large number of decisions were taken at the time, including investments of several tens of millions of euros: almost 80 million for the first adaptation plan, and some 30 million for the second. These decisions had been followed up: in this regard, I would like to welcome all those who, in the last fifteen years, that is, since 1999, have participated and assumed them, even though they required a budgetary and financial commitment, and that – as you know, honourable Member – sometimes caused local inconvenience and disagreement. We all know that here. You are asking us, honourable Member, what will be done at the end of this tragedy: we will, of course, ensure, as I have told the Minister of Public Action and Public Accounts, that we mobilize the emergency funds that can be raised to help local authorities and those who have suffered damage. You mentioned the relationship we have with the Fédération française des sociétés d'assurance: we told its representatives that we were counting on them to ensure that, again, compensation was paid as quickly as possible. You have also mentioned the necessary reflection on the future of this natural disaster procedure: I share your view. You also raised the issue of the dissemination of information. It is not easy, because, in the Aude, we know that orange vigilance occurs regularly, and that, in the long run, the level of attention and vigilance decreases: it is human, it is a fact. We need to adapt our procedures and learn from what has happened so that, at the next occurrence of such a phenomenon – because, let us not look at it, such phenomena will be repeated – we will be even better prepared and then we will be able to pass the information even more effectively. It's hard in the middle of the night, but it's essential. [[Applause on all benches]] Mr President, thank you for your question and reiterate my admiration and support for all those who yesterday, whatever their status, helped our compatriots.
ParlaMint-FR_2018-10-16-O1019.u6	Mrs Duby-Muller, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2018-10-16-O1019.u7	[[Applause on the benches of the LR, LaREM, MODEM, UDI-Agir and non-attached Members]] On behalf of the Group of the European People's Party, I would like first of all to express our deepest condolences to the relatives of the victims of the floods in Aude and to pay tribute to the work of the law enforcement and relief forces mobilized on the spot. With this natural disaster, political time suspended yesterday – and that is quite normal. [[Claims on the banks of the LaREM and MODEM groups]] Prime Minister, I now turn to another topical issue: reshaping. In recent weeks we have experienced a bad soap opera, a kind of House of Cards in low-end version,...
ParlaMint-FR_2018-10-16-O1019.u8	Very low-end! A telenovela!
ParlaMint-FR_2018-10-16-O1019.u9	[[Protests on the benches of the LaREM and MODEM groups]] ... with the desertion of the two ministers of state of the government, the ambitions of each one for the municipalities, the announcement effects, under cover of a disharmony at the top of the state, and blackmail for posts. For more than a week, it's the panic in your majority. Why doesn't anyone want to be part of the new casting? Main result: the Prime Minister has, despite himself, become half-time Minister of the Interior – excuse for a little! – in a context of terrorist threat. Finally, here's the announcement. That's all for it! A small set of musical chairs, without any change of political line. Nothing new under the sun, already very cloudy, macronya.
ParlaMint-FR_2018-10-16-O1019.u10	Anything!
ParlaMint-FR_2018-10-16-O1019.u11	[[Exclaims on the banks of the LaREM Group]] What is certain is that this reshuffle does not lead to anything new for the French: nothing about insecurity, while the number of attacks has fried the thousand daily acts since January – a record; Nothing about purchasing power – on the contrary, there will be 300 million euros less for the French in 2019, which will be added to the 4.5 billion decrease in 2018; nothing about the increase in fuel charges, which severely penalizes households, and even more so the rural world; Nothing for local authorities – worse, you stigmatize mayors; Nothing for pensioners, who suffer your hard work; Nothing about the migration crisis, which is even denied by your majority! [[Applause on the benches of the LR group]] Prime Minister, it is high time to take care of the French. When will we finally have a real captain on the stand?
ParlaMint-FR_2018-10-16-O1019.u12	The Prime Minister has the floor.
ParlaMint-FR_2018-10-16-O1019.u13	[[Applause on the benches of the LaREM and MODEM groups. – Exclaims on the benches of the LR group]] Madam Member, for fifteen days you have pretended to be impatient, now you are pretending to be disappointed! I do not believe that any reshuffle, whatever it might have been, could have aroused your satisfaction or enthusiasm.
ParlaMint-FR_2018-10-16-O1019.u14	That's right!
ParlaMint-FR_2018-10-16-O1019.u15	That's because your policy sucks!
ParlaMint-FR_2018-10-16-O1019.u16	[[Applause on the benches of the LaREM and MODEM groups. – Exclaims on the benches of the LR group]] It would have taken you to sit on his benches for him to arouse these feelings.
ParlaMint-FR_2018-10-16-O1019.u17	We didn't betray anyone!
ParlaMint-FR_2018-10-16-O1019.u18	[[Same movements]] [[Same movements]] However, if you were to sit on these benches, the 2017 parliamentary elections would have had a different outcome. In essence, what you regret, Madam Member, is not this reshuffle or this majority, no, it is – and it is perfectly legitimate – the results of the legislative election that took place last year and determined the majority in this House.
ParlaMint-FR_2018-10-16-O1019.u19	Sold!
ParlaMint-FR_2018-10-16-O1019.u20	No, ma'am, we're not changing course. The course was set by the President of the Republic and commitments were made to the French. They were taken at the time of the presidential election and were recalled at the time of the legislative election. The French voted and gave the government a majority.
ParlaMint-FR_2018-10-16-O1019.u21	Today, they regret it!
ParlaMint-FR_2018-10-16-O1019.u22	Our objective, together with the members of the Government, which remain focused on their task, is to fulfil the commitments made by the President of the Republic.
ParlaMint-FR_2018-10-16-O1019.u23	Well, that's a mistake!
ParlaMint-FR_2018-10-16-O1019.u24	In other words, Madam Member, there is nothing surprising today. On the contrary, we will continue and persevere.
ParlaMint-FR_2018-10-16-O1019.u25	With technocracy?
ParlaMint-FR_2018-10-16-O1019.u26	[[Applause on the benches of the LaREM and MODEM groups]] And since you rightly point out that security is a concern for the French, since you say that we must take into account the reality of security, I welcome in advance, even if I am careful, the support that you will not fail to give to the majority when it proceeds, as last year and as next year, to the increase of the budget of the Ministry of the Interior and to the recruitment of new staff within it. Since you are, and this is all to your honor, consistent with your positions,...
ParlaMint-FR_2018-10-16-O1019.u27	You, on the other hand, coherence is not that!
ParlaMint-FR_2018-10-16-O1019.u28	[[Applause on the benches of the LaREM and MODEM groups]] ...I have no doubt that we can count on your support at that time. Thank you in advance.
ParlaMint-FR_2018-10-16-O1019.u29	Sold!
ParlaMint-FR_2018-10-16-O1019.u30	The next speaker is Mrs Danièle Herin, for the Group of the European People's Party (La République en marche).
ParlaMint-FR_2018-10-16-O1019.u31	Prime Minister, I associate my fellow Members of the Aude Alain Perea and Mireille Robert – because the entire department of Aude has been affected – with my colleague from the Var, Sereine Mauborgne. In particular, my constituency covers Villardonnel, Villegailhenc, Trèbes and Carcassonne, villages and towns that have deplored the deaths as a result of floods and floods that occurred during the night from Sunday to Monday. I would like to pay tribute to the victims and their families and to commend the solidarity of the people. While some had already lost everything, they were thinking of neighbours who were even more affected. [[Applause on the benches of the LaREM and MODEM groups]] On behalf of the Audois, I would like to warmly thank the civil and military relief services, the intervention forces – firefighters, gendarmes, police officers – and the authorities. All provide indispensable help and immense support to the victims, with commitment, mastery and professionalism, for two nights and two days. I would also like to congratulate the mayors and municipal councils of all the affected communes, who have acted calmly and decisively to accompany the population and who will continue to act for many weeks. Finally, I would like to welcome the presence of three members of the Government, who visited the most affected communes the same day to show their solidarity: Prime Minister François de Rugy, Minister Jacqueline Gourault. Already present during the March attacks in Trèbes and Carcassonne, once again, you were with us on the very day of the sinister, and we thank you on behalf of the people.
ParlaMint-FR_2018-10-16-O1019.u32	They've done nothing but their duty!
ParlaMint-FR_2018-10-16-O1019.u33	[[Applause on the benches of the LaREM and MODEM groups]] My question is this: the episode of October 15 is of exceptional magnitude and gravity. At this time, what are the means mobilized to support and sustain those of our fellow citizens who are hard hit and who sometimes find themselves in situations of absolute distress?
ParlaMint-FR_2018-10-16-O1019.u34	The Prime Minister has the floor.
