ParlaMint-FR_2018-05-23-O1219.u1	The next item is the question to the Government.
ParlaMint-FR_2018-05-23-O1219.u2	Mrs Valérie Boyer, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2018-05-23-O1219.u3	Prime Minister, this Monday, in broad daylight, a heavily armed commando broke into the heart of the Busserine neighbourhood in Marseilles. Shots rang. A man was reportedly abducted and a resident wounded. Our police officers, to whom I pay a strong tribute for their composure and professionalism, have been called into question. [[Exclaims on the banks of the LaREM Group]] Unemployment, communalism, insecurity: this is the sad reality of a France abandoned in the hands of the rogue and an outdated Macronie.
ParlaMint-FR_2018-05-23-O1219.u4	It's been over 20 years!
ParlaMint-FR_2018-05-23-O1219.u5	It is not an umpteenth victim speech, a new suburban plan or the daily police that will silence the Kalashnikovs of a mob that is not afraid. Give our forces of law and order the means to act! Invest in technical means to better combat terrorism and crime!
ParlaMint-FR_2018-05-23-O1219.u6	You're the one who deprived them of the means!
ParlaMint-FR_2018-05-23-O1219.u7	Ensure effective enforcement of sentences! Always be on the side of those who protect us! Put an end to these areas of another right, this "counter-society", to the words of Elizabeth Badinter, where mafia, radical Islam and communalism reign! Stop opposing the French between themselves – the city against the countryside and the countryside against the suburbs! However, yesterday, the President of the Republic disavowed Jean-Louis Borloo to give his trust to Yassine Belattar, the one who considers that terrorist crimes amount to mere "galipettes" or that the abuses of jihad are like a birthday party. Communityism is nourished here directly by the President of the Republic, who takes on his own the vocabulary and the racialized vision of the Indigenous people of the Republic, stigmatizing the "white males".
ParlaMint-FR_2018-05-23-O1219.u8	It's shameful!
ParlaMint-FR_2018-05-23-O1219.u9	In concrete terms, Prime Minister, do you think that the security of the French can be improved by breaking national unity? [[Applause on the benches of the LR group. – Exclaims on the banks of the LaREM Group]] The whole meaning of my political commitment is based on the fact that the French cannot be reduced to their origin, sex or skin colour – and I have no doubt that it is also yours, ladies and gentlemen. So, Prime Minister, are you going to answer an elected member of the Republic, a French woman or a white woman?
ParlaMint-FR_2018-05-23-O1219.u10	The next speaker is the Minister of State, Minister for the Interior.
ParlaMint-FR_2018-05-23-O1219.u11	Joker! Joker!
ParlaMint-FR_2018-05-23-O1219.u12	[[Applause on the benches of the LaREM and MODEM groups as well as on some benches of the UDI-Agir group]] [[Same movements]] Madam Member, first of all, you will allow me not to share your vocabulary exactly. For the Minister of the Interior, there is only one separation: between those who respect the law and those who do not. [[Exclaims on the banks of the GDR Group]] In the neighbourhoods of Marseilles, for too long, the law has not been respected.
ParlaMint-FR_2018-05-23-O1219.u13	But it's going to change!
ParlaMint-FR_2018-05-23-O1219.u14	Who, in these quarters?
ParlaMint-FR_2018-05-23-O1219.u15	You've been in business for a year!
ParlaMint-FR_2018-05-23-O1219.u16	We have made some progress since last year with the new Director of DGSI.
ParlaMint-FR_2018-05-23-O1219.u17	Not enough!
ParlaMint-FR_2018-05-23-O1219.u18	In the Busserine district, in 2017, thirty-one drug cases were conducted. For the first four months of 2018, the results are on the rise: there are already twelve cases. [[Applause on the benches of the LaREM group and on several benches of the MODEM group]] In the afternoon following the attacks on police officers in the neighbourhood of La Busserine, we sent an additional CRS company. We are about to send another one, because always, in this area as in others, force must remain to the law!
ParlaMint-FR_2018-05-23-O1219.u19	Mrs Anne Brugnera has the floor for the La République Group on the move.
ParlaMint-FR_2018-05-23-O1219.u20	My question, Madam Minister for Higher Education, Research and Innovation, concerns the enrolment in higher education of our future bachelors. [[Applause on many benches of the LaREM group]] The figures released yesterday show that the new Parcoursup platform has functioned as planned.
ParlaMint-FR_2018-05-23-O1219.u21	Oh, no! Missed!
