ParlaMint-FR_2018-12-11-O1101.u1	The next item is the oral questions without debate.
ParlaMint-FR_2018-12-11-O1101.u2	Mr Jean-Bernard Sempastous has the floor to put his question, No. 434, on the treatment of detained patients.
ParlaMint-FR_2018-12-11-O1101.u3	Madam Minister of Justice, my question concerns the difficulties encountered in the care of patients detained at the hospital in Lannemezan, in my constituency – an institution that you know well. During 2017, specialized hospitals in Lannemezan admitted eleven inmates to psychiatric care by decision of a state official – SDRE – for a total of eighty-two days of care. The implementation of this mission requires a considerable mobilization of the hospital's human resources: reopening of a secure room, the presence of four daily staff and the reinforcement of four additional staff at each stage of care. However, this mobilization of hospital staff is paradoxically accompanied by the closure of beds and the decrease in the number of agents: 17 fewer officers in 2017. The impact is significant in terms of safety. When a patient is admitted to ERDS, there is no protection or supervision on the part of law enforcement. The continuation under the present conditions of the reception of detained patients threatens the fulfilment of the primary mission of the hospital, which already struggles to take care of mental health throughout the department of Hautes-Pyrénées and the south of Haute-Garonne. I would therefore like to know your position on this problem.
ParlaMint-FR_2018-12-11-O1101.u4	The next speaker is Ms. Custody of Seals, Minister of Justice.
ParlaMint-FR_2018-12-11-O1101.u5	Mr. MP, psychiatric care for detained persons is the responsibility of the Ministry of Solidarity and Health. The Public Health and Social Welfare Act of 18 January 1994 transferred the organization and management of the health care of detained persons to the public hospital service. In a context of high prevalence of mental disorders in detention, as evidenced by the number of psychiatric hospitalizations of detained persons, which, between 2009 and 2016, increased proportionately faster than the criminal population over the same period – more than 15.3 per cent compared to more than 11 per cent – the care of the detained patient is a real problem. Inmates suffering from mental disorders can be hospitalized without consent in three types of facilities: in specially designed hospital units, UHSA – there are nine in the territory, for a total of 440 places of hospitalization; in a unit for difficult patients, UMD, where such persons " present a danger to others such as the necessary care, supervision and safety measures can only be implemented in a specific unit"; in a secure room within the hospital specializing in area psychiatry. However, hospitalisation in a secure room of detained persons may result from a default choice, due to the lack of UHSA places. The latter have increased security, with the daily presence of prison surveillance personnel, but some prisons are far removed from these structures, forcing them to find alternative solutions. In this context, the Ministry of Justice and the Ministry of Solidarity and Health have asked the General Inspectorate of Justice and the General Inspectorate of Social Affairs to carry out a joint audit of these situations, the results of which will be known in a few weeks' time. Indeed, the question of the custody of these sick prisoners – or of these sick prisoners – does not arise for placements in UHSA or in a secure interregional hospital unit, UHSI, since prison staff naturally perform this role in these institutions. The same applies to short-term medical extractions, for which the regulatory framework entrusts the monitoring function to the internal security forces. Your question therefore focuses on hospitalizations at the request of a government official, which concern inmates with a degree of danger but who cannot be assigned to UMD. This issue – which is the responsibility of the Ministry of Health under the law – raises a real problem, as does the question of the continuity of care of a detainee who returns to detention after hospitalization. That is why we recently met with my colleague Christelle Dubos to reflect on the best ways to deal with these difficult issues. Beyond the UHSA report we are waiting for in a few weeks, and commitment 21 of the mental health roadmap, which will be dedicated to detained persons, we will consider all solutions to improve psychiatric care for detained persons, which is a real subject. First of all, there is a greater awareness of the prevalence of these disorders among the prison population. That is why, at the beginning of next year, we will initiate a scientific study on this issue to determine how many people are involved in this issue. As soon as this study is carried out, or even in parallel, we will consider concrete solutions.
ParlaMint-FR_2018-12-11-O1101.u6	The next speaker is Mr Guy Teissier, to put his question, No. 447, on the noise pollution caused by the prison of Balmettes 2.
ParlaMint-FR_2018-12-11-O1101.u7	Madam Keeper of the Seals, I wish once again to draw your attention to a problem which seems insurmountable and which exaggerates the residents of the Baumettes 2 prison in Marseilles – which you know for having been there not long ago. As you know, the women's prison is on the street side and the cells on the third and fourth floors are opposite the surrounding houses. Throughout the night, local residents are subjected to shouts, screams, insults, and even head music that make life unbearable for them. On the occasion of your visit to Marseille and your visit to the prison a few weeks ago, you indicated that an experimental device would be put in place as quickly as possible, before being generalized if it gave satisfaction. I would therefore like to know whether this device – which took time to launch – is already in place, and, if so, whether it proves to be useful and rational, and when all the work will be carried out. I'm not telling you, minister, that there's an emergency. We approach winter but, after spring, will come summer, high season of infernal nights for the residents. The surrounding population is impatient and hastening to question you. I would also like to know whether the experimental system will cancel the enhancement of the prison wall, which would permanently put an end to all these infernal nuisances and noises. The Neighbourhood Interest Committee, the population as a whole and the residents, all trends, as well as the elected representatives, would ardently like this last solution to be retained.
ParlaMint-FR_2018-12-11-O1101.u8	The next speaker is Ms. Custody of Seals, Minister of Justice.
ParlaMint-FR_2018-12-11-O1101.u9	As you pointed out, Mr. Teissier, I myself took full measure of the discontent and discomfort caused to the residents by going to the Balmettes. My department is working to address this issue and is making every effort to reduce these nuisances. Within the institution, we organized a firm disciplinary management of harassment to influence behaviour: identification of the authors, referral to the Disciplinary Board and assignment of identified inmates to less exposed areas. Since September 2017, the management of the institution has maintained a regular relationship with representatives of the Neighbourhood Interest Committee. The head of establishment receives a delegation from the community of residents about once a month. In terms of real estate, a series of measures relating to noise pollution were carried out in the neighbourhood, from 6 to 10 July, by the Public Agency for the Real Estate of Justice. On the basis of these surveys, two prototypes were installed on the windows of the most exposed buildings: in October, an acoustic grid was placed on a window, outside, as well as an acoustic probe to measure the results obtained; At the end of November, a specific window frame, consisting of a fixed part and an opening part equipped with a sound filter, was installed in a second cell. Tests are under way on these two processes. It is therefore two different technical options that are tested in order to have an effective solution that can be deployed on the high floors of the accommodation in order to minimize the nuisances suffered by the residents. The final results of the tests will be known by the end of the calendar year and the most effective solution will then be chosen. It will then have to be put into production, because it is custom-made, in order to allow a laying in the first half of 2019 – therefore before the summer. As for the proposal to upgrade the enclosure wall, it was removed after expertise due to strong urban, environmental and technical constraints, including wind exposure. I went to the Balmettes on October 26th. On this occasion, I presented these two proposals, which are currently being tested, to the representatives of the local residents' committee and to the mayor of the arrondissement of Marseille. As I said, the solutions will be operational before the summer. We have also, as part of the planned work on Baumettes 3, provided for a broad association of elected officials and residents, beyond what is required by the rules of public consultation. Thus, we intend to prevent the difficulties encountered earlier.
ParlaMint-FR_2018-12-11-O1101.u10	Mr Guy Teissier has the floor.
ParlaMint-FR_2018-12-11-O1101.u11	Madam Minister, thank you for the progress you have just listed. You say that detainees caught in flagrante delicto are punished or even changed to a cell, but I would remind you that to communicate, you have to be two. Those who are outside are not punished and continue to come under the windows of these ladies, not to sing laments with a mandolin, but to shout things much less pleasant to hear. Thank you for the arrangements you intend to put in place. The borough mayor who has succeeded me is none other than my collaborator for twenty years and my deputy; I was therefore fully aware of your approach and regretted that I could not be present on the day of your arrival. Finally, even if you have nothing to do with it because it is your technical services that have declared it, the argument of exposure to the wind seems implausible to me: the walls are always, in one way or another, exposed to the wind, and I do not see what this one comes to do in this matter!
ParlaMint-FR_2018-12-11-O1101.u12	Mr Jean-Pierre Door has the floor to raise his question, No. 450, concerning the Tribunal de grande instance de Montargis.
ParlaMint-FR_2018-12-11-O1101.u13	Madam Keeper of the Seals, I would like to remind you of the worrying situation of the Montargis High Court, which is threatened in its very existence. This court, which is characterized by intense activity, is faced with a decrease in the number of staff. While its jurisdiction covers nearly 200,000 inhabitants, it faces a shortage of staff due to the departure of three magistrates – that of the president, who announced it a few weeks ago, that of the judge of the enforcement of sentences and even that of the investigating judge – in addition to a shortage of clerks. The existence of the court is threatened by the provisions of your reform relating to the territorial organisation, in particular departmental, of justice. Between the courts of major jurisdiction of the same department, the dispute may be divided in such a way as to facilitate the establishment of specialized chambers. The risk is therefore great that the jurisdiction of the court of Montargis, which works very well, will be transferred to the court of Orléans, which would reduce the TGI of Montargis, thus emptied of its substance, to be only a reception window. In this case, the defendants would be forced, in the absence of public transport – there is no public transport in the eastern part of the department – to make journeys by car, obliging them to incur additional fuel costs: a resident of Bazoches-sur-le-Betz would, for example, have to make 210 kilometers to return, and a resident of Beaulieu-sur-Loire 180 kilometers! The bar of Montargis, like the bar of Orléans, is alarmed and manifest. Madam Keeper of the Seals, when you received me with other parliamentarians at the Chancellery a few months ago, you made a commitment to keep the Montargis High Court as it stood. Could you confirm what you had achieved then?
ParlaMint-FR_2018-12-11-O1101.u14	The next speaker is Ms. Custody of Seals, Minister of Justice.
ParlaMint-FR_2018-12-11-O1101.u15	Mr President, I confirm to you that nothing has changed since the last time I received you, and nothing will change tomorrow: no court of major jurisdiction will be closed and the court of Montargis will be kept in its entirety under the new name of judicial court, as provided for in the law of programming and reform for justice that you are currently debating. You express your concern that the system of departmental specialization provided for in article 53 of the law would deprive the competence of the TGI de Montargis of its substance. That will not be the case, I am committed to it. The bill specifies that specialization is limited to technical and low-volume litigation. Any decree that specializes in large volumes of litigation would require the annulment of the Council of State, as it would be illegal. This specialisation should simply allow judges to specialize in very specific subjects where only a sufficient number of cases can handle cases in good conditions. Thus, I repeat, each TGI will retain mass litigation: civil litigation, family litigation, contracts, liability and, in criminal matters, litigation of offences against persons and property, as well as litigation, road litigation – in short, all the litigation that makes a court live. Only highly specialized litigation, which would result from a balanced territory project between each of the courts in the departments, could lead to specializations in, for example, customs duties, environmental criminal litigation or abductions of children which, fortunately, do not take place every day. We pay particular attention to the staff of all the courts, therefore those of the TGI of Montargis. An annual job tracking circular sets out the number of posts and, for your court, provides for ten judges at the seat and three at the prosecutor's office. The staff of the Public Prosecutor's Office is full; At present, only the headquarters staff, where two persons are missing, are incomplete. I am pleased to announce that the president of the court will be installed at the end of January, which will reduce the vacancy to a job and allow the proper functioning of the Montargis court of general jurisdiction. I would also point out that the first president and the prosecutor of the Orléans Court of Appeal have six and three judges respectively to support the courts of jurisdiction, including the Montargis High Court. I can assure you, honourable Member, that we are paying close attention to all the courts in our territory.
ParlaMint-FR_2018-12-11-O1101.u16	Mr Jean-Pierre Door has the floor.
ParlaMint-FR_2018-12-11-O1101.u17	Thank you, Madam Keeper of the Seals, for this extremely important information. This reform did raise the fear that a hierarchy would be established between the courts of the department, which would be tantamount to making the Montargis TGI a secondary court over that of Orléans. The information you have given fully satisfies me and will allow me to provide an answer locally. I will simply remind you that we are also experiencing a problem at the transplant, which is serious since the transplant is the working ankle of a court.
ParlaMint-FR_2018-12-11-O1101.u18	I also thank you, Madam Keeper of the Seals, for the conciseness of your answers that respect our rules.
ParlaMint-FR_2018-12-11-O1101.u19	Mr Jean-Carles Grelier, speaking on behalf of the Committee on the Environment, Public Health and Consumer Protection, referred to his question No. 446 on heliport service at Le Mans Hospital.
