ParlaMint-FR_2018-11-07-O1051.u1	The next item is the question to the Government.
ParlaMint-FR_2018-11-07-O1051.u2	Mr Jean-Félix Acquaviva has the floor for the Libertés et territoires group.
ParlaMint-FR_2018-11-07-O1051.u3	Prime Minister, the Liberties and Territories Group has noted with great interest the fact that the Government has understood and heard the "desir of Alsace" strongly expressed by the elected representatives of this territory. Jacques Lacan writes that, in order to have a meaning, the desire must necessarily be the desire of the other. It was therefore the Government that strongly desired Alsace, to the point of ratifying a solemn declaration of love with its elected representatives. I congratulate the Alsatian elected officials for having managed to make this government succumb to this day a little vertical and Jacobin,...
ParlaMint-FR_2018-11-07-O1051.u4	Bravo! Good start!
ParlaMint-FR_2018-11-07-O1051.u5	... which has not yet experienced similar "desir of Corsica", despite the absolute majorities resulting from the ballot boxes in favour of autonomy. But be careful, dear Alsatian colleagues, Nietzsche also said that man "comes to love his desire and no longer the object of his desire". Let us be vigilant about implementation, particularly in terms of transfers of tax resources. What is at stake in the Alsatian case? In substance: the recognition of the cross-border dimension, the recognition of bilingualism and plurilingualism as assets in this context, the recognition of the historical dimension of this territory, a link between France and Germany. These elements confirm a comprehensive political approach to the issue. That is an unquestionable fact. On the form: a pre-declaration, produced by a political compromise drawn up in negotiations with the elected representatives of the territory. Prime Minister, taking note of this "sewn hand" carried out in Alsace, as well as the results of the self-determination elections in New Caledonia, which call on the French Republic to define, through dialogue, a status tailored within the Constitution, we ask you: are you finally ready to co-build with the legitimate elected representatives of Corsica, with the same respect and in the same spirit as in Alsace, a true solution integrating the historical, linguistic and cultural, economic and social dimensions of the island, through a real status of autonomy, full right and full exercise, in the Mediterranean? Finally, are you also prepared to build a political compromise with all local and regional authorities, including the overseas countries, around real financial and fiscal autonomy, and the content – to be clarified – of the right to differentiation? [[Applause on the benches of the LT Group and among the non-attached MPs. – Claude Goasguen also applauds]] For our part, taking note of the paradigm shift in Alsace, we strongly wish it and are always ready for it.
ParlaMint-FR_2018-11-07-O1051.u6	The Prime Minister has the floor.
ParlaMint-FR_2018-11-07-O1051.u7	Mr President, first of all you are asking me about the work carried out by the local authorities and the Government concerning the creation, or the prospect of creation, of a European community in Alsace. Listening to the elected representatives, whether they are parliamentarians or local elected officials, we have heard, as you have said, the "desir of Alsace", to take up the formula by which the Prefect Marx has designated this particular appetence which aims to translate in the institutional functioning the identity and the peculiarity of Alsace and its history.
ParlaMint-FR_2018-11-07-O1051.u8	It's different from Valls!
ParlaMint-FR_2018-11-07-O1051.u9	We have done so on the basis of a simple observation. On the occasion of the last quinquennium, the large regions were created and the boundaries of the intercommunities changed. It can be said that a big bang of the territorial organization was led. Some have promoted and approved it; Others challenged it and departed from it. However, it is now the law.
ParlaMint-FR_2018-11-07-O1051.u10	Alas!
ParlaMint-FR_2018-11-07-O1051.u11	The President of the Republic had indicated during the campaign, then recalled the day after his election, that our objective, our way of doing things would be not to question the great balances resulting from this big bang to leave to each of the communities, whether regional or intercommunal, the task of digesting these transformations,...
ParlaMint-FR_2018-11-07-O1051.u12	They don't digest them!
ParlaMint-FR_2018-11-07-O1051.u13	... and to implement policies adapted to the new perimeters entrusted to them. This is the principle on which we have built our policy for local and regional authorities. But we immediately added that, if the local elected representatives were prepared to propose a number of changes and agreed on the meaning they could have, without fundamentally questioning the main principles we had mentioned, we would work with them to try to find the right organization on a case-by-case basis. This is exactly what has been done for the European community of Alsace: not to question the major elements of the law on the new territorial organization of the Republic – NOTRE –, not to question the Greater East region. Our policy also involves contracting with territories, where they are part of a contracting logic. This is what will happen before the end of the year with the Ardennes department. This logic has led us to endorse the commitments made by the previous Government regarding the mining basin. It is the same logic that will apply to all parts of the territory when proposals are made and we can work with the elected representatives within the framework that we have set. Mr President, you then ask me – and I understand it easily – about the case of Corsica. I could easily answer that this one already benefits – and so much the better! – a very special status which gives it far more competence than is entrusted to other communities, particularly the regions. That's probably very good. It is quite natural that the law has taken into account the specificity of an island territory, of which everyone knows that it is marked not only by a history, but also and above all by a very particular geography, given its island and mountainous character. You did not escape the fact that, in the draft constitutional amendment submitted by the Government, there was an article that took this situation into account. The latter went a little further in taking into account the specificities not only of the Corsican case but of all local and regional authorities, since it was intended to include the power of differentiation in the Constitution. This article would enable all elected representatives to respond fairly fully to their aspirations and requests. We will have the opportunity to discuss, as we have done since the beginning, with the Corsican elected representatives. The members of my Government regularly visit Corsica and maintain this discussion. I myself will have the opportunity to visit before the end of the year, as I have committed myself to the elected members of the Corsican executive. [[Applause on several benches of the LaREM, LT and UDI-Agir groups]] We will then be able to discuss these developments, bearing in mind – I will not go back to this point, honourable Member, and you would be surprised if I did the opposite – the initial framework that we have set, while hoping that the review of the constitutional review will enable us to implement what we have called the "right to differentiation".
ParlaMint-FR_2018-11-07-O1051.u14	The next speaker is Mr Laurent Furst, for the Group of the European People's Party.
ParlaMint-FR_2018-11-07-O1051.u15	[[Exclaims on a few benches of the LaREM and MODEM groups]] Prime Minister, climate change is a reality and no one can deny the need to act, but let us remember that France emits only 0.9% of greenhouse gases.
ParlaMint-FR_2018-11-07-O1051.u16	That's no reason not to do anything!
ParlaMint-FR_2018-11-07-O1051.u17	[["He's right!" on the benches of the LR group]] No one is opposed to the change of old boilers, the insulation of thermal colanders or the regeneration of the fleet. But to suggest that all recent events would be related to climate change to justify new taxes is quite demagogic. Nature has unleashed many times before the industrial era. Your answer, Prime Minister, is new taxes, while, at the same time, France is accumulating delays in methanization, solar energy, geothermal energy, energy from the sea, or even electrical self-consumption. New taxes, Prime Minister, this is not a policy! For the French, it's a punishment! [[Claims on several banks of the LaREM Group]] Remember: one in two employees earns less than 1710 euros. The SMIC is 1153 euros. An employee who travels 20 kilometres by car to work spends 200 euros a month. What's left for him to live? There are 8.8 million people living below the poverty line in France; 30% of French people reduce their heating due to lack of means; 15% of our citizens report suffering from the cold at home. Behind these figures, is it not simply a question of dignity? Do you think of those French people who make life even more difficult for you? For Republicans, things are clear: we say no, no to rising taxes, no to this unbearable "taxofolio"! For its part, the Government does not listen to, hear neither the despair nor the rising anger. [[Applause on the benches of the LR group. "Mr. Christophe Naegelen also applauds.]] Prime Minister, what answer, what message can you send to these millions of citizens who want to live, and not just survive?
ParlaMint-FR_2018-11-07-O1051.u18	The next speaker is the Minister of State, Minister for the Ecological and Solidarity Transition.
ParlaMint-FR_2018-11-07-O1051.u19	Mr President, as you said, no one is challenging climate change, even if immediately after having said this, you have tried somewhat to minimize it.
ParlaMint-FR_2018-11-07-O1051.u20	No!
ParlaMint-FR_2018-11-07-O1051.u21	[[Applause on several benches of the LaREM group. – Mr. Paul Molac also applauds]] Climate change is here and now: it's not only in distant countries, it's not in ten or twenty years either. Action against climate change must therefore be taken here and now, and, as you know, it is a whole series of measures. Investments must obviously be made in energy transition. In fact, we will very soon be presenting multi-annual energy programming,...
ParlaMint-FR_2018-11-07-O1051.u22	What about kerosene taxation?
ParlaMint-FR_2018-11-07-O1051.u23	What about nuclear power?
ParlaMint-FR_2018-11-07-O1051.u24	... which will answer the questions you have indirectly asked, such as the development of renewable energies or the gradual closure of thermal power plants – which emit CO and other greenhouse gases. It will also be the time to really trigger the reduction of energy consumption. The energy bill of our citizens will be lowered, at the same time as it will promote the development of renewable energies.
ParlaMint-FR_2018-11-07-O1051.u25	What about the jet kerosene?
ParlaMint-FR_2018-11-07-O1051.u26	[[Applause on several benches of the LaREM group. – Exclaims on the benches of the LR group]] I'm going to the tax department. This is a subject that I obviously do not want to avoid. All French people who pay income tax would obviously prefer to pay less, but income tax proceeds are used to increase the budgets of the police, defence or national education, to name but a few.
ParlaMint-FR_2018-11-07-O1051.u27	That's not the point!
ParlaMint-FR_2018-11-07-O1051.u28	What does that have to do with it?
ParlaMint-FR_2018-11-07-O1051.u29	It is exactly the same with ecological taxation. You mentioned employees who have only small wages or pensioners who only receive a small pension.
ParlaMint-FR_2018-11-07-O1051.u30	What are you doing for them?
ParlaMint-FR_2018-11-07-O1051.u31	[[Applause on the benches of the LaREM group. – Exclaims on the benches of the Republicans and France groups]] In this regard, I would like to recall that the energy check, which did not exist a few years ago, and which was generalised last year to all French people and expanded to oil – when it was previously limited to gas and electricity – benefits 3.6 million French people with low incomes. It will increase next year from 150 to 200 euros. [[Applause on the benches of the LaREM group]] These are the concrete answers to accompany this change, which, of course, is difficult.
ParlaMint-FR_2018-11-07-O1051.u32	Mrs Clémentine Autain, for the Group of the European People's Party, has the floor.
