ParlaMint-FR_2018-02-07-O1136.u1	The next item is the question to the Government.
ParlaMint-FR_2018-02-07-O1136.u2	[[Mrs. and Mr. Members of the LR Group stand up and applaud]] Ian Boucard, for the Group of the European People's Party.
ParlaMint-FR_2018-02-07-O1136.u3	[[Applause on the benches of the LR group and on several benches of the UDI-Agir group]] Mr President, allow me first of all to express the solidarity of the Republican Group with all our compatriots paralyzed by yesterday's heavy snowfalls and to all the agents who are mobilizing to unblock the situation as quickly as possible.
ParlaMint-FR_2018-02-07-O1136.u4	It's called the public service!
ParlaMint-FR_2018-02-07-O1136.u5	Prime Minister, this weekend, the citizens of Val-d'Oise and the territory of Belfort sent you a warning and expect you to hear it. Your government often boasts the merits of its action to improve the purchasing power of the French. Yet these same Frenchmen have told us, in recent weeks, that this is not true. This is obviously not true for pensioners, whose CSG – the generalised social contribution – increases by 25% without any compensation, which means less family solidarity and less consumption. This is also not true for the assets, whose social contributions have decreased very slightly, but which have seen the price of gas, domestic fuel, stamp and above all of derailed fuels: 7 cents increase for the unleaded, 11 cents for diesel, according to the official figures of the Ministry of the Ecological and Solidarity Transition. This increase is doubly detrimental to the inhabitants of rural areas, whose journeys are longer and who do not have the same access to public transport. The same inhabitants of medium-sized towns and villages have also told us of their concern and their sense of being abandoned in the face of the scarcity or even the disappearance of public services and health services.
ParlaMint-FR_2018-02-07-O1136.u6	Right!
ParlaMint-FR_2018-02-07-O1136.u7	Our territories lack general practitioners and specialists, our hospitals are overcrowded and our communities have less and less resources. [[Applause on the benches of the LR group and on several benches of the UDI-Agir group]] Mr Prime Minister, these are certainly only two elections, but they are probably more significant than the polls we comment on morning, noon and evening. How do you intend to increase the purchasing power of the middle classes in practice and to respond to the exasperation of the majority of the population, who suffers from such social injustice?
ParlaMint-FR_2018-02-07-O1136.u8	The next speaker is the Minister for Economic Affairs and Finance.
ParlaMint-FR_2018-02-07-O1136.u9	[[Applause on the benches of the LR group and on several benches of the UDI-Agir group]] [[Smiles and applause on the benches of the REM and MODEM groups. – Exclaims on the benches of the LR group]] Mr Boucard, allow me first of all to congratulate you on your re-election in this beautiful territory of Belfort. But the Lion of Belfort does not allow you to roar inaccuracies.
ParlaMint-FR_2018-02-07-O1136.u10	You mustn't play tame!
ParlaMint-FR_2018-02-07-O1136.u11	Justice – social justice, economic justice – is about making work pay. It is the course that has been set by the Prime Minister, the course that has been set by the President of the Republic and the course that we will take throughout the quinquennium. [[Applause on several benches in the REM group]] We have removed social security contributions – health insurance, unemployment insurance – for 21 million French employees, who have their payroll increased as of January 2018. It's social justice. We have increased the activity premium to encourage the French to return to work. It's social justice.
ParlaMint-FR_2018-02-07-O1136.u12	Bravo!
ParlaMint-FR_2018-02-07-O1136.u13	We have begun to abolish the housing tax for 80% of French households and we will definitely eliminate this unjust and inefficient tax.
ParlaMint-FR_2018-02-07-O1136.u14	On the back of the communes!
ParlaMint-FR_2018-02-07-O1136.u15	[[Applause on a few benches of the REM and MODEM groups. – Exclaims on FI banks]] It's social justice, and it's purchasing power for the French.
ParlaMint-FR_2018-02-07-O1136.u16	You've increased the price of fuel!
ParlaMint-FR_2018-02-07-O1136.u17	The reality is that we have a strategy, and that it is not to redistribute wealth before we have created it, but to create more wealth by companies, by entrepreneurs,...
ParlaMint-FR_2018-02-07-O1136.u18	What about the employees in all this?
ParlaMint-FR_2018-02-07-O1136.u19	[[Applause on a few benches of the REM and MODEM groups]] ...by employment, so that it can then be redistributed to those who need it most.
