ParlaMint-FR_2018-10-17-O1021.u1	The next item is the question to the Government.
ParlaMint-FR_2018-10-17-O1021.u2	The next speaker is Mr Alexis Corbière, for the Group of the European People's Party.
ParlaMint-FR_2018-10-17-O1021.u3	My question is for the Prime Minister, who was also Minister of the Interior yesterday morning. We do not demand any favours.
ParlaMint-FR_2018-10-17-O1021.u4	All right?
ParlaMint-FR_2018-10-17-O1021.u5	Yes!
ParlaMint-FR_2018-10-17-O1021.u6	We want justice. Yesterday, the Mouvement La France insoumée was treated as if it were an association of criminals. About 100 police officers were mobilized against us to conduct some 15 searches.
ParlaMint-FR_2018-10-17-O1021.u7	A hundred? Don't you exaggerate a little?
ParlaMint-FR_2018-10-17-O1021.u8	Maybe we know your practices!
ParlaMint-FR_2018-10-17-O1021.u9	Ladies and gentlemen, only Mr Corbière has the floor.
ParlaMint-FR_2018-10-17-O1021.u10	Ten hours of search: why? Personal data, holiday photos and calendars entered: why? In the name of what emergency? Who decided that such a disproportionate device should be deployed?
ParlaMint-FR_2018-10-17-O1021.u11	Justice!
ParlaMint-FR_2018-10-17-O1021.u12	No political organization – none! – had to undergo this,...
ParlaMint-FR_2018-10-17-O1021.u13	Yes, ours!
ParlaMint-FR_2018-10-17-O1021.u14	... even less in the context of a simple preliminary investigation, which – I would like to remind you – is not carried out by an independent investigating judge, but by a prosecutor under the authority of the Minister of Justice. Why? Our campaign accounts? Since June 8, 2018, we have requested a comprehensive review – without response. Assistants to the European Parliament? In three years, why didn't you summon them to check the reality of their work?
ParlaMint-FR_2018-10-17-O1021.u15	It's coming!
ParlaMint-FR_2018-10-17-O1021.u16	[[Claims on several banks of the LaREM and MODEM groups]] After hours of searching our premises, no minutes were presented for signature by our officials.
ParlaMint-FR_2018-10-17-O1021.u17	And what else?
ParlaMint-FR_2018-10-17-O1021.u18	Who can accept that we seize files of sympathizers and activists outside any legal framework? We demand justice. It is a matter of principle, for all – including for you! We note that the Paris prosecutor did not even consider opening a preliminary investigation into La République's campaign accounts. Neither the premises of this formation nor the personal home of its president – the current Minister of the Interior – were searched. And I'm not going to remind you of Mr. Benalla's real false search of his home. [[Applause on the benches of the FI group. – Mrs Faucillon also applauds]] Prime Minister, is this the rule of law?
ParlaMint-FR_2018-10-17-O1021.u19	The Prime Minister has the floor.
ParlaMint-FR_2018-10-17-O1021.u20	Yesterday at the same time, the chairman of the parliamentary group of which you are a member, Mr Mélenchon, asked me about the same facts, asking a question which basically goes in the same direction as yours. I was responding to him with great calm, it seems to me, and a lot of precision, indicating how personally, politically and functionally – as head of government – I was committed to the independence of justice. [[Applause on the benches of the LaREM and MODEM groups as well as on some benches of the LR and UDI-Agir groups]] You question me today by asking me basically the same question – in a calm tone, I give you notice. It turns out that, since yesterday, I have seen images that I must say, Member of Parliament, that they shocked me.
ParlaMint-FR_2018-10-17-O1021.u21	So do we!
ParlaMint-FR_2018-10-17-O1021.u22	And so do we!
ParlaMint-FR_2018-10-17-O1021.u23	Shameful!
ParlaMint-FR_2018-10-17-O1021.u24	I never lost some form of measure when I spoke, but I can understand, perhaps, that words, in the heat of action, go beyond thought – even if, when one is a political leader, it is always better to master oneself in all circumstances. But I can understand that.
ParlaMint-FR_2018-10-17-O1021.u25	[[Applause on the benches of the FI group]] Come get me!
ParlaMint-FR_2018-10-17-O1021.u26	And it wants to be President of the Republic!
ParlaMint-FR_2018-10-17-O1021.u27	[[Applause on the benches of the LaREM and MODEM groups]] In any event, the images I saw were very violent towards police officers carrying out their duties.
ParlaMint-FR_2018-10-17-O1021.u28	Assume!
ParlaMint-FR_2018-10-17-O1021.u29	You are the shame of this House!
ParlaMint-FR_2018-10-17-O1021.u30	They were very violent about procedures outside the Government. I do not think, honourable Member, that we have anything to gain from questioning the independence of justice.
ParlaMint-FR_2018-10-17-O1021.u31	What about Benalla?
ParlaMint-FR_2018-10-17-O1021.u32	Please, ladies and gentlemen.
ParlaMint-FR_2018-10-17-O1021.u33	With regard to procedures that may have been initiated or that may have been initiated in the past, I have the memory – contrary to what you have said – that procedures have already been implemented against political formations. I have a pretty clear memory of it, believe me, and I think many people on the benches of this assembly remember it, too. [[Applause on the benches of the LaREM and MODEM groups]] Searches into premises of political formations, it's already happened! This has already happened because of the questioning of personalities who have or have had a political role! [[Applause on the benches of the LaREM and MODEM groups, some of which rise]] This is never pleasant, but I observe, honourable Member, that all those who have been called into question, and who at times – I acknowledge it – have seen their honour called into question, all those, I believe, have systematically maintained a very great calm with regard to the police forces and the judicial institution.
ParlaMint-FR_2018-10-17-O1021.u34	The President of the Republic called for soup!
ParlaMint-FR_2018-10-17-O1021.u35	Populists!
ParlaMint-FR_2018-10-17-O1021.u36	The next speaker is Mr Brahim Hammouche, for the Group of the Democratic and Related Movement.
