ParlaMint-FR_2018-07-24-E1034.u1	The next item is the question to the Government.
ParlaMint-FR_2018-07-24-E1034.u2	[[Applause on the benches of the LR group. – Mr. Nicolas Dupont-Aignan also applauds]] Mr Christian Jacob, for the Republican Group, has the floor.
ParlaMint-FR_2018-07-24-E1034.u3	Prime Minister, according to Article 20 of our Constitution, "the Government determines and directs the policy of the Nation. It has the administration and armed force. He is accountable to Parliament." It took you five days to answer our inquiries on the Macron-Benalla case. [[Claims on several banks of the LaREM Group]] Is this refusal the result of your personal decision, which would say a lot about your consideration of our assembly, or was it the President of the Republic himself who formally prohibited you from coming to the national representation? [[Murmures on a few benches of the LaREM group]] Your attitude, Prime Minister, bears witness to a lack of clarity regarding the information that the French have learned about this Macron-Benalla affair. How is it possible that a "barbouze", paid for by the Elysée, obtained an authorization to carry a weapon, a car with gyrophare and a place of office, have access to the command room of the police prefecture, to the hemicycle of the National Assembly...
ParlaMint-FR_2018-07-24-E1034.u4	Yes!
ParlaMint-FR_2018-07-24-E1034.u5	[[Applause on the benches of the LR group and on several benches of the UDI-Agir group]] ...and that he was entitled to a secret defence? How is it that this individual is still in charge of the reorganization of the security services of the President of the Republic?
ParlaMint-FR_2018-07-24-E1034.u6	That's not true!
ParlaMint-FR_2018-07-24-E1034.u7	It is clear, Prime Minister, that a parallel police force was built in the heart of the Elysée.
ParlaMint-FR_2018-07-24-E1034.u8	It was called the SAC and it was under de Gaulle!
ParlaMint-FR_2018-07-24-E1034.u9	[["Yes! » on several benches of the LR group]] You know very well that it was only possible to build itself with the complicity and approval of the President of the Republic himself and the connivance of your government. [[Applause on the benches of the LR Group and among some non-attached Members]] Prime Minister, the French have only one question: why is Mr Benalla so protected and privileged by Mr Emmanuel Macron? [[Vif applause on the benches of the LR Group and among some non-attached Members. – Claims on several benches of the LaREM and MODEM groups]] Finally, in view of the silence of the President of the Republic, I solemnly ask you whether or not this individual is in a position to exert pressure on the President of the French Republic.
ParlaMint-FR_2018-07-24-E1034.u10	The Prime Minister has the floor.
ParlaMint-FR_2018-07-24-E1034.u11	[["Indignation! » on the benches of the LR group]] You have asked me, Mr. President Jacob, about a question which, for the past few days, has aroused comments, annoyance and questioning.
ParlaMint-FR_2018-07-24-E1034.u12	Rightfully!
ParlaMint-FR_2018-07-24-E1034.u13	I'm happy to be able to answer you.
ParlaMint-FR_2018-07-24-E1034.u14	We had to do it first!
ParlaMint-FR_2018-07-24-E1034.u15	[[Laughs and applause on the benches of the LaREM and MODEM groups]] I will do it in peace, as always, and I am sure that, as always, you will listen to me in peace as well.
ParlaMint-FR_2018-07-24-E1034.u16	And you continue contempt!
ParlaMint-FR_2018-07-24-E1034.u17	It's really not the right tone, Prime Minister!
ParlaMint-FR_2018-07-24-E1034.u18	I want to tell you that in our Republic, no one is above the law. You are convinced, I am sure, and I share that conviction. Wednesday evening, images were revealed...
ParlaMint-FR_2018-07-24-E1034.u19	The Elysée knew before!
ParlaMint-FR_2018-07-24-E1034.u20	They've been known since May 2nd!
ParlaMint-FR_2018-07-24-E1034.u21	... and made known to the public, allowing the identification of a mission officer who performs duties at the Elysée. [["Two months! » on the benches of the LR group]] [["Two months! » on the benches of the LR group]] In less than a week, an investigation was commissioned by the Minister of State, Minister of the Interior, to the General Inspection of the National Police – IGPN. A preliminary investigation and then judicial information were opened by the Paris prosecutor. They resulted in police custody and five indictments, as well as the hearing, in particular, of the Chief of Staff of the President of the Republic.
ParlaMint-FR_2018-07-24-E1034.u22	Not thanks to you!
ParlaMint-FR_2018-07-24-E1034.u23	Two commissions of inquiry, one in the National Assembly and one in the Senate, were established, and their hearings began.
ParlaMint-FR_2018-07-24-E1034.u24	Thanks to our pressure!
ParlaMint-FR_2018-07-24-E1034.u25	[[Applause on the benches of the LaREM and MODEM groups. – "Two months! » on the benches of the LR group]] All this, President Jacob, has been achieved in less than a week. [[Applause on the benches of the LaREM and MODEM groups. – Exclaims on the benches of the LR and NG groups]] In view of your experience, which is real, Mr Jacob, I think you know that this administrative, judicial and parliamentary reaction, in its intensity and speed, is rare.
ParlaMint-FR_2018-07-24-E1034.u26	You've known for two months!
ParlaMint-FR_2018-07-24-E1034.u27	You're out of the ground!
ParlaMint-FR_2018-07-24-E1034.u28	Self-satisfaction continues!
ParlaMint-FR_2018-07-24-E1034.u29	Your question is about facts that, last Thursday, in front of the Senate, on current issues in the Government, I have already described as shocking and inacceptable.
ParlaMint-FR_2018-07-24-E1034.u30	We agree!
