ParlaMint-FR_2018-10-18-O1024.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-18-O1024.u2	On Amendments Nos 225,487, 701, 1064, 1116, 1323, 1538, 1551, 1878, 2079, 2080 and 2081, I am seized by the groups Les Républicains, Socialistes et affiliés, and La France insubmission of a request for a public vote. The vote is announced in the National Assembly.
ParlaMint-FR_2018-10-18-O1024.u3	All right!
ParlaMint-FR_2018-10-18-O1024.u4	I therefore have before me a series of amendments, Nos 225,487, 701, 1064, 1116, 1323, 1538, 1551, 1878, 2079, 2080 and 2081, to delete the article. Amendment No 225 is not being defended. I call Mrs Guion-Firmin to support Amendment No. 487.
ParlaMint-FR_2018-10-18-O1024.u5	First of all, Mr President, I would like to express my solidarity with my ultramarine colleagues, who want Article 4 to be deleted. The additional reduction in income tax is not a whim or a tax gift, but corresponds to a reality: the cost of life and the breakdown of equality caused by the remoteness and insularity of our overseas countries. In addition, I would point out that Saint-Martin, which was devastated a little more than a year ago by Cyclone Irma, and whose economy is in dull, also suffers a scissor effect due to the double insularity and the five-year rule of tax residence. Article 4 provides for the capping of the reduction, but it will also apply to tax non-residents living in Saint-Martin, i.e. persons who have been resident in the territory of the community for less than five years and considered as taxpayers in Guadeloupe or in another overseas department – overseas department. This would be particularly unfair for these people, particularly vulnerable since the passage of Irma, like all Saint-Martinois. I therefore request the deletion of Article 4.
ParlaMint-FR_2018-10-18-O1024.u6	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 701.
ParlaMint-FR_2018-10-18-O1024.u7	Mr President, the Minister for Action and Public Accounts, the Minister for Overseas Affairs, I would like to associate myself with the one who alerted me to the provisions of Article 4: my colleague Mansour Kamardine. This article deals with the communities referred to in section 73 of the Constitution, about which I have found very interesting statements. In 2000, while President of the Republic, Jacques Chirac pleaded, in Madiana, Martinique, for differentiated, tailor-made statutes for these communities. In 2010, Nicolas Sarkozy – this name must speak to you, Minister – defended, in La Réunion, the multiple statutes and institutional solutions adapted to these ultramarine territories. These are statements by the great Presidents of the Republic. Section 4 will have an impressive impact – up to 10% – on the income tax of those taxpayers who create jobs at the local level. This is the opposite of the presidential speech, the overseas programming laws and the conclusions of the "Blue Book Overseas", recently presented in 2018. For all these reasons, this article should be deleted.
ParlaMint-FR_2018-10-18-O1024.u8	I call Mr Max Mathiasin to support Amendment No. 1064.
ParlaMint-FR_2018-10-18-O1024.u9	Madam Minister, this morning you yourself admitted that there was no consultation on this point, which is to your credit – I did not imagine you could say otherwise. This morning, we stressed, with the poignant and sincere unanimity of those who know their territory and take the pulse of its populations, that 10% increase on a share of tax – to which we must add, for some, the increase in the CSG, the widespread social contribution – represented a break in equality. We have also explained that our economies are, whether we like it or not, because of history, counter economies, essentially based on solidarity: 25% of the population and 50% of young people are unemployed! If we do not currently have the same situation as in 2009, it is because of this solidarity. Perhaps that's where the theory of the first rope is fully valid. Minister, we explained to you that there would have been a need for more consultation and evaluation, but you do not seem to agree with us. Since your intransigence will lead you to reiterate an unfavorable opinion, I continue to argue that section 4 should be deleted.
ParlaMint-FR_2018-10-18-O1024.u10	Mrs Nathalie Bassire has the floor to support Amendment No. 1116.
ParlaMint-FR_2018-10-18-O1024.u11	Madam Minister, I heard your comments this morning. You told us in the preamble: "You all know me." But I don't recognize you! It is not 4% but 20% of those who pay the tax that will be affected by this legislation, which does not seem to me to be effective or developing. You are referring to the exceptional investment fund, the EIF, but you know that it will never be used in its entirety since it is impossible to carry out major projects in one year. Under these conditions, on the one hand, the State will make cash on the back of ultramarine taxpayers and, on the other hand, the balance of the EIF will probably not benefit the local economy. By keeping this article, you take back to the most vulnerable ultramarines their monthly salary. They are child care workers, gardeners, housekeepers, sports leaders who will go to Pôle emploi tomorrow. It's concrete! That's the reality! You cannot deny that the affluent middle classes will have to make choices when their purchasing power will thus be reduced, and that the local economy will be undermined, since personal service activities, local tourism, catering and sport will suffer from this brutal decision – that is, little – and taken without consultation. Overseas countries are experiencing a high unemployment rate, which has increased by more than 4.7 percentage points – 168,000 unemployed – as a result of various measures taken by your Government: a drastic drop in aided contracts, the end of the LPA, the personalized housing allowance, and many others. We don't need this new stabbing. This amendment is therefore intended to delete Article 4.
