ParlaMint-FR_2018-11-12-O1059.u1	The next item is the debate on the draft amending finance law for 2018 (No. 1371, 1395).
ParlaMint-FR_2018-11-12-O1059.u2	This afternoon, the Assembly began its discussion of the articles in Part I of the bill, with reference to Article 4 and Annex A.
ParlaMint-FR_2018-11-12-O1059.u3	I have before me four identical amendments, Nos 51, 220, 304 and 478, to delete Article 4. I call Mr Ludovic Pajot to support Amendment No. 51.
ParlaMint-FR_2018-11-12-O1059.u4	He's forbidden.
ParlaMint-FR_2018-11-12-O1059.u5	I call Mrs Sabine Rubin to support Amendment No. 220.
ParlaMint-FR_2018-11-12-O1059.u6	This is an appeal amendment, by which we oppose the multiple shots of planing carried out by this amending finance bill – PLFR – which totals 2.7 billion euros. We condemn them all the more strongly because they concern very important missions for our fellow citizens. I will give some examples. The draft law withdraws €492 million from the "Work and Employment" mission and €200 million from the "Research and Higher Education" mission, despite the already significant decrease in average expenditure per student. It reduces the State's financial transfers to local and regional authorities by EUR 200 million and the appropriations for the mission "Management of public finances and human resources" by EUR 90 million, thereby reducing the resources allocated to tax auditors. It reduces the budget of the Justice Mission by EUR 60 million, the budget of the City Policy Programme by EUR 12 million and the budget of the Sustainable Ecology, Development and Mobility Mission by EUR 200 million. [[Rites and exclamations on various benches]] In this connection, Minister, may I reiterate the question that I asked you earlier: why not allocate the unused EUR 600 million of the energy transition trust account to this last mission? When you answered me, you were right next to the plate!
ParlaMint-FR_2018-11-12-O1059.u7	That's right!
ParlaMint-FR_2018-11-12-O1059.u8	It is true that I am only starting in the Committee on Finance, but I still understand what it is all about! I am also pleased that Mr de Courson, who is an expert on these questions, has confirmed that you have answered in good political terms that you are – and when I say "politician", it must be understood pejoratively.
ParlaMint-FR_2018-11-12-O1059.u9	I guessed it!
ParlaMint-FR_2018-11-12-O1059.u10	We are moving away from the amendment...
ParlaMint-FR_2018-11-12-O1059.u11	Thank you for closing, Mrs. Rubin.
ParlaMint-FR_2018-11-12-O1059.u12	I'm not finished, Mr. President.
ParlaMint-FR_2018-11-12-O1059.u13	Perhaps, but you have exhausted your speaking time.
ParlaMint-FR_2018-11-12-O1059.u14	No, I don't think I used the two minutes I'm entitled to. You claim to increase the ecological budget by 1 billion euros;...
ParlaMint-FR_2018-11-12-O1059.u15	Again, honourable Member, I ask you to conclude.
ParlaMint-FR_2018-11-12-O1059.u16	...since you like to talk about numbers, let me remind you of the generalities of this budget. I'll come back...
ParlaMint-FR_2018-11-12-O1059.u17	Thank you, Congresswoman. You will indeed be able to return to it at a later stage. Your time has been up for 20 seconds.
ParlaMint-FR_2018-11-12-O1059.u18	How do I know?
ParlaMint-FR_2018-11-12-O1059.u19	So trust the chairman of the meeting: I do not have the reputation of unduly withdrawing the floor from speakers, regardless of their group. If I tell you you talked for two minutes and twenty seconds, it's true. Mr Vigier has the floor to support Amendment No. 304.
ParlaMint-FR_2018-11-12-O1059.u20	He's forbidden.
ParlaMint-FR_2018-11-12-O1059.u21	Mr Hubert Wulfranc has the floor to support Amendment No. 478.
ParlaMint-FR_2018-11-12-O1059.u22	[[Smile]] I would like to say a few words about this article – to be taken, too, in a pejorative sense. I will give some examples of reductions in appropriations which lead us to defend this amendment to delete the article. These decreases – as has been said – are in fact aimed at strategic missions. As regards the "Work and employment" mission, €360 million of cancellations of appropriations relate to aided contracts. In view of the exchanges that have already taken place in the Chamber, you will understand that we are opposed to them. On the other hand, 56 million euros of credits are cancelled in the "Student Life" programme of the "Research and Higher Education" mission. Yet many of us have drawn the Government's attention to the fragility of the student situation. Finally, to the points raised by Mrs Rubin, I will add the EUR 22 million amputation of the budget of the mission "Veterans, memory and ties with the nation", while, in this area, many claims remain unsatisfied.
ParlaMint-FR_2018-11-12-O1059.u23	Mr Joël Giraud, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor to give the Committee's opinion on these amendments.
ParlaMint-FR_2018-11-12-O1059.u24	Unfavorable opinion for the simple and good reason that it is a balancing article. In accordance with the Organic Law of 1 August 2001 on Finance Laws – LOLF – each finance law must indeed contain an article of balance. This article may be amended, but not deleted.
ParlaMint-FR_2018-11-12-O1059.u25	The Minister for Public Action and Accounts has the floor to give the Government's opinion.
ParlaMint-FR_2018-11-12-O1059.u26	Same opinion.
ParlaMint-FR_2018-11-12-O1059.u27	I put to the vote the whole of the first part of the finance bill for 2018.
ParlaMint-FR_2018-11-12-O1059.u28	We are considering the second part of the amending finance bill for 2018.
