ParlaMint-FR_2018-04-10-O1183.u1	The next item is the question to the Government.
ParlaMint-FR_2018-04-10-O1183.u2	The next speaker is Mr Jean-Marie Sermier, for the Group of the European People's Party.
ParlaMint-FR_2018-04-10-O1183.u3	My question is for the Prime Minister. [[Exclaims on the banks of the GDR Group. – "Yes! » on the benches of the LR group]] Mr Prime Minister, how can we still not think of the millions of train users who are suffering from the paralysis of transport? You know, the French who endure the strikes hope at least that their difficulties will serve something: they will be disappointed! Indeed, the reform of the SNCF you are proposing is minimal. Contrary to what is understood, the status of the railway operator will not be removed: only new hires will not be made within this framework. The competition of passenger trains is also not proof of the Government's reformary audacity: on the contrary, it has been planned since the 1990s, as you know, Prime Minister. It is being done at a minimum today, without the creation of an independent regulatory authority that would allow a real market opening.
ParlaMint-FR_2018-04-10-O1183.u4	What about the ARAFER?
ParlaMint-FR_2018-04-10-O1183.u5	As we speak, the key issue of the EUR 47 billion debt has not yet been addressed. Frankly, how can we claim to reform the SNCF, not to mention its debt? Small lines, essential for balanced spatial planning,...
ParlaMint-FR_2018-04-10-O1183.u6	That's right!
ParlaMint-FR_2018-04-10-O1183.u7	... are at the heart of our concerns.
ParlaMint-FR_2018-04-10-O1183.u8	He's right!
ParlaMint-FR_2018-04-10-O1183.u9	The Spinetta report wanted to delete them. Despite the reassuring comments made by some, the Government still refuses to include their black-on-white retention in the legislation. Mr Prime Minister, does our country not miss a historic opportunity to permanently modernise its rail system, in the interests of the French of today and tomorrow? [[Exclaims on the banks of the LaREM Group]] Prime Minister, did we need to put such a mess in the country for so little? [[Applause on the benches of the LR group]] I'm asking you...
ParlaMint-FR_2018-04-10-O1183.u10	Thank you, Congressman. The Minister responsible for transport has the floor.
ParlaMint-FR_2018-04-10-O1183.u11	Mr Member, as I had the opportunity to say here yesterday during the debate on the bill for a new railway pact, and as I will repeat today, yes, the Government's ambition is to modernise our rail system for the benefit of passengers, with SNCF and with railway workers. You're talking about minimal reform, others are telling us that we're overturning the table... No doubt we have found the right balance! [[Exclaims on the benches of the LR group]] You asked several questions. As far as debt is concerned, I am surprised at the impatience on the benches of the House when no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no government, no
ParlaMint-FR_2018-04-10-O1183.u12	You're the government now!
ParlaMint-FR_2018-04-10-O1183.u13	[[Applause on several benches of the LaREM and MODEM groups]] ...has dealt with this subject for decades and the previous one has even submitted a report to Parliament stating that debt is not a problem. Our government, on the other hand, says that debt is a problem, and even a threat to the rail system. And as the Prime Minister has made clear, we, in this quinquennium, will take on our responsibilities with respect to this debt, but with visibility and with the assurance that the French will not recover.
ParlaMint-FR_2018-04-10-O1183.u14	You've advised them, the previous governments! You're in a bad position to talk about it!
ParlaMint-FR_2018-04-10-O1183.u15	[[Applause on many benches of the LaREM group and on several benches of the MODEM group]] With regard to the small lines, I thank you, Mr Sermier, for giving me the opportunity to reiterate to the Assembly that, no, the Government, as it has already stated, will not follow the recommendations of the Spinetta report. These lines cover very different realities, ranging from cargo capillaries to land-use planning lines, and the Government will fulfil its commitments under the State-region plan contracts to accompany the upgrading of small lines. It will be able to draw on the diagnosis provided for in the draft law at the initiative of the rapporteur in order to prepare the future generation of plan contracts with all the necessary elements.
ParlaMint-FR_2018-04-10-O1183.u16	It's derailed!
ParlaMint-FR_2018-04-10-O1183.u17	The next speaker is Mr Philippe Chalumeau, for the La République group on the move.
ParlaMint-FR_2018-04-10-O1183.u18	Madam Minister for European Affairs, last Saturday, France and the international community with it have once again been outraged by the alleged chemical attack by the Syrian army in Duma, the last opposition-controlled eastern Ghouta town. The bombings, aimed at the inhabitants of this town 10 kilometres from the centre of Damascus for the third consecutive day, have since Friday, according to the Syrian Human Rights Observatory, caused the death of at least eighty people, including forty by suffocation. The President of the Republic and the Minister for Europe and Foreign Affairs recalled that France strongly condemned the continuation of such a flagrant violation of international humanitarian law and would assume its responsibilities in the fight against the proliferation of chemical weapons. More than ever, the Syrian regime is determined to win over the entire Ghouta. Thanks to the military support of Russia and Iranian militias, and at the cost of a shelling launched on 18 February, it now controls 95% of this rebel enclave. In addition to the victims of the chemical attacks, 1,600 civilians were killed during the offensive. France must look at this situation more than ever before. In the light of a war that has left more than 350,000 people dead for seven years now, our country must act and take its part in resolving this humanitarian tragedy. Madam Minister, what response does France intend to give to this new violation of international humanitarian law?
ParlaMint-FR_2018-04-10-O1183.u19	Diplomacy!
ParlaMint-FR_2018-04-10-O1183.u20	What solutions can we effectively and collectively put in place in international criminal justice? Finally, how can France, together with the international community as a whole, work towards the emergence of a new inclusive political road map in Syria? [[Applause on several benches of the LaREM group]] The voice of France carries, Madam Minister, and its actions force. We will strongly support the actions of the President of the Republic and the Government.
ParlaMint-FR_2018-04-10-O1183.u21	Remember Iraq!
ParlaMint-FR_2018-04-10-O1183.u22	The Prime Minister has the floor.
ParlaMint-FR_2018-04-10-O1183.u23	Mr President, international law and, beyond it, mere humanity have once again been flouted in Syria.
ParlaMint-FR_2018-04-10-O1183.u24	Seems like it!
ParlaMint-FR_2018-04-10-O1183.u25	This isn't the first time. This time again, international law has been flouted by the regime of Bashar al-Assad, a regime that is determined, determined to destroy those who resist it at the gates of Damascus. The images to which you refer are of course untenable. Almost a year to the day after another chemical-weapon massacre, two new attacks were carried out in eastern Ghouta. Ladies and gentlemen, this tragedy confirms that we are facing a system ready for all transgressions: it is part of a strategy of terror vis-à-vis civilians. This attack occurred in an area that, for several weeks, had been shelled and starved by the regime, with the support of its allies, to force it to surrender. The use of chemical weapons – as you know, honourable Member – is a fundamental violation of the international order, a serious violation of the 1925 Protocol and the 1993 Chemical Weapons Convention, as well as of several United Nations resolutions. However, these attacks took place.
ParlaMint-FR_2018-04-10-O1183.u26	Seems like it! It's not proven!
ParlaMint-FR_2018-04-10-O1183.u27	They do not make the deaths more regrettable, more terrifying than those caused by so-called conventional bombings, but they reveal the ability and willingness to use weapons that are a ban on the international order. [[Applause on a few benches of the LaREM group]] The use of these weapons is not neutral: it says things about the regime. And our reaction to the use of these weapons will say things about who we are. Mr President, the regime's allies have a particular responsibility in this massacre, as well as in the violation of the truce provided for in UN Security Council Resolution 2401, which is obviously binding on all. In the face of these events of extreme gravity, the President of the Republic said, France assumes all its responsibilities. We have seized the United Nations Security Council, which met yesterday, to call for the cessation of hostilities, the establishment of an immediate ceasefire in Syria and the establishment of a new international mechanism for investigating these chemical attacks. You know that a number of the regime's allies have mobilized to remove the pre-existing international mechanism for investigating chemical attacks. We are acting to ensure that impunity for the use of chemical weapons never becomes the norm: this is the meaning of the initiative launched last January by the Minister for Europe and Foreign Affairs to facilitate the identification of individuals or entities collaborating in these chemical weapons programmes. [[Applause on the benches of the LaREM group]] Ladies and gentlemen, in the face of the legitimate emotion of such tragedies, the solution to the Syrian crisis is, and will remain, political. I want to make this clear: there is no credible diplomacy if such atrocities do not lead to a strong, united and resolute response from the international community.
ParlaMint-FR_2018-04-10-O1183.u28	The next speaker is Mr Joaquim Pueyo, for the New Left Group.
ParlaMint-FR_2018-04-10-O1183.u29	Mr President, my question is also addressed to the Prime Minister. On 7 April, a chemical attack killed 50 Syrians in Duma.
ParlaMint-FR_2018-04-10-O1183.u30	Prove it!
ParlaMint-FR_2018-04-10-O1183.u31	There is every reason to believe that Damascus is the cause of this massacre. I encourage those who still doubt the cruelty and ruthlessness of Bashar al-Assad's regime to look at the photos relayed by Agence France-Presse or the images that local organizations send us. There are suffocating children, sprinkled with water to limit the effects of gas, or a pile of corpses piled in a small room. If we are not able to put an end to these massacres by all means in our possession, it will be useless to say: now that is enough!
ParlaMint-FR_2018-04-10-O1183.u32	He's right!
ParlaMint-FR_2018-04-10-O1183.u33	In August 2013, the United Nations passed resolution 2118 on the dismantling of the Syrian chemical arsenal. Five years have passed since then, and yet we have been confronted with this barbarity on several occasions. Massacres with conventional and chemical weapons, rape or torture in prisons recalling the worst concentrationary hours must be condemned with the greatest force. The lack of strong international responses has allowed for a sense of impunity. The abuses are going on and we can only see that we are unable to put an end to them. French and European diplomacy have in the past demonstrated their effectiveness on complex subjects such as Iranian nuclear power. Far from a discourse going to war, we must also consider the possibility of a proportionate and circumscribed response within the international framework. It would be both a blow to the regime's ability to act and a clear message to the Syrian President and his allies. Mr Prime Minister, the United Nations and the countries committed to international law must insist not only on the Syrian regime, but also on the powers that support it.
ParlaMint-FR_2018-04-10-O1183.u34	And in Yemen, nothing's going on?
ParlaMint-FR_2018-04-10-O1183.u35	[[Applause on the benches of the NG group as well as on some benches of the group The REM]] My question is simple: what answer does France intend to give to these massacres, in cooperation with the European Union and countries that respect international legality?
ParlaMint-FR_2018-04-10-O1183.u36	The Minister for European Affairs has the floor.
ParlaMint-FR_2018-04-10-O1183.u37	Mr President, on Saturday, 7 April, two chemical attacks were carried out in Syria, in Duma, in eastern Ghouta. Gases – of which, without a doubt, chlorine, which, because it is a heavy gas, descends to the ground and penetrates into the cellars where civilians take refuge – have been used to kill and terrorize.
ParlaMint-FR_2018-04-10-O1183.u38	Seems like it! This is not proven by the UN or anyone else!
ParlaMint-FR_2018-04-10-O1183.u39	The observed symptoms also suggest the combined use of a potent neurotoxic. Who is responsible for these attacks? Those who have the know-how to develop such substances, those who believe they have a military advantage Who else, under these conditions, is the Syrian armed forces? What is Russia's responsibility? Not a Syrian plane takes off without the Russians being informed: there is therefore a responsibility of the allies close to Syria.
ParlaMint-FR_2018-04-10-O1183.u40	Propaganda!
ParlaMint-FR_2018-04-10-O1183.u41	What is our responsibility? We have seized the UN Security Council, and the President of the Republic has met several times with President Trump, with Mrs May.
ParlaMint-FR_2018-04-10-O1183.u42	We're reassured!
ParlaMint-FR_2018-04-10-O1183.u43	We must act to ensure that the use of chemical weapons never again takes place with the utmost impunity: we want a strong and resolute response from the international community. [[Applause on several benches of the LaREM group]] France will assume all its responsibilities in the fight against chemical proliferation: it will fulfil its commitments; She'll keep her word.
ParlaMint-FR_2018-04-10-O1183.u44	Mrs Aude Amadou, on behalf of the Group of the European People's Party, has the floor.
