ParlaMint-FR_2018-07-20-E1027.u1	The meeting was suspended.
ParlaMint-FR_2018-07-20-E1027.u2	The meeting was resumed.
ParlaMint-FR_2018-07-20-E1027.u3	The next item is the continuation of the discussion of the draft constitutional law for a more representative, responsible and effective democracy (No. 911, 1137, 1053, 1097, 1098).
ParlaMint-FR_2018-07-20-E1027.u4	Last night, the Assembly continued its discussion of the articles of the draft constitutional law, stopping with Amendments Nos. 808 and 2156 on the additional article after Article 2.
ParlaMint-FR_2018-07-20-E1027.u5	I have received several requests for a point of order. But before that, I believe that everyone wanted the chair of the Law Committee to be able to intervene in the resumption of our work. I therefore give him the floor.
ParlaMint-FR_2018-07-20-E1027.u6	Ladies and gentlemen, as you know, the Committee on Laws met yesterday to ask unanimously to be granted the powers of a committee of inquiry, thus expressing the wish of all the groups that make up this House that the truth should come out calmly. As a result of this decision and vote, and at the end of the regulatory procedure, which ended today at 15.00 a.m. and which formally conferred on the Law Committee its powers of committee of inquiry, I convened the Bureau of the Law Committee for a meeting at 20.00 a.m. to see if agreement could be reached on the functioning of our committee. I would like to say that I have wished to associate with this meeting, as I have been doing for a year now, all the groups present in the Chamber, whether they are members of the committee bureau or not. Our deliberations lasted a long time. Unfortunately, we have not been able to agree on the functioning of the committee. [[Exclaims on the banks of the LaREM Group. – Protests on the benches of the LR group]] Our disagreements have focused on several points, which reveals a lack of serenity which, in my view, is harmful to the smooth running of things and prevents the truth from manifesting itself in all its fullness. We proposed to hear the Minister of the Interior as early as Monday morning, as has been required for several hours on a number of benches. This proposal was refused, as the hearing was considered too late.
ParlaMint-FR_2018-07-20-E1027.u7	Oh! We offered you tomorrow at ten o'clock and you refused! That's the way it happened!
ParlaMint-FR_2018-07-20-E1027.u8	We felt that this hearing could not take place during our sittings. We all know that we are meeting tomorrow and Sunday, in accordance with the Orders of the Day, to examine the constitutional bill. We therefore wanted to hear the minister as soon as possible, that is Monday morning. It was a timing that seemed quite reasonable to us. On the other hand, we wanted to work on the publicity of our work.
ParlaMint-FR_2018-07-20-E1027.u9	In camera?
ParlaMint-FR_2018-07-20-E1027.u10	[[Hues on the benches of the LaREM and MODEM groups]] However, we realized that this publicity was already assured, since the Bureau's deliberations were live-tweeted by one of its members.
ParlaMint-FR_2018-07-20-E1027.u11	Not at all! A LCP reporter did it!
ParlaMint-FR_2018-07-20-E1027.u12	Is there a state secret?
ParlaMint-FR_2018-07-20-E1027.u13	[[Applause on the benches of the LaREM and MODEM groups]] There is no state secret, but I think it is important that a climate of trust prevails in the committee and in its bodies. Observance of the rules is a prerequisite that I had indicated from the outset; This is the essential condition for our work to be carried out in complete serenity. What we all hope for is that they will be blameless.
ParlaMint-FR_2018-07-20-E1027.u14	A funeral always begins with beautiful words!
ParlaMint-FR_2018-07-20-E1027.u15	There's no funeral. [[Applause on the benches of the LaREM and MODEM groups. – Exclaims on the benches of the LR group]] As the Bureau meeting could not prosper, I decided to convene the Law Committee itself, with the powers of a committee of inquiry, tomorrow morning, from 9:30 a.m. We will discuss the hearings, the timing and the form of the hearings between the members of the committee.
ParlaMint-FR_2018-07-20-E1027.u16	To the Turkish!
ParlaMint-FR_2018-07-20-E1027.u17	By applying the majority fact? And this isn't a funeral?
ParlaMint-FR_2018-07-20-E1027.u18	Is that the exemplary Republic?
ParlaMint-FR_2018-07-20-E1027.u19	Where's transparency?
ParlaMint-FR_2018-07-20-E1027.u20	[[Applause on the benches of the LaREM and MODEM groups]] I will send the summons and I invite all law commissioners to note that tomorrow, at 9:30 a.m., there will be a meeting of the Law Committee.
ParlaMint-FR_2018-07-20-E1027.u21	Where you'll be the majority!
ParlaMint-FR_2018-07-20-E1027.u22	[[Same movements]] I invite all of you to participate to show your willingness to conduct the investigation in the most serene and collegial manner possible, and also the most respectful of the plurality of our assembly.
ParlaMint-FR_2018-07-20-E1027.u23	All right!
ParlaMint-FR_2018-07-20-E1027.u24	According to the rules of the majority, yes!
ParlaMint-FR_2018-07-20-E1027.u25	[[Exclaims on the benches of the LR group]] The majority is scrupulously committed to respecting our rules, Mr. Gosselin!
ParlaMint-FR_2018-07-20-E1027.u26	Yes, they are yours!
ParlaMint-FR_2018-07-20-E1027.u27	[["Congratulation! » and applause on the benches of the LaREM and MODEM groups]] Ours, all of us!
ParlaMint-FR_2018-07-20-E1027.u28	All right!
ParlaMint-FR_2018-07-20-E1027.u29	Thank you, Madam President!
ParlaMint-FR_2018-07-20-E1027.u30	Colleagues, I have noted a number of requests for the floor, but before that I would like to clarify a point of method for this House. [["Congratulation! » and applause on the benches of the LaREM, MODEM and FI groups]] [["Unfortunate! » on the benches of the LaREM group]] It is not possible that the content of any board meeting of a commission will be provided live to a journalist. I have just checked: there is indeed a journalist who quoted statements made by members of the Bureau of the Law Commission.
ParlaMint-FR_2018-07-20-E1027.u31	It's a shame!
ParlaMint-FR_2018-07-20-E1027.u32	I don't know if the people concerned are aware of this, and I don't know if they were told that what they were going to say at the committee bureau meeting would be live-tweeted, live – because that's the case: just check the hours of publication. That had never happened. [[Vif applause on the benches of the LaREM, MODEM and FI groups]] We can't work that way. And all of this has nothing to do with what the Chair has said about how the committee works. I repeat: it had never happened that way, and it will never happen that way, because it would mean that we could not work.
ParlaMint-FR_2018-07-20-E1027.u33	But why did that happen? We'd have to find out why.
ParlaMint-FR_2018-07-20-E1027.u34	And why are you applause? You're in charge!
ParlaMint-FR_2018-07-20-E1027.u35	Not at all!
ParlaMint-FR_2018-07-20-E1027.u36	Yes! You're hiding!
ParlaMint-FR_2018-07-20-E1027.u37	Mr Guillaume Larrivé has the floor.
ParlaMint-FR_2018-07-20-E1027.u38	[[Brouhahaha]] I will express myself with some seriousness
ParlaMint-FR_2018-07-20-E1027.u39	Ladies and gentlemen, only Mr Larrivé has the floor.
ParlaMint-FR_2018-07-20-E1027.u40	... and with only the dignity of the debates of the National Assembly and efficiency.
ParlaMint-FR_2018-07-20-E1027.u41	All right!
ParlaMint-FR_2018-07-20-E1027.u42	The proposal I made during the Bureau meeting of the Law Committee, as co-rapporteur of this committee with the powers of a committee of inquiry and in full agreement with my fellow members of the group chaired by Christian Jacob, had two parts. Firstly, a hearing by the Minister of State, Minister of the Interior, tomorrow morning from 10 a.m. to 12 noon, so that normal work in the Chamber, devoted to the revision of the Constitution, can resume Saturday afternoon, Saturday night and Sunday. Very concretely, that means, Mr President, that from 10 a.m. to 12 noon, this work would have been suspended.
ParlaMint-FR_2018-07-20-E1027.u43	No!
ParlaMint-FR_2018-07-20-E1027.u44	Secondly, I proposed that we should meet a democratic requirement, a requirement of transparency, which would also enable us to comply with the Rules of Procedure, which provide that the hearings carried out by committees of inquiry are, as a matter of principle, public...
ParlaMint-FR_2018-07-20-E1027.u45	Tell your friends senators!
ParlaMint-FR_2018-07-20-E1027.u46	That is not the case in the Senate, where you have the majority!
ParlaMint-FR_2018-07-20-E1027.u47	[[Applause on the benches of the FI group]] ... unless the commission decides otherwise. I quote Rule 144-1 of our Rules of Procedure.
ParlaMint-FR_2018-07-20-E1027.u48	What's to hide?
ParlaMint-FR_2018-07-20-E1027.u49	The hearing of the Minister of the Interior, those of the various heads of the operational services, those of other political figures, as well as those, in due course, of the Secretary-General of the Presidency of the Republic and other agents of the State serving the Elysée: all these hearings must be of a public nature. [["Congratulation! » and applause on the benches of the LR, NG and FI groups. – Mrs Emmanuelle Ménard also applauds]] These are the two proposals we have put forward. These proposals are not extravagant. They are respectful of the rules of procedure of the National Assembly, and they were – I think we need to talk about them in the past – such as to restore the necessary serenity in our debates, so that the two missions, that of the Committee of Inquiry and that of the Hemicycle, can be carried out.
ParlaMint-FR_2018-07-20-E1027.u50	Mr Jean-Christophe Lagarde has the floor.
ParlaMint-FR_2018-07-20-E1027.u51	[[Long exclamations on the banks of the LaREM Group]] The crisis we are going through is obviously extremely serious. I use "extraordinary" in the etymological sense of the term.
ParlaMint-FR_2018-07-20-E1027.u52	[[Same movements]] A guy from the Elysée who hits a protestor, maybe it's our fault?
ParlaMint-FR_2018-07-20-E1027.u53	Mr President, I wish I could say what I have to say.
ParlaMint-FR_2018-07-20-E1027.u54	Ladies and gentlemen, a little calm!
ParlaMint-FR_2018-07-20-E1027.u55	I have just participated in the meeting of the Bureau of the Law Commission; On behalf of my group, I thank the President for inviting me to do so. This Assembly is an institution for which we are all responsible. It has habits that are not bad, in particular an ability to speak together, outside the Chamber, not to do things in the backs of the French, but to find ways out. I witness the members of the commission: many have tried to find a way out, but there is still a disagreement. About what? On the moment when we have to audition the Minister of the Interior: some want it to be Saturday morning, others, Monday morning. [[Vif applause on the benches of the UDI-Agir, LR and NG groups. "Mme Emmanuelle Ménard also applauds. – Exclaims on the banks of the LaREM Group]] Do you think, ladies and gentlemen, that there is only one Frenchman who can understand that we do not agree on the moment when we have to audition the Minister of the Interior? No! No Frenchman is able to understand this!
ParlaMint-FR_2018-07-20-E1027.u56	Ladies and gentlemen...
ParlaMint-FR_2018-07-20-E1027.u57	I am sorry, but I would like us to leave these positions, because I think that this institution, for which we have responsibility, is in the process of being damaged.
ParlaMint-FR_2018-07-20-E1027.u58	It's your responsibility!
ParlaMint-FR_2018-07-20-E1027.u59	We? Think before you say such things to me! [["Very good! » and applause on the benches of the UDI-Agir, LR, NG, GDR and FI groups. – Mr Sébastien Chenu and Mrs Emmanuelle Ménard also applaud]] Second point of disagreement: should the hearings be public or not? The example cited by the Chair of the Law Committee proves this: unfortunately, there can no longer be confidential, secret, in camera hearings – unless someone asks, but it will then have to be held in front of the public. By nature, these hearings must be public.
ParlaMint-FR_2018-07-20-E1027.u60	It's obvious! Unless there's something to hide!
ParlaMint-FR_2018-07-20-E1027.u61	Otherwise, we would actually give the impression that our institution has something to hide. Thank you for your attitude, Mr. Chairman, and I want to respect my time. I therefore ask for a suspension of the sitting. I had never done it here before, not even since the beginning of this legislature. This would allow you to bring together the group presidents, as you have already done, with good reason. Indeed, it seems to me that what I have witnessed earlier should, in accordance with the reason, allow us to find a reasonable solution with regard to the date and manner in which we must begin the work of the committee – on one condition, however: that we can also continue the work of the National Assembly on constitutional review. [["Scandalous! » on some benches of the LR group]] And I'll have some things to say about that. Indeed, if the institutional crisis is at this point, it is because our institutions are not in a position to function properly. Can we not stand around the table and agree on two points? The first point is who we're hearing, and when. We have to do it quickly, of course, but are we really about two days away? Oh, my God, two days, what a horror! The second point is whether or not the hearings should be public. But is there anything else that is not public in our Chamber? Many colleagues tweet – which I have never done, and will never do – or even take photographs, in the Chamber and in the corridors. [[Applause on the benches of the UDI-Agir group and several benches of the LR group, as well as on some benches of the NG, MODEM and LaREM groups]] Our institution cannot function that way. If we can reach agreement, we will be able to make the National Assembly work again and give an institutional response to a crisis that is becoming too serious.
ParlaMint-FR_2018-07-20-E1027.u62	Mr. David Habib has the floor.
ParlaMint-FR_2018-07-20-E1027.u63	[[Exclaims on the banks of the LaREM Group]] It was enough for the rapporteur to mention a number of names earlier so that we could immediately feel a stiffening among the members of the majority.
ParlaMint-FR_2018-07-20-E1027.u64	Anything!
ParlaMint-FR_2018-07-20-E1027.u65	Let me say something, ladies and gentlemen. We have reached agreement on the principle of hearing the Minister of the Interior: not on the date, but on an agreement anyway. However, when a number of personalities close to the President of the Republic were mentioned, this led to an immediate stiffening. The publicity of the meetings, Mr. Chairman, is another issue. Our rules on this matter are known; It's up to you to call them back. The principle is the publicity of the debates: our debates, our meetings and the work of the committees of inquiry are public. Who can imagine that if we made an exception for this specific dossier, the French wouldn't conclude that we have something to hide?
ParlaMint-FR_2018-07-20-E1027.u66	That's right! He's right!
ParlaMint-FR_2018-07-20-E1027.u67	[[Applause on a few benches of the LR group]] How can we imagine that we can run for election by pretending to renovate our public life and by invoking the principle of transparency and giving it up immediately to come to power, in order to prefer closed doors?
ParlaMint-FR_2018-07-20-E1027.u68	All right!
ParlaMint-FR_2018-07-20-E1027.u69	We can't accept the pugilate!
ParlaMint-FR_2018-07-20-E1027.u70	In these circumstances, we have expressed our reservations. The chairman of the committee, earlier, recalled what had happened. If rules can lead to the conclusion of the trust contract that she calls for, we must work on it. If we still have to take time to draw up a list of hearings that allows, not to preserve the interests of such or such, but to give the truth its true face, then let us take it. The Socialist Group has chosen, on this issue, to work for transparency and truth: that is the message I want to convey. I did not have a mandate, Mr President, to accept that our work on constitutional reform should resume immediately after the hearing of the Minister of the Interior. When Guillaume Larrivé proposed it, and when the chairman of the committee asked for the opinion of all the groups on this point, I made a commitment, on behalf of the Socialist Group, to accept this condition. So it's a shame, because there was a breakthrough. Everyone noted it, Mr. Lagarde recalled it earlier. The other left-wing groups had also accepted this condition. But a strategy of avoidance emerged as soon as some names were mentioned. [[Applause on the benches of the NG and LR groups]] This must inform us of the lack of real will on the part of the majority to reach agreement on this committee of inquiry.
ParlaMint-FR_2018-07-20-E1027.u71	All right!
ParlaMint-FR_2018-07-20-E1027.u72	Since you have asked me about the rule, Mr Habib, I would point out that Rule 144-1 of our Rules of Procedure provides that a commission of inquiry may decide "the application of secrecy."
ParlaMint-FR_2018-07-20-E1027.u73	"May"!
ParlaMint-FR_2018-07-20-E1027.u74	Advertising is indeed the rule,...
ParlaMint-FR_2018-07-20-E1027.u75	Yes, thank you for reminding him.
ParlaMint-FR_2018-07-20-E1027.u76	...but the secret can be decided. During the latest commissions of inquiry, some hearings were held in camera: for example, recently on nuclear safety, and on terrorism during the previous legislature.
ParlaMint-FR_2018-07-20-E1027.u77	But on the Cahuzac case, there were no closed doors!
ParlaMint-FR_2018-07-20-E1027.u78	It is decided by the committee of inquiry. Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2018-07-20-E1027.u79	There were two major points of disagreement during the committee meeting. Perhaps there would have been others, by the way, if the meeting had continued, but we will not know. The first point, Mr Larrivé recalled, concerned the arrival of the Minister of the Interior, at least tomorrow morning. A technical solution had been found: to begin with the consideration of the constitutional bill at 9:30 a.m., and then to suspend the sitting at 10:00 a.m. to hear the minister for two hours, before we resume our business at 12:00 p.m. I do not know if we would have accepted this proposal, since the Republican Group wanted to have the sittings on Saturday and Sunday abolished in order to hold as many hearings as possible. What he then put forward was, therefore, already a fallback solution.
ParlaMint-FR_2018-07-20-E1027.u80	Exactly!
ParlaMint-FR_2018-07-20-E1027.u81	Compromise!
ParlaMint-FR_2018-07-20-E1027.u82	On the other hand, we have asked for a member of the Government to come and speak, not in the committee of inquiry, but in the Chamber. I believe that this request remains valid. [[Exclaims and "Unfortunate! » on several benches of the LaREM group]] [[Same movements]] The second point is the publicity of the debates. Yeah, I'm used to taking on what I'm saying and what I'm doing. And I said in committee that, if the majority were involved with the in camera – except for the hearing of the Minister of the Interior – I would take on my responsibilities, including legal and criminal, by recording and disseminating the content of the meetings. I believe that the French have the right to know everything that has happened, even if it involves an offence. I assume it, and proudly.
ParlaMint-FR_2018-07-20-E1027.u83	Well, you're welcome!
