ParlaMint-FR_2018-02-21-O1148.u1	The next item is the question to the Government.
ParlaMint-FR_2018-02-21-O1148.u2	The next speaker is Mr Guillaume Garot, for the New Left Group.
ParlaMint-FR_2018-02-21-O1148.u3	Minister for Agriculture, the Agriculture Fair will open its doors on Saturday in a context of doubt on the part of the agricultural world and consumers. Doubts and fears of farmers, due to the possible 30% reduction in the budget of the common agricultural policy, the CAP; anger even, in the face of the draft agreement with Mercosur, which is a real sword of Damocles above the beef industry,...
ParlaMint-FR_2018-02-21-O1148.u4	That's right!
ParlaMint-FR_2018-02-21-O1148.u5	... and in the face of the restructuring of less-favoured agricultural areas, as in the Deux-Sèvres or in the Landes. Consumers and citizens are shaken by successive crises – I am thinking in particular of fipronil and Lactalis. Recently, they are also concerned about the health risks of so-called "ultra-processed foods." The General Food States, like the speech of the President of the Republic in Rungis, had raised a great deal of hope, not only among farmers, who struggled to live from their work, but also among consumers, who had heard the desire to make their food safer and healthier, at affordable prices. Unfortunately, with your bill, minister, we are far from the ambition of the President of the Republic...
ParlaMint-FR_2018-02-21-O1148.u6	Far away!
ParlaMint-FR_2018-02-21-O1148.u7	... to rethink the productive models and to emerge from a model which, he said, was no longer sustainable: too many silences on the regulation essential at European level in order to ensure a solid income for farmers, too many obliviones, concerning the control of land, the education of the younger ones, the training of professionals, checks by the State or the quality of products.
ParlaMint-FR_2018-02-21-O1148.u8	He's right!
ParlaMint-FR_2018-02-21-O1148.u9	[[Applause on the benches of the NG group]] Minister, there will be no "new agricultural France" – in the words of the President of the Republic – without consumer confidence and the assurance of a real income for farmers. Are you ready to hear Parliament's proposals to build the new social pact that France's agricultural industry needs more than ever?
ParlaMint-FR_2018-02-21-O1148.u10	All right!
ParlaMint-FR_2018-02-21-O1148.u11	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2018-02-21-O1148.u12	Mr President, you have participated in the general states of food by chairing a workshop, so you are well aware of the conclusions of the various workshops opened in this context.
ParlaMint-FR_2018-02-21-O1148.u13	Precisely: he is not satisfied!
