ParlaMint-FR_2018-07-21-E1028.u1	The meeting was suspended.
ParlaMint-FR_2018-07-21-E1028.u2	The meeting was resumed.
ParlaMint-FR_2018-07-21-E1028.u3	Before accepting the requests for a point of order, I give the floor to Ms Yaël Braun-Pivet, Chairman of the Committee on Constitutional Laws, Legislation and General Administration of the Republic.
ParlaMint-FR_2018-07-21-E1028.u4	Mr President, ladies and gentlemen, I will give you an accurate account of the meeting of the Committee on Laws which took place this morning; Everyone was able to follow it anyway, since it was public, and broadcast. We wanted to collectively review the workings of the Law Commission with the powers of a commission of inquiry. I would like to greet Guillaume Larrivé, co-rapporteur of this committee, with whom I know how to work calmly and in accordance with the rules, to which we are particularly committed. This will allow us, I think, to move forward, with the aim of establishing the truth of the facts. We decided unanimously by the groups present – one of them abstaining – that the hearings would be public, provided that if officials asked for the camera, the co-rapporteur and I would consider their request, and that we would refer the matter to the committee in case of disagreement. In this way, we will appreciate the opportunity of the closed session for each situation. As regards the hearings, we agreed to start our work at 10 a.m. on Monday morning with the hearing of the Minister of State, Minister of the Interior. We will then hear from the prefect of police in Paris at 1400 hours. We asked each of the groups to send us, through the secretariat of the Law Commission, a list of the persons they would like to see heard. We have established two lists ourselves. Despite some disagreements, about 10 suggestions were common.
ParlaMint-FR_2018-07-21-E1028.u5	That's not true!
ParlaMint-FR_2018-07-21-E1028.u6	We therefore considered that we could start the hearings as early as Monday. This list is of course not frozen. On the one hand, I have said that we wish to receive suggestions from all the groups in the National Assembly; On the other hand, this list will be led, depending on our work, either to lengthen or to narrow down – it is possible that some of the hearings originally envisaged may not finally appear as necessary. In addition, judicial procedures legally limit our possibilities for action: the co-rapporteur and I will have to ensure that the Law Committee does not exceed its prerogatives and does not exceed the powers conferred on it by law. These decisions were taken and the committee meeting was adjourned.
ParlaMint-FR_2018-07-21-E1028.u7	The meeting of the commission of inquiry!
ParlaMint-FR_2018-07-21-E1028.u8	[[Exclaims on the benches of the LR and FI groups]] No! You should read the Rules of Procedure of the House.
ParlaMint-FR_2018-07-21-E1028.u9	You too!
ParlaMint-FR_2018-07-21-E1028.u10	This is indeed the law commission, which has the powers of a commission of inquiry. I recalled that the rules of the Law Committee apply,...
ParlaMint-FR_2018-07-21-E1028.u11	Let's see! Is that why you gave Mrs Le Pen the floor?
ParlaMint-FR_2018-07-21-E1028.u12	... in the same way as since the beginning of the legislature – and even long before – and it was as chair of the Law Commission that I adjourned the sitting. That's what I wanted to say this morning, Mr. President. We can now move forward in clarity...
ParlaMint-FR_2018-07-21-E1028.u13	Why don't you say it in a mess?
ParlaMint-FR_2018-07-21-E1028.u14	... and in a very constructive spirit; As I have seen, we all hope that this committee will work in a calm and blameless manner.
ParlaMint-FR_2018-07-21-E1028.u15	We do not believe that this is the wish of the majority!
ParlaMint-FR_2018-07-21-E1028.u16	[[Applause on the benches of the LaREM and MODEM groups]] That is the least we owe to our fellow citizens.
ParlaMint-FR_2018-07-21-E1028.u17	Mr Guillaume Larrivé has the floor.
ParlaMint-FR_2018-07-21-E1028.u18	This meeting of the Committee on Laws in the form of a committee of inquiry has made it possible to take note of a partial point of agreement on the method and of a major point of disagreement on the scope of our work and on the list of persons whom I believe it is essential to hear as soon as possible. The point of agreement on the method concerns the publicity of hearings. Things have changed on this point compared to last night: I see that the committee has agreed to our proposal. The hearings will be of a systematic, totally public nature, in accordance with our Rules of Procedure, except in the very exceptional case where a person would ask for the in camera and where the committee would accept it. The major point of disagreement concerns the scope of personalities, or individuals who need to be summoned and heard under oath. The co-rapporteur Braun-Pivet, supported by the majority group, accepted the necessary hearing, the Minister of State, Minister of the Interior, as early as Monday morning, of the Paris Police Prefect and the Chief of Staff of the President of the Republic, Patrick Strzoda. Eight or nine names were cited by Ms. Braun-Pivet. When the names of the persons are agreed upon, it is essential that the hearings be held very quickly. Those of the Minister of State and the Prefect of Police are programmed; It is of course necessary that we can also hear from Monday also the Chief of Staff of the President of the Republic and the other people on whose names we agree. Our disagreement, which is major, actually concerns three sets of personalities. It is on this point that I wish to inform national representation fully. With regard to the Elysée, it is obviously essential that the entire chain of command that leads from Mr Benalla – who was, on 1 May, deputy to the Chief of Staff of the President of the Republic – be heard to the Secretary-General of the Presidency of the Republic, Mr Alexis Kohler, included. I obviously maintain my request for a hearing of Mr Kohler, but also of the Chief of Staff of the President of the Republic, Mr François-Xavier Lauch, and of the Spokesman of the President of the Republic, Mr Bruno Roger-Petit, who for the first time since taking office made a solemn press briefing...
ParlaMint-FR_2018-07-21-E1028.u19	And a little stiff!
ParlaMint-FR_2018-07-21-E1028.u20	...on the facts before the commission of inquiry. The Elysean perimeter is therefore the subject of disagreement. Another disagreement concerns the moving Republic party, directly involved in the events of 1 May, since the press tells us that a certain Mr Crase, employee or collaborator of this party, was present. It will therefore be necessary to hear from the delegate general, Mr Christophe Castaner,...
ParlaMint-FR_2018-07-21-E1028.u21	Yes!
ParlaMint-FR_2018-07-21-E1028.u22	That makes sense!
ParlaMint-FR_2018-07-21-E1028.u23	It's indispensable!
ParlaMint-FR_2018-07-21-E1028.u24	... and no doubt that some of his collaborators have, if we understand correctly, the functions of "head of security service".
ParlaMint-FR_2018-07-21-E1028.u25	Yes! That's transparency!
ParlaMint-FR_2018-07-21-E1028.u26	All right!
ParlaMint-FR_2018-07-21-E1028.u27	Finally, with regard to Place Beauvau, the third and final point of disagreement between us, the Chief of Staff of the Minister of the Interior, Mr Jean-Marie Girier, will have to be heard, as well as several other personalities. That, Mr President, is what I can say about the very partial agreement on the method and about our major disagreement on the scope of the hearings to be conducted. [[Applause on the benches of the LR, NG and GDR groups]] As co-rapporteur and as a Member of Parliament, I can say that the only concern we all have is to establish the truth. We have the mandate, given by the nation; We have the legal powers, which are those of a committee of inquiry. We therefore have a duty to move forward, calmly, without hindrance of any kind. Transparency and truth cannot be of varying geometry depending on the distance between the people of the President of the Republic, Emmanuel Macron.
ParlaMint-FR_2018-07-21-E1028.u28	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2018-07-21-E1028.u29	Mr President, I would like to thank you not only for giving me the floor, but above all for saying at the sitting that the publicity of the hearings of the future committee of inquiry was self-evident, because this morning your remarks were used as arguments of authority,...
ParlaMint-FR_2018-07-21-E1028.u30	Let's say they've been valued!
