ParlaMint-FR_2018-02-22-O1150.u1	The next item is the oral questions without debate.
ParlaMint-FR_2018-02-22-O1150.u2	Mr Jean-Claude Leclabart has the floor to put his question, No. 179, on the security of the RN 25.
ParlaMint-FR_2018-02-22-O1150.u3	My question is for the Minister of Transport. There are three points that need to be made about the national road between Amiens and Doullens and Arras. Firstly, the creation of the new Hauts-de-France region, at the same time that it has led Amiens to lose its status as regional capital for the benefit of Lille, was accompanied by a displacement of the main decision-making centres and the corresponding human resources. Access to the new regional capital has not been rethought. The low rail service and the recurrent saturation of the A1 motorway mean that it is now easier and faster, from Amiens, to go to Paris than to Lille. Secondly, the State-region plan contract – CPER – for the years 2015 to 2020 provides for roundabouts to be carried out from 2018 at the northern entrance of Amiens. This project, which is currently the subject of a public inquiry, is subject to debate due to insufficient consultation. Thirdly, the Prime Minister announced on 9 January last, on road safety issues, that speed on dual-way and non-physically separated departmental and national roads would be reduced from 90 to 80 kilometres per hour as of 1 July. Nearly eight years after the motorway project was abandoned A 24 intended, in its time, to unload the A1 motorway, this context naturally re-emerged the debate on the section of the RN 25 linking Amiens to Doullens and Arras. As close to EUR 5 million is set to be put into the creation of roundabouts and road developments, the issue of the coherence of planned work, such as the relevance of future and past developments, arises more than ever. The minds are so warmed up that even the president of the departmental council of the Somme called scandalous, in an article of the Courrier Picard of 5 January, the funds committed by his own community for the realization of the first works! The issues in this case are both simple and complex. It's not a question of reopening the A file, but of engrave in the marble, or rather, I should say in the 18 envelope, the drawing of the RN on its Amiens-Doullens-Arras section. Madam Secretary of State to the Minister of State, Minister for the Ecological and Solidarity Transition, we are at the midpoint of the State-Region Plan contract for the years 2015 to 2020. Is this not an opportune time to complete the development of RN 25, as all local communities and elected representatives expect, so that it can meet the challenges, particularly in terms of road safety?
ParlaMint-FR_2018-02-22-O1150.u4	The Secretary of State to the Minister of State, Minister for Ecological and Solidarity Transition, has the floor.
ParlaMint-FR_2018-02-22-O1150.u5	Member, your question is to the Minister of Transport, Elizabeth Borne. Unfortunately, she cannot be here today: that is why I am replacing her. You draw the Government's attention to the need for RN 25 facilities between Amiens and Doullen, for reasons of road safety, but also to facilitate the connection between Lille and Amiens. The Department is fully aware of the issue of the development of RN 25 for the territories served. A process of study and consultation was initiated in 2011 and resulted in the development of a planning party presented to local actors in 2013. This planning party consists, initially, and pragmatically in view of the traffic levels observed on the axis, of keeping the RN 25 two-lane while improving the level of safety and reliability of journey times. In particular, it provides for the realization, as a matter of priority, of developments on the so-called crossroads of the Vert-Galant, between the RN 25 and the Route départementale 117, the restructuring of the interchange between the RN 25 and RN 1 north of Amiens, as well as the creation of a niche of overtaking located south of Beauval in the north-south direction. These adjustments are currently included in the State-region plan contract for a total amount of EUR 10 million, of which EUR 8.5 million is borne by the State. The development of the Vert-Galant junction was completed in the autumn of 2017, although some finishing work still needs to be done – and they will be completed soon. The development of the Amiens North Exchange was the subject of a public consultation at the end of 2017, which resulted in a consensus solution. This is an integral part of local urban development projects and the development of active mobility. Studies on the project will continue and its public survey is planned for the end of 2018 and the beginning of 2019. With regard to the overtaking niche south of Beauval, studies are under way and are also expected to lead to a public survey in 2019. The commitments made by the State under the plan contract with the Picardy region concerning RN 25 are therefore all on track and are likely to be fulfilled before the expiry of the current contract. A local reflection is under way on the arrangements to be carried out beyond the operations covered by the current CPER. It should clarify the arrangements to be made, as well as the level of financial participation of the communities. In addition, maintenance and maintenance operations are conducted annually on the NSR 25. In 2018, they are expected to cover pavements in the Beauval crossing and in the section north of Doullens to Warlincourt-lès-Pas.
ParlaMint-FR_2018-02-22-O1150.u6	Thank you for closing, Madam Secretary of State.
ParlaMint-FR_2018-02-22-O1150.u7	On this type of axis, we fully share the observation made by the Investment Guidance Committee, which has proposed to the Government investment programmes in the field of transport compatible with public resources.
ParlaMint-FR_2018-02-22-O1150.u8	Mr Thierry Robert, speaking on behalf of the Group of the European People's Party, raised his question, No. 174, concerning the facilities classified at La Réunion.
ParlaMint-FR_2018-02-22-O1150.u9	My question is to the Minister of State, Minister for the Ecological and Solidarity Transition. Since the decision of the Council of State of 6 December 2017, many of the authorisation procedures under way for facilities classified for the protection of the environment – ICPE – have been flawed, because they contain an opinion of the environmental authority signed by the Prefect. This is the case, in La Réunion, of the procedure of opening several quarries of extraction of massive rocks, of which is part the site of Bois Blanc, in Saint-Leu. These quarries projects, especially in Saint-Leu, arouse strong opposition, and because of: proximity to schools, mine fire, incessant truck sweeps, protected areas, seaside area, marine reserve, and so on. It was at the request of the Réunion region that the representative of the State made this career project a project of general interest – PIG – even though the first public inquiry had led to a refusal by the investigating commissioners, and the second had been validated with at least seven reservations. The decision of the Council of State of 6 December therefore calls into question the procedure and the prefecture cannot anticipate, either the new opinion of the environmental authority or the opinion of the new commission of inquiry, if the investigation is resumed. In addition to the decision of the Council of State, the Prefect recently decided to maintain the qualification of a project of general interest, when there is already a massive rock quarry, validated by his services, and which can be functional within six months. Can you, Madam Secretary of State, inform us of the position of the State and the Government on this matter? In plain terms, do you support the passage into force of the Prefect despite the decision of the Council of State?
ParlaMint-FR_2018-02-22-O1150.u10	The Secretary of State to the Minister of State, Minister for Ecological and Solidarity Transition, has the floor.
ParlaMint-FR_2018-02-22-O1150.u11	Member of Parliament, you interviewed Minister of State Nicolas Hulot, Minister of Ecological and Solidarity Transition. He couldn't be here this morning, so he asked me to answer you. You have drawn the attention of the Minister of State to the administrative procedure for authorizing the career project of the Bois Blanc site, to the commune of Saint-Leu, dedicated to the supply of materials for the construction of the new coastal road – NRL. You have wished, Mr.Leu, to know his position on the situation of this project of general interest and the future of the procedure for authorizing the quarry of Saint-Leu and the other quarries of massive rocks dedicated to the construction of the NRL. The construction of the new coastal road, declared of public utility by prefectural decree of 7 March 2012, requires at least 19 million tons of materials, including 9 million tons of massive rock. To date, however, there are no massive rock quarrys under way in La Réunion. To enable the project to be carried out on the new coastal road, several potential exploitation sites have been evaluated. The project to open Saint-Leu's quarry proved to be indispensable for the supply of the future construction site. The career project was the subject of a notice from the environmental authority dated August 10, 2016, and then a public inquiry from September 5 to October 6, 2016. The investigation concluded on 10 November 2016 with a favourable opinion of the commission of inquiry, with five reservations and seven recommendations. Based on the petitioner's responses and commitments, the career project received a favourable opinion from the "Careers" training of the departmental commission on nature, landscapes and sites on March 21, 2017. In order to enable the local planning plan – PLU – of the commune of Saint-Leu to be brought into line, the prefect was required to make, on 31 July 2017, a declaration of draft of general interest for the opening and exploitation of the career. This decision is in accordance with the provisions of Article L. 102(1) of the Urban Planning Code. It provides for the development of natural resources and the inclusion of the career project in the planning document of La Réunion's departmental career plan, approved in 2010 and updated on 26 August 2014. As for the decision of the Council of State of 6 December 2017, which calls into question the designation of the prefect of the region as an environmental authority, it creates a significant legal and litigation risk for the decision to be taken after the opinion of the environmental authority of 10 August 2016. Therefore, I inform you that after discussions with the Prefect, the Minister of State has decided to resume the procedure at the stage of the opinion of the environmental authority by asking, as provided for in Article R. 122-6 of the Environmental Code, for the formation of the environmental authority of the General Council for the Environment and Sustainable Development to decide on this matter. The Commission, which was seized on 9 February, will deliver its opinion within two months. The same applies to Saint-Paul's career project, another operation also dedicated to the construction of the new coastal road. The application file for authorization of the Saint-Leu quarry, together with the opinion of the legally secured environmental authority, will then be incorporated into the public inquiry into the compatibility of the local planning plan of that municipality. Having an opinion from a national body will, we hope, help to objectiveise the debate on this draft.
