Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e36	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e63	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e157	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e168	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e173	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TUMO	Moflag, Tuva	F	1979	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e179	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e199	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e7898	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KARH	Henriksen, Kari	F	1955	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e7953	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.MOM	Mæland, Monica	F	1968	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e8004	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KARH	Henriksen, Kari	F	1955	
ParlaMint-NO-en_2018-10-16	ParlaMint-NO_2018-10-16.ana.ud500e8019	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-16	2018-10-16	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-16	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.MOM	Mæland, Monica	F	1968	
