Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e29	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e39	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	MP	notMinister	MDG	Miljøpartiet De Grønne	-	Centre-left	person.PST	Stoknes, Per Espen	M	1967	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e44	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e49	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.FAØ	Øvstegård, Freddy André	M	1994	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e54	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e59	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.GP	Pollestad, Geir	M	1978	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e64	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e69	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.KJT	Toppe, Kjersti	F	1967	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e75	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e91	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.NIW	Wilkinson, Nicholas	M	1988	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e130	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	notMP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.ASC	Michaelsen, Åse	F	1960	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e181	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.NIW	Wilkinson, Nicholas	M	1988	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e198	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	notMP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.ASC	Michaelsen, Åse	F	1960	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e209	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.GAE	Espnes, Geir Arild	M	1957	
ParlaMint-NO-en_2018-02-15	ParlaMint-NO_2018-02-15.ana.ud128e239	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2017-2018, Sitting day 2018-02-15	2018-02-15	Unicameralism	Term 2017-2021	Session 2017-2018	-	Sitting day 2018-02-15	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
