ParlaMint-NO_2018-05-15.ana.ud217e85	The representative, Petter Eide, will put forward a proposal for a representative.
ParlaMint-NO_2018-05-15.ana.ud217e90	I have the pleasure of presenting a proposal to resolve the situation of those seriously mentally ill people who are isolated in Norwegian prisons. It comes from the representatives of Freddy André Øvstegård, Karin Andersen and signed.
ParlaMint-NO_2018-05-15.ana.ud217e95	The representative, Arne Nävra, will put forward a proposal for a representative.
ParlaMint-NO_2018-05-15.ana.ud217e100	On behalf of the representatives Solfrid Lerbreck, Freddy André Øvstegård and myself, I am delighted to make a proposal to stop the privatisation of operations and maintenance on the Østfoldbahn. The matter is to be dealt with in Bane NOR's Board in September, so I am asking the presidency and the committee for a quick discussion in the spring session.
ParlaMint-NO_2018-05-15.ana.ud217e105	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will inform us that today's meeting will continue well beyond noon. 16:00, until the current map has been processed.
ParlaMint-NO_2018-05-15.ana.ud217e123	Ambulance aeroplanes are an important part of health preparedness in Norway. Especially in North Norway, this service is essential for people to feel safe about getting needed health care. I therefore look very seriously at the situation that has arisen. Night until Saturday 28 April, all the ambulance aeroplanes were on the ground, and in time, for periods of time, there has been a reduction in the availability of ambulances, especially in Finnmark. This is a difficult period. At the same time, health services show their best interest. Both personnel and extra resources are mobilised to find solutions that best safeguard the security of the population. This applies to all actors. Although the situation has been challenging for healthcare and those who work there and that some patients have had to wait, this has not yet had serious consequences for life and health. I would like to thank everyone who is on the verge of such extraordinary situations. The overall responsibility for all air ambulances in Norway lies with the Health Agency. The entity is owned by the four regional health establishments. The situation that has now arisen has been specifically followed up by Health Nord on their behalf. It is also this region that has had the greatest preparedness challenges. The acquisition process itself was in its time led by Health Mid-Norway, who had the chief executive at that time. As the owner of the regional health companies and the top manager, I have had close dialogue with Health Nord, and through them also with the Air ambulance service. I have been to Bodø and Tromsø and have been briefed on how those responsible for the provision of services are planning to deal with the preparedness ahead, and I have met those who are in the middle of the situation. A reporting system is in place to report on the emergency situation at the aerodromes in the health regions on a daily basis, including: to the Department, the Directorate of Health and the State. The Ministry of Health and Health asked the Directorate of Health on Monday 7 May to contact the Defence for helicopter assistance. The Health Directorate then asked the Defence Operational Headquarters to do so in an ordinary manner and in line with an established agreement. The defense put in two manned helicopters in Finnmark last week. Health Nord, as I have asked, has developed a plan of action, both in the short and long term. It contains several compensatory measures that may be applied in the event of the loss of ambulance aeroplanes. The plan must necessarily be further developed and updated as the situation develops, not least in the event of changes in the capacity of Air Transport AS to provide services. The main elements of the plan are: In addition to the two mentioned Defense Helicopters, one additional flight from Babcock is leased. Babcock will also be able to offer a jet plane for service in Norway from the next week, if necessary. Action is also being taken to strengthen staffing in the AMK Central and Air Coordination Centres in Tromsø and to strengthen emergency medical preparedness locally. There are mobilised resources that strengthen the other ambulance service, and alternative ambulance resources are requested to be used when appropriate and possible. It is assessed on an ongoing basis how to dispose of the total air ambulance resources available. This is in line with practices that are established when during periods there is a reduced preparedness in parts of the emergency medical chain, e.g. when bad weather makes it difficult to fly. Air transport has taken action to improve the availability of pilots in the future. Ten-twelve new pilots will be ready for duty in June/July. As from 1 June of this year, a new contract shall be opened for ambulance helicopters. It allows for the insertion of two additional reserve helicopters into operation in addition to the normal standby. In their longer-term plan, the Air ambulance service has also looked at the possibilities of hiring several aircraft from external suppliers, including the possibility for Babcock to take over responsibility for some bases before 1 July 2019 – this if air transport is unable to deliver sufficient services during their contractual period. The latest situation report suggests that preparedness has also been reduced today, but that it improves over a week. Today, four out of nine aircraft are on standby all day, while two are on standby parts of the day. Tomorrow six out of nine aircraft are expected to be on standby all day, while two are on standby much of the day. After this, there are currently no known withdrawals in the coming weeks. The emergency situation must also be seen in the context of the provision of additional resources, as mentioned above. With Norway’s geography and housing patterns, the Air Ambulance Service is central to effective treatment, transport and preparedness in the event of acute illness or injury. The service shall contribute to equivalent healthcare provision and is a prerequisite for patients to benefit from modern treatment provision in time-critical conditions when hospitalisation is far away. In North Norway, especially in Finnmark, ambulances are an important response resource that performs a large number of immediate assistance tasks, often with a high degree of urgency. Ambulance aeroplanes have the advantage that they are less vulnerable to severe weather conditions than the helicopters are. Ambulance flights also have an important role to play in ensuring transport between hospitals when needed. 35 pst. of the missions of the ambulance aeroplanes, are intended to be reinstatements of patients who have received specialised treatment. It is this type of mission that is deprioritised when planes are on the ground and other missions are urgent. The air ambulance service currently has 13 ambulance helicopters, which are operated from 12 bases, and 9 ambulance aircraft, which are operated from 7 bases. It is also an agreement with the Ministry of Justice and Security that rescue helicopters may be used for air ambulance operations. All vessels are equipped with advanced medical monitoring and treatment equipment. It allows medical intervention on site and intensive treatment during transportation. About 20,000 patients are assisted each year by the Air ambulance Service. Nearly half are transported by ambulance aircraft. Of these, 35 are pst. so-called readmission operations. Air ambulance services are an important complement to the local emergency services, which are medical and car and boat ambulance services. In Norway, nearly 98 psts are resolved. of all sick transport services by car ambulances. The air ambulance service solves about 2 pst. of the missions, but accounts for a significantly higher share in North Norway and, in particular, in Finnmark. When the national air ambulance service was established in 1988, it was decided that the operational part of the service, i.e. the operation of the service helicopters and aircraft, should be purchased through a public tender with real competition. After the health enterprise reform in 2012, care was transferred to regional health enterprises. A joint subsidiary was established in 2004, now organised as a health business: the HF Air ambulance service. Air ambulance services enter into contracts with private companies for the flight and helicopter services. The aeroplane and helicopter contracts are concluded in accordance with regular tendering procedures. In the final bidding round, the contracts had a duration of six years, with an option for an extension of up to five years for aeroplanes and four years for helicopters. When tenders are made at regular intervals, this contributes to the renewal of the aircraft fleet and to an increase in quality. This is a good thing for the people. Since the establishment of the company in 2004, the Air ambulance Service has carried out a total of five acquisitions of air ambulance services, including the agreement currently under discussion. These have been contracts in which there are significant amounts, without the acquisitions leading to complaints to the Public Acquisitions Complaint Board and without any legal added value. No business transfer has been required in any of these acquisitions. Until 1994, there were several operators in the service. In 1994, Møreflug became the sole operator following a tendering procedure. Mortar aircraft were merged with Air Transport in 1995 and the name was then ‘Air Transport’. Air transport was also given operator responsibility during the contractual periods from 2001 to 2009. Competition has been somewhat limited. In 2009, Norwegian Air ambulance submitted tenders on some bases, but not the full service. The acquisition of new ambulance aircraft services started in the autumn of 2015, first by identifying the current service and finding out what the service needed. Together with Hospital Purchases – at the time HINAS – the Air Ambulance Service established a joint project management. A separate strategy paper was prepared for the acquisition where several alternative solutions were highlighted. The strategy paper was then sent to nearly 500 agencies and social interests in February 2016. There were 44 recordings and 27 hearing replies. On 14 November 2016, regional health companies adopted a revised strategy paper for the ambulance flight service, on which the current flight and base structure was used for the acquisition of ambulance aircraft services with effect from 1 July 2019. Tenders and tender criteria were drawn up in line with the adopted strategy plan. This work also involved many stakeholders: the Air ambulance Service and Hospital Purchases, representatives of the service’s nurses and doctors as well as the security services. Three evaluation rounds and two negotiating meetings were carried out. Quality was improved during the negotiations and the price was reduced. There were a total of 367 requirements on the basis of competition and the offers were ranked after 95 of them. The others were mandatory requirements and requirements to be met during the contract period. In view of the overall value of the contract, the four managing directors of the regional health establishments wished to obtain a specific mandate from their pre-contractual boards. A joint administrative case was developed in May 2017, in which each of the Boards was asked to give its Executive Director an authorisation within the scope outlined in the Board of Directors. In the board case, it was informed of the execution of the tender process and that there were two offers each competing against each other. Furthermore, information was provided on the quality requirements used. Estimates of the costs of the new contract were also provided. The award of the contract was decided and published in June 2017. Air transport, which lost its competitive position, complained about the award and warned that they considered their request for a temporary injection. Therefore, in line with the legislation and good business practice, the contract signature was postponed. However, air transport failed to request temporary supply and did not complain to the complainant about public acquisitions. There is no basis for claiming other than that competition has been implemented in line with the basic principles of procurement law: competition, non-discrimination, predictability, transparency and reprobability. After the acquisition process was completed, the air ambulance service established a project of reception with a dedicated project manager to follow up Babcock until launch. A cooperation body with representatives of the main stakeholders has also been established. Babcock is now working to establish a Norwegian company for the services to be provided through the agreement with the Air ambulance Service. Babcock will also carry out the maintenance of the ambulance aircraft in North Norway, and they are looking at the possibilities to do so in Tromsø, as today. In addition, they will have some decentralised maintenance on the bases. The owner group is currently the operator of the air ambulance service in a number of countries, including Sweden and Finland. Babcock has presented a detailed progress plan and has a full-time project manager to carry out the preparations. The current contract also requires the current operator, Air Transport, to contribute to a seamless transition to a new contract. It is important that air transport is aware of this responsibility. That is why I had a meeting yesterday with the Chairman and CEO of Air Transport. In this meeting I got clear assurances that they will do what they can to comply with this part of the contract. There shall be a meeting later today between the air transport and air ambulance management, where this is also a topic. The contract with Babcock lasts from 1 July 2019 to 2025, with a possible extension to 2030. The contract helps to increase the quality of the service. With effect from 1 July 2019, it shall take effect, inter alia: new runway aeroplanes on all bases. These aeroplanes will have better navigation equipment and better safety equipment on board and will fly faster than today. The new aeroplanes will have a medical facility that allows for more specialised treatment on board. The service also gets a medium-sized jet plane on the Gardermoen, which replaces one of today's propeller planes. This can reach Svalbard and North Norway with a lot of equipment and more doctors and nurses on board. A herd shall be introduced into the rear guard, which may be collected in the event of sickness and absence. This is new and provides the service with increased availability and better preparedness compared to today’s contract. The award criteria ‘quality’ and ‘price’ were weighted in the evaluation of the offers by 60 pst respectively. and 40 pst. All offers scored high on quality. On the scale used, one of the air transport offers was best scored with a score of 10, while the selected offer from Babcock scored 9.51. The decisive thing was that air transport was significantly higher in price: 47 million. kr annually, or close to 300 mill. kr during the first six-year period. From 2019, the Ambulance Aviation Service will cost approx. One hundred million. kr more than it does today. This means that the expenditure of regional health enterprises is rising from about 400 million. kr in the year to approx. 500 million. kr annually. On 8 September 2016, my State Secretary Anne Grethe Erlandsen held a meeting with the Norwegian Flyer Federation. This was the theme of the air ambulance service tendering process. The Führerverbund expressed its concerns during the meeting, and they were particularly concerned about not having to face a situation where a foreign operator was brought in. They considered it essential that Norwegian labour law should apply. With a foreign company, they meant, for example: that a strike could not be stopped by forced pay. This, of course, was an important point. The air ambulance service required the agreements to be governed by Norwegian law, including mediation and arbitration proceedings before Norwegian courts. The contract with Babcock shows that they establish a Norwegian company to manage the Norwegian business. At the meeting with the State Secretary, it was agreed that the Norwegian Führer Association would draw up a note of its concerns and that the Department would pass it on to the Air ambulance Service. The Ministry forwarded the note to the head of the air ambulance service as agreed on 14 September 2016. Since the result of the tendering process became known last year, there have been some plays related to the terms of the new contract with a new operator. In connection with Babcock’s announcement of pilot positions at the end of last year, the Führerverbund concerned, inter alia: the recruitment situation – this is based on the expectation that they would have worse working conditions than in air transport. In the last few months, today’s supplier has had problems delivering the necessary preparedness in the service to which the company has committed itself. In parts of March, a large proportion of air transport pilots were out of regular service. This must be seen in the context of redundancies and that the company employs experienced pilots to train new staff to enter and replace those who end up. As a result, it is difficult to cover all the guards. The situation that arose at the end of April, when the ambulance planes all over the country were on the ground, came after that there was no solution in the negotiations between the Norwegian Flyer Federation and Babcock about the transfer of the pilots to the new company. The Führerbunder said in meeting me that they felt that Babcock had gone back on previous offers. I am pleased that Babcock and NHO have now come up with a new offer, and that there is dialogue between the parties. In the NOU 2015, the Emergency Committee considered that the issue of public operation of the air ambulance service should be addressed. The Norwegian Air Ambulance Foundation expressed in the hearing that such an investigation would have to cover more than just public operations. Aviation is a highly complex sector, both technically and safely. Aviation requires a completely different competence from that currently held by healthcare. That is why, in my opinion, it is not a competence that it is natural for the specialist health service to build up on its own. The air ambulance service in Norway was established, as mentioned earlier, as a national service in 1988. It has always been delivered by private suppliers. The private actors have been pioneers in the development and operation of the service, and we have a long and good tradition of cooperation. This case shows that operator switching can be challenging. Good and binding agreements and systematic preparations are important for success. A similar acquisition for a new contract has recently been carried out for the ambulance helicopter service. The contract was concluded in June 2016 and implies that Norsk Luftambulanse AS is the operator of all its ambulance helicopters from 1 June of this year. Air transport AS, which has been the operator on three of the bases, thus leaves as an operator. There have been no particular problems with the transition from Air Transport to Norwegian Air Ambulance, which is owned by the Norwegian Air Ambulance Foundation. A central issue in this case is the issue of business transfer, i.e. the requirement for staff to be transferred from air transport to Babcock at the time of operator change. As you know, it has not been made a requirement in this tender that a transfer of business should be made. It is also not common for the specialist health service to lay down other conditions for the transfer of activities in tendering procedures for the purchase of healthcare. The air ambulance service expressed in connection with the acquisition that the transfers to a new operator, if any, could lead to a transfer of activities in line with the provisions of the Working Environment Act. In this case, it was assessed that it was not possible to conclude on this before the conclusion of the contract. This was something that any new service provider would have to consider in their offer. The air ambulance service informed the operators about these conditions. The terms and conditions of aviation have changed in recent years. In general, wage growth has been reduced and pension systems changed. I do not know and should not know the details of the salary offers from the new operator. However, the air ambulance service has been aware that the pay conditions for the pilots of Babcock are competitive with the major commercial carriers in Norway. The term ‘social dumping’, which some have used, is therefore not relevant in this context. At the same time, of course, I have a lot of understanding that no one wants to go down in pay. Yesterday Marianne Telle chose to resign as director of Health North. She did this for the sake of Health North and the rest of the board's ability to lead the health region in this demanding period. It's a wish that I respect, and I'm grateful for the job she's done. I would like to stress that no information has been provided suggesting that Marianne Telle has participated in the procurement process in such a way that it has influenced the process, or has received information that has given her benefits in her management position. Yesterday, a representative proposal was made to cancel the tender with Babcock and to continue the agreement between the Air ambulance service and air transport. There is nothing about the situation that has now arisen to suggest that Babcock is unable to provide air ambulance services in line with the contract. Until 1 July 2019, the current operator, Air Transport, is responsible for the service and contributing to a seamless transition to a new supplier. The contract with Babcock has been concluded legally and cannot be reversed without significant costs and legal consequences for regional health businesses. Of course, any contract can be concluded, but in this context it will have major economic consequences for healthcare, whether through legal conciliation or legal proceedings. Babcock has several aeroplanes and a production simulator. To date, they have used considerable resources to discharge the contract. The costs incurred are not only those for which one becomes liable but also those for which future income is due. These are significant amounts, which would then have to go at the expense of patient treatment. An extension of today’s air transport contract without a new bidding round would initially be illegal. By concluding the agreement with Babcock and continuing to cooperate with today's operator, we would therefore have stood without a legal service offer to the country's population. We would also not have received the technical and emergency improvement of the service from the next summer, which I have described earlier. I'll strongly warn you that we're going into such a situation. It is still more than one year for the new operator to assume responsibility for the service. It is very unfortunate if the population over a long period of time should feel insecure about the ability of health services to maintain their preparedness and provide the necessary health care in the event of acute illness or injury. All parties have served the service as normal. Plans are now being made to deal with possible response interruptions until the acquisition on 1 July next year. This case has also raised a political discussion regarding the use of private operators and tenders. I would like to point out that the Air ambulance service has had good and constructive cooperation with private operators over several decades with changing governments and magnification. We should not forget that it was private who took the initiative for medical personnel ambulance helicopters and subsequently established the Norwegian Air Ambulance Foundation. Very many Nordics have supported the foundation through both membership and financial contributions. After 1988, the air ambulance was a publicly funded national service, but still provided by private individuals. The Foundation’s work continues to be largely publicised, which also contributes significantly to research and innovation in emergency medicine. If the operational responsibility for which Norsk Luftambulance is responsible today should have been transferred to the public, I am sure that it would also have been controversial and led to significant political discussion. In acquisition processes, it is necessarily the case that some will not compete. We have to respect that. The Code of Public Acquisition is a tool to ensure the efficient and fair use of public resources. It also contributes to a better health service for the population. I am pleased that there now seems to be contact between the parties to find a solution. It is essential that all actors do their utmost to secure the service in the future. I feel that the new operator is now clear that they want to take over all the pilots with their skills. That's a good starting point.
ParlaMint-NO_2018-05-15.ana.ud217e252	The President will now propose, according to Storting’s Rules of Procedure, Section 45, that a brief comment round be opened, limited to one post of up to 5 minutes from each party group and a closing statement from the Council of State of up to 5 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2018-05-15.ana.ud217e259	The situation is serious for this important preparedness. Today, the University Hospital of North Norway reported the following: Standby is out of operation in Alta, Base 1 and 2, and in Brønnøysund. At Gardermoen, the standby is also disabled due to a lack of crew. Here in the United Kingdom, the Minister of Health has explained the contractual commitments and the law on public acquisitions and the history from 1988 until today. I think it's discouraging. It tells me that the Minister of Health does not take the matter seriously. The solution for this national service was quite different in 1988 from both aviation and service in 2018. Tomorrow’s solutions to future challenges have always been a difficult approach. I expect a Minister of Finance, perhaps also a Minister of Industry, to keep the public acquisitions tab high, but the Storting must be able to expect a Minister of Health to raise the tab for patients and the patient rights law at its highest. In Norway, medical treatment is available, including emergency medical care. This is a national emergency crisis, which unfortunately has been well notified. As early as 2013, then health minister Jonas Gahr stepped down the Emergency Committee to look at the prehospital services. The NOU, first of all, as the Minister of Health said, described this whole situation we are now facing as a major potential risk to the service. The Labour Party and most of the parties in Stortinget have requested follow-up to these recommendations, recommendations that the Minister of Health has chosen to ignore. There was a clear recommendation to investigate how this service should be organised, with less risk than the current tender model. If you want to explore an opportunity for ideal actors, the Workers' Party believes it would also be a good solution. The point is that this was not done. Advice from the professional team was not listened to. In September 2016, the invitation to tender criteria for the air ambulance mission were sent to the hearing. That was also said by the Council of State in its presentation. The Medical Association, the Nursing Association and the LO called for warnings and met with political leadership in the department. They were correctly consulted on the requirement of Norwegian business authorisation and Norwegian pay and working conditions, but they were not consulted on the requirement to ensure critical personnel by entering the business transfer into the tender. Another Minister of Emergency Response, the Minister of Justice, has done a lot to refute what the Minister of Health has done in terms of preparedness for Svalbard. There, demands were made for business transfer to secure personnel and to prevent the current crisis. I also want to underline that 13 pst. the staff of the current operator cancelled their jobs as early as February of this year. This is not a matter between two parties. It would not make any difference if the operator did not go from the negotiating table in April, as one did, well to notice after agreement had been reached. This is a proposal for consideration in the Committee. The working party will ensure a rapid examination of this proposal. But I would like to stress that the Minister of Health is responsible for this service, even though the Storting is now choosing to engage. The process associated with the board of directors in Health Nord, I choose not to comment, only acknowledge that there has been a relationship that has led to a failure of confidence in the entire tender process. It is the Minister of Health who has given him confidence. I record that the director of Health Nord has withdrawn from office. The health service for which the Council of State is responsible is now leaning on military helicopters, which his government also wants to move out of the region. We expect immediate responsibility to be taken, and we will submit to a rapid examination of the proposal in the committee.
ParlaMint-NO_2018-05-15.ana.ud217e280	Air ambulance transport is a very important part of emergency preparedness in large parts of our country, especially in the three northernmost states. In order to ensure that citizens can feel safe, it is very important to know that the air ambulance is ready to move out quickly when acute incidents occur, to help save lives and health and to ensure that patients can be transported quickly to hospitals and get further help. On Friday 27 April, the ambulance planes all over the country were on the ground because the pilots had signed up ‘not fit for flight’. This is probably due to a conflict between the pilots of the current operator and the new operator, Babcock. For both myself and the Advance Party, ambulance preparedness is a very important part of the health care in North Norway, and it is very important for people to feel safe. I therefore believe that the situation that has arisen, with a severe deterioration in air ambulance preparedness, is very serious. It is important that prompt action is taken to ensure that preparedness is restored and that people, especially in Northern Norway, but also throughout the country, can be confident that we have a good preparedness, even until the agreement with the new company enters into force from July 2019. It is therefore very good that the health business has taken action — and is in the process of taking action — in both the short and the long term. As the Council of State has also said, there is already a leased-in aircraft. Two additional helicopters have been inserted from the Defense Department, and there have been signs that it is possible to get another plane. I perceive that the healthcare company is working on a solution to care for the population, so that you get help when you need it. But I also feel that there are forces that really contribute to further crisis maximisation and derailment of the debate, and that talk about setting up your own government air ambulance service, something like that. Both the representative of Moxnes from Red and his party trap superior and politician Mads Gilbert in North Norway has taken the floor. Several other parties have agreed to reverse the concluded contract with a new company, which is now trying to make a scapegoat even though it is actually 14 months for this company to take over the contract after the current operator. Using this case to promote an old-fashioned view where you should have the state to operate everything, I believe is unfair. Of course, it must be possible to believe something about the new agreement, but trying to give the new company, which does not take over until next year, the blame for the problems that the current operator has is not acceptable to the new operator. It is primarily the company that delivers the service today, which is responsible for securing the citizens of North Norway’s preparedness and security until the new agreement enters into force. It should be borne in mind that the operator has been the operator of air ambulance services in approximately. 20 years, have operated private air ambulance transport in all these years, and have both won and lost contracts to provide air ambulance services. It is also important to note that when an air ambulance service was established in Norway for about a year. 40 years ago, it was private initiative and the collection of funds that provided us with this very important service in Norway. I would like to thank the Council of State for the presentation. The Progress Party knows that the Council of State is following this closely, and that the health company is working to find a solution to ensure that people in need of air ambulance services in North Norway are confident that there is a proper and good preparedness to ensure health care for their citizens when they need it. I think it might be nice to be open that there are certain things about the tendering process that you can afterwards see that could have been handled differently. But that is what I assume the healthcare company will take with them the next time they publish tenders, and that they will look at the experience they have gained. Instead of trying to create fear and uncertainty, which some batches in this room carry on, I believe it is much more important to quickly put in place solutions such as goods, which ensure proper preparedness and security for the population. Let me therefore make it clear, at the end of the day, that for the Progress Party, ambulance preparedness in North Norway is so important that we need to get ready as quickly as possible. I therefore expect all parties to settle down, so that we can return to a normal emergency situation as soon as possible – this in order to ensure that patients and residents in North Norway will again be fully confident that they will get help when they need it, regardless of where in North Norway they live.
ParlaMint-NO_2018-05-15.ana.ud217e303	The air ambulance saves lives in the most critical situations. This will have to work. Last year, the HF air ambulance contracted a new contract with the foreign company Babcock without pilot or other personnel being transferred. It shall apply from July 2019. The supply as water was fourth best in quality. They won the prize. The operator change has already given the consequence of 13 pst. pilots have finished, 20 have been offered a new job after the holiday. The result is that the watch lists are not working, planes are on the ground, standby is not in place. Its longer time has passed, the worse it has been. Attempts to replace a lack of preparedness from today's operator, who obviously loses their pilots, weakens other emergency services. Rented aeroplanes that are unfamiliar with conditions and are not used to by healthcare professionals will never be able to replace the work teams who know how to do the job under any circumstances. So, Hoeie's statement. Governments admit that the situation is serious, but he does not take self-criticism. He's defending the supply process. He doesn't ask how this could happen. He leans on the leaders and on the care-for-responsibilities of the leaders. Governments say that supply is common, and supply is not illegal. I had expected a more humble state council, as we know that there are people with risk births who have been born in a permanent clinic. It's just that life has not been lost. We have previously also heard assurances about all sorts of new measures that will make it a better offer when the new operator takes over. I want to remind you that they didn't win on quality, they won on price. I have problems trusting a Council of State which, in response to the Storting on questions from me on 23 March, indicates that the HF Air Ambulance Service has informed that the situation will be ‘improved in addition to the spring as new pilots have received the necessary training’. We got this insurance in April – how can we trust that the insurances we now have become a reality, and that the situation will not get worse, as it has happened before? For central parity, it is obvious that the contract should be cancelled. What kind of organisation and agreement will replace the completely scandalized agreement will be an important issue. The circumstances surrounding the conclusion of the contract need to be carefully reviewed, especially since the manager of Telle in Health Nord HF has withdrawn as a result of his/her dealings with the case. In their recommendations to the government, the acute selection has asked us to assess public operation and to point out that the model of supply poses a great risk. It will cost to cancel a contract, but it will also cost not to do so. Corrupted life also has a value. Yesterday, the majority decided that one should deal with the proposal by Red. I would like to stress that such urgent procedure should lead to a hearing in the Committee, so that we get all the facts and consequences of the conclusion of the new agreement on the table. This is how we can ensure a serious treatment, based on the seriousness of the case. I found it sad that some parties said that other nerds came up with fear. Actually, we're not the ones that are afraid, there's people out there, who know they don't have the readiness. I would like to stress that until the decision has been taken by the Stortinget, it is the Council of State that has the full and complete responsibility for life not being lost. There must be no doubt about this. The distribution from state council today is not known for its security.
ParlaMint-NO_2018-05-15.ana.ud217e320	The crisis in the north would never happen. There should have been safe public operation or long-term cooperation with ideals. When you first choose to commercialise the offer further, you would never have liked these requirements, or with a lack of business transfer requirements. And when it first happens – yes, you shouldn't have chosen offers based on price and not quality. The Minister of Health is responsible. Either he knows what's going on and still let the crisis come, or he doesn't have control of the health companies. I'm not sure what's worse. Norway is a long-distance country. In the long north, the distances are so huge that life will be lost without an ambulance plane. From Honningsvåg to Hammerfest, it takes almost three hours by car. It's their local hospital. The decentralised food supply requires the ability to carry incubators by plane. From Vardø to the hospital in Tromsø – for very serious, acute cases – it takes 11.5 hours by car. We cannot adopt ourselves out of geography, but we have a responsibility to secure measures that give the citizens of the north security back. That's why we need ambulance planes that go. Yesterday, four out of nine planes were standing on the ground. Pilots and technicians flee the service – special skills we can't magic back once it's gone. But maybe the worst of all: in the VG, we could read about how the extra plane that was supposed to save baby life by carrying cussies, actually can't carry a single cussy with a single too early-born child who could lose his life. I quote the head of the Children’s Department: ‘It’s just a matter of time before life is lost.’ Enough is enough. The security of people in the north is threatened. Had this happened in the East, I think the crisis had been solved a long time ago. The answers from the Council of State don't hold. That is why the Storting must act. If the government is unable to take its responsibility to ensure safety in the north, SV is willing to impose that responsibility on them. In the course of the proceedings, SV will propose that the government take direct control of the HF Air ambulance service until the crisis is over. We're going to require business transfer now, so we're going to ensure the specialist competence we need for the preparedness – for the pilots, as the state council said, but also for the technicians, as one needs to get the planes going. Operation and maintenance of aeroplanes shall take place in Norway. We have to make sure that we have control of these critical measures, because no matter how competent the pilots are, aircraft are not working. And then finally, if necessary, we will also cancel the agreement. It may cost, but we can't sacrifice lives in the north to save possible fines on a contract. But we also have to make sure that this doesn't happen again. Therefore, SV will also use the possibility to propose a review of the whole process around the inception of the tender, in accordance with Section 19 of the Rules of Procedure. We want the government to finally follow up the 2015 investigation – as it was supposed to have done before, and as Höie would have followed up before – with the investigation of the public or non-profit operation of the air ambulance. And we need a separate case on how competitive outsourcing and commercial actors affect our national preparedness. The crisis in the north should have been stopped a long time ago. It's the Minister of Health's responsibility. Either Höie has been in control of the health company, he has known what has happened, had knowledge and deliberately led us into the crisis, or then Höie has once again shown that he lacks the ability to run the health companies, who have become a state in the state, and is once again trying to control himself. The security of people is most important.
