ParlaMint-NO_2018-10-01.ana.ud387e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2018-10-01.ana.ud387e41	The President-in-Office of the Council will ask the Secretary of the last big thing, Runar Seestad, to act temporarily as a secretary.
ParlaMint-NO_2018-10-01.ana.ud387e60	The President-in-Office shall propose that the Rules of Procedure used last time be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: from the representatives of Margunn Ebbesen, Hans Fredrik Gruvan, Mari Holm Lønseth, Cecilie Myrseth, Hadia Tajik and Morten Wold on leave from 1 October to 12 October – all to attend the 73rd General Assembly of the United Nations in New York from representatives Elin Rodum Agdestein and Siv Mossleth on leave from 1 October to 25 October, both to take a master's course at the Defence College from the representative of Lene Westgaard-Halle on parental leave from 1 October to 14 December from the representative Eigil Knutsen on parental leave from 1 October to 19 December from the representative of Fredric Holen Bjørdal on parental leave from 1 October to 3 October from the Right-wing Group on sick leave for the representative Tina Bru from 1 October until further notice from the Christian People's Party on sick leave for the representative of Torhild Bransdal from 1 October until further notice by the Socialist Left Party Group on sick leave for the representative of Mr Nicholas Wilkinson from 1 October onwards and until further notice, from the Central Party Group on sick leave for the representative Ivar Odnes from 1 October until further notice by the Group of the Party of European Socialists on sick leave for the representative, Dagfinn Henrik Olsen, from 1 October until further notice from the representative of Trond Giske on welfare leave from 1 October to 5 October by the Liaison Group of the Right on the leave of the representative Kårstein Eidem Løvaas on days 1 and 2 October to take part in the Conference on Space Technology in Bremen, Germany These applications are proposed for immediate consideration and approval. – It shall be deemed to have been adopted. From the first alternate of the Rogaland County, Julia Wong, there is an application for a waiver from meeting under the representative Hadia Tajik's leave, from 5 October to 12 October, for reasons of well-being. On a proposal from the President, it was decided unanimously: The application shall be examined immediately and accepted. The following alternates are invited to meet during the leave period: For the West Agder province: Per Sverre Kvinlaug from 1 October until further notice and Tove Welle Haugland 1–11. October For Akershus County: Sheida Sangtarash from 1 October until further notice For Buskerud County: Tone Heimdal Brataas 1–11. October For Hordaland County: Leif Audun Sande 1 October-19. December For More and Romesdal counties: Tove-Lise Torve 1.-3. October For the Nordic counties: Elizabeth Åsjord Sire 1–11. October, Kari Anne Bøkestad Andreassen 1–25. October and Grethe Andersen from 1 October until further notice For Uppland County: Bengt Fasterale from 1 October until further notice For Rogaland County: Aase Simonsen from 1 October until further notice, Julia Wong 1–4. October and Tom Kalsås 8-11. October For the counties of Troms: Kari-Anne Opsal 1-11. October For Nord-Trøndelag County: Pål Säther Eiden 1–25. October For South-Trundellag County: Kristian Torve 1.-4. ==References====External links== October For the Vestfold province: Renate Silver 1 October–14. December and Henning Wold 1 and 2 October
ParlaMint-NO_2018-10-01.ana.ud387e271	Per Sverre Kvinlaug, Tove Welle Haugland, Sheida Sangtarash, Tone Heimdal Brataas, Leif Audun Sande, Tove-Lise Torve, Elizabeth Åsjord Sire, Kari Anne Bøkestad Andreassen, Grethe Andersen, Bengt Fasteraune, Aase Simonsen, Julia Wong, Kari-Anne Opsal, Pål Sæther Eiden, Kristian Torve, Ove Vollan, Renate Silver and Henning Wold are present and will take the seat.
ParlaMint-NO_2018-10-01.ana.ud387e278	The Presidents and Secretaries shall then be elected. The elections will be held in line with the Rules of Procedure of the Grand Duchy of Luxembourg, Section 6, second and third paragraphs. The President-in-Office will then propose that we vote in the usual way, without the use of ballots. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2018-10-01.ana.ud387e292	I suggest Tone Wilhelmsen Trøen.
ParlaMint-NO_2018-10-01.ana.ud387e300	Tone Wilhelmsen Troeen has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2018-10-01.ana.ud387e310	The President then asks for proposals on the first Vice President of Stortinget.
ParlaMint-NO_2018-10-01.ana.ud387e318	I have the honour to propose Eva Kristin Hansen.
ParlaMint-NO_2018-10-01.ana.ud387e326	Eva Kristin Hansen has been proposed to the First Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2018-10-01.ana.ud387e337	The President then asks for proposals on the second vice-president of Stortinget.
