Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e29	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e49	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.LAHA	Haltbrekken, Lars	M	1971	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e54	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e61	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.EEM	Mehl, Emilie	F	1993	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e66	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e86	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.LVA	Vågslid, Lene	F	1986	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e163	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Regular	notMP	Minister	FrP	Fremskrittspartiet	Coalition	Right	person.TOWA	Wara, Tor Mikkel	M	1964	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e222	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.LVA	Vågslid, Lene	F	1986	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e235	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Regular	notMP	Minister	FrP	Fremskrittspartiet	Coalition	Right	person.TOWA	Wara, Tor Mikkel	M	1964	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e250	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.LEIS	Sande, Leif Audun	M	1953	
ParlaMint-NO-en_2018-10-18	ParlaMint-NO_2018-10-18.ana.ud438e269	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-10-18	2018-10-18	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-10-18	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.GUG	Gimse, Guro Angell	F	1971	
