ParlaMint-NO_2018-05-23.ana.ud447e28	The so-called alternate of Oslo, Mats A. Kirkebirkeland, is now taking its seat.
ParlaMint-NO_2018-05-23.ana.ud447e47	On Friday 18 May, the Stortinget received a message from the Prime Minister's office that the Councils of State, Siv Jensen, Frank Bakke-Jensen and Åse Michaelsen will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2018-05-23.ana.ud447e56	My question goes to the Minister of Defence. Last week we had a statement in Stortinget on the air conditioner for health in the north. I know that the Council of State has intervened in this matter, but it illustrated the importance of aircraft and helicopters for safety in the north. In the last few days, two of the Army Bell helicopters have flown for hospitals to support security. Liability in this area cannot be rented in or privatised. For people, especially along the coast, it is important to have a standby of air capacity and helicopters. Six of the new NH90 helicopters were intended for the Coast Guard based on Bardufoss. Now the head of defense wants all 14 helicopters to be given to the frigates based in Bergen. It leaves a coastguard without helicopters, and now it's told that a quarter of the Coast Guard helicopter pilots have stopped. So in addition, the government will reduce the Army's helicopters on Bardufoss from nine to three. The abandoned image is critical to the capacity of the Army in the north, which reduces its mobility, but also for the population. In February there was a fisherman in Troms who was rescued by the Coast Guard helicopters at Nord-Fugløya, and this year's Easter with bad weather also illustrated the importance of preparedness. This situation is unsustainable. The government says in its revised budget that alternative solutions to meet any unmet needs will be part of subsequent work. This is incomprehensible talk. My question to the Minister of Defense is, what action will he take to strengthen helicopter preparedness on a lasting basis?
ParlaMint-NO_2018-05-23.ana.ud447e67	So first let me just spend a little bit of time clarifying the amount of flexibility. If the head of defense has to go to political leadership and say that the aid defense now provides health, will go beyond other defense preparedness, it will be a stability question for my part all the time my wife is employed in a company engaged in the air ambulance service up there. That's why we've been early on in terms of stability. So when it comes to the helicopter situation up there, I have all the opportunity to be on, and I am. Concerning the NH90: There we follow the time period that was laid down in 2012 by the then government. Then it was zeroed out, and then a timetable was created for how to phase in. We follow that timetable. It's still holding. So in the case of NH90, the head of defense has expressed other wishes. We haven't concluded that. We say that the Coast Guard should have capacities, we say that the frigate weapon should have capacities, and it says so. We are currently in line with the decisions taken in 2012. In terms of health, it is complicated, but where the situation improves – with a new call for tenders – now in June. Then there will be increased helicopter capacity, so that it will give a significantly better situation in the north. As far as Bell is concerned, I feel that there is a clear need, including in political Norway, to have a capacity that can drive counter-terrorism – that we can use the special forces in a counter-terrorism operation. It's up to them to be able to practice with, and the professionals say that for practice to be real, they depend on a capacity of 15 machines. When I say capacity, and when I say machines, it's about a hull, and it's about pilots and mechanics and all the skills you need to have around this to do the right thing. In the long-term plan, we have prioritised an anti-terrorism capacity, of necessity, all the time the security situation is like that. There we stand today, and that is the decisions we have promoted for the Storting.
ParlaMint-NO_2018-05-23.ana.ud447e80	I do not think this was a reassuring answer. What the council says, is that in the case of helicopters, both the frigates are going to get their own and the Coast Guard, that they just haven't decided. But the chief of defense has said that all the helicopters should go to the frigates. It's the technical board. But what does the government intend to do with that? A coastguard without helicopters is moving closer. The picture the Council of State draws is an army with no lifting capacity, quite simply, with three helicopters standing in the north to assist an army, pick up and injure, and intelligence missions there too – it's too little. Now two of the three are on behalf of Health-Norway. And this is an alert situation. If a quarter of the pilots of the Coast Guard helicopters have ended, it's because they see that there's no future in the Council of State telling us. And in the case of Bell, the government writes: ‘This will be very resource-intensive, mainly due to the need to employ and train more crews.’ This does not mean that we have planned to have helicopter capacity for the Army. This is critical. What signal is this for a modern army?
ParlaMint-NO_2018-05-23.ana.ud447e95	The personnel situation is challenging. The defence experience from time to time in different sectors that there are challenging personnel situations, because there are attractive skills we are training in Defence. The Marine experiences it, the Army experiences it, the Air Force experienced it, that personnel are being pulled out and transferred to other jobs. You have to take that into account. There is also now the situation for the Air Force in the case of the helicopter pilots. This type of staff takes a long time to train, it's a limited resource, and we're taking that into account. So we know that the situation for the NH90 is not unknown, neither for this hall, it has been a complex and difficult operation. But in 2012 it was zeroed out. It was concluded that you could not cancel the contract. You put a race forward as we follow. We're also going to be able to fill in with personnel so that we can fly enough. And then, with the capacity that we want the special forces to have on counter-terrorism, they can complement the Army. If we're going to practice the other way around, the Army can't complement the special forces with capacity.
ParlaMint-NO_2018-05-23.ana.ud447e104	There will be follow-up questions – first Jonas Gahr Støre.
ParlaMint-NO_2018-05-23.ana.ud447e109	This government has been responsible in 2013, 2014, 2015, 2016, 2017 and into 2018 – and there has been a critical shortage of helicopter personnel. The government itself writes that ‘primarily because of the need to hire and train more crews’, it is very resource-intensive. And it's not set of resources for that. Then the question is, how will this Army get signals that it gets lifting capacity? How are people in the north going to know that there are helicopters that can step in and save people who are in vulnerable situations? Now it is, among other things, also written in the revised budget that following up the police work of the Bell helicopters must end. It's black on white. So you report out of helicopter support to the police, and you can't follow up on Health Norway if you only have three helicopters, which are also going to help the Army. I am in favour of counter-terrorism in the capital area, but then it probably has to be acquired – whether there are hired helicopters, or used helicopters from an international market. But there has to be personnel training. It takes time, and the Council of State has not taken into account the answer he gives today.
ParlaMint-NO_2018-05-23.ana.ud447e116	It's wrong - the premise is wrong. We take into account the training of more personnel, but we make a clear priority: within what the personnel and the frameworks we have, we say that counter-terrorism for the special forces is the most important. Then we have made considerable efforts for the Army, so that we get a more modern army, which rolls more, which is present more. We're moving the defense back to Finnmark with the Army, we're doing significant upgrades on cavalry, we're doing significant upgrades on other personnel, so it's not right that this has gotten suspended and gone without us getting caught. We have reasonable control of the situation. But with limited resources, you have to make priorities. Yeah, then it looks like there's holes in other places. We've tried to compensate for that in other ways. In the Army, we're also going to complete a project in the course of the year where we can rent civil capacity to take part of the problems on helicopters that can be solved by civilians. So we're raising a significant capacity also in the north of the helicopter.
ParlaMint-NO_2018-05-23.ana.ud447e127	Jonas Gahr Støre – to new follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e132	Civil helicopters may fly out and in with materials in various operations, but civilians may not be used as shelters for military operations. But let me give you another example of the Army suffering here. This concerns the main defense system for the Army, namely tanks. In 2015, the government wrote: Army Leopard 2 tanks will reach their technical life by 2020 without upgrading. In the revised budget this year, the government writes that modern tanks have increased their relevance. And then comes the conclusion: no upgrade, no rental of new tanks – but the government will renew the tanks not until 2025, five years after they have passed the technical life span. So here we have an army without lifting capacity, without modern helicopters, without pilots and – we must believe – from 2020 to 2025 without tanks. How will the Council of State describe an army without helicopter support and without working tanks?
ParlaMint-NO_2018-05-23.ana.ud447e147	First, I have to be allowed to correct the impression in the case of helicopters: the representative Gahr Støre calls for the defense's helicopter support for health and police, but these are tasks that can be solved by civil leasing. Basta! So to the army, when the land authority proposition was made, the commander of the army, Odin Johannessen, said, ‘The proposal takes up all the professional military advice from the Landmaktuðringen, and with this we get an army with all the necessary system components in a modern force. The only exception is the helicopters for which no room has been found within the financial framework.» So that's how we have people out there who are satisfied with the effort we're making, they're satisfied with the land power proposition we've made. We're about to modernise the defense. We are now building a brigade with three mechanized battalions. We deliver on one demand after another. We're on the right track. It's not like it's dusting down, and we're laying the land open. No, we build a defense so that we have peace and freedom in the future.
ParlaMint-NO_2018-05-23.ana.ud447e159	Anniken Huitfeldt – for follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e164	This government has constantly not delivered in respect of the Army, and it has postponed investigations. We had adopted a long-term plan here, where we were told that there was enough money, but that we just need a little more time to figure out what kind of tanks we really need. So the government now says – black on white – that there is no money for tanks. If the Minister of Defense really thinks the Army is satisfied, I think he should listen more. Life went out in 2020, the government said before. Now we're getting new tanks in 2025 at the earliest. When we negotiated a land-use plan in Stortinget just before Christmas, we were able to lease new tanks in 2019 to get this capacity earlier. Why did the government not inform the Storting that there was no money for new tanks?
ParlaMint-NO_2018-05-23.ana.ud447e171	It's not that we haven't informed about it. The decision we made in the land traffic services was to check whether it was possible to rent or lease new tanks. It wasn't. So we said in the long-term plan that we were going to modernise the ones we had. Then the investigation shows that they won't be good enough for as long as we want tanks. Then we went into the land power proposition for an acquisition process, that we should acquire new, modern tanks. We're in the process of doing that. Also in this house you're a little concerned that acquisitions should follow rules and procedures, so we're sure we're doing the right thing. That's what we're doing right now. And then our investment line is so that from 2025 we can deliver new tanks. We have money for that. Then we have knowledge of what we need. Then it can go as it did with artillery. Suddenly, there's a hatch that makes it possible to do it earlier. I don't know, but we've started an acquisition process so we're going to know what we need on the day we might get that hatch, but from 2025.
ParlaMint-NO_2018-05-23.ana.ud447e178	After all, the Minister of Defence has not started a procurement process. The majority decided in 2012 to modernise all the tanks. Then it was put on hold. So it was a question of leasing, and now the government says "early 2025" because it's not enough money. It's not a government that bets on the Army. When we are examined in NATO on what we are good and bad, we get criticism on two points. One is the transition from old to new fighter planes. The second is that the Army is too thin, that it is too poor material. We can't have an army that gets tanks by 2025. What will the Minister of Defense do to meet the criticism we get from NATO that the Army is too thin and that the material is too poor?
ParlaMint-NO_2018-05-23.ana.ud447e185	We're going to roll with the tanks we have until we get new tanks. And so it is that the acquisition of new tanks has started. But we're going to buy new, modern tanks, and then we want to know what's out there, what's most appropriate to buy. So to the NATO criticism: NATO has criticized us for having a brigade of three battalions, but where we don't have three mechanized battalions. The land force proposition we put forward does just that; it builds up a brigade so that we get three mechanized battalions. Then we answer that criticism from NATO.
ParlaMint-NO_2018-05-23.ana.ud447e195	Live Signe Navarsete – for follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e200	When I belong to the Council of State, I think it's a piece from well said to well done. Today we have an army with no lifting capacity – helicopter – that will be even worse with what is to happen. Norway is the only NATO country that does not upgrade to modern tanks as we enter the year when our tanks are upgraded. We build a brigade, yes, with a 2nd battalion without people, just on a summons – a mobilization battalion. I don't understand that the Council of States can be especially proud of it. The last in 2015 warned the government that the Army without upgraded tanks would have significant weaknesses that could be exploited by an opponent. So now says that one early 2025 can get new tanks. Previously, there was a hint that one would have a new generation of tanks. Can the Government assure the Government that the government has now removed the option of waiting almost 20 years for the next generation of tanks?
ParlaMint-NO_2018-05-23.ana.ud447e212	First, an army that has no capacity is a description I don't know about. What we've done is we're moving the Defense back to Finnmark – we're moving the Army back to Finnmark, we're building a battalion on Porsanger. It requires resources and it requires equipment. And then there was an acquisition, where the procedures showed that upgrading the tanks we had would not give us the capacity we needed over a long time. We've started an acquisition process. We need to find out what are modern tanks, what is the best purchase, what we get most for money – but also in modernity – over time. We say that we should be able to get new tanks from 2025, and we say that we should keep going the tanks we have until then. It is not that the tanks do not work on 1 January 2020. We're going to keep them going until we make a new acquisition.
ParlaMint-NO_2018-05-23.ana.ud447e221	Last week the committee was in Bardufoss and met the Army. We saw how they now pick from each other tanks to find parts to keep a part of the fleet going. We also know after a visit to Germany, after the State Secretary of the German Defence Ministry told us that Norway has been offered to join the upgrade that Denmark and Germany are currently doing. It was a very good offer, as I understood it, which it is now urgent to give notice. Why doesn't the government consider participating in the upgrade, which we now have the ability to be in? Why does he take the chance that Norway can also have upgraded tanks? Why should we, of all people -- we're not exactly the poorest country in the world -- be those who don't get the tanks up on the same digital platform so we can communicate with our new fighter planes, so we can communicate with the tanks, so we can actually get a combat system that works in a modern time?
ParlaMint-NO_2018-05-23.ana.ud447e228	First with spare parts. When we took over, we had five frigates – two served as spare parts, two sails and the last one was at the dock. It is not uncommon in Defense that when you step down, you move around on spare parts. It is also not uncommon in the case of tanks, that spare parts are used here and there. That's what makes the defense have their capabilities for a very long time. So to that with the "modern", why don't we jump in. It's just the priority of a modern capacity that makes us not upgrading the tanks we have, because their lifetime won't be long enough. That's why we've said in the Land Power Proposition that we should look for new ones, we should acquire new, modern tanks. We're now in the process of making that acquisition. And with regard to investment: we invest in submarines, we invest in P-8 surveillance aircraft, we spend a lot of money on new fighter aircraft, we invest in artillery for the Army, we buy salvage cars and bridge trucks, we buy new trucks for the Army – we invest a lot – and in that line, there are tanks from 2025.
ParlaMint-NO_2018-05-23.ana.ud447e238	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e243	In the situation in Norway, especially in the north, preparedness and development in the general north, what is happening in the health field and the overall sub-optimal solution that has been for the Army and helicopter support – it is especially that the Stortinget is presented with a budget from the government where the distribution of helicopters between the north and the south is 3 and 15, i.e. 3 in the north and 15 in the south. I really just want to ask the Council of State questions about that, and I sincerely hope that he can reason to us on the Stortinget about how one managed to arrive at just such a distribution between the north and the south: how can three helicopters in the north last the needs of the Army and the preparedness generally in the north?
ParlaMint-NO_2018-05-23.ana.ud447e250	I've answered the number 15. This is in order for the special forces to be able to exercise the anti-terrorism and counter-terrorism capacity we decided in the long-term plan that they should have. So professionals say that they need so many machines -- so many crews -- around this to practice properly, to build that capacity. The capacity the special forces need to train, exercise, supplement the Army with, then you can also fly for the Army. But the other way around, it won't work. No one disagrees with the fact that the Army could have made use of more helicopters, but when we need to prioritise within a limited framework, that's this priority we've done. The Storing Decision says we're going to split, we're going to have helicopters in the north, but at the same time we're going to give the special forces the capacity they need to operate the anti- and counter-terrorism operation. It's given the distribution key we're now seeing.
ParlaMint-NO_2018-05-23.ana.ud447e257	Torgeir Knag Fylkesnes – for follow-up questions.
