ParlaMint-NO_2018-03-07.ana.ud465e28	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e33	On behalf of Audun Lysbakken, Solfrid Lerbreck, Freddy André Hövstegård and myself, I would like to make a proposal on permanent employees temporary workers for better well-being and safer jobs.
ParlaMint-NO_2018-03-07.ana.ud465e38	The representative, Mr Solfrid Lerbreck, will present a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e43	On behalf of Kari Elisabeth Kaski, Nicholas Wilkinson and myself, I would like to make a proposal with ten specific points on how to make the fight against labour crime simpler and more effective.
ParlaMint-NO_2018-03-07.ana.ud465e48	The representative, Mr Henriksen, will put forward a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e53	I would like to make a representative proposal on behalf of the representatives of Anette Trettebergstuen, Fredric Holen Bjørdal, Jonas Gahr Støre, Hadia Tajik and myself on a publicly and ideally driven child protection.
ParlaMint-NO_2018-03-07.ana.ud465e58	The representative, Freddy André Øvstegård, will present a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e63	I am delighted to present a proposal for a representative on behalf of Nicholas Wilkinson and myself to lay down the Broadcasting Council.
ParlaMint-NO_2018-03-07.ana.ud465e69	The representative, Mr Ingarill Olsen, will present a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e74	On behalf of Sverre Myrli, Kirsti Leirtrø, Øystein Langholm Hansen and myself, I would like to make proposals to ensure that professional responsibility for the planning of ports and fairgrounds lies with the Coast Guard.
ParlaMint-NO_2018-03-07.ana.ud465e79	The representative, Steinar Ness, will present a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e84	On behalf of the big-time representatives Trygve Schlagsvold Vedum, Knut Arild Hareide, Hans Fredrik Gruvan, Per Olaf Lundtägen and myself, I am delighted to make a proposal that the educational reform in the defence will be presented as a matter of course in the Stortinget.
ParlaMint-NO_2018-03-07.ana.ud465e89	The representative of Ms Olug V. Bollestad will present a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e94	On behalf of Geir Jørgen Bekkewold and myself, I would like to propose a review of public redress and compensation schemes.
ParlaMint-NO_2018-03-07.ana.ud465e99	The representative, Mr Jørgen Bekkewold, will present a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e104	On behalf of the representatives of Oluk V. Bollestad, Hans Fredrik Gruvan and myself, I am delighted to present a proposal for language training to cash beneficiaries and the removal of the five-year housing requirement related to the cash support.
ParlaMint-NO_2018-03-07.ana.ud465e109	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2018-03-07.ana.ud465e125	On Monday the Stortinge received notice from the Prime Minister's office that the Councils of State Monica Mæland, Linda C. Hofstad Helleland and Jon Georg Dale will meet for oral Question Time. The state councils advertised are present, and we're ready to start the oral question procedure. We will then begin with the first main question, which is from the representative of Ingelill Olsen.
ParlaMint-NO_2018-03-07.ana.ud465e132	My question goes to the Minister of State. The majority of the population has forced Troms and Finnmark to join in two rounds. The state politicians in the two counties have tried to reach a voluntary agreement. It failed. It ended up with a mediation man, and a deal was signed. This agreement boiled the minds of Finnmark, and the requirement to reject the agreement was out of the question. The Finnmarks rightly feel that collapse and government have overrun the county and its inhabitants – drawing a map without listening to those involved, and with a result that is a completely unfunctional giant state. The responsibility for the merger rests on the Right, the Advance Party, the Left and the Christian People's Party, but the challenges and despair associated with this are bearing finnmarks. In the light of the reactions in Finnmark and the expected no from Finnmark County to the negotiated agreement, will the State Council itself take responsibility for the majority's coercive decision and not leave implementation to state politicians opposed to the merger?
ParlaMint-NO_2018-03-07.ana.ud465e143	The representative actually said the important words that the Stortinge has adopted. I am aware that during the previous period the Stortinge adopted new states – in which there is also a merger of Troms and Finnmark. So after the election, this magnification dealt with a matter of a possible reversal of that decision. It didn't get a majority. That means that a democratically elected magnification, our highest elected body, both in the previous period and during this period, has decided that Troms and Finnmark should be merged. Then it is actually my job and my duty as a member of the government to ensure that that decision is followed up and that it is implemented. Right now I'm waiting for the county councils in Troms and Finnmark to make their decisions. That will be the next week, and then we will have to come back to the matter when we see the outcome of the county council decisions.
ParlaMint-NO_2018-03-07.ana.ud465e148	I record the answer, but I think that the majority and its minister are responsible for good and sound processes that do not cause even greater problems. Finnland is the country's largest state in the area and the smallest in the population. One such opposite says something about problems related to making the county or regions even bigger. The coercive Troms and Finnmark will be three times the area of the Week. When the law of division says that the common denominator should be named after the population, we know that we have lost before the common denominator is reduced. Will the Council of State take the initiative that land, not just the population, should also be given priority in the possible appointment of the Common Name of Troms and Finnmark? Does the Council share my concern that, in that case, Finnmark will be in a large minority and, in reality, totally free of influence over its own future?
