ParlaMint-NO_2018-02-28.ana.ud158e28	The representative, Mr Grøvan, will present a proposal for a representative.
ParlaMint-NO_2018-02-28.ana.ud158e33	On behalf of Knut Arild Hareide, Olaug V. Bollestad, Tore Storehaug, Geir Jørgen Bekkevold and myself, I am delighted to propose an evaluation of the six-year reform and a school start on children's premises.
ParlaMint-NO_2018-02-28.ana.ud158e38	The representative, Mr Pollestad, will present a proposal for a representative.
ParlaMint-NO_2018-02-28.ana.ud158e43	On behalf of the representatives of Ivar Odnes, Kari Anne Bøkestad Andreassen, Sigbjørn Gülsvik and myself, I am delighted to make a proposal on small tolls through the State takeover of the guarantee on toll loans.
ParlaMint-NO_2018-02-28.ana.ud158e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2018-02-28.ana.ud158e64	On Monday, the Stortinget received a message from the Prime Minister's office that the Councils of State will meet Siv Jensen, Jan Tore Sanner and Bent Höie for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative of Ingvild Kjerkol.
ParlaMint-NO_2018-02-28.ana.ud158e73	My question goes to the Minister of Health. Unfortunately, in Norway today we see an increase in mental health problems among our young people. It's actually one of our greatest health challenges. The Minister of Health often shows himself to be between 15 p.m. and 20 pst. In Norway, children and young people today have reduced their ability to function due to mental distress. I think we agree that it has to be easier to get quick and good health care. But the government is in the process of making it more difficult for young people in need of mental health care or drug treatment to get help in our hospitals by introducing self-payment. There are good psychiatric youth teams across the country that provide treatment for young people aged 15 to 30 years, vulnerable people with low paying skills. Now, since New Year's, young people have to pay NOK 345 per consultation and the same in penalty fees if they don't meet to the hour – a lot of money for young, vulnerable people. So instead of lowering the threshold, the government raises the threshold for health care. How does the Council of State feel that this should make it easier for young people who are struggling with their health to get help?
ParlaMint-NO_2018-02-28.ana.ud158e84	It is not true that the government has imposed abstinences on patients over 18 years of age in mental health. The 18-year ownership limit has remained unchanged since the 1980s. Then it is absolutely right that some child and youth psychiatric institutions have practiced self-employment exemptions also for those over 18 years. Some of them have changed this, but there have been no changes in the rules in this area. I believe that there is a reason to see whether a person should have a higher age limit for the proportion of children's and young people's psychiatry, but in this case there is something that we need to investigate and come back to in budgetary terms. But it's not right, as the representative says, that the government has imposed abstinences in mental health for people over 18 years of age. It has been an age limit of 18 since the 1980s. This has been practised very differently from health enterprises to health enterprises. Some health businesses have also granted exemptions to those over 18 years of age in children’s and young people’s psychiatry, others have not. This is why it has been accidental to transfer from the paediatric and adolescent psychiatric department to, for example, DPS, which is very common, has had to pay off. That's why there's every reason to go through this and see if there's any need for change, and that's what we've been doing. Then I fully agree with the representative that it is important to provide quick help, lower the threshold. That is why we are now building a good offer in the municipalities by expanding the psychological service there. We demand that municipalities have a mental health service. It is also worth noting that these excesses also fall under section 1, so here is a screening system already.
ParlaMint-NO_2018-02-28.ana.ud158e97	The state councils own the hospitals. This is happening out there in Norway today, and it is under the responsibility of the Council of State. For example, in Bergen, assessments are made at department level not to comply with this requirement. You can probably argue that it is the scarce framework of hospitals that makes you choose to introduce self-payment – these are departments that have no systems to collect payment either – but I have to ask the question: When competent, dedicated professionals down at department level take responsibility for their patients and deviate from this requirement that they get from regional health companies – which the Council of State owns – how does the Council of State feel to feel that professional assessments are so different across the country, when he is responsible for providing all children and young people with good help across the country?
ParlaMint-NO_2018-02-28.ana.ud158e102	This is not a new situation, as I said in my previous answer. This has been practiced very differently from place to place over very many years. The 18-year ownership limit has been in force since the 1980s. Of course, I cannot oblige health regions to follow a different margin of marginality from the one decided by the Stortinget. Local health assessments will always be made. When one introduced the system that people who do not attend an hour should pay a higher proportion of their earnings, it was also well anchored in the Stortinget that special mental health and drug assessments should be made, precisely because one should not punish people not to attend the hour if there are good reasons why they did not. There will be local assessments. But as I say, I think there's a need to go through this to see if we're going into a different rule than the one that's today.
ParlaMint-NO_2018-02-28.ana.ud158e107	The world is happening out there, and the psychiatric youth teams that help young people between 15 and 30 years of age are located in all health regions. They report that from New Year onwards they must begin to take on a fair share, and then make the various assessments from the department to the department. Then I think it almost seems like a rarity that the Council of State is standing in this room and saying that it is the same rule of partiality that has been in force since the 1980s. There's a change out there, the threshold for getting help is raised, and it happens on the guard of the Council of State. How will the Council of State make sure that the threshold for getting help is lowered? If he wants to go in to standardize this, give a norm that says there should be no excess on these youth psychiatric teams, for example.? He can't just stand there and refer to a 1980 regulation when this happens out there.
