ParlaMint-NO_2018-11-28.ana.ud257e28	The representative of the Bears Moxnes will present two proposals for representatives.
ParlaMint-NO_2018-11-28.ana.ud257e33	I hereby propose to introduce criminal provisions into the Law on municipal pre-emption rights for tenure farms. I also promote proposals for action against sexual harassment in the workplace.
ParlaMint-NO_2018-11-28.ana.ud257e38	The representative of Trygve Schlagsvold Vedum will present a proposal for a representative.
ParlaMint-NO_2018-11-28.ana.ud257e43	I have the honour, on behalf of the representatives of Sigbjørn Gülsvik, Geir Pollestad, Willfred Nordlund and myself, to propose the presentation of a report on national ownership in strategically important companies, infrastructure and technologies.
ParlaMint-NO_2018-11-28.ana.ud257e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2018-11-28.ana.ud257e64	On Monday, the Stortinge received a message from the Prime Minister's office that the Councils of State will meet Anniken Hauglie, Frank Bakke-Jensen and Ola Elvestuen for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2018-11-28.ana.ud257e73	My question goes to the Minister of Labour. Most in Norway work in a well-regulated working life. At the same time, Norwegian workers go to work and are concerned that there are foreign workers who are ready to take the job at a lower price, under worse conditions, in the construction industry, in the transport industry and in industry. It doesn't have to be like this. In Norway, Norwegian pay and work conditions shall apply. Norwegian authorities can ensure this, and tripartite cooperation can ensure it. The same workers see a government that is passive in the meeting of unprofessionalism. In the state budget, some more money is allocated to the a-krim centres – that’s good. Here we're not talking about the pure crime, that's not what I want to ask. My theme is the great category of social dumping – the great field of unprofessionalism in the labour market. The Labour Party launched three concrete action plans against social dumping in the government. This government councillor Hauglie is part of, drew the last and has not brought any new. The government could follow up the Storting’s decision on supervision and sanctions against companies operating illegal rentals, but there is no case from the government. The government could vote for lease-in restrictions. The government could support the decisions on how the use of tenders in the public sector should not impair the pension conditions of employees. The government could support the proposal to strengthen the public service and labour crime centres, but they choose to vote against it. This is marked out in the workplace. The space for action needed to ensure safe jobs with decent living wages is provided by the EEA Agreement. It has followed up with proposals in Stortinget, but it assumes that the government is using that space of action. My question is this: The Storting has decided to tighten up rents, which will apply from 1 January. There will be new rules in four weeks, but the government has not been able to impose any sanctions on those who might break these rules. The question is therefore: why has the government not prepared and imposed sanctions to ensure that infringements of such rules will be brought about?
ParlaMint-NO_2018-11-28.ana.ud257e86	It was a strange premise for that question. There are few governments that have done as much to combat unprofessional conditions in the world of work as this government. We are now developing the third strategy against a-crime together with the parties. In our government period, we have established seven anti-employment crime centres in cooperation with the parties. We have put in place several new mechanisms for penalties, and we are now also working on sharing information and other things, as well as taking an international initiative to just fight crime across borders. In addition, this government has tightened up the procurement rules for public acquisitions, where we include: requires both apprentices, the number of contract members and others. So claiming that this government is not doing anything to combat unprofessional relationships is simply wrong. It's this government that's really taken care of this. The opening rules, which were dealt with by Stortinget in ours, were dealt with on a proposal from the government. The government had worked with the parties for a long time. There was a great deal of disagreement between the parties about how the lease-in rules were supposed to be, but we presented a bill that we thought balanced the different considerations well. The majority wanted to go further, and the government of course follows up the decisions taken by the Stortinget. The premise that this government is not doing anything to combat unprofessional conditions in the workplace is directly wrong. Some of the examples that I've now framed up are signs of just that.
ParlaMint-NO_2018-11-28.ana.ud257e97	As I said, it's not the crime I want to talk about here now -- it's important enough, and there's something done in the crime field -- it's the whole big field that's under the obvious crime I've been talking about. I think the storywriting, that it was the government that initiated the tightening up of rents, won't stand. There were parties in Stortinget that pushed it forward, and it was just to be lacking that the government did not follow it up. Under this government, the number of out-of-work inspections has fallen by about 25 pst. – visible and follow-up visits to the workplace. The Government has not issued sanctions, which may apply from 1 January, if there is a breach of the lease-in provisions, nor has it strengthened supervision to detect breaches of the provisions. How does the government believe that laws are being enforced, when they have neither penalties nor supervision to monitor their compliance?
ParlaMint-NO_2018-11-28.ana.ud257e104	As I said in my previous answer, a number of initiatives have been taken under this government, just to combat unprofessional working conditions. The A-Crimen Centres are one, tightening up the procurement code is another. For this purpose, it is quite right that the Labour Inspectorate has changed its supervisory strategy. It has been conscious, for what we have seen, is that the Labour Inspectorate may have used a little too many resources to go after the law-abiding – to check relatively simple relationships between the law-abiding actors. We have wanted to turn the efforts of the Labour Inspectorate to drive more with guidance and help to the serious ones and to go more after the unprofessional ones. It is not the number of supervision that is the measure of good supervision, that is how supervision is organised. Now that the seven a-krim centres have been set up, for example, it means that the control conditions are collapsing. You have more targeted, more powerful and more effective supervision than you had in the past. It also produces results, precisely because you can put more unprofessional out of play – and that's what must be the point.
ParlaMint-NO_2018-11-28.ana.ud257e113	There will be follow-up questions – first Hadia Tajik.
