ParlaMint-NO_2018-02-01.ana.ud515e32	The representative of Åslaug Sem-Jacobsen will present a proposal for a representative.
ParlaMint-NO_2018-02-01.ana.ud515e37	On behalf of Per Olaf Lundteigen, Siv Mossleth and myself, I am delighted to make a proposal to explore the socio-economic benefits and costs of refurbishment of the world heritage object Tinnosbanen either to a clean museum railway or to a railway section that can also transport goods and timber.
ParlaMint-NO_2018-02-01.ana.ud515e42	The representative, Kristoffer Robin Haug, will present a proposal for a representative.
ParlaMint-NO_2018-02-01.ana.ud515e47	I would like to put forward a proposal for a representative on a less harmful community environment in urban areas.
ParlaMint-NO_2018-02-01.ana.ud515e52	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2018-02-01.ana.ud515e70	At the request of the Supervisory and Constitutional Committee, the President will propose that speaking time be limited to 5 minutes to each party group and 5 minutes to members of the Government. In addition, the President will propose that, within the allocated speaking time, up to six rows be given, with replies from members of the Government, and that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2018-02-01.ana.ud515e79	Fish have always been important to the coastal nation of Norway, which dates back to the time when Norway was populated as the edge of the ice drew away from the coast. Then we got access to one of the world's most resource-rich waters. The management of these resources is important for Norway, both in a historical and a future perspective. Fish are currently the second largest export product from Norway for oil and gas. The National Audit Office’s inspection of the North Sea Fisheries Management and Skagerrak, Document 3:9 for 2016-2017, is an important contribution in this way. The North Sea and Skagerrak are surrounded by densely populated areas, and therefore fishing has been higher than the sustainable levels for several species of fish. The Committee has noted that the management of coastal fisheries in the south has historically not had the same priority as the larger stocks in the north and that this can be explained to a large extent by the difference in the economic importance of these fisheries. The Committee has also noted that areas in the south have become more important as a result of ecosystem-based management, where a greater emphasis has been placed on the transparency and implementation of coastal fisheries as well. Strict regulation and control have contributed to the reconstruction of many populations, but some populations are still threatened or vulnerable. The situation is worse for cod and sea. Cooperation with the EU is essential to ensure the sustainable management of fishing resources in the North Sea and Skagerrak. The Committee points out in its recommendation that three fisheries agreements have been concluded which are of particular relevance to this field. The agreements confer on the parties the mutual right to fish in each other's fishing zones, based on annually negotiated quotas. The National Audit Office’s study shows that despite agreements and negotiations on quotas, there is a large overfishing and draft juvenile. Quota regulation and prohibition under-reporting by fishermen of catches or reporting fish species. In the Norwegian zone, there is a requirement that all by-catches should be landed, but fishermen may have economic motives for circumventing this ban. Good control of resource extraction and enforcement is therefore an important prerequisite for sustainable fisheries management. The main findings of the Riksrevision study can be summarised as follows: Norway and the EU cooperate in the management of fish stocks, but many questions remain. Fisheries authorities have paid too little attention to the management of coastal populations. The overall control resources, including cooperation on control with the EU, are not being used well enough. The work on simplifying the fisheries legislation has produced few results. In the opinion of the National Audit Office, it is critical that the fisheries authorities have not followed up well enough on the large increase in lip fish and that the decline in stocks of coastal cod and coastal sprat has not been adequately followed up by measures. The Committee points out that the control of fisheries is not good enough. According to the Riksrevision, the Ministry has a critically weak follow-up to the control work of the fishing sales teams. The sales teams have a demanding dual role both as fishermen's representatives and as authorities in fisheries control. In the opinion of the National Audit Office, the expectations of the Ministry should be clarified and cooperation on local controls should be improved. The Committee welcomes the fact that, in its reply to the Riksrevision, the Minister for Fisheries states that he is committed to following the recommendations of the Riksrevision. I expect the Council of State to follow up on its posts and say something more about what measures have been taken, and what is on the stairs. The Committee shares the views of the Minister for Fisheries regarding the United Kingdom’s announcement of the EU. Most of the waters of the North Sea are under either Norwegian or British jurisdiction. The withdrawal of the United Kingdom is likely to open up new discussions on the allocation of fishing resources in the area. The Committee has noted that the EU already has the largest quotas on all fish stocks, with the exception of seas and shrimps. With this, I recommend the Committee's position, which is otherwise unanimous.
ParlaMint-NO_2018-02-01.ana.ud515e115	I would like to begin by giving my full support to Keshvar's presentation of the unanimous vote by the Committee and saying that I am very pleased that the Riksrevision has gone into this matter so thoroughly. When it says that you've taken the management of coastal populations too little seriously, it's completely in line with the experience we're really having out there. With us in Westfold – and, I think, in other states along Skagerrak – it has long been a feeling that those we see as very important populations have been subject to a vote by the fisheries management. Therefore, I am pleased with the advice given by the Riksrevision, and expect the Council of State to follow up the clear advice. There are – as Keshvari was in it – a number of references to things that don't work well enough. Therefore, the most important thing for me is that this work is being followed up. We see, we who live down there, that a physical person sees changes in the possibility of getting a cod if you go to the sea and try it. There is a marked lack of access to several marine resources — especially cod. It seems to us that there is an imbalance in the form of sales and other predators in a way involving and harvesting the same resource. All of these animals we're going to have, but there's got to be a balance of management. I just want to say briefly that I challenge the Council of State to make a difference. Here the Council of State can really make a difference, and I hope that we will notice that now the management of our populations will be taken seriously in the future.
ParlaMint-NO_2018-02-01.ana.ud515e124	A resilient management of our fishing resources is particularly important for all of us. To put it in a funny way: by managing and doing the right thing, we're all going to be saturated. Like our farmers, fishermen are also people who see what they're doing, from a generation perspective. In this sense, developments with power, money and quotas on fewer hands have been an unfortunate side of politics. Fishing industry is so crucial to Norway as a source of food, as a source of work and as a source of a wide range of local value creation. We need a varied fishing fleet. After assessing the management of the fisheries in the North Sea and Skagerrak, the Riks Auditor states that it is essentially doing well. In some areas, however, the management of certain species of fish is uncertain. There is a cause for concern that one cannot be managed in the same way. We can do a lot on our own keel too. We need, as the Riksrevision points out, to follow better on lip fishing and on the decline in coastal cod and coastal sprat. We expect that measures will be taken by the Ministry of Agriculture and Fisheries. On the part of the Central Party, we have been concerned that Norway should have been in dialogue with the United Kingdom to a far greater extent and at an earlier date than the Government would have done, now that they are leaving the European Union. It also applies in the fisheries sector. What we see, is that there will be new discussions between us when it concerns the fishing resources in the northern part of the North Sea. We should be better able to drive the local development of fish opportunities. It is in this context that the Committee has found reason to point out that the follow-up to the work of the fish stocks should be closely coordinated and monitored. In many ways, the government has told us that they are busy simplifying the legislation. The Committee is in agreement that the results of this work are rather small after five years. Therefore, there is an agreement that progress in this simplification process needs to be improved. It's e.g. there are several requirements for the same ratio and different rules for the same species, in the North Sea and Skagerrak. It should be a simple matter to allow the Directorate of Fisheries to destroy unmarked cabins that are being hired, without the individual case having to be reported first. The aim of simplification must be to give each fish more time to actually fish, and to provide a regulatory framework to facilitate more efficient control of fish.
ParlaMint-NO_2018-02-01.ana.ud515e139	I also agree with the setting in my health. The installation for Keshvari is very much appreciated, and it also looks at this in a larger perspective. The first constructions in Norway came the sea road. One did not arrive on the inland road, one came from the sea and settled in Norway when the ice retreated. Throughout the history of Norway, with the world's second longest coastline, the sea has been the basis for the whole construction of our nation. Skagerrak and the North Sea have our whole center in this. If you look at historical depictions from the early 1800s, you'd draw a 30-kilogram cod there. It was not unusual. There are rich fishing seas we talk about here, Skagerrak and the North Sea – just as rich as the Lofothavet is today, my historians. That's the biological potential right there. But everyone who lives along the coast of these two oceans knows that we're not in the vicinity of having the rich sea, one sees that we're not near the potential that they have. This is a difficult common area. There are a lot of nations that have the right to stay. It has been our different challenges with the administration up through history, and it is still today. The National Audit Office's review is gloomy reading. We have heard history that the control of the fisheries management has become poorer and poorer with the years, but what the Riksrevision points to here, with the management of these oceans, is very alarming. Especially white fish are being pulled up as very problematic. But here's the problem with the fish salads' handling, measuring and weighing, we don't know whether or not extensive jux goes wrong, the Director of Fisheries's use of data is not effective to find out if anything goes wrong here, whether or not the administration is in line with the agreed stock targets, the quotas set, and not least the role of Coast Guard, which we know has a very big challenge with, among other things. helicopter and capacity, etc. So at almost all levels of the administration of these oceans is the significant error and lack. Another very interesting point is that where there is actually a strong control, it applies to fish stocks that are of great economic benefit today. The Riksrevision then points out that one must have a greater and broader ecosystem understanding here, because it is not that the cod only lives its own life, completely independent of the rest of the sea. These things are closely linked – for example, if you want to manage them. the cod. They point out the lack of a holistic access to its management. The question is whether we have lost control of the most important value of our nation, the simple sea. For according to the report to the Riksrevision, there's nothing to suggest that we actually have control here. What the control committee is asking for is a full review of the management of the control system, and it is a broad task that we have to assess whether the Minister for Fisheries, but also other ministers, should be able to do so. During the process here we also send in questions – this is Skagerrak and the North Sea, but we have other seas, the Norwegian Sea, the Barents Sea, etc., what's the point there? The insight we got was that it might be a little bit better, but there were disturbing descriptions from the department itself. Not even where a data is received, effectively used to ensure control. So here we have just a problem, to put it straight out, and I expect the Minister of Fisheries to press some kind of alarm button he has somewhere on his dashboard in the government, and say that this we just have to clean up, this can't just scour and go, put and go. So I hope the National Auditor keeps on his good work and looks at the sea, for one needs to investigate this. It's a complex system, and it's good that we have a national audit that has the capacity to do a thorough job on these issues.
ParlaMint-NO_2018-02-01.ana.ud515e156	I'd like to start with two reservations. First, it's sometimes a challenge to get to everything you want, especially when managing different areas with multiple partners. Secondly, it will always be that the economic priorities will be a key and decisive factor in the priority of tasks. But there is no doubt that this government, with good support from the Stortinget, has given high priority to both research efforts and administrative resources according to the challenges we face. There is no disagreement that Norway and the EU should have come much further, and that there should be much better common administration, as both the Riksrevision and the Committee state. I have therefore taken more initiatives towards the EU, and we are now going to set up a working group to propose an even better management of shrimp fisheries in Skagerrak. Norway and the EU also agree to establish a working group on the control of fisheries in the North Sea common stocks. This has not been easy in the past, but I think there are several who see the challenges we are facing. I also have plans to set up a public sample within a short time to look at the overall overall future resource control. For, as the representative of Knag Fylkesnes points out: although it is better in other areas, it is not good enough. As regards the management plans for different fish stocks, a meeting with the EU was agreed in the first half of 2018 to discuss this. I hope that we will now get speed on this work, which I pointed out has been a bit difficult to get the EU involved and give sufficient attention. I would add here that although we do not have common plans, we base quota fixing on advice from the International Council for the Exploration of the Sea, so that sustainability considerations are respected. In the future, the United Kingdom, after leaving the EU and completing the transitional period, will also become a new and very important partner for us in the management of the North Sea. This means that the dynamics of administrative cooperation will change. This, I believe, provides opportunities for significantly better management, a more developed and better harmonised regulatory framework and, hopefully, even larger and stronger fish stocks, to the benefit of all three parties to this cooperation. The Committee points out that the EU is now introducing legislation to ensure that fish are landed. The draft ban is one of the most important issues we have been working with towards the EU for several years. And it's a big step in the right direction that this is introduced. It shall be fully implemented in 2019. I also record that the Committee is involved in the management of coastal populations. So am I, I can promise. Here, however, it is also necessary to take into account that we need to make some priorities between different populations and different areas in order to prioritise research resources and administrative resources. However, I have asked the Marine Research Institute and the Fisheries Directorate to step up efforts related to coastal local fish stocks in 2018. In particular, there is work to find a good regulation, such as: ensuring a more sustainable lip fishing. Then the Committee, like the National Audit Office, is subject to as good a national control of fisheries as possible. Here, the work of the National Audit Office has been very useful to all of us. The Ministry has, among other things: underlined the expectations that the sales laws would follow up their statutory control responsibilities. The Directorate of Fisheries also follows the control work of the sales teams through supervision and has enhanced cooperation with Adjustervesen on the control of weights and weighing, etc. Finally, the National Audit Office has provided a very good and useful review of the administration in the North Sea and Skagerrak. This gives us all a responsibility to strengthen and strengthen the work of following up their recommendations, and it becomes one of my priority tasks.
