ParlaMint-NO_2018-11-08.ana.ud274e62	The representative, Lars Haltbrecken, will present a proposal for a representative.
ParlaMint-NO_2018-11-08.ana.ud274e67	On behalf of a cross-political alliance between Jon Gunnes, from Left, Une Bastholm, from the Environmental Party of the Greens, and myself – and all the friends of Bymarka in Trondheim – I would like to make a proposal to ask the government to impose a separate urban law on Bymarka in Trondheim à la Marka law in Oslo.
ParlaMint-NO_2018-11-08.ana.ud274e72	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2018-11-08.ana.ud274e79	The President will state that the Financial Committee has sent a letter to the Presidency requesting that the time limits for the budgetary procedure be suspended, as referred to in Section 43 of the Rules of Procedure. The President will therefore propose that the Stortinget depart from the provision of the third paragraph of Section 43 of the Rules of Procedure that the Financial Committee should give its opinion on the national budget and the State budget no later than 20 November. This means that the financial position will be given on Tuesday 27 November and that the financial debate will be held on Monday 3 December. As a consequence, it will not be possible for the Storting to examine the budgetary positions of the technical committees by the deadline of 15 December. The President will therefore also propose that the Storting should depart from the provision of the sixth paragraph of Section 43 of the Rules of Procedure that the budgetary positions of the Trade Union Committees should be reviewed by 15 December. Does anyone ask for the word? - That's not what it looks like. Nor has the President reported that someone has announced that they will vote against the President's proposal. – The President’s proposal is thus deemed to be adopted. The timetable for the release and management of the budgetary settings will be published as soon as possible.
ParlaMint-NO_2018-11-08.ana.ud274e101	Norway’s cooperation with the EU is far off and the European agenda is diverse. In this presentation, I will raise some selected issues – the EEA Agreement and regulatory international cooperation, brexit, security, migration and common values. In addition, the government is launching a new practice today by bringing together one of the two half-yearly presentations by several government councils. We're doing this to be able to go deep on and engage in debate on selected topics. This time, the Minister of Labour and Social Affairs and the Minister of Transport will report on important EU/EEA matters in their responsibilities. Promoting regulatory international cooperation is one of my most important tasks as Minister for Foreign Affairs. Norway is a small country with an open economy and a strategically vulnerable position. A law-based international order with strong multilateral institutions provides clarity and predictability. It's in our basic interest. Today, we see that the multilateral system is under pressure with the guise of protectionism, nationalism and political isolation. We see that international law, including fundamental human rights, is also being broken in Europe. This is a disturbing development. In the spring of 2019, the government delivers a message to the Stortinget about Norway's role in the multilateral system. In this message, European cooperation will have a central place. The EU and central EU Member States are our closest partners in the defence of multilateral solutions, both within and outside Europe. Climate and trade are important examples. Another example is the EU's strong commitment to maintaining the nuclear agreement with Iran. In the defence of a law-based international order, the government will cooperate with other countries, not least our European and Nordic neighbours. Our destiny is the same: we are all dependent on respect for international driving rules and institutions that have been built since the end of World War II. The EEA Agreement is our most comprehensive multilateral agreement. Through this agreement, we participate too fully in the EU's internal market. It guarantees Norwegian enterprises access to the market on equal terms with the EU Member States and gives Norwegians the right to study, work and establish themselves freely throughout the EEA territory. Today, a lot of people take these opportunities for granted. Therefore, the EEA Agreement is not only our most comprehensive agreement, it is also our main agreement. The Economist described last week the withdrawal of the United Kingdom from the EU as the most difficult bureaucratic exercise in the postwar period. It goes without saying that cancelling agreements and treaties that have been concluded and woven together for over 45 years is both challenging and time consuming. The brexit process has also shown how difficult it would be to replace full participation in the internal market, which we have through the EEA, with another link that offers similar opportunities for businesses and individuals. The EEA Agreement is based on legislation that is applied equally throughout the EEA territory. This is a prerequisite for non-discrimination between Norwegian enterprises and citizens. Norway is therefore fundamentally served by a single internal market legislation. We work with the EU institutions and Member States every day to influence the design of the legislation so that it is as much as possible in line with Norwegian priorities and interests. Compromises are the basis for international cooperation. If all parties are to be strengthened by cooperation, they must also be prepared to accept elements that were not initially desired. This applies not least to EEA cooperation, which requires uniform practice of common legislation. Such cooperation would quickly be confused if someone could choose which parts of the legislation they wanted to follow and which parts they wanted to ignore. Where the Contracting Parties disagree on the inclusion of new EU legislation into the EEA Agreement, Article 102 of the EEA Agreement shall apply. This provision is there to ensure the functioning of the EEA Agreement for its purposes, which is a well-functioning internal market in the EEA territory. If we do not agree to include EEA-relevant legislation, the relevant part of the EEA Agreement could be suspended temporarily. It could have consequences for individuals and businesses, depending on the legislation that is being outlawed. The government's view is that Norwegian interests are best protected if we actively participate in the development of common rules, not by reserving ourselves afterwards. Norway has built its well-being on trade with other countries. Thus, in an era of escalating trade conflict, it becomes even more important to fence the agreement with our sovereign largest market. We should therefore have a very high threshold to trigger Article 102 of the EEA Agreement. The Brexit process is now in a crucial phase. The most difficult issue, the border between Northern Ireland and Ireland, remains unresolved. Therefore, the EU and the United Kingdom did not agree on a call-out agreement at the October summit. Further negotiations are under way, and the EU has signaled that they are ready to convene an extraordinary summit if there is a breakthrough in the negotiations before the next regular EU summit on 13 and 14 December. On the part of the government, we consider that it is still likely that an agreement will be put in place, but at the same time the obstacles are very real. We therefore have an ongoing dialogue with the EU and the United Kingdom on possible measures in case there is no agreement. Among other things, it will be important to ensure that air traffic between Norway and the United Kingdom can continue and that the introduction of vital medicinal products does not stop. Seafood is another example. Here we assume that EU market access obligations for Norwegian seafood continue independently of the number of EU Member States, and we avoid a situation of increased customs or veterinary barriers to trade if the EU and the United Kingdom do not reach an agreement. The exit agreement between the EU and the United Kingdom will mainly include provisions on the orderly winding-up of British membership linked to three main elements: the continuation of the rights acquired by EU citizens and British citizens through British EU membership; the border issue between Ireland and Northern Ireland; United Kingdom’s continuing financial liabilities after their outsourcing It is important to clarify that the outsourcing agreement negotiated by the EU and the United Kingdom is not intended to regulate future cooperation. It shall contain only a political declaration on the framework for the future relationship. The agreement itself, or the agreements, whether the future relationship will only be negotiated when the United Kingdom is no longer an EU member. The delegation agreement will provide for a transitional period from the date of notification, which is 29 March 2019, to 31 December 2020. This may be extended if the parties so agree. During the transitional period, the EU and the United Kingdom are to negotiate a future contractual relationship. The United Kingdom shall no longer be an EU member but shall be subject to the rules and obligations of non-voting membership. This applies both internally in the EU and in the EU international agreements, such as the EEA Agreement, to which the United Kingdom no longer applies when they leave the EU. It is also worth noting that during the transitional period the United Kingdom will have fewer opportunities to participate in expert groups, committees and EU agencies than the EEA/EFTA countries have. The aim of the government is to secure the EEA Agreement, to ensure the continued functioning of the internal market and to contribute to the orderly withdrawal of the United Kingdom from the EU and the EEA. We have also said clearly that we want a closer relationship with the United Kingdom after it has left the EU. Norway is not a party to the EU-UK callout agreement. We are therefore working with legal solutions, which ensure that the rights and obligations of the EEA Agreement and our other agreements with the EU also apply between Norway and the United Kingdom during the transitional period. We are now, in reality, in the context of an agreement with the United Kingdom on how to extend the rights of the approximately 20,000 North Americans who live in the United Kingdom and the 15 000 British who live in this country – the rights and obligations they have acquired through the EEA. It ensures the same rights and obligations for our citizens agreed between the EU and the United Kingdom. This agreement could be concluded as soon as the UK-EU outsourcing agreement has been formally concluded. We are also preparing legislative and regulatory changes that will be necessary for Norwegian rules to reflect the relevant provisions of the notice agreement. On 4 October the Ministry of Justice and Defence put forward proposals to that effect and the deadline for consultation was 30 November. Norway will use the transitional period to negotiate with the United Kingdom in parallel with the EU and the United Kingdom negotiating their new contractual relationship. On 30 October, Prime Ministers May and Solberg met in Oslo and confirmed that Norway and the United Kingdom will put in place schemes to protect Norwegian and British citizens who currently live in our two countries. This applies even if there is no agreement between the EU and the United Kingdom. During the visit, Prime Minister May also repeated that the EEA model is not relevant for the United Kingdom. She stressed that this would not be in accordance with the will of the people, as expressed in the British referendum. The aim is therefore to continue as close and comprehensive cooperation with the United Kingdom as possible and in line with Norwegian interests, but thus outside the current EEA framework. In areas currently covered by the EEA Agreement, it will be important to ensure that the solutions adopted by the EU and the United Kingdom also apply to the EEA/EFTA countries. This will ensure that Norwegian businesses have equal access to the UK market in the future. As I pointed out in the spring presentation, the EU and EU Member States have taken a wide range of initiatives to increase defence investment and strengthen coordination between themselves. New initiatives have also taken place since the beginning of the year, including outside EU cooperation. In June, nine countries, including France, Germany and the United Kingdom, signed a declaration of intent on the so-called European intervention initiative. The initiative will strengthen the ability of Member States to operate together and contribute to EU, NATO or UN operations. Norway is invited to participate, and the initiative is both interesting and relevant — not least in view of the fact that many of our closest allies will participate. We are now assessing the content of the initiative in more detail and the consequences of any Norwegian participation before we reach a decision. For Norway, it is important that responsibility for all member countries continues to lie in NATO. At the same time, government is in favour of the EU strengthening its defence and security cooperation as long as it complements and strengthens NATO in a good way and does not contribute to ambiguity and overlapping structures. We therefore follow developments closely and work to further develop political dialogue with the EU on defence and security policy. We also work to strengthen practical cooperation and ensure good conditions for the Norwegian defence industry. Migration remains high on the EU agenda. Currently, there are few asylum seekers in Norway. This is not the case in other European countries. So far, 470 000 people have applied for asylum in the EU. The debate on reforming the Dublin rules has been going on for a long time. It has been difficult to find consensus between countries that believe that large arrivals of migrants should be burden-sharing and countries that want the burden-sharing to be voluntary. The EU is now discussing a mechanism to ensure that all countries take their share of responsibility, either by receiving asylum seekers or by contributing otherwise. The government believes that there should be a binding burden-sharing between all countries. If discussions in the EU conclude with a voluntary scheme and Norway receives an enquiry in this regard, the government will consider whether we should participate. At the June European Council, the Heads of State or Government of the EU outlined measures to help migrants who want to cross the Mediterranean to be taken ashore in a more predictable and controlled way in the EU. We also discussed measures to improve the ability of North African countries to carry out their search and rescue obligations. This will allow migrants to be safely carried ashore on the other side of the Mediterranean. The Government supports European solutions in the field of asylum and migration and participates in discussions on finding feasible compromises. We are basically in favour of the proposals on controlled centres and regional landing schemes, but it remains to be seen how these will work in practice. The direct consequences of these discussions for Norway are too early to say. If a voluntary relocation or resettlement system is established in connection with the new proposals, the government will decide on it. The EU has taken the same assumptions into account. In the same way as in the EU, Norwegian-based measures in third countries to be supported by Norway must be in line with obligations under international law, including human rights. A sustained pressure on the external borders of Schengen lies behind the proposal of the European Commission to extend the tasks of the Frontex Border and Coast Guard Agency. These include: proposed to establish a standing crew of 10000 and to assign tasks to the Agency in the field of return. The Government is in favour of strengthening its efforts to secure the external borders of Schengen. In the current negotiations, the government will emphasise that the management of external borders is primarily a national responsibility and that the Agency's workforce, responsibilities and tasks need to be adapted accordingly. In addition, the European Commission has proposed amendments to the Return Directive, which will help to make return work more effective. The government wants to contribute to stabilisation in vulnerable countries through education, job creation and the development of governance, and has therefore proposed to double the allocation to vulnerable states in the State budget. Through our participation in Schengen cooperation, we participate in important EU policies and actions related to tackling migration challenges, including better control of the external borders. Norway also participates informally in the discussions on new measures to reduce the number of migrants at risk of life crossing the Mediterranean Sea. This is an area that is not covered by our contractual cooperation with the EU, but where the results that may be achieved will also be of great importance to us. Norway has, inter alia: contributed to the EU Multi-stakeholder Fund for Africa, and we announced a new contribution of 60 million on 21 September. kr to the fund, which is an increase of 10 million. kr in relation to the contribution for the previous year. In total, Norway has now contributed 140 million. kr. We will support further investigation of landing schemes in Africa subject to an active role for the UNHCR and the IOM and consider possible forms of contribution if such schemes are to be established. If it becomes appropriate to accept asylum seekers in order to allocate responsibilities between Schengen countries, this shall be taken within the number of quota refugees. The UK outreach process requires resources on both sides, and negotiations on a future EU-UK agreement will take time. However, I believe that brexit is not the biggest challenge for European cooperation now. The fact that some EU countries are now openly asking questions about common values and principles for cooperation is very serious and the EU institutions are responding. The first step in the EU sanctioning procedure for breaches of fundamental values, Article 7, has been taken against Poland and Hungary. The Commission has sent to the Court of Justice of the European Union an infringement of the Treaty on the reduction of the retirement age of Polish Supreme Court judges. In a decision taken on 19 October, the EU Court of Justice ordered Poland to return to the composition of the Supreme Court as it was before a large number of judges were forced to retire in July. In addition, we see that courts in some EU countries are now sceptical about cooperating with the judiciary in Poland. Norway is fully dependent on our close partners in Europe respecting fundamental rule of law. Independent courts guarantee individual legal certainty and a cornerstone of democracy. Legal predictability and non-discrimination are essential for the functioning of the internal market and the EEA. Of course, independent courts are also crucial when working together on justice and police matters. Norway supports the EU’s defence of the rule of law, and we express our concern for developments when we meet Polish and Hungarian authorities. We use the EEA funds to keep high the democratic rule of law values on which EEA cooperation is based. The funds shall contribute to strengthening civil society and the justice sector in the beneficiary countries, in line with the principles of rule of law, democracy and good governance. Independent management of civil society funds is also an important principle. While other programmes are managed by the authorities of the beneficiary countries, civil society programmes shall always be managed by independent fund operators after open calls. It is not the case, as a spokesman for the Hungarian authorities recently stated, that the EEA funds actually belong to the recipient countries. The EEA funds are the contribution of the EEA/EFTA countries to social and economic cohesion in the EU. These are funds made available to the recipient countries. Agreements are being negotiated on the use of funds in each country. Cooperation shall and must be based on fundamental values and in line with signed agreements. In our further cooperation with Poland and Hungary on EEA funds, we will also stand firm on our principles and underline the contribution of EEA funds to the development of democracy, a well-functioning rule of law and a free and active civil society. The donor countries Norway, Iceland and Liechtenstein are united. Our approach is in line with the donor countries’ agreement with the EU and is also supported by the Commission and the central Member States. Let me finish where I started: Rule-driven international cooperation is under pressure, including in Europe. It challenges the values we stand for, and it makes us more vulnerable. Norwegian foreign policy begins in Europe. Working together for the multilateral system and respecting international legal order is a responsibility we share with the EU and the EU Member States.
ParlaMint-NO_2018-11-08.ana.ud274e199	Thank you for the opportunity to brief the Storting on relevant EU and EEA issues in the field of transport. I would first like to say a little overarching about some important developments in this area and then go a little closer to the railway package and the mobility package. The government has submitted a state budget proposal of 73.1 billion in record terms. kr. So we've increased the licenses to a 75 pst journey. since the 2013 downgrading elections gave a new number of people. A significant part of this money is going to reduce travel time Norwegian exporters to Europe. One example is that while only 45 kilometres of motorway were opened from 1970 to 1995, in 25 years, the government is planning to open 104 kilometres with a new, safe four-field motorway in 2019. It provides better road safety and shorter and more sedentary travel time for people and businesses. An increasing number of cages in towns and cities, both in Norway and in Europe, will increase in the years to come. Both in Norway and in the EU, there is a strong interest in new and more forward-looking solutions, which make urban mobility both more efficient and greener, so-called smart mobility. Here the government is well-forbidden and has e.g. submitted a record high budget with large funds earmarked for urban areas. We have started negotiations on so-called urban growth agreements in the largest urban areas. We have a new law that facilitates the testing of self-propelled vehicles. We've had a competition for smart mobility solutions, and we've ordered the company Entur, which collects travel data and provides information to travellers from all public societies. This is just to mention something, and many of these things we are discussing with the EU. In general, we are close to ongoing processes in the EU, and we are working towards the countries of the Presidency. For example, we have a good dialogue with Finns, who have chaired the autumn 2019. The transport sector is one of the major sources of greenhouse gas emissions in Norway and Europe. Here, too, is the majority of emissions in the non-quota sector. In the Jeleia platform, government announced an ambition to halve emissions in the transport sector by 2030. In the national transport plan, the aim is for all new cars and light goods vehicles in 2025 to be zero-emission cars and all new buses to be zero-emission buses or useful biogas. Improved technological maturity in the driving segments is the basis for these measurements. It is therefore gratifying that the EU has put forward several measures to strengthen the development of green technologies. The EU includes: further develop the CO2 emissions legislation from passenger cars and light-duty vehicles for 2021-2030. In addition, the EU will work on emissions standards for heavy goods vehicles. The EU has also agreed that Member States should establish a national alternative fuel plan. The government is doing a good job. We support the new EU environmental legislation and believe it is particularly important to make driving noise technology more efficient and competitive. The government will continue to facilitate innovation and digitisation leading to a greener transport sector, for example. development of electric vessels, electric aeroplanes and self-propelled vehicles and vessels. We have already met the EU’s greenhouse gas emission requirements for passenger cars, including: as a result of the bet on electric cars and rechargeable hybrid cars. The proliferation of drones is growing rapidly, and the EU Aviation Agency, EASA, is developing a single European code for drones. Norwegian authorities participate actively in the design of this legislation through expert groups providing professional advice to the EU. I would also like to draw up the proposal of the European Commission from May this year on the creation of a so-called European Single Maritime Window. Here is a set of rules and technical frameworks for electronic information as a result of port call reporting. The aim is to simplify reporting for maritime transport. Norway already has a well-developed and well-functioning Single Window. We are systematically working to ensure that Norwegian needs are also addressed in the new EU legislation. Nor should we forget that digitisation depends on electronic infrastructure. In June this year, the EU countries became aware of a comprehensive set of new rules for electronic communications that will be adopted later this year. Among other things, the new legislation will facilitate the deployment of 5G mobile networks, stimulate cross-European investments, strengthen consumer protection and set price ceilings for international calls within the EEA area. From the Norwegian side, we are positive for this update. We have been actively involved in the process of Norwegian positions and concrete recordings. Here, in the 2019 draft budget, we announce that this is a high priority from the government. Norway is at the forefront when it comes to digital infrastructure and the use of digital services. We have a very high level of investment compared to other countries, and we have among the world's best and fastest mobile networks. In order to facilitate the continued growth and development of the ecosystem sector, a adapted and forward-looking regulatory framework is needed. The pan-European rules that the use of mobile and other mobile user equipment when travelling in the EEA area is no more expensive than it costs at home are a very good example of the value of a digital internal market and harmonised rules for electronic communications within the EEA. Norwegian eco-legislation is based on European legislation, and in line with the new pan-European legislation, we will review national legislation within two years. We'll come back to the Storting about this. The EU has also agreed that 5G frequencies should be made available in the EU by summer 2020. The government has reached an agreement on the early release of the 5G frequencies in Norway, which is currently used by the broadcasting background. With this, we are laying the groundwork for the Nordic countries to be a transitional region for 5G. The early release of the 700 MHz band facilitates the early start of 5G in Norway. It could have a major impact on society as a whole and especially on industry that uses mobile networks for automation, e.g. Internet. So I'll go over to the railroad. The overriding aim of the fourth railway package is to strengthen the railway’s role in the transport system. In the EU/EEA, one has already gone a long way in harmonising safety requirements and technical requirements, and one has a common framework for running trains under equivalent conditions. Now a step towards a single European railway area, by opening up national passenger markets. Train companies should be able to run trains as an alternative to existing public purchased services, but not to foam the flute, by e.g. only to run trains at the most profitable times. Furthermore, as a starting point, passenger train traffic must be on offer, as it has been here for a long time already for other public transport. It will still be possible to award public service contracts directly in individual circumstances, for example: when structural and geographical circumstances lead to better public services through direct allocation. The European Railway Agency, ERA, is the professional body of the European Commission for Railways. Their actions make it possible to look at the objectives of safety and interoperability of the European rail network in a holistic way. ERA now has a new role to play. The Agency will issue a common safety certificate to a train crew member to operate in several countries and will grant permission to a train crew member to operate in several countries. This will provide easier processes for those operating internationally and allow manufacturers of train equipment to offer their trains in a larger market. The requirements against which ERA assesses applications are the same as the national authorities. Here, the State Railway Authority has been an active contributor to creating new pan-European requirements that are capable of maintaining the high level of railway safety. The ERA shall always seek advice from the national security authorities before taking its decisions. I would like to stress that, in my view, Norway will continue to preserve the right of self-determination in the areas that are important to us. Norwegian authorities can specify the public services in the same way as they are currently. We can organise the sector as we like, and we can finance the railways over the public budgets. The national requirements we need can be continued, and the challenges we face, for example. look at wintertime, it is taken care of. The driving training requirements will not be changed. The State Railway Authority shall supervise and control the activities running in Norway, and they shall have the right to stop activities that are not safe enough. The supervisory authorities participated in all ERA work in the same way as the EU countries, but without the right to vote on the Board. Norway should take part in the cooperation because we are already part of the European railway area, especially in terms of access and traffic performance. Joint Undertakings shall grant equal treatment to all train companies in all countries of Europe. It is important for Norway that there are no unnecessary bureaucratic obstacles to cross-border transport. International links are very important for freight transport. Gothenburg port is important for our international trade, one of the European freight corridors enters Alnabru, much of the timber transport goes to Sweden, and the ore transport on Ofotban is very important for both Norwegian and Swedish interests. The Norwegian freight train between South Norway and Narvik runs through Sweden in transit. In addition, the NSB with its subsidiary participated in the competition for passenger train services in Sweden and has in fact won several times in competition with well-established foreign companies. So we have to remember that Norwegian train companies also have to have the same dishes when running trains in Europe, and we have to remember that this is not just about crossing national borders by train, but that Europe is now a common market for the purchase of rail products and services. This is new to us when we are going to get new trains, and when we need equipment and components for the maintenance, renewal and development of our railway. We are going to expand and modernise our signalling and securing system with the pan-European standard ERTMS. Common standards are just what are needed to strengthen the rail system, and this does not apply only to Europe. In recent years, rail transport between Asia and Europe has been multiple, and the world’s railways are screaming for more standardisation and common solutions. The fourth railway package in the EU is part of this image, and I have a hard time understanding why we shouldn't be part of this. Finally, I would like to draw up a mobility package in the road sector. The EU Commission presented new rules in the field of road transport in May 2017, e.g.: on changes to the rules on running and sleeping time, control and enhanced access to cabotage in freight transport and to the rules on the posting of workers. The government believes it is very important to ensure a level playing field in the road transport sector. The Jeleia Declaration states that the government should contribute to the orderly working conditions of the transport industry and actively work towards the liberalisation of cabotage rules. The government is busy presenting Norwegian positions on the Commission's proposals. We have involved the operators in the road transport industry in the work, and we closely follow developments in the EU system. The various proposals are now being discussed in the European Parliament and in the Council. There is a great deal of dissatisfaction between EU countries from northern and western Europe and countries from south and east Europe on how to design the new rules. Norway is part of the Road Alliance together with Austria, Belgium, Denmark, France, Greece, Germany, Italy, Luxembourg, Switzerland and Sweden. Members of the Alliance are concerned that legislation on the transport industry should ensure social rights, road safety and equal conditions of competition. For Norway, cooperation in the alliance is an important possibility to influence the content of EU rules. The Ministry of Transport took an active part in the alliance, both at political level and at the level of office. Among other things, Norway organised an administrative meeting in the Oslo Alliance in September this year. It is difficult to predict when the various legal acts will be incorporated into the EEA Agreement, because the new rules must first be adopted in the EU system. The mobility package also includes proposals for road pricing, in the form of revision of the so-called Eurovignette Directive. It is challenging to combine the proposal with the Norwegian toll system. In Norway, we use tolls to invest in new infrastructure. In the EU, tolls are widely used to maintain and operate the current infrastructure. Tolls are therefore required on individual routes and in some areas, while one in the EU is more likely to charge road prices for road kilometres. The Commission's proposal to extend the scope to light driving gear is considered problematic for Norway because of our discount system for customs tariffs for frequent users. Tolls in Norway are based on local participation and acceptance, and currently discounts for private cars are much higher than the Eurovignett discount limit, 20 and 13 pst respectively. The discount is an important contribution to facilitate effective toll collection and to reduce the administrative costs of toll collection. It is also a challenge that fees or components of charges become mandatory. We are working for sufficient flexibility in EU legislation in this area, so that the Norwegian system can still be designed in line with what is useful from Norwegian interests.
ParlaMint-NO_2018-11-08.ana.ud274e247	I would also like to thank you for the opportunity to come and explain important EU and EEA issues in my area. Nearly one year ago, 17 November 2017, the EU Summit on Fair Working Conditions in and between European Labour Markets was held in Gothenburg. As the only non-EU country, Norway and Prime Minister Solberg attended the summit. At this meeting, a declaration on the EU social pillar was signed by the EU institutions. The objectives of the social pillar are to ensure equal opportunities and equal access to the labour market, good and fair working conditions, social protection and inclusion. These are goals that the government supports. Through the EEA Agreement, we are part of the common labour market in Europe. It is positive for the Norwegian economy. Open and functioning international markets are important for a small country such as Norway. The EEA Agreement provides us with access to the required workforce and provides Norwegian enterprises with unique access to the European market. We have a community of interests with EU countries about a well-functioning internal market. We have good examples that workers' rights have also been strengthened in Norway as a result of rules implemented in the EEA Agreement. This applies, inter alia, to: rights of employees in the event of business transfers, rules on written working arrangements, mass redundancies, the right to information and consultation and working environment rules. However, our working life rules are sometimes challenged in line with the EEA Agreement rules on freedom of movement for workers and service providers. The solution is to strengthen cooperation and to work actively to listen to important elements of our Norwegian working life model in the EU. This is why last year, at the summit, the government took an initiative against the European Commission on strengthening efforts to combat crime at work. Labour crime and unprofessional work undermine the single internal market in Europe. It is a challenge to ensure the necessary means of monitoring compliance at national and European level. In the EU initiative, the government has proposed closer cooperation with the EU and individual Member States on combating cross-border labour-life crime. We have many good experiences sharing with our European colleagues. Cooperation between the parties is central to Norwegian working life. Our experience is that challenges in enterprises and at industry level are best addressed in a constructive interaction between the employee and the employer. Tripartite cooperation between the parties and the authorities is a central foundation for the development of our employment policy. Although we may have different views on individual matters, we agree on the value of cooperating. This is what we call national, and this is what we pass on to the EU and Member States that can have different traditions and experiences. In dialogue with the EU and the Member States, we have underlined the importance of involving the parties in the policy-making process and of respecting the role of the parties in the formulation of pay and working conditions. I have put forward this point of view for EU Commissioner Marianne Thyssen, who is responsible for the field of employment and social affairs. This has also been my message during the informal ministerial meetings in which Norway is invited to attend. The Nordic Ministers for Labour and Social Affairs have also made a joint reference to the European Commission on the importance of adapting solutions to the Nordic model of cooperation, where the social partners have a different role and a greater responsibility for the whole of labour regulation than in other countries. In Norway, the parties and authorities are united in the fight against crime at work. Our experience is that broad cooperation is needed to prevent criminal actors from exploiting workers and forcing serious businesses from the markets. Labour crime is a violation of a number of laws and regulations and can only be combated through broad cooperation across the responsibilities of different agencies. There are no simple measures that alone will address the problems of labour-related crime — not in Norway and not in Europe. Many issues require cross-border action. For Norway, the EEA funds represent an important opportunity to strengthen cooperation with the authorities and the parties in the countries that send many workers here. There is now operational supervisory cooperation with the employment authorities of the Baltic countries, Bulgaria and Romania. We hope to get closer cooperation with Poland as well. In recent years, the EU has taken several new initiatives to help safeguard workers’ rights. This applies, inter alia, to: changes in legislation regulating conditions for posted workers, but also initiatives which do not involve legal changes, such as the European Platform for Cooperation on Black Work Actions. In order to strengthen orderly conditions of cross-border mobility in the internal market, the Commission presented in spring a proposal for the creation of a new labour market agency, the European Labour Authority, the ELA. Norway has expressed support for the intentions behind the initiative of such a labour market agency. At the same time, we have stressed from the Norwegian side that the new Agency must respect national authority and the autonomy of the parties. The government's preliminary assessment is that, as at present, the proposal does not involve a refusal of authority. I have asked the Legal Department of the Ministry of Justice and Defence to consider this very question. Norway is actively contributing to several of the European cooperation areas proposed to become part of the new labour market agency, such as the Black Work Platform, the cooperation between the European Employment Services, EURES, and some cooperation areas related to social security coordination. The Agency shall, inter alia: provide better access to information for citizens and employers on the rights and obligations of cross-border mobility. It shall also contribute to better cooperation between the welfare institutions of each country, which shall ensure the rights of citizens. This is the purpose supported by the government. The European Commission has invited Norway to participate in a working group to advise on the establishment and future tasks of the Agency. In this context, the social partners are invited to make their contributions to the EU Commission. The parties will also be involved in further work. Employment in Norway and Europe is also changing. There is therefore a continuing need to assess whether existing legislation is in line with developments. In view of this, the European Commission has recently adopted, inter alia: promoting a proposal for a directive on clear and predictable working conditions. The background is, in particular, the development of so-called non-standard forms of employment in recent years and the unforeseeable nature of such forms of employment. Safe and predictable employment is important, and Norway already has regulation to ensure this. It is positive that the EU too focuses on such issues. While the government is in favour of much of the proposal for a directive, there is still a need to clarify the content and scope of the various elements. In this area, too, it is essential that Community legislation respects national labour market models. The government therefore follows closely the legislative process in the EU. A changing labour market offers new job opportunities. These must be open to citizens to take part, given that they do so under the rules of the labour market. The Government shares the Commission's intention to establish a fair internal market. It is good for Norway and the Nordic countries if the standard is raised in several countries. Labour mobility is important in order to ensure a good adaptation of labour supply and demand and is a central part of the internal market. However, a well-functioning internal market presupposes that the common driving rules are complied with and the rights of employees are respected. A labour market with a high level of social equality and strong involvement of social partners is also important. This is a message we have repeatedly delivered in meetings with the European Commission today. In the next year there will be elections to a new European Parliament, and a new Commission will take up the offices. Our message and our expectation of the new Commission will be the same, that it should be a driving force in order to ensure a fair internal market, with a level playing field and with respect for the rights of workers, where the different national labour models are respected. Tomorrow it is 29 years since the beginning of the fall of the Berlin Wall – a historic and important moment in many ways, which was the start of the United Europe and the fall of the Communist dictatorships. A continent that had been split for nearly 50 years was to be reunited and found together in a new reality – political, cultural, economic and social. No one thought it would be easy at the time, but most people probably believed that it was right and absolutely necessary. So let us not forget that, despite its weaknesses, European cooperation has brought Europe a good deal ahead, including in the areas of employment.
ParlaMint-NO_2018-11-08.ana.ud274e298	The President will propose that the statement on important EU and EEA matters be discussed in a subsequent meeting of the European Parliament. – It shall be deemed to have been adopted.
ParlaMint-NO_2018-11-08.ana.ud274e316	No one has asked for the floor.
ParlaMint-NO_2018-11-08.ana.ud274e332	No one has asked for the floor.
ParlaMint-NO_2018-11-08.ana.ud274e348	No one has asked for the floor.
