ParlaMint-UA_2022-07-08-m0.u1	Glory to Ukraine!
ParlaMint-UA_2022-07-08-m0.u2	Dear National Deputies, at the suggestion of the Conciliation Council of Deputies and Groups, we are continuing the plenary session today. I remind you that the Supreme Council of Ukraine is working in a plenary session continuously according to the decisions we have adopted: on the organization of the work of the Supreme Council of Ukraine in the context of the state of war and on the organization of the work of the Supreme Council of Ukraine in connection with the act of armed aggression of the Russian Federation against Ukraine on February 24, 2022." Ladies and gentlemen, it is a good tradition to begin our work with the execution of the National Hymn of Ukraine. [[The National Hymn of Ukraine]] Anyone who doesn't make it, come here, you'll be singing an anthem. Ladies and gentlemen, for the past 20 weeks, the enemy has waged an unprincipled conquest war in the territory of our country, defaming numerous international legal norms. Ukrainian soldiers continue to demonstrate their example of civic courage and self - devotion throughout the world, firmly defending national sovereignty and the territorial integrity of Ukraine. I ask all in attendance to honor the moment of silence of the memory of the soldiers who have fallen into battle for Ukraine and the peaceful citizens who died as a result of the armed aggression of the Russian Federation. [[A Minute of Silence]] Thank you. Ladies and gentlemen, let's start with a nice one. Today is the birthday of the Commander-in-Chief of the Armed Forces of Ukraine, Valery Fedorovich Zalužno. Welcome, Valery Fedorovich. [[Applause]] We sincerely wish him the fullness of the constituency of strong health, strength, and victory over our enemies as soon as possible. Thank you, colleagues. Please sit down. Ladies and gentlemen, today at the Conciliation Council, we have agreed that before we begin our consideration of the agenda, we will traditionally give up up to three minutes for the presentations of the authorized representatives of the MPs and groups. So I ask the factions and groups to sign up. The word is given to the Ukrainian national deputy Rušišin Jaroslav Ivanovich, a faction of the political party "Golos". Bobrovska Solomija Anatolyivna, please.
ParlaMint-UA_2022-07-08-m0.u3	Samantha Bobrowski, the Voice faction. I can't help but welcome from this rostrum, first of all, with the brilliant operation of our boy soldiers who installed the State Flag on Snake Island yesterday. It's an operation for those who were, knew and were around, supported, knows the price of the flag on the island, how many lives were laid in order to establish this flag, our flag. And I welcome them. And not only do I want the majors there to have our flag, but there is also a place to remember those who gave their lives for this island. But, on the contrary, returning from the expeditions, I would like to draw your attention, my distinguished fellow national deputies, to another. We ask and appeal to the whole world with incredible requests for support, for condemnation, for sanctions, for isolation. But it's very easy for us to look at those colleagues who are sitting next to us and who, unfortunately, are not currently in charge of the Criminal Code. I ask you to pay attention today to the Attorney General's Office, the Security Service, the Presidency of the Supreme Council until at least four names, as well as to verify all those who have left the State before February 24th, and to date are not in the territory of Ukraine and are not performing their duties. I ask and note the following names. Alexia Kovalova, who is a collaborator from Hersonianism and is so-called a representative of the government of the Russian Federation on the occupied part of Hersonian and its district. Alexander Ponomaryov, member of the Committee on Transport and Infrastructure Eugene Shevchenko is a person who has always traveled to the Republic of Belarus, from which we are still waiting for an upsurge and invasion. And so is Vlorina, who is not currently known where it is and is outside of Ukraine. Rabbinic, including. Dear colleagues, we ask the world to pay attention to betrayal. I ask that, as a minimum of these people, as well as those who have not returned to Ukraine today or whose materials are still dead in the prosecutor's office or the Security Service, criminal cases have been violated and their mandates have been abandoned as soon as possible outside this room and they have not been allowed. I think it's a great shame when collaborators have the right to enter this room and, more importantly, vote, and have access to state affairs and state secrets. So, Mr. Speaker, you have a great responsibility. We await either the verdicts of the court, or the evidence of their death, or their statements of resignation. Thank you.
ParlaMint-UA_2022-07-08-m0.u4	Is that what I'm supposed to do? Thank you. Samantha Anatolyevna, tomorrow we bring what we can. The Bureau is making a draft decree on the release of one of those whom you said, from the committees at large, and we will continue to look for a legitimate way of doing this. Thank you. Dear colleagues, please give the floor to the national deputy of Ukraine, Petra Alexiyovich.
ParlaMint-UA_2022-07-08-m0.u5	Dear Mr. Head, dear colleagues, I would like to welcome once again from this parliamentary rostrum two persons, two people, two great people, who have made a great contribution to the construction and protection of our state. The first is Valérie Handsome. And I am confident that by our efforts, united and united, we will win Ukraine’s victory. And the second is Boris Johnson, who is also a friend of mine, a friend of Ukraine, and demonstrated what Ukraine is waiting for from the world and how to design an anti-putin coalition. I would also like to pay attention to volunteering. This is our nation’s powerful resource, which unites Ukraine from east to west, and 80 percent of the Ukrainians have joined, even while abroad. And when the money of ordinary Ukrainians is exhausted today, when businesses have spent everything they had, up to 4 percent of their profits, we people's deputies now have to adopt the necessary bills that will allow us to solve at least two issues. Question one. When we provide charitable assistance to the families of the dead, we cannot tax them with VAT and other taxes, we have others to tax. When we provide help to the wounded, we cannot tax them with VAT and other taxes. We have introduced Bill 7528, and we ask that we put it to the vote and vote in the first reading and in general in order to solve this problem as soon as possible. And the second bill is Bill 7506-1. Just as we've taken down the restrictions on the concentration of COVID funds, so we need to remove the restrictions now so that charity aid, which goes exclusively to charities and is aimed exclusively at supporting the Ukrainian Armed Forces, is also not burdened by the taxation of patriotism. I firmly believe that these are our obligations, that these are the laws that are paramount, and that the hall will support them. And now we've been able to start active volunteering. I want to welcome everyone, because many of these rooms have joined in supporting the supply of armor. This is the first armored machine that non-state structures put in place. Thank you for that. And this is a gift to the Armed Forces of Ukraine.
ParlaMint-UA_2022-07-08-m0.u6	Please, Batenko Taras Ivanovich, Party for the Future.
ParlaMint-UA_2022-07-08-m0.u7	Dear Mr. Head of the Supreme Council! Honorable Predestination! Dear colleagues! Ukrainian Society! First of all, from our "For the Future" MP group, we want to welcome all of you today to the International Family Day. Take care of your family, take care of your sons and daughters. Spend every day you spend together. Today’s better sons and daughters on the front prove that we, Ukrainians, have taken place as a large family and as a great nation. Likewise today, we would like to welcome the birthday of our Chief of Staff, Valery Fedorovich Handicraft. And to wish in his person the superior leadership, the military leadership of the state of clear military planning and guarding the soldiers, not to put them at risk once, in fact, so that they don't get hit by the enemy. I believe that today the international support of the State is unprecedented. And in this context, I think that Ukrainian society today understands that this international support is not only shrinking, it is constantly expanding, with every day, regardless of what democratic changes are taking place in a European state or another, I mean the resignation of Prime Minister Johnson. Because despite Johnson’s departure, Britain’s international support will not diminish, and it should grow. Although, as Winston Churchill said, democracy is the worst form of government, but if not all other forms of government. We are building a democratic society despite the war that is taking place in our country, and we obviously want to win this war. President Putin's statement yesterday that the war in Ukraine may be until the last Ukrainian is a genocide that we see happening from the first day of the full-scale invasion of Ukraine by an aggressor. This is actually Putin's application as a showdown with duty in The Hague or another international tribunal. And I think that the international community should pay close attention to that. Today, Ukraine faces a number of additional challenges that it needs to face: this is an energy situation that we must be ready for, and we are preparing for it; this is a sociable campaign that we cannot miss in 2023, and the government has to think about how to further support the agrarians today in order to keep the agrarian complex blue; it's an educational campaign; it's a financial situation in the state and so on. And the Ukrainian Parliament should slowly move on to more full-time work, to more systematic work in the hall, in the session hall, in the Committees of the Supreme Council, to work on those bills that will speed up winning today on our front. More than ever, it is important not to lose touch with the occupied territories, any Ukrainian who today feels pressure and repression from the aggressor. Let us keep them in mind. Thank you.
ParlaMint-UA_2022-07-08-m0.u8	Thank you. Please, instead of Plačko's, Dmitrik, the "Delivery of Ukraine" group.
ParlaMint-UA_2022-07-08-m0.u9	Dear colleagues, dear Mr. Head! I warmly welcome all of us to the successful holding of the Lugano conference. As a state, we have clearly outlined a plan for the restoration of Ukraine. We were supported by more than 40 countries and 20 international organizations. There was a powerful signal that Ukraine would be rebuilt at the fastest rate. And we sincerely believe that we can accumulate the necessary resources for the postwar revival of our country. Don't be happy with the illusions. Only us, the Ukrainian people, can be the guarantors of this plan because we live in a lying world. Each country is struggling not only with geopolitical challenges but also with internal problems. Political turbulence in our individual allies and partners makes us ever stronger together, and we are doing so successfully. The restoration of Ukraine begins with visas: from the raising of the Ukrainian flag on the Ukrainian island of Snakes, from our prayers for the Ukrainian army. Each emotional impulse must be strengthened by daily and routine work on reforms. And Parliament is acting on the right key. Just think about the laws on building information modelling, about reforming the employment services that we have ahead of us, or the industrial parks that we've adopted recently. This is all part of Ukraine’s restoration plan. So I urge you not to lose speed, but just to step up our work. Dear colleagues, we are proud to see the flag of the European Union in our Parliament. We do not stop on the path of European integration and our movement towards full membership in the EU. For example, today we have to consider and adopt a personal data protection bill. This is a very important initiative that every Ukrainian citizen and country’s business will benefit from. Our legislation will be one step closer to harmonization with the regulatory framework of the European Union. The parliamentary group "Deliverance of Ukraine" stresses that our team is a reliable support for major reforms. Together, we will restore Ukrainian potential, ensure the modernization of all spheres of life. Ukraine will be synonymous with wealth, efficiency, and justice. Thank you for your attention.
ParlaMint-UA_2022-07-08-m0.u10	Thank you. Please give the word to the Ukrainian national deputy of the Western Jury. Please, Papiev Mikhailovich.
ParlaMint-UA_2022-07-08-m0.u11	Thank you. Honorable National Deputies of Ukraine! Dear colleagues! Allow me to share with you the observations of the national deputies of Ukraine. In my opinion, and I think that you will support me, that there is no television broadcast in the Ukrainian Supreme Council Hall for today, and it contributes, surprisingly, to the fact that Ukraine's national deputies speak more in shape and content, and the subject of their activities: by law-making work, by the laws that must be adopted in order for Ukraine's victory to be irreversible. And in our view, our "Platform for Life and Peace" group, especially in the context of Russia's armed aggression against Ukraine, is getting into the issue of social protection. And why was I talking about television? Because its absence allows us today to discuss issues that are important for Ukraine’s future, which may not be raised in public space. For example, to this day as a person who has done demographics, my scientific work has to do with demographics, I see today that the demographic situation in Ukraine is the worst in all parts of the world. And when we have a social protection issue based on a solidarity system that predicts that working citizens provide non-working citizens and pensioners, and people with disabilities with the money they need for people to have a decent existence, it goes like this today: in 2007, we have the ratio of pensioners to pensioners: to one pensioner there were 1.4 workers, to one pensioner last year we have 0.8 working for one pensioner. Now, given the data that our citizens have on their way out of Ukraine, for today there are two pensioners. What does that say? What we're going to need in the future is for the employee to account for the social insurance funds already for two pensions that should not be below the minimum of living. That is why we need to adopt laws for the future of Ukraine today. I mean, we need to minimize the cost of social insurance funds today, we need to look at the problem issues of refugees, both internally displaced persons and refugees that have gone beyond Ukraine today. My survey says that if Ukraine does not make attractive conditions, about 70 percent of those who have left do not intend to return to Ukraine, namely, those who have left at the most productive age and women at the most reproductive age. That is why, knowing these challenges, we need to respond adequately to our own today.
