ParlaMint-UA_2022-07-19-m0.u1	Glory to Ukraine!
ParlaMint-UA_2022-07-19-m0.u2	Ladies and gentlemen, I remind you that the Supreme Council of Ukraine is working in plenary mode continuously. So today, according to our decisions: on the organization of the work of the Supreme Council of Ukraine in the context of the state of war and on the organization of the work of the Supreme Council of Ukraine in connection with the act of armed aggression of the Russian Federation against Ukraine on 24 February 2022, as proposed by the Conciliation Council of Deputies and Groups, we continue the plenary session. Dear colleagues, the Prime Minister of Ukraine, Denis Anatoliyovich Schmigal, and members of the government, are taking part in the meeting of the Supreme Council. Hello. [[Applause]] Ladies and gentlemen, in good tradition, let's begin our work with the execution of the National Hymn of Ukraine. [[The National Hymn of Ukraine]] Ladies and gentlemen, first of all, I invite another member of the Presidium to take her place. Olena Kostvena, please. Ladies and gentlemen, the barbaric armed aggression of the Russian Federation against Ukraine continues. Our courageous soldiers defend the independence of the Ukrainian state every day in fierce battles, and they sacrifice themselves for freedom and for Ukraine’s future. I ask for a moment of silence to honor the memory of the defenders and protectors of Ukraine, eternal glory, eternal memory of the fallen heroes. We also honor the memory of the civilians who were innocently killed by the Russian military. [[A Minute of Silence]] Thank you, please sit down. Ladies and gentlemen, let's get to work and start with a nice start. Today is the birthday of our colleagues: Andrija Viktorovich Joupanin, "Serve of the People", welcome. [[Applause]] And the Love of Alexander the Shpak, the Servant of the People, welcome. [[Applause]] We want strong health, victorious and creative work for the benefit of our nation and, of course, Ukraine’s rapid victory. Alexander Sergiyovich, before the beep, please.
ParlaMint-UA_2022-07-19-m0.u3	According to the application and in accordance with the third part of article 60 of the Rules, I report the entry of the National Deputy of Ukraine, Pavelka Jurija Alexiyovich, into the membership of the MP's "Platform for Life and Peace" group.
ParlaMint-UA_2022-07-19-m0.u4	In accordance with article 28 of the Supreme Council of Ukraine’s Rules of Procedure, I propose to conduct a signal vote to predict the outcome of the day’s vote. I'm asking the people's deputies to take part in the signal vote and press the "Pro" green button. I remind you that it is necessary to hold down the sensor button, press the "Z" green button and hold these two buttons simultaneously until the vote is complete, before the results appear on the board. Dear colleagues, the signal vote. People's deputies, please vote. [[10:12:18]] For 246 Wonderful. I repeat the rules of the signal vote every time, please press the "Pro" green button. It's equal to 1 versus 6 is held. That's fantastic. Thank you for that. It's simple. Thank you, democracy. Democracy is following procedures. Thank you. Dear colleagues, the list of issues previously agreed upon by the Conciliation Council has been given to you, so we are moving on to the agenda. Your consideration is being asked about the appointment of a minister of social policy in Ukraine. Honorary colleagues, in accordance with articles 83, 85, 114 of the Constitution of Ukraine, at the suggestion of a parliamentary faction of the political party "Staff of the People" composed of the majority of Ukrainian national deputies from the constitutional composition of the Supreme Council of Ukraine and which has the right to coalition of parliamentary factions in the Supreme Council of Ukraine, Prime Minister of Ukraine Denis Anatoliyovich Schmigal brought to the Supreme Council an application for the appointment of Žolnović Oksana Ivanovna as Minister of Social Policy of Ukraine. The right materials are given to you electronically. Dear colleagues, we have previously agreed on the following procedure for dealing with this issue: presentation of the candidate by the Prime Minister of Ukraine for up to 2 minutes, presentation of the candidate for the post of Minister of Social Policy for up to 3 minutes, co-report from the committee to 2 minutes, statements from the deputy factions and groups, two minutes for the speech, up to 16 minutes and decision-making. Arthur Volodymyrovich, please, from the procedure.
ParlaMint-UA_2022-07-19-m0.u5	Dear Ruslan Alexiyovich, we fully agree, by one exception, on the request of the factions and groups for three minutes each performance. Thank you.
ParlaMint-UA_2022-07-19-m0.u6	Okay, I don't think there's going to be any objections in three minutes, but it's just going to increase, by eight minutes, the question. Is that the order of the day? Thank you. Then let us move on to the consideration of the matter. The Prime Minister of Ukraine, Denis Anatoliyovich Schmigal, is invited to present the candidate. Please, Dennis Anatolyovich.
ParlaMint-UA_2022-07-19-m0.u7	Dear Mr. Head, distinguished national MPs, respected Ukrainians! In accordance with article 85, paragraph 12, and article 114, part four, of the Constitution of Ukraine, according to the proposal of the parliamentary faction of the political party "The Servant of the People", which according to article 83, part ten, of the Constitution of Ukraine has the right to coalition of parliamentary factions in the Supreme Council of Ukraine 9 citations, I present the application for the appointment of Zolnovich Oksana Ivanovna as Minister of Social Policy of Ukraine. I'd like to support you, distinguished national MPs. Thank you.
ParlaMint-UA_2022-07-19-m0.u8	Thank you, Dennis Anatolyovich. Ladies and gentlemen, I would like to draw your attention to the invitation of the candidate for the post of Minister of Social Policy of Ukraine, Ivanovna Žolnović. Please, Oksana Ivanovna, in three minutes.
ParlaMint-UA_2022-07-19-m0.u9	Good afternoon, fellow MPs! Today I have the honour to present to you my vision of social policy development in Ukraine and this is an extremely exciting moment for me. Over the last few days, we've had a lot of communication with you in groups, factions, about the challenges, the problems facing our nation today and, in particular, the direction of social policy. I thank you very much for the fruitful discussion, for the keen questions raised, for the critical situations that we have heard and that need an immediate solution. I also want to say that I'm open to discussion and dialogue, and I'm sure in the next we'll continue our fruitful cooperation and we'll share a lot of useful legislative initiatives for the development of our nation. At the same time, I want to draw attention to those critical trends and strategic ones that need development. First. Changing the paradigm of social policy to a human-oriented approach that will combine both service and pay to get people out of difficult situations, not just leave them in this situation forever. The other one. Simplifications, digitization of all administrative procedures, as tons of paper information complicates, bureaucratizes work and does not enable people to get what they need in time, social services or payments they own. Third. Maximum rehabilitation development and timely provision of rehabilitation aids Such actions and steps will enable us to prevent disability and restore the victims in time for them to have economic independence. Four. The construction of a barrier - free environment for all types of populations, including small - celled groups and people with disabilities. Fifth. I think it's important, in a complex way, to implement poverty-removal programmes, including social housing, clothing, food, and a whole system of social services. Six. Family development and family policy Improving our birth rate is a big challenge for us today. Thus, a wider number of support programs for young families, the ability of parenthood and motherhood to combine with employment and career development, and the ability of each child to grow in the family are also important priorities. It is also important to integrate into the social life of the elderly, to provide them with honest retirement benefits, and to extend their opportunities. Many of these trends have already been or are being implemented. I'm drawing your attention to the individual bills that are here in the hall, including 5344, which is proposing a new model of support for people with disabilities, their employment, and 7,141, which will allow us to honor our defenders, which.
ParlaMint-UA_2022-07-19-m0.u10	Thank you. All of it. I'm sorry. Take your place, please. Ladies and gentlemen, the head of the Committee of the Supreme Council of Ukraine on Social Policy and Veterans' Rights, Galina Mikolayovna Trelyakova, is invited to the floor for the report. Please, Galina Mikolayevna.
ParlaMint-UA_2022-07-19-m0.u11	The Honourable Chairman, the Honourable Prime Minister, the honourable present, the invited and the candidate! The Committee of the Supreme Council of Ukraine on Social Policy and Veterans' Rights at its meeting today, on July 19, 2022, at the direction of the President of the Supreme Council of Ukraine, Stefan Ruslan Alexiyyovich of 18.07.2022, reviewed the submission of the Prime Minister of Ukraine, Dennis Schmigal of 18.07.2022 on the appointment of Žolnovich Oksana Ivanovna as Minister of Social Policy of Ukraine. This was also preceded by a meeting, a series of factions, and, accordingly, a faction of the "Slut of the People," which also recommended that Mrs. Zolnovich be appointed minister. The committee approved the decision to recommend to the Supreme Council of Ukraine the appointment of Žolnovich Oksana Ivanovna as Minister of Social Policy of Ukraine. I'm not going to stop at her personal qualities right now, I'm going to say that she and a group of experts participated in the preparation of the National Strategy for Restoration in Social Policy. I think all the tasks that are currently involved in this national strategy, she understands and will do them at her job. Thank you.
