ParlaMint-UA_2022-07-18-m0.u1	Glory to Ukraine!
ParlaMint-UA_2022-07-18-m0.u2	Ladies and gentlemen, I remind you that the Supreme Council of Ukraine is working in plenary mode continuously. So today, according to our decisions: on the organization of the work of the Supreme Council of Ukraine in the context of the state of war and on the organization of the work of the Supreme Council of Ukraine in connection with the act of armed aggression of the Russian Federation against Ukraine on 24 February 2022, as proposed by the Conciliation Council of Deputies and Groups, we continue the plenary session. Dear colleagues, according to good tradition, I propose to begin work with the execution of the National Hymn of Ukraine. [[The National Hymn of Ukraine]] Ladies and gentlemen, 32 years ago, on July 16, 1990, a landmark event took place -- the Supreme Council of Ukraine by constitutional majority of the people's deputies, with 355 votes in favour, adopted a historic document -- the Declaration on State Sovereignty. The State laid the fundamental foundation for this declaration of Ukrainian nationality. Sadly, in the 21st century, the Ukrainian people were forced to defend their sovereignty on the battlefield. By defending sovereignty, we prove that Ukrainians will not deviate from the idea of the assembly of the Ukrainian people and their lands. I'm sure we'll protect our nation from the encroachment of the Russian Federation and continue to build a sovereign, independent state. And today is the 145th day of daily terrorist rocket attacks. The recently treacherously shot down beautiful peaceful city of Winnitsa, resulting in the death of 24 of our citizens, including young children, many victims. The Occupyant carried out rocket attacks on Dniper, Odessa, Mikolayev, and other population sites of our nation. The enemy does not understand the simple truth: The Ukrainian people do not fear, the Ukrainian spirit does not break. Therefore, I ask for a moment of silence to honor the memory of peaceful citizens innocently killed as a result of terrorist attacks by the Russian Federation. We also honor the memory of soldiers who have fallen for Ukraine. Heroes don't die. Their eternal glory. [[A Minute of Silence]] Thank you, please sit down. Ladies and gentlemen, let's get to work. On the Conciliation Council, we agreed to give within 3 minutes of the opening of the day-to-day agenda for the presentations of the authorized representatives of the MPs and groups. Members of the MPs and groups who wish to speak will be invited to attend. The word is given to Ukraine's National Deputy, Borzoi Irina Naumunni, the "Serve of the People" faction.
ParlaMint-UA_2022-07-18-m0.u3	Welcome to Ukraine's home, strong and invincible country! Russia is carrying out terrorist attacks on Ukrainian cities and civilians. Winnitsa, July 14th, at 10:43 p.m. Russia lost the lives of 24 peaceful Ukrainians, including three children. Dozens of people with injuries, burns, and explosive injuries in hospitals. Three Russian Calibr missiles hit Victory Square. It is a densely populated area, near a maternity home, shopping centers, public transportation, parking area for cars, residential homes, the market, and no military facilities. A solar girl named Lisa, four years old, Russian rocket took her life in the square when a child and mother went to a speech therapist. Seven - year - old Maxim was tested at a medical center at the time of the rocket attack with his mother. The boy and mother died. Eight - year - old Cyril was in a parked car, and the boy died. By the end of April, Cyril and his mother had come from occupied Herson to visit relatives in Winnica. In Winnitz, Russian troops and the political leadership of Russia became the home of officers. In fact, it's a house of culture where there was a concert hall where for many years there were tours and concerts and a house on the first floor of which was a diagnostic clinic. The officers ’ home stood in World War II and became a symbol of stability in Winnice. The barbaric behavior of Russia, which completely ignores international humanitarian law and human rights laws, must be stopped immediately. Those responsible for these crimes must be held accountable for their actions. Russia's terrorist state has to recognize the world. Today, I want to thank all those who participated in the rescue operation in Winnice. Rescuers, doctors, police, psychologists, investigators all worked as the only mechanism. We are in pain for our city, as is the pain for Butch, Irpine, Kremenchuk, Dnipro, Kramatorski, Kharkiv, Odessa, Kyiv, Sumi, Mariupol, Mikolai, and all the Ukrainian cities where Russia kills peaceful people. Please pay tribute to the moment of silence to the memory of all those who died from Russian crimes, all those who died.
ParlaMint-UA_2022-07-18-m0.u4	The word is given to the Ukrainian National Deputy Klimenko Yulia Leonidini, the "Golos" faction.
ParlaMint-UA_2022-07-18-m0.u5	Please pass the word to Jurchisin. Thank you.
ParlaMint-UA_2022-07-18-m0.u6	Juršin Jaroslav Romanović, please.
ParlaMint-UA_2022-07-18-m0.u7	Dear colleagues! In the events that are currently taking place in Ukraine, it is important to remember what happened before full-scale Russian aggression to understand how relevant the problems that we have not yet solved, even though they can be solved by literally breaking down a single pen. On September 2, 2021, a historic meeting was held between President Vladimir Zelensky of Ukraine and President of the United States, Joe Biden, at which the parties agreed to ensure the appointment of the head of the Specialised Anti-Corruption Prosecutor's Office without delay. However sad this may be, this is still a serious decision that has not yet been implemented. And once again, the President was forced on July 17th, recently, literally yesterday, the day, to say that it is urgent to conclude the competition, that it is unknown who works on the committee, that it is unknown who until recently led the Attorney General's Office, that it is unknown that, in fact, those people who are in the Office of the President, Mr. Tatarov, are obstructing the appointment of the Head of the Specialised Anti-Corruption Prosecutor's Office. I would very much like to hear about such things as the removal of the Attorney General, the Head of the Security Service of Ukraine, not from the evening news, but to get a report on why this is happening, an explanation of why this is happening, because, in fact, like Parliament, we are responsible for the appointment of these people. I very much hope that the next assignment will not be delayed, as was the appointment of the head of the State Bureau of Investigation, and that the acting Attorney General will not work the year he was appointed, that is, the head of the State Bureau of Investigation. 'Cause if it's even a contest. today will be the decision of the court, and tomorrow will be the decision of the competition commission to appoint the director of the Special Anti-Corruption Prosecutor's Office, not to appoint him until the Attorney-General is present, because only the Attorney-General, not the acting prosecutor, has the authority to confirm the results of the competition. So, my friends, don't play the shuttle, don't put Tatar people in positions, and finally let anti-corruption infrastructure work independently. Thank you.
ParlaMint-UA_2022-07-18-m0.u8	Please, Taras Ivanovich Batenko, Future Group.
ParlaMint-UA_2022-07-18-m0.u9	Dear colleagues, the Ukrainian Parliament, like the entire country, are impressed by the latest personnel changes that await the state. We do. We understand that this can explain much about what happened and why it happened in the first months of the war, I'm talking about the surrender of Ukraine's territory, the potential surrender of Ukraine's territory, certain military failures that we had on the front and so on. So it's not just about Lee Quan Yu when the president gets rid of part of the corrupt and not just his military. Your environment, but it's also about potential treachery that we can't keep quiet during the war. I want to say that, in this case, we, as a Parliament, have to follow the entire discharge procedure provided for in the Constitution of Ukraine, so we are waiting for an appropriate submission. And we will certainly be supporting these submissions in the sessional room of Ukraine. Cleansing should take place not only in the echelons of the State’s legal system but also in the Ukrainian Parliament. And I'm talking here not only about the blacksmithing, but also about those who have been actively going around Moscow in the previous years and trying to get bilateral cooperation. Today, as colored foxes, they sit still in the Ukrainian Parliament and vote with us. Because if this cleanup doesn't happen soon here in the hall, it will happen through the involvement of Ukrainian society. I am deeply convinced of that. In this case, we support the President of Ukraine, who is taking these big steps towards preserving Ukrainian statehood and his personal example shows how courageous it is to hold the high mark of Ukrainian independence, of Ukrainian sovereignty. Friends, we have important bills this week, including the preservation of natural gas tariffs that apply to every citizen of Ukraine, especially the poor, to thermal energy and hot water. And we're going to increase the revenue portion of the budget by external lending to 264 billion dollars. I would like to draw your attention, Ukrainian society, to the fact that some of the highest public service payments were among the inhabitants of the occupied territories of Ukraine, particularly the Hersonian region in recent months. This indicates that their faith and return, the liberation of these territories, are not diminishing. And we have to do everything we can to get this territory back. We're also introducing a moratorium on tariff hikes. A moratorium on the state of war and six months after it was suspended, realizing that the burden lays on the state budget, but there is no other way out. We're going to these forced steps, realizing that we have to support low-security sections of the population. That's all we've been given.
ParlaMint-UA_2022-07-18-m0.u10	The word is given to the people's MP, Scorch of Mikoli, the "Platform for Life and Peace" group, please.
ParlaMint-UA_2022-07-18-m0.u11	People's MP Skork, Platform for Life and Peace. Mr. Chairman, distinguished colleagues, respected citizens of Ukraine! Since February 24, when you and I voted in favour of the state of war in this room, there have been great changes in Parliament. I believe that this division of parliament for the most part and the opposition, it remains February 23rd, and after February 24, we are the Ukrainian Parliament, which makes important decisions on the military component of protecting our state and on the socio-economic protection of our citizens and the economy. When we are in the regions of our country, you can see how many questions remain. This is also the question of our movers, which now, just the internally displaced, millions, we have to answer their questions from the point of view of helping them, providing them. It's also about preparing for the heating season, and our utilities, and our housing, and our educational facilities, medical facilities, etc. It's also about protecting our crops, from the point of view of blocking our ports, from the point of view of fertilizer prices, fuel prices, final production prices for our agrarians, the ability to sell final production and the understanding of what will happen next year. It's a question of protecting our small and medium-sized business. It's a matter of rehabilitation, both our military and those who were in the zone of military conflict, civilians. This is a huge number of questions. And all of these questions are related in one way or another to expenditure from the local and state budgets. And when you hear from our economic bloc the problems that are now in terms of filling the incomes of our budget, there are a lot of questions about how we are all these issues that are facing our citizens, in terms of the socio-economic sphere, before the state as a whole, how we are going to solve them from the perspective that there are problems in the money market, there are problems from the point of view of tax and customs coming. Because we're offering? What does our group for Life and Peace propose? We suggest that we restore, in order of the day of our meetings, the time of the government. To make it possible that this communication is closed. And to really discuss these issues openly, to Parliament and to the government, because we are the Ukrainian Parliament, even during the military state, we are the parliamentary-presidential Republic and we have.
ParlaMint-UA_2022-07-18-m0.u12	Thank you. Please, National Deputy Bondar Mikhailo Leontijovich. It's Vadimovna, please.
ParlaMint-UA_2022-07-18-m0.u13	Thank you. Good day to you all! Indeed, we are a country of soldiers and volunteers. I thank every Ukrainian for supporting our Armed Forces and for every contribution you make. Now the Dusty Foundation is working with volunteers and doubling every bracelet donated to our army. Only recently did the powdery fund and volunteers purchase 11 Italian armored MLS S.H.I.E.L.D. First export. For the first time, the export licence for the supply of military attributes was granted to volunteers and funds from Ukraine. This really shows a high level of trust. Unfortunately, this will not be discussed in the censored news of a single marathon, which is to be understood. So when I take this opportunity, I thank everyone involved for their help from the rostrum. In addition, 350 autotel drones were shipped to the U.S.S.S.A. for days in Estonia, including drones with thermal visions for reconnaissance. It's day and night. The purchases of 42 trucks from Britain, 50 new JAC and L200 pickups, and 2.5 thousand helmets, including 3,000 vests. This week alone, $5 million of aid will be transferred across the border. We are, indeed, protecting our warriors together and helping to destroy the enemy, including me and my Hospitalier unit, for eight years now, we have continued to save lives. And now, unfortunately, we have to save a few hundred people a day. This is a very large number of wounded. And I thank every fighter of mine for what he does. There's no more important mission now than supporting our army, providing it, preparing it for counterattack and fighting together to win, because we as a nation have no other way out, and only after us must there be a victory, otherwise we'll just cease to exist. And really, taking this opportunity, there's a situation here today in the Council, which has been very surprising to me, I don't understand why other deputies don't say this right now about a man who came in military form today without having the right to do it, who didn't serve or serve. And if he is serving, why are those who support the collaborators who support Lukashenko, who, in addition to everything else in March, tried to escape from Ukraine, how can this person possibly be here in military form? Please think about it, colleagues. And let's not embarrass our military.
ParlaMint-UA_2022-07-18-m0.u14	Thank you. Please, Aresonkov Vladimir Yuriovich, Trust Group. After that, Julia Volodymyrna Timoshenko and we are moving on to the day - to - day issues.
