Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Regular	MP	notMinister	SN	Servant of the People	-	Centre	ОлександрСергійовичКорнієнко.1984	Kornijenko, Oleksandr Serhijovyč	M	1984	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	ІнараМурнієце.1970	Murnijece, Inara	F	1970	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	ВікторіяЧмілітє-Нільсен.1983	Čmilitje-nil'sen, Viktorija	F	1983	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	ЮріРатас.1978	Ratas, Juri	M	1978	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ОлександрСергійовичКорнієнко.1984	Kornijenko, Oleksandr Serhijovyč	M	1984	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Regular	MP	Minister	frSN	Servant of the People Faction	Coalition	Centre	МиколаТарасовичСольський.1979	Sol's'kyj, Mykola Tarasovyč	M	1979	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u12	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-03-24-m0	ParlaMint-UA_2022-03-24-m0.u13	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 7, sitting day 2022-03-24, n0	2022-03-24	Unicameralism	9	7	-	2022-03-24	-	COVID,War	English	Regular	MP	notMinister	SN	Servant of the People	-	Centre	ОлександрСергійовичКорнієнко.1984	Kornijenko, Oleksandr Serhijovyč	M	1984	
