Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	АндрейПленкович.1970	Plenkovyč, Andrej	M	1970	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	МаксимМиколайовичХлапук.1984	Chlapuk, Maksym Mykolajovyč	M	1984	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Regular	MP	notMinister	frES	European Solidarity Faction	-	Centre-right	СофіяРоманівнаФедина.1984	Fedyna, Sofija Romanivna	F	1984	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Regular	MP	notMinister	frES	European Solidarity Faction	-	Centre-right	ІринаВолодимирівнаГеращенко.1971	Heraščenko, Iryna Volodymyrivna	F	1971	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Regular	MP	notMinister	frES	European Solidarity Faction	-	Centre-right	АртурВолодимировичГерасимов.1972	Herasymov, Artur Volodymyrovyč	M	1972	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u12	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ОлександрСергійовичКорнієнко.1984	Kornijenko, Oleksandr Serhijovyč	M	1984	
ParlaMint-UA-en_2022-10-18-m0	ParlaMint-UA_2022-10-18-m0.u13	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2022-10-18, n0	2022-10-18	Unicameralism	9	8	-	2022-10-18	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
