ParlaMint-UA_2019-10-29-m1.u1	Dear colleagues, please take your seats, prepare for registration.
ParlaMint-UA_2019-10-29-m1.u2	Dear colleagues, please prepare for work. We are about to begin our evening session. Dear colleagues, prepare for registration, please. Dear colleagues, I'd like to ask the national deputies to register. [[16:09:18]] There are 372 Ukrainian national deputies registered in the hall. I declare the evening session of the Supreme Council of Ukraine open. Ladies and gentlemen, let's move on to the subject. You're invited. We ask you to take your seats, because we will now consider the bill. Dear colleagues, you have been proposed a draft Act amending article 3 of the Ukrainian Act on State Social Assistance for Persons with Disabilities from Childhood and Children with Disabilities on raising persons with disabilities from childhood care allowance (registrations 2031 and 2031-1alternative). I would like to consider the above-mentioned bill in summary procedure. Please prepare for the vote. Ready to vote? Dear colleagues, are you ready? Dear colleagues, please support and vote. [[16:10:52]] For 202 Decision taken. The word for the report is given to the Ukrainian national deputy Tsimbaluku Mikhailovich.
ParlaMint-UA_2019-10-29-m1.u3	Dear Mr. Head, Your Honor, colleagues, distinguished Ukrainian people! We propose for consideration by the members of the Supreme Council a bill amending article 3 of the Ukrainian Act on State Social Assistance to Persons with Disabilities and Children with Disabilities on raising persons with disabilities from childhood care allowance (Law No. 2031). The National Deputies of Julia Timoshenko and several other members of our faction. The bill proposes to increase the amount of childcare allowances: persons with disabilities belonging to Group A (that is, Group I) from 75 to 150 per cent of the minimum of living for those who have lost their jobs; persons with disabilities belonging to Group B (that group I) from 50 to 100 per cent of the minimum of living for those who have lost their jobs; persons with disabilities. single persons with disabilities from childhood II and III groups who, according to the medical advisory board, require constant foreign care, from 15 to 75 percent of the living minimum for those who have lost their jobs. I emphasize that a social project is designed to raise the level of material security for people with disabilities. A few digits. On April 1st, 19th, social assistance to people with disabilities amounts to between a thousand and five hundred sixty-four dollars to three thousand 365, which is for a person with disabilities in subgroup A with a care allowance. You can only imagine how families can survive when a family member is obliged to care for them.
ParlaMint-UA_2019-10-29-m1.u4	Finish up, please, 10 seconds.
ParlaMint-UA_2019-10-29-m1.u5	I ask the National Deputies to respect those families who are called upon to raise and care for such children.
ParlaMint-UA_2019-10-29-m1.u6	Let me finish. Thank you. The word for the report is given to the head. I'm sorry. To present an alternative bill (registration number 2031-1) is given to the Ukrainian National Deputy to the Royal Natalia Jurijovni.
ParlaMint-UA_2019-10-29-m1.u7	Ladies and gentlemen, the opposition platform for life has prepared an alternative bill, because we believe that today it is essential to raise the level of social protection for people with disabilities. Over the past five years, the authorities have abused these people because not only did they not index payments but they also deprived them of all kinds of social security. And people expect us to take decisive steps with you to make a person with disabilities, especially a child with disabilities, feel protected and supported by the State. The bill that my colleague has just reported is a very good one, but we still suggest that we do it as a first step. In general, there is a need for a significant increase in state social assistance for people with disabilities from childhood and children with disabilities. And that's why we're proposing in our bill. First. This will double the level of state social assistance for persons with disabilities from childhood I, II, III groups and children with disabilities, as defined by the current standards of Law 2109. The other one. This will double the amount of care allowance for persons with disabilities in subgroups A and B and I of the group and children with disabilities defined by the current rules of Law 2109. Third. For persons with disabilities from Childhood II, the third group, who, according to the medical advisory board, require constant foreign care, increases the allowance from 15 per cent to 75 per cent of the subsistence minimum for those who have lost their jobs. Now they're really going to help people get even the social support they need to buy drugs for the rehabilitation process, and so we're going to propose and vote for both the first and the second bill that we do.
ParlaMint-UA_2019-10-29-m1.u8	Let me finish, please.
ParlaMint-UA_2019-10-29-m1.u9	So that we can begin today to face a complex solution to the problems of people with disabilities and children with disabilities. Today, this is one of the most important issues of social protection. Thank you for your attention, please support.
ParlaMint-UA_2019-10-29-m1.u10	Thank you. The report is given to the head of the Committee on Social Policy and Veterans’ Rights to the Third Party Galina Mikolayovni.
ParlaMint-UA_2019-10-29-m1.u11	Dear Chairman! Dear National Deputies! At its meeting on 16 October 2010, the Committee on Social Policy and Veterans' Rights considered a bill on State social assistance for persons with disabilities from childhood and children with disabilities on the promotion of persons with disabilities from childhood care allowance (registration number 2031), submitted by the Ukrainian National Deputies Timoshenko, Cimbaluk and others, and an alternative bill (number 2031-1), submitted by the Ukrainian People's Deputies of the Kingdom and the Solod. The bill, reported by Mikhail Mikhailovich Zimbaluk, is increasing. is proposed to increase the amount of care allowance for persons with disabilities since childhood. One of the government's strategic objectives today, as stated in the Government's Action Programme, is to improve public policy in the area of social protection and to increase the level of financial security for people and persons with disabilities, as well as those who care for them. National deputies, members of the committee, supporting legislative initiatives aimed at strengthening the social protection of persons with disabilities, expressed their position on a step - by - step increase in the amount of the care allowance. The Ministry of Social Policy, which was present at the committee meeting, supported this position and was ready to calculate the changes to the state budget in order to provide allowances for such care. The committee decided to recommend to Parliament the results of the first reading of the bill to adopt registration number 2031 as a basis. In preparing the bill for the second reading, the final decision will be taken by the committee, taking into account the position of the Cabinet of Ministers of Ukraine. Thank you. And I'm asking you to back me up.
