ParlaMint-UA_2020-11-05-m0.u1	Please approach the rostrum for a moment.
ParlaMint-UA_2020-11-05-m0.u2	Good morning, dear fellows! Good morning, media officials! Please prepare for registration. As long as the people's deputies take their seats, I'd like to inform you that two applications have been made. One of them is about a break with a replacement for a performance and one of them is about a real break from Fatherland, if I'm not mistaken, and European Solidarity. Dear colleagues! Tsakenko Maxim Mikolaiovich. [[B in m in s a l in]] We're going to register now, I understand, it's your salary. Are you ready to register? Ready. I'm reminded that registration takes place by clicking on the green button, the first button on the left. Please register. [[10:10:26]] For 250. Excuse me, there are 250 Ukrainian national deputies in the hall. The plenary session of the Supreme Council of Ukraine is open. Dear colleagues, today is the birthday of two of our colleagues: Victor Vasilovich Bondar and Ludmila Anatolyevna Buymester. [[Applause]] I wish you success, achievement, victory, and health first. Dear colleagues, Batenko Taras Ivanovich is invited to attend. After that, a break of 30 minutes, up to fifteen.
ParlaMint-UA_2020-11-05-m0.u3	Dear Dmitre Alexandrovich, distinguished fellow national MPs, a respected Ukrainian society! Yesterday what happened at the end of the plenary day is actually called a blackout. I'll remind the Ukrainian National Deputies that, in fact, following the initiative of Dmitri Alexandrovitch Razumkov in the last few days, there have been active negotiations in the session hall, which have resulted in a compromise on the delay for our microbusiness introduction, the introduction of RROs for small and medium-sized enterprises and the release of entrepreneurs during the pandemic from unjustified tax reporting. Unfortunately, this did not help, nor did it help that the compromise text of the draft procrastination bill was initially agreed upon, but was as a result broken down by a majority in Parliament. Already today, small and medium-sized businesses in a country that expected us to decide to support us yesterday may no longer believe any of our words, no promises and no sleepovers. Entrepreneurs are not interested in our political battalions, which take place in the session hall and outside the session hall, which go between branches of government today in Ukraine, entrepreneurs want to work and survive under pandemic conditions. With the prospect of surviving in these critical economic circumstances, whether we give them this prospect or we take it away. That is why we understand today the moods of the FOPs, who are deeply disappointed by yesterday's Parliament and Parliament's decision and can come back again and today call under the walls of Parliament. In fact, they want to announce the tax haven today. We don't need -- not society, not entrepreneurs, not ordinary citizens -- no venues that are just deepening today's economic crisis and the political crisis in the state. So we need to urgently restore the format of the microbusiness meetings with Parliament and all factions and groups and, without delay, come back to the session room today and tomorrow. In addition, we need to avoid cancelling the moratorium on checks and tax changes for small and medium-sized enterprises. The comprehensive moratorium introduced in 2014 is no longer in place. And the worst thing for entrepreneurs today is the tests of the State, of the State, and the RRO is just going to put the entrepreneur on his knees today in front of the state's fiscal pressure. Let us not let small and medium -sized enterprises die today. Friends, we will either support small and medium-sized businesses today in critical conditions of pandemic survival, when other countries of Europe do their utmost to not only survive but also experience minimal losses, or we will be silent witnesses to the disappearance of a large part of the middle class in our country. Thank you.
ParlaMint-UA_2020-11-05-m0.u4	Thank you. Dear colleagues, there's a break at 10:45. The heads of the MP factions and groups, please meet in my office.
ParlaMint-UA_2020-11-05-m0.u5	Dear colleagues, let's move on to our work. But not really. Again there was a statement about a break with a replacement for the performance. Iron. Lozinski Roman Mikhailovich.
ParlaMint-UA_2020-11-05-m0.u6	Roman Lozinski, the Voice faction. Dear Ukrainians and fellow MPs, I'd like to make a statement about the fact that the election is forging. Not in the United States, not in Nevada, not in Las Vegas, I know that everyone is now very active in overseeing elections in the United States, but I want to say about elections in Ukraine, especially in Opuhu, where yesterday at the office the representatives of various political forces -- the Voice, the European Solidarity, the Fathers, the People's Servants, the Strike -- were exposed to factual facts of falsification. And I'll explain what's going on. In the original protocol and in the protocol clarifying the results for the "For the Future Party" there are 40 votes. These detailed protocols were totally illegally enforced in the field. The head of the district commission comes to the district office and says, "It's not my secretary's handwriting, my seal is elsewhere, it's a totally fake document." So absolutely without any "art", without any "art", the "For the Future" party there received plus 40 votes in two areas: the music school and Jablouneva. There's no commission head in place, there's no commission secretary in place. But what is the result of such falsifications? This results in a plus one mandate for one political force and a minus one mandate for the Voice party in Opuch. I want to emphasize that this is not a political action, it's not a political position of one political power. I would like to emphasize once again that this fact has not only been recorded in footwear, but also the European Solidarity, the People's Servants, the Strike and the Fatherland Party. The territorial election commission does not give a detailed protocol to the representatives of these political forces. Tomorrow's election results have to be played. And we have ten differences in the original protocol and in the protocol specifying where the stamps don't match and where plus 40 votes in one district, plus 40 votes in the other area got the political force "For the Future." So I want to point out that we're taking this situation under our own control, we've made the appropriate statements of the electoral process representatives, the voters of the electoral process, to the law enforcement authorities. We're going to pursue and defend the vote count, and we're going to make clear the unprecedented and absolutely indicative facts that indicate the falsification of the election. And now, legally, we're going to demand that the results be established there legally, such as people actually voted, the voters in footwear, and similar situations in Borschagów and other cities. Thank you.
ParlaMint-UA_2020-11-05-m0.u7	I got it. The replica "For the Future" is the staff of Igor Petrovich.
ParlaMint-UA_2020-11-05-m0.u8	I want to tell the representatives of the Voice Party, if someone stole the votes, they have to sit in jail, in prison, whether it's a representative of the Party for the Future, or the Voice, or other political parties, and that's what law enforcement is supposed to do. And if someone has allowed it somewhere, let the law enforcement authorities handle it and put it in jail. But not from the rostrum of Parliament, it's to say that 40 votes have been stolen somewhere, but it's to have the honor of every district where you have representatives of your party, to accept honestly all the votes and to be honest in the Lviv region, which is in Ternopilsk, which is everywhere in Kiev. The person who stole should be in prison. If we have to count, we're just in.
ParlaMint-UA_2020-11-05-m0.u9	Irina Volodymyrna's character.
ParlaMint-UA_2020-11-05-m0.u10	Dear colleagues! Dear Ukrainians! You know, we're running out of votes in the United States, where the election took place on November 3rd, and Ukraine is probably waiting for someone to count the results of the election. I want to remind you that he is now fully responsible for the elections, for honesty and for making the votes transparent, the authorities themselves. And unfortunately, Zelensky and his team failed the fair elections. And as for Kiev, I would like to remind you that there was a disgraceful incident when our colleague, Mrs. Sumar, was pushed out of the room where the TVC is located on Borshtag. And in fact, I think there should be a reaction here not only to our political power, the Voice, which then came together to stop the crime, but also to the entire parliament. This is unacceptable right now all of these recalculations under which elections are being falsified throughout Ukraine. Zelensky and his CBC are responsible for this.
ParlaMint-UA_2020-11-05-m0.u11	Dear colleagues, I remind you once again that we have an epidemic, quarantine, masks, please. Oleg Sergiyovich Tarasov, I can name everyone by name, name, after my father. My colleague, please remind me. Put your masks on, please. Dear colleagues, during a meeting with representatives of the MPs and groups, the proposal was reached to consider the changes to the Budget Code now and then to consider the budget. It'll take about an hour, an hour, an hour. So there's a proposal to go over these two questions, then go over to the break that's scheduled for 12 to 12:30. Is there no objection? We work in this mode, and then we go back to the agenda of the plenary. Okay? Please prepare for work and vote. Dear colleagues, you have been invited to consider the draft Law amending the Code of Budgets (Registration No. 4100). It is suggested that this issue be considered in a simplified manner. Ready to vote? Ready? Please support and vote. [[11:00:32]] For 206 Decision taken. Dear colleagues, can you please tell me if it needs to be discussed, or should we vote and move on to the budget? We can vote. I'll bet you a vote. But here's an acceptance as a basis, and I understand it, on the basis and as a whole. Oh, no? Based on the base. All of it? We have to take it as a basis and generally in order to go to the budget. Right? Based on what? I am voting on the proposal for adoption on the basis of the draft Law amending the Code of Budgets of Ukraine (Registration No. 4100). Please support and vote. Nestor Ivanovich, we agreed without discussion, you were in the hall. [[11:01:50]] For 225 The decision is not taken. Leaders of the MP factions and groups, please come in.
