ParlaMint-UA_2020-02-20-m1.u1	Dear colleagues, please prepare for registration. Ruslan Alexiovich Stefanchuk
ParlaMint-UA_2020-02-20-m1.u2	Dear colleagues, before we prepare for registration, let's welcome today to the balcony of the 7-B class of the 7th-B plenary hall of the specialized school No. 80 of the Cave district of Kiev, the class leader of the Tolokotelov Svetlana Valentinovna. Hello! [[B in m in s a l in]] Would you like to welcome someone on the balcony, too?
ParlaMint-UA_2020-02-20-m1.u3	Sergey Volodymyrovich, did you not wish to welcome the students of the 7-B class? [[B in m in s a l in]] All your colleagues will be here in a moment. We're waiting for you. We're going to be 37, 38 again. Are you ready to register? Please register. [[16:04:14]] There are 222 registered in the hall. Please be prepared. Dear colleagues, come on. It didn't work, there's going to be another one that hasn't worked. I can see that I didn't work for everyone. It's a criminal offence if you're Victor Volodymyrovich. I see you didn't work either. Is everyone gonna be okay? Please register. [[16:05:52]] 244 national deputies registered in the hall. I declare the evening session of the Supreme Council of Ukraine open. Dear colleagues, we did not vote on the very significant amendment of 1050 Nestor Ivanovich Schufrich. I'll put her to the vote. Please identify and vote. [[16:06:23]] For-56 The decision is not taken. 1051.
ParlaMint-UA_2020-02-20-m1.u4	Dear colleagues, amendment 1051, once again, allows to manage areas above the limit size, the right of order is passed on to the authorized Cabinet of Ministers of Ukraine." And here again I want to point out to all of us that even though we don't accept this Cabinet of Ministers of Ukraine, we consider it to be some kind of complete misunderstanding in Ukrainian space, we understand the responsibility before the law and are concerned about the cooperation of various branches of government, with the hope that when this bill comes into effect after the referendum, only after the referendum, this Cabinet of Ministers of Ukraine will come into force, this misunderstanding will no longer be. Please support the amendment.
ParlaMint-UA_2020-02-20-m1.u5	I'm betting on the vote on a logical amendment of 1051 Schuffritch. Please identify and vote. [[16:07:58]] For-51 The decision is not taken. Cannot initialise Evolution's mail component. 1053, Schofrich.
ParlaMint-UA_2020-02-20-m1.u6	I see that the consideration of this bill is causing a lot of interest in our colleagues in the "Serial of the People" faction, and they're already coming up and reading the amendments that are being proposed. And I am absolutely convinced that in the near future they will understand the logic of our demands, and even more so, they will hear the people of Ukraine. I am still so naive, so romantic in our politics that I believe that "ministers of the people" (please, Mrs. Marino), that I believe that "ministers of the people" serve the people, not the Sorosovese lords outside Ukraine. But this will certainly be the subject of the next discussion. And as for the amendment, I'm asking you to support it. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u7	I'll bet you 1053 Schuffritch. Please identify and vote. [[16:09:25]] For-49 The decision is not taken. Cannot initialise Evolution's mail component. 1056, Schofrich.
ParlaMint-UA_2020-02-20-m1.u8	The corresponding amendment refers to paragraph 6 (we have not yet considered this issue) of article 130 of the Ukrainian Code of Land, and we propose that the relevant paragraphs be deleted, and we propose that article 130 of the Ukraine Code of Land be supplemented by the following provisions. "It is not possible to carry out and insert the results of an all-Ukrainian referendum on the sale-for-sales of agricultural land: the sale-for-sale of land-for-salt land and municipal property of land that has moved to municipal property, in accordance with paragraph 21 of Section X of the Ukrainian Code of Land.".. Please put this amendment to the vote.
ParlaMint-UA_2020-02-20-m1.u9	I'm betting on a 1056 vote, Schufrich. Please identify and vote. [[16:11:00]] For-53 The decision is not taken. 1057, Schofrich.
ParlaMint-UA_2020-02-20-m1.u10	Thank you. This amendment also applies to article 130 of the Ukrainian Code of Land, where we propose in 21 sections of Section X of the Ukrainian Code of Land in paragraph "b" the following: "Sales-sales or other means of alienating the use of land owned by citizens and legal persons for the maintenance of commercial agriculture, land-sales areas in kind (in the area) by owners of land particles (pails) for the maintenance of private agriculture, as well as land particles (pails), in addition to transferring them to inheritance, exchange (mines) according to part two of article 371 of the Ukrainian Code of Land."
ParlaMint-UA_2020-02-20-m1.u11	I'm betting on a 1057 vote, Schufrich. Please identify and vote. [[16:12:33]] For-50 The decision is not taken. Cannot initialise Evolution's mail component. 1059.
ParlaMint-UA_2020-02-20-m1.u12	Dear colleagues! As appropriate, the amendment regulates the issues of the areas of agriculture that are in state and municipal ownership and that are not privately owned, and any action on them is possible only after a nationwide referendum, which is the main requirement of our political power. But, dear fellows, I cannot, as Minister of Emergency Situations in the past, react to the insolent behavior of our individual citizens who oppose the acceptance of our citizens who have arrived from China from a region that has unfortunately been struck by the coronavirus. And Kharkiv took these people in. I don't understand how we can think.
ParlaMint-UA_2020-02-20-m1.u13	1059. I'll bet you a vote. Please identify and vote. [[16:14:08]] For-52 The decision is not taken. Cannot initialise Evolution's mail component. 1060.
ParlaMint-UA_2020-02-20-m1.u14	The next amendment also applies to the limitations that we demand, and they must be introduced to our firm belief in establishing a national referendum on the very possibility of purchasing land. But I would like to point out once again that today, unfortunately, certain regions of Ukraine have not been able to demonstrate unity with our citizens who have finally been brought home. And the fact that the city of Kharkiv has opened up the possibility and made it possible to accept our citizens is, in fact, a demonstration of who for the only Ukraine is and who only talks about it.
ParlaMint-UA_2020-02-20-m1.u15	I'll bet you 1060. Please identify and vote. [[16:15:37]] For-51 The decision is not taken. Cannot initialise Evolution's mail component. Nestor Ivanovich, with all due respect to you and your significant rights, you did not even have a Coronavirus when you gave them. But let's get closer to the subject. 1068.
ParlaMint-UA_2020-02-20-m1.u16	Mr. Dmitri, there is a responsibility of politics, a statesman, that even in the face of severe opposition in the Supreme Council of Ukraine, we cannot help but see what is happening around us. And what happened today in relation to our citizens, who were not actually allowed by individual activists to go home, to their home home country, cannot be overlooked. And as politicians, we need to unite around those people who did not show up for a good life and went out looking for their destiny in China. And we waited two weeks for their return. You know, well, I'll continue with the next one.
ParlaMint-UA_2020-02-20-m1.u17	Thank you. Nestor Ivanovich, if 1068 applied to this particular situation, a hundred percent would all support it. Yeah, let's see. I'll put her to the vote. Please identify and vote. [[16:17:31]] For-51 The decision is not taken, Nestor Ivanovich. 1070.
ParlaMint-UA_2020-02-20-m1.u18	Once again, I would like to point out that all amendments relating to the various aspects of land tenure and property regulation can only be considered after the main requirement of the Ukrainian people and our political power has been met. That is, "The Opposition Platform for Life" requires an all-U.S. referendum to be held, and only then to consider establishing procedures to be regulated by the Earth Code. As long as there is a real moratorium and there is no people's will, don't touch it. Thank you.
ParlaMint-UA_2020-02-20-m1.u19	I'll bet you 1070. Please identify and vote. [[16:19:04]] For-52 The decision is not taken. 1071.
ParlaMint-UA_2020-02-20-m1.u20	I cannot, once again, ignore all our listeners, as well as our parliamentary colleagues, on the basis of the position of our political power. We firmly oppose the adoption of the land sale law before the U.S. referendum. I would like to remind you that the principle of securing the peoples of the country was the main and first requirement and promise of both the President of Greens and the "Serve of the People" party during the elections. Sadly, history repeats itself: elections are over, and promises remain. If we don't have the referendum law, we're going to try this procedure today.
ParlaMint-UA_2020-02-20-m1.u21	Thank you, Nestor Ivanovich. 1071. Please identify and vote. [[16:20:36]] For-48 Not counted. 1072. This is part one of number 161, yes.
ParlaMint-UA_2020-02-20-m1.u22	Dear Chairman, Amendment 1062 refers to the sixth paragraph of Article 2. Article 130 of the Ukrainian Code of Land, in which we propose the following: To supplement article 130 of the Ukrainian Code of Land with the following provisions: "The land area of the agricultural destination, which does not belong to private property, cannot be alienated from the results of the nationwide referendum." And that's our main requirement. We're definitely against any transaction on sale, alienation of land before the U.S. referendum. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u23	I'll bet you 1072 votes. Please identify and vote. [[16:21:58]] For-50 The decision is not taken. 1075 axle.
ParlaMint-UA_2020-02-20-m1.u24	I cannot help but pay attention to one of the basic requirements and wishes of today’s landowners who fear that they will be forced to sell the land at no cost after the adoption of this law. They insist that they are guaranteed the right to rent land rations and to fight for an increase in their rent. And if someone needs to get money, it's probably worth being able to get credit for at least 10 years for a small percentage of their land pie, not to provoke the sale at no cost. I'm sure it would be supported. And the sale of land is possible only after the referendum. And this is ours.
ParlaMint-UA_2020-02-20-m1.u25	I'll bet you 1075 Schufrich's vote. Please identify and vote. [[16:23:31]] For-49 The decision is not taken. 1077.
ParlaMint-UA_2020-02-20-m1.u26	Dear colleagues, continuing the subject. We had the opportunity to communicate with landowners. They're really afraid of this law. And the main thesis that in many open-air discussions, which was broadcast by representatives of the "People's Servant" faction that Ukrainians want the opportunity to get money right away, can be provided through targeted loans to landowners under small percentages and long periods of time. And in this case, they would have kept both property rights, and they would have had the opportunity in case of an extreme need to get money that could be returned to state banks, exclusively state banks, for 10-15 years. And it's real.
ParlaMint-UA_2020-02-20-m1.u27	I'll bet you 1077. Please identify and vote. [[16:25:05]] For-54 The decision is not taken. 1078, Shufrich.
ParlaMint-UA_2020-02-20-m1.u28	Dear colleagues, nearly 11.5 million of our pensioners receive an average of about 2,000 dollars, while another working part of the Ukrainians receives an average of about $200 a month. Can you please tell me if they are able to buy a pie? From the very beginning, we today, by this law and the conditions laid down therein, provoke the sale for the priceless land of our landowners, which deprives them of their future prospects and guarantees the maintenance of our families. That is why we demand that a referendum be held so that the people can determine whether they are ready or not in their present state, our citizens.
ParlaMint-UA_2020-02-20-m1.u29	1078. Please identify and vote. [[16:26:37]] For-53 The decision is not taken. 1080.
ParlaMint-UA_2020-02-20-m1.u30	Dear colleagues! Today, public service debt is 64 billion dollars. And unfortunately, laws have been passed that are now repressive and make people unable to pay municipal services to sell their property. And the easiest thing is, after this law is passed, he'll sell his own pies. So in order to guarantee ownership, instead of reducing the cost of gas today, when there is a real possibility, the possibility of selling land pies today is being provoked, protecting rights.
ParlaMint-UA_2020-02-20-m1.u31	Thank you, Nestor Ivanovich. There is 1080 national deputy Shufrich Nestor Ivanovich to vote. The committee's proposing a rejection. Please identify and vote. [[16:28:13]] For-51 The decision is not taken. Nestor Ivanovich, the following is your order 1081. The only thing I'd like to do is talk to you about it.
ParlaMint-UA_2020-02-20-m1.u32	Mr. Chairman, all my arguments have to do with the amendments. One of them, and who today responds with all the amendments and with our main requirement, namely the holding of an all-U.S. referendum. I remind you once again, the main bearer of power in our country is the Ukrainian people. And 72 percent of our citizens are absolutely against such irresponsible market introductions. The land can be sold once. And this law will cause the sale of land to be priceless. And there are many reasons that can force our citizens to sell land and leave.
ParlaMint-UA_2020-02-20-m1.u33	Thank you. There is a vote of 1071 people's deputies, Shufrich. Please identify and vote. [[16:29:49]] For-57 The decision is not taken. Next line 1072, please Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u34	I want to take another look at why we insist on holding a referendum just before passing any laws to give the opportunity to buy land. The purpose of land reform and the introduction of the Earth Code was to enable self - organization for the assistance and support of the state of about 1.5 million farms, involving 6 million of our citizens and family members. And this system, which is proposed in this law, will stimulate the Latin American and African systems of farming for the benefit of large agroholdings, where Ukrainian farmers will become mercenaries and.
ParlaMint-UA_2020-02-20-m1.u35	Thank you, Nestor Ivanovich. There is a vote of 1072 people's deputies, Shufrich. The committee turned her down. Please identify and vote. [[16:31:25]] For-54 The decision is not taken. Next line 1074, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u36	At the very request of the real owners of our land, we insist that we hold a referendum on the very possibility of buying land. Today we want to encourage our agroholdings, which now dominate the land market to raise the cost of rent and compete with farmers for land processing rights. And let our landowners choose either to process their land themselves or to create competition for the right to rent their own pies. And by that, they can get a loan to solve permanent issues. And this is all to be answered by the fundamental principle of the peoples of the government -- the national referendum.
ParlaMint-UA_2020-02-20-m1.u37	Thank you, Nestor Ivanovich, for a thorough explanation. There is a vote of 1074 people's deputies, Shufric. The committee's proposing a rejection. Please identify and vote. [[16:32:59]] For-52 The decision is not taken. Unfortunately, Nestor Ivanovich. Next line 1086. Please, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u38	Why we have today because of the principle, through the real machinery of the people's government, which is the referendum, which our political power insists on, to guarantee the right of our landowners to defend their interests with regard to the establishment of a just principle of the formation of the value of the land. Today, our farmers have no opportunity to compete with agroholdings that control hundreds of thousands of hectares of land, and they have an interesting result in the average room. And the farmer in his own area will provide the maximum result that, by the way, will increase the food security of our country and will generally raise the principles and foundations of our country's national security. It's not about the money. It's about your family.
ParlaMint-UA_2020-02-20-m1.u39	Thank you, Nestor Ivanovich. It's the 1086th People's Deputy Shufrich vote. There is a committee proposal to ignore. Please identify and vote. [[16:34:39]] For-51 Unfortunately, no decision is made. The next important systemsetting line is 1078. Nestor Ivanovich, please.
ParlaMint-UA_2020-02-20-m1.u40	We are now talking about the need for reforms, about Euro-integration. But I am absolutely convinced that one of the main things about a demonstration of the desire to see us in Europe would be the lack of quotas for exports of our agricultural products to the countries of the European Union. And at a time when there are real quotas that limit our ability to place goods in the European Union, this is a real demonstration of the European Union's desire to see us in their family. Taking advantage of our people, the possibilities of our markets, the raw opportunities are, and bringing us into real cooperation.
ParlaMint-UA_2020-02-20-m1.u41	Thank you, Nestor Ivanovich, for the thorough explanation. Amendment 1078 of the Shufric People’s Deputy is subject to a vote. Unfortunately, the committee rejected the amendment. Please identify and vote. [[16:36:20]] For-56 The decision is not taken, Nestor Ivanovich. Next 1090, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u42	Continuing the previous thesis, which once again highlights the real desire to see us in the European Union, I cannot help but draw attention to the following figures. And in the early 1990s, when we got independence, the total number of animals involved in the agar sector was 25 million, now 3 million. This is a real demonstration of what happened and what the conditions in which we are offered to work today have proved. First of all, we need to give the opportunity to restore the quantity and quality of our production in the agricultural sector, to provide.
ParlaMint-UA_2020-02-20-m1.u43	Dear colleagues, the order of 1090 People's Deputy Shufrich. Unfortunately, the committee has rejected this amendment, perhaps the Hall will. Please identify and vote. [[16:38:00]] For-60 The decision is not taken. 1095, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u44	Why did this happen? Because the private owner’s interest in keeping the livestock of the household was killed. As a result, instead of moving to producing grains of a different quality, we have succeeded in producing 44 percent of our exports at the expense of agricultural production, and most of them are grains. And that's why the conditions are now in place for farmers to sell agroholding grain and not interested in keeping the livestock. That's why we ask, let the landowners, the people of Ukraine in the referendum, decide whether it's worth provoking today's market.
ParlaMint-UA_2020-02-20-m1.u45	Nestor Ivanovich, will you insist on this? Yeah. Dear colleagues, the 1095th People’s Deputy Shufric votes. The committee didn't support it, it rejected it. There is a proposal to identify and vote. [[16:39:42]] For-52 The decision is not taken. Next line 1096, Nestor Ivanovich. [[B in m in s a l in]] 1096, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u46	Thank you. You know, we're criticizing the Association Agreement, and after studying all the aspects of this agreement, we've pointed out that there's no requirement for a land market. So what I'm stressing is, once again, is that it's an order from the outside and ordering individual agrohholdings who want to take advantage of the poverty of our people and collect two-thirds of the territory of Ukraine that is now provided by agrarian lands. Two thirds of the earth after the adoption of this law can become property of four.
ParlaMint-UA_2020-02-20-m1.u47	Thank you. Dear colleagues, the order of 1096 People’s Deputies of Shufric is now under way. The committee turned her down. Please identify and vote. [[16:41:15]] For-53 The decision is not taken. Next line is 1097. Please.
ParlaMint-UA_2020-02-20-m1.u48	I'll read the amendment.
ParlaMint-UA_2020-02-20-m1.u49	No, it's written.
ParlaMint-UA_2020-02-20-m1.u50	Paragraph 3 of the second part of article 130 of the Ukrainian Code of Land, which reads as follows: "The marginally permissible size of the land of agriculture in the territory of a residential area owned by a natural person or by a legal person of private law may account for up to 10% of the total number of agricultural land assigned to this inhabited site." I reiterate that by defending the right of the Ukrainian people in the referendum to speak out on the very possibility of purchasing land, we are now ready for a deep discussion.
ParlaMint-UA_2020-02-20-m1.u51	Thank you, Nestor Ivanovich. That's up to 10 percent. Did I get it right, Nestor Ivanovich? Up to 10. How long before that was, Nestor Ivanovich? Thank you. It's 1097 votes for the People's Deputy Shufrich. The committee turned her down. Please identify and vote. [[16:42:58]] For-54 The decision is not taken. Next line is 1098.
ParlaMint-UA_2020-02-20-m1.u52	I've got the microphone on now. I can answer that. There are many different regions, but unfortunately there were examples of more than ten percent. And that's why we're offering the right range. As for the next amendment, we insist today that the settlement of any issue of the very possibility of purchasing Ukrainian land can be settled and considered only after the Ukrainian people have agreed to this process at the national referendum. That's why we insist that we not talk about the principle of the people's government, but that we actually provide it and hold a national referendum on a question that is now very painful for our people.
