ParlaMint-UA_2020-03-03-m1.u1	Good evening, dear colleagues. Please prepare for registration.
ParlaMint-UA_2020-03-03-m1.u2	Dear colleagues, please invite the national deputies to the hall. Dear colleagues, prepare for registration, please. Invite the national deputies to the hall. Are you ready to register? Dear colleagues, please register. [[16:04:49]] There are 266 Ukrainian national deputies registered in the hall. I declare the evening session of the Supreme Council of Ukraine open. Dear colleagues, we're back on the agenda. Nikita, 2145. Don't insist. Yvchenko, 2148.
ParlaMint-UA_2020-03-03-m1.u3	Vadim Yvchenko, "The Fatherland" faction. Dear colleagues, once again, I would like to say that we need to implement a mechanism from speculators to resell land. We have a huge number of my colleagues' rights: both Nikolaynka and Kirilenko, now Maidic, Yvchenko, on the basis of what we offer, for example, if the land was privatized for free, such a buyer has no right, for example, to sell 3 years or 7 as the committee determines. What does that mean? This means that we're going to take the entire corruption component away when they're handing over the land to their people, and then they're going to sell it to certain customers in two hours. Yes, there were anticorruption, for example, studies of appropriate channels where 400 acres [400 ha] of land in the Opuchiv region was broken up, and two years later these cadastral numbers were viewed, and this land belongs to 7 people. And so in most regions.
ParlaMint-UA_2020-03-03-m1.u4	Thank you. I'm betting on the vote number 2148 Ichchenka. Please identify and vote. [[16:06:45.]] For-78 The decision is not taken. Cannot initialise Evolution's mail component. 2144, Francis Igor Pavlovich. Igor Pavlovich!
ParlaMint-UA_2020-03-03-m1.u5	Thank you, Mr. Head. Mikola Tarasovich, this right was concerned with the possibility of controlling the sale and cost of land sales of agricultural destinations, which would be implemented in the order of the enforcement bidding. That is, if a certain institution is defined by law to implement it, it is this right that regulates the cost of the service of this institution so that it is not overstated. This will allow our citizens to be able to guarantee payment of such an electronic playground or such an establishment that it is not overstated. Please take her into account. Thank you.
ParlaMint-UA_2020-03-03-m1.u6	Thank you. Committee position.
ParlaMint-UA_2020-03-03-m1.u7	Mr. Igor, you know, we've discussed this, we've got the state and municipal land, that's exactly what your amendment is, it's looking at, these are auctions, and including those issues that we mentioned in 2195, which we also adopted in the first reading. Remember, we discussed this. And part of a friend of yours is, if I'm not mistaken, to the 211th responsibility. There's a similar point "g" already in the current Earth Code.
ParlaMint-UA_2020-03-03-m1.u8	I'll bet you a vote. Don't insist. Next. Next line 2149, Skrum. Don't insist. 2150, Nastajchenko.
ParlaMint-UA_2020-03-03-m1.u9	Valentin Nastavajchenko, faction of the Fatherland. Dear citizens of Ukraine, we are not simply in Parliament today, we are speaking with your voice today, and we want your voice to be heard by "The Servants of the People." What is really important for Ukrainian citizens? First of all, it is important to preserve the right of citizens to own land. Moreover, justice on earth must be restored. And now, think about it, 2,000 149 steps have been taken from justice on earth, ignoring the amendments that the Fatherland faction insists on, and we, as a whole group. You're driving people away from justice on earth and you're pushing for an affair called "selling away Ukrainian land for nothing." It's the same thing this time. 2150 refers to the right to terminate the lease. But for whom? For the Ukrainian, for the owner. I insist on that.
ParlaMint-UA_2020-03-03-m1.u10	Committee position.
ParlaMint-UA_2020-03-03-m1.u11	Committee position. They were just against this arrangement and the like. Because if Parliament, at the level of law, apparently allowed the duration of leases, emphyteussis and other land-related contracts up to 49 years of age, and they had been signed voluntarily by the parties, and more so, the part of such contracts had developed in a partially inactive field related to gardening and others. There are also associations against this standard. What's more, the committee is considering bills submitted by your faction colleagues to make the minimum term 25 years on individual contracts. The committee's position is against it.
