Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0002par0031	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	RecepTayyip.Erdoğan	Erdoğan, Recep Tayyip	M	1954	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0003par0051	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0004par0055	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kemal.Kılıçdaroğlu	Kılıçdaroğlu, Kemal	M	1948	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0005par0065	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0006par0069	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Regular	MP	notMinister	MHP	Nationalist Movement Party	Opposition	Right to far-right	Devlet.Bahçeli	Bahçeli, Devlet	M	1948	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0007par0083	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0008par0085	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	Pervin.Buldan	Buldan, Pervin	F	1967	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0007par0086	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0009par0089	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	Gültan.Kışanak	Kışanak, Gültan	F	1961	
ParlaMint-TR-en_2013-04-23-tbmm-T24	tbmm-2013-04-23sit01spe0010par0103	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 95	2013-04-23	Unicameralism	24	3	95	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
