Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u1	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u2	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	AnteroLaukkanen	Laukkanen, Antero	M	1958	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u3	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	PeterÖstman	Östman, Peter	M	1961	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u4	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u5	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u6	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u7	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u8	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	EeroHeinäluoma	Heinäluoma, Eero	M	1955	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u9	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	ArjaJuvonen	Juvonen, Arja	F	1967	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u10	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	EeroLehti	Lehti, Eero	M	1944	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u11	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u12	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Regular	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u13	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	PiaViitanen	Viitanen, Pia	F	1967	
ParlaMint-FI-en_2015-11-27-ps-72	ParlaMint-FI_2015-11-27-ps-72.u14	Minutes of the Finnish Parliament's plenary session 72/2015, 2015-11-27	2015-11-27	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 72	2015-11-27	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Coalition	Right to far-right	LeenaMeri	Meri, Leena	F	1968	
