ParlaMint-FI_2015-06-10-ps-18.u1	The committees have chosen their chair and vice-presidents as follows:
ParlaMint-FI_2015-06-10-ps-18.u2	The third item in the order of business will be presented for discussion. Stefan Wallin is requesting an exemption from the alternate member of the Committee on Finance. The Council of Presidents shall support this request.
ParlaMint-FI_2015-06-10-ps-18.u3	A fourth item in the order of business will be presented for second reading. It is now possible to adopt or reject the draft law, the content of which was decided at first reading.
ParlaMint-FI_2015-06-10-ps-18.u4	The 5th item of the order of business will be presented to the second reading. It is now possible to adopt or reject the legislative proposals, the content of which was decided at first reading.
ParlaMint-FI_2015-06-10-ps-18.u5	A point of order 6 will be presented for the first reading. This is based on the report by the Committee on Transport and Communications, LiVM 1/2015 vp. The content of the draft law is now being decided.
ParlaMint-FI_2015-06-10-ps-18.u6	Mr President! In line with the government’s proposal, it is certainly advisable to continue the ban on the marketing of mobile telephone subscriptions on a fixed-term basis. No citizen has complained to me, at least not that telephone operators no longer call home subscriptions and telephones, and operators have also been reasonably satisfied with this ban. However, there are problems with other telephone sales and telecommunications marketing. In particular, there are problems with the sale of Internet subscriptions. There is aggressive sales, and people have doubts about what they have finally bought. In addition, I think it is problematic to restrict telephone lines to the prohibition of telecommunications marketing, as the telecommunications and mobile telephone trade is a wider issue and is a wider problem and there are indeed problems here for the sale of other types of contracts. I am sure that this law as such is all right, and it is good to continue this on a fixed-term basis, but I would see that, when this law is coming to an end, we will have to return to the matter and we will have to make a more definitive decision on this telecommunications marketing. It is not possible to go ahead with such a limited period of time in a single contract field. We need to make decisions that are broader and that concern the wider distribution of communications, telecommunications and mobile contracts, and the wider scope of the rules on telephone sales. Probably the best solution would be that in future the purchase made on the phone should be verified in writing by e-mail, SMS or letter, for example. At some point we will have to resolve these problems in telephone sales and deal with them in a comprehensive way. - Thank you.
ParlaMint-FI_2015-06-10-ps-18.u7	I'll ask the gym to shut up.
ParlaMint-FI_2015-06-10-ps-18.u8	Mr President! I would like to thank Mr Sarkki for raising this theme. Many people here think that it is easy to heal the world in such a way that it does not feel at all. This is certainly one small thing, but it is great that we have managed to put it in order with such a temporary solution, which is now being continued in this proposal. I am glad that in this Chamber we have found each other in order to make this right. So the question is that very much of the problem we had in the past was that telephone companies sold directly by number subscriptions, new subscriptions, also to people who were not necessarily in control of what would come out of this. We had a lot of pensioners and their relatives complaining that three subscriptions could have been sold to a person, and then the numbers from the previous ones were changed, and there were a number of complaints made to the Finnish Communications Agency which led to the eradication of the very special practice that we had in our current practice with this interim solution. And I am also pleased that this was finally accepted by the industry. This was a big decision at the time, and it is great that we can now agree in this Chamber that this practice will even continue as a temporary one. And I also agree that this should be made permanent.
ParlaMint-FI_2015-06-10-ps-18.u9	Mr President! After all, this government proposal is a continuation of the 2011 Government proposal, which was submitted to Section 65 of the Communications Market Act, and that section itself was transferred to the Information Society Code, which was established by the previous Parliament. The question is therefore that mobile telephone subscriptions must not be marketed by telephone to customers other than at their own request. Of course, the mobile company in which the customer is a customer can market. This problem arose in time from the fact that telephone marketing was quite aggressive with regard to subscriptions, and many older people in particular found themselves in a situation where they did not even know what they had bought. These became a very large number of consumer complaints. Now that this ban on telephone marketing has been in force for a limited period of time, the number of consumer complaints has fallen and the situation has calmed down. It is a very good thing that this ban on telephone marketing is now being extended for three years, and now, over this three-year period, the situation must be clarified and assessed as to whether this should be made permanent and how telephone marketing should then be regulated in this country at all.
ParlaMint-FI_2015-06-10-ps-18.u10	Madam President! The information society cycle was one of the largest entities in the last parliamentary term that was decided upon. A great many laws were incorporated into the same package of laws, and this has proved to be a good thing. This ban and restriction on telephone marketing was also a part of this, and it is, of course, a good thing now that this deadline is extended. The government's proposal is good for it, but when the first speaker drew attention to the fact that it should not be limited to telephone matters alone, the Committee on Transport and Communications has also drawn the same attention in its own draft report. It is clear here that 'the Committee drew attention to the need to find solutions to the problems caused by the sale of various goods to consumers in general'. This issue must also be resolved in such a way as to be seen in the future. This is what I wish for.
ParlaMint-FI_2015-06-10-ps-18.u11	The 7th item of the order of business will be presented for the referral. The Council of Presidents proposes that the matter be referred to the Audit Committee.
