Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u1	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u2	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u3	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u4	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u5	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u6	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u7	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u8	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Opposition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u9	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u10	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
ParlaMint-FI-en_2015-05-29-ps-12	ParlaMint-FI_2015-05-29-ps-12.u11	Minutes of the Finnish Parliament's plenary session 12/2015, 2015-05-29	2015-05-29	Unicameralism	Vaalikausi 2015	Valtiopäivät 2015	Täysistunto 12	2015-05-29	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariaLohela	Lohela, Maria	F	1978	
