Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5811	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5812	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	NeimarlijaHilmo	Neimarlija, Hilmo	M	1950	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5813	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5814	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	LimovTomislav	Limov, Tomislav	M	1954	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5815	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5816	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	LimovTomislav	Limov, Tomislav	M	1954	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5817	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5818	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	ČengićHasan	Čengić, Hasan	M	1957	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5819	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5820	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5821	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5822	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	LimovTomislav	Limov, Tomislav	M	1954	
ParlaMint-BA-en_2006-04-06-0	ParlaMint-BA_2006-04-06-0.u5823	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 56	2006-04-06	Unicameralism	4. mandat	-	Sjednica 56	2006-04-06	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
