Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Guest	MP	notMinister	-	-	-	-	DelBassoDeCaroUmberto	Del Basso De Caro, Umberto	M	1953	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	AlbanoDonatella	Albano, Donatella	F	1958	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	AlbanoDonatella	Albano, Donatella	F	1958	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Guest	MP	notMinister	-	-	-	-	BorlettiDellAcquaBuitoniIlaria	Borletti Dell'Acqua Buitoni, Ilaria	F	1955	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	ScaliaFrancesco	Scalia, Francesco	M	1962	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	ScaliaFrancesco	Scalia, Francesco	M	1962	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2016-01-28-LEG17-Senato-sed-568	ParlaMint-IT_2016-01-28-LEG17-Senato-sed-568.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 568, Day (2016-01-28)	2016-01-28	Upper house	17 Legislatura	-	-	568 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
