Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18572	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18574	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VukojeMarin	Vukoje, Marin	U	-	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18575	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18576	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18577	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18578	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	PandurevićAleksandra	Pandurević, Aleksandra	F	1974	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18579	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18580	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VukojeMarin	Vukoje, Marin	U	-	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18581	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18582	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VukojeMarin	Vukoje, Marin	U	-	
ParlaMint-BA-en_2017-07-05-0	ParlaMint-BA_2017-07-05-0.u18583	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 48n	2017-07-05	Unicameralism	7. mandat	-	Sjednica 48n	2017-07-05	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
