Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u0	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Chairperson	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u1	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	IturrateIbarra	Iturrate Ibarra, Iñigo	M	1963	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u2	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Chairperson	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u3	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Chairperson	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u4	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	IturrateIbarra	Iturrate Ibarra, Iñigo	M	1963	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u5	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	UrkulluRenteria	Urkullu Renteria, Iñigo	M	1961	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u6	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Chairperson	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u7	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	IturrateIbarra	Iturrate Ibarra, Iñigo	M	1963	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u8	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Chairperson	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u9	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Regular	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	UrkulluRenteria	Urkullu Renteria, Iñigo	M	1961	
ParlaMint-ES-PV-en_2020-09-05	ParlaMint-ES-PV_2020-09-05.u10	Basque parliamentary corpus ParlaMint-ES-PV-en, 2020-09-05	2020-09-05	Unicameralism	Legegintzaldia XII	Osoko Bilkura 6-6	-	2020-09-05	-	COVID	English	Chairperson	MP	notMinister	EAJ/PNV	Euzko Alderdi Jeltzalea	Coalition	Centre	TejeriaOtermin	Tejeria Otermin, Bakartxo	F	1971	
