ParlaMint-NO_2021-11-17.ana.ud541e28	The representative of Mr Wetrhus Thorsvik will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e33	On behalf of the representatives of Ola Elvestuen, André N. Skjelstad, Alfred Jens Bjørlo and myself, I propose to strengthen animal welfare for farmed animals.
ParlaMint-NO_2021-11-17.ana.ud541e38	The representative, Andreas Shelg Unneland, will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e43	On behalf of the representatives of Marian Hussein, Kathy Lie and myself, I would like to make a proposal to amend the penal code to prevent the sexual exploitation of children.
ParlaMint-NO_2021-11-17.ana.ud541e48	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e53	On behalf of Sylvi Listhaug, Tor André Johnsen, Silje Hemdal, Himanshu Gulati and myself, I have the honour to make a proposal on the general armament of the police.
ParlaMint-NO_2021-11-17.ana.ud541e58	The representative, Mr Kristjánsson, will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e63	On behalf of Marie Sneve Martinussen and myself, I would like to make a proposal for the return of holiday pay to the unemployed.
ParlaMint-NO_2021-11-17.ana.ud541e69	The representative, Helge André Njåstad, will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e74	On behalf of Bengt Rune Strifeldt and myself, I am delighted to make a proposal to facilitate the choice of the municipality and the inhabitants of Alta itself.
ParlaMint-NO_2021-11-17.ana.ud541e79	The representative, Frank Edvard Sve, will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e84	On behalf of Sylvi Listhaug, Helge André Njåstad, Silje Hämdal and myself, I am delighted to present a proposal on the current situation in Geirangerfjord following the decision on zero emission for cruise ships.
ParlaMint-NO_2021-11-17.ana.ud541e89	The proposal will be managed in accordance with the rules of procedure.
ParlaMint-NO_2021-11-17.ana.ud541e105	The Storting received on Monday's notice from the Prime Minister's office that the state councillors Ola Borten Moe, Espen Barth Eide and Ingvild Kjerkol would meet for oral Question Time. Yesterday, the Storting got a message from the Prime Minister's office saying that the State Council, Ola Borten Moe, is still unable to participate in the Question Time due to illness. Government councils Espen Barth Eide and Ingvild Kjerkol are present, and we are ready to start the oral question time. We then begin with the first main question, which is from the representative Tone Wilhelmsen Trøen.
ParlaMint-NO_2021-11-17.ana.ud541e114	Many elderly people are lonely in old age. Some feel unsafe at home because the house is not arranged for a body that may not be as crack as before. The door frame is high, the stairs up to the other floor can be too heavy. Many people miss the opportunity to shop for themselves and to be able to meet others around a coffee cup when they fail and the house you live in is a piece away from the village center. It's just the social community that falls away when the distance gets too large and the threshold is too high. The right answer to these challenges has been to launch a project to build security housing that is centrally located near the store, the library, the café and the medical centre, so that the road becomes short and safe, both to the neighbor to turn off a chat and to the shop to shop for milk and bread. Without a plan to allow older people to live longer at home, the Workers' Party and the Centre have now removed the entire project of security housing from their adjusted state budget. In the summer, before she became a health minister, Ingvild Kjerkol said to the NRK that the idea of security housing was so good that she thought they had to be built throughout the country, not just in the district municipalities. Then I would like to ask the Council of State Ingvild Kjerkol: what has changed for the Council of State in the last few months?
