ParlaMint-NO_2021-12-08.ana.ud311e28	The representative, Mr Kristjánsson, will present a proposal for a representative.
ParlaMint-NO_2021-12-08.ana.ud311e33	On behalf of the representatives of Bjørn Moxnes, Marie Snee Martinussen and myself, I would like to make a proposal for a representative to extend the crisis arrangements for workers.
ParlaMint-NO_2021-12-08.ana.ud311e38	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2021-12-08.ana.ud311e54	On Monday the Stortinge received a message from the Prime Minister's office saying that Prime Minister Jonas Gahr Støre will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We'll start with the first main questions, from the representative Tina Bru.
ParlaMint-NO_2021-12-08.ana.ud311e63	Many families around Norway are now entering Christmas with an insecurity they have never known before. Power prices are still record high, and for many people in very common homes and homes, this could mean an extra bill of several thousand dollars a month this winter. For others, those who are extra vulnerable and dependent on housing or social assistance, it goes without saying that this situation is intolerable. Therefore, as early as October, the Right promoted a proposal to increase housing support and social assistance to help this group. The size was behind this, and the government has followed up. That's good. But since then the situation has deteriorated. The winter seems to be getting even tougher for more. The government has said that they are working with new measures, yet they are presenting nothing new today. Except for the 100 000 who qualify for housing support, and a loan to students of NOK 3000, solutions are still lacking for all those who are currently struggling with electricity bills, e.g. the vast majority of families with children, pensioners and sociable incomes, who are unable to bear this shock bill. That's why the Right proposed a solution last week that will hit most, but still be focused on those who need it the most. The government has now spent a month and a half working on solutions. The solution is still more housing support, but for everyone else it's still in blue, so my question is, what kind of security can the Prime Minister give these families here today before Christmas?
ParlaMint-NO_2021-12-08.ana.ud311e72	I share the representative's involvement in this situation. It is strong to hear stories from families, families with children, pensioners and students who experience the high power prices that are simply intervening in their lives – they worry, they can sit on cold rooms. It makes a strong impression. Therefore, the government has also been concerned about this from the acquisition. We entered with our additional number and increased the electricity charge cut, in addition to the government of the representative Bru. That means it's going to be a henimot 50 pst. reduction in the electricity charge in January, February and March. We increased housing support – a broad consensus here in Stortinget and protected against social support – and in our additional number we have also increased Enova’s payments to support households. So we've been working on finding good solutions that now can really hit in an extraordinary situation. That is why we have today put forward two schemes that we know, which can be started quickly – before Christmas, if the Storting will. There is once again an increase in housing aid, which is to hit those most affected. There is also a loan and grant scheme that provides relief for the students, who also experience that they lose jobs because of the coronary situation. We also need to have a dialogue with the electricity companies to look at the possibilities for deferral of payment. But a broad solution isn't in blue, it'll come in a very short time. It is intended to take the household, the follow-up to the decision of the Storting, the ones who are struggling. We're going to have a broad solution that will ensure that the state, which takes extraordinary incomes in this power crisis, gives back money to households, which have extraordinary challenges, but that system must be solid. So we haven't had this situation for 25 years, so we need to develop a system that can work and work quickly, and get started in December/January. Within hours or a day or two, this arrangement is in place. It's going to hit broadly, it's going to meet the households, and it's going to help the households.
ParlaMint-NO_2021-12-08.ana.ud311e83	It's nice to hear that the government again sends signals that arrangements are right around the corner, but we've heard that for quite a long time, so we'll probably just keep waiting in suspense. I also hope that this is a scheme that will hit more than just housing beneficiaries, for example, because there are several people who need help now, and it would be nice if the Prime Minister could say something about the size of such a scheme. For example, the solution you're presenting today costs 600 million. kr, but when the state and municipalities around the country earn a two-digit billion on the high electricity bills, money from ordinary households, does the Prime Minister think it is right and fair that the state should only use a fraction of it to compensate the same households? Or is it now a powerful package, with large amounts, that helps those who need it?
ParlaMint-NO_2021-12-08.ana.ud311e90	No, it's not fair for the state not to compensate for it. That's an extraordinary situation. We haven't had such a situation in the 25 years we've had the Nordic power market, and the state gets high revenues. That is why it will be a powerful effort, and it will be about billions. But it has to hit, and in the same way as in the Korona crisis, where we had to make arrangements – I think the government of the representative Bru erfahrte – this is compensation schemes that you don't have initially, so which channel to use. We're almost in the measure of it. It's going to be about getting into the electricity bills of people, of households, and adding a good compensation that makes you over a certain level, when we have high electricity prices, you get compensated. But I want it to hit, and it has to be solid and repulsive. Then we use the hours needed to talk to the parts of the apparatus that are going to deliver this, that are going to be responsible for doing that, and it's almost there. Then there are the familiar arrangements we know: housing support, students getting help – and a powerful package, which is right around the corner.
ParlaMint-NO_2021-12-08.ana.ud311e95	There will be follow-up questions – Tina Bru.
ParlaMint-NO_2021-12-08.ana.ud311e100	Then I guess there's going to be a new package, and I have a great deal of understanding that finding new arrangements can be difficult. We, when we were in government, also had good experience with it. We had to make arrangements in just a few days to solve challenges around the pandemic. That's why I think it's a little weird, because the government's been on it for so long. This is not a situation that arose this week, you know this for quite some time. I think it's a little strange that this has not been the subject of e.g. The budget negotiations with SV in Stortinget, because we know there is a need for money. Now, when the prime minister says it's going to be a billion-dollar package, the question is how this is going to be financed, because I guess you have to have money from somewhere to get it to. So I wonder, is the Prime Minister open to simply re-prioritizing on his own budget? For example, you want to do this. reprioritising the flat cut in the electricity charge that does not hit well enough now, to a powerful package? Do you want to give priority to using the proceeds from Statkraft to meet those who have paid for the high yield Statkraft now has, or are you going to use more oil money to get this done?
ParlaMint-NO_2021-12-08.ana.ud311e105	I'll come back to this. The point is that the state and the municipalities get large revenues from these high prices. This is when we have to look at some kind of exchange relationship with households that pay for very high electricity prices. As I said, it's extraordinary. We could imagine that we had this situation five years ago, seven years ago, twelve years ago, and then we're going to apply the system we have. No, we have this extraordinary situation now. Then we have to make an exceptional measure for an exceptional situation. But this government sees ordinary people. It sees that ordinary people who are outside housing support schemes, who are outside student schemes, are now being taken so hard that there is a great deal of concern in their everyday lives. We're going to reach them, and we're going to reach them in a way that's credible, and that's helping them out. It would have been nice if we could present this on Tuesday, or on Wednesday. We're going to present it in a very short time, quality assured, so we're sure it's going to work out well.
ParlaMint-NO_2021-12-08.ana.ud311e112	Tina Bru – for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e117	I think – given the uncertainty people feel now – that it is a little poor comfort to hear that the system is right around the corner. At least I think people should like to hear a little bit about how it's actually going to be arranged, because there's different ways to do this. This could be done, for example, by: are about discounting a power bill. It may also be that the government is working on a solution that you won't benefit from until you get the tax bill in June. In that case, it won't be enough now, because you might need the money now. At the very least, you need to be sure that the money comes soon, and how much is the amount. Once again, I almost have to ask: can the Prime Minister share some of the work he is doing in government, what kind of concrete solutions they are actually looking at, whether that solution will mean that people can expect money quickly, or at least get security when the money comes and in what way they come?
ParlaMint-NO_2021-12-08.ana.ud311e123	I can confirm that this is coming quickly. It will be money related to the electricity bill you pay – not through the tax. Such schemes often have to be targeted. Now they have to be broadly constructed, for all households are taken by this. It can often be with such arrangements that someone who might not have been inside comes inside, and that there was someone you would have inside, coming outside. That's why we have to work on doing this in my opinion, because it hits all households. What is the instrument for ordinary people today is that they pay electricity bills to the network company and its electricity company, and it's a good channel to go in and do it through. So I confirm: this is not something to wait for until June. The housing support and these payments, if the Stortinget and the government get a good cooperation, can be out before Christmas – and this money should be out just over New Year’s. That's the goal, and I think such a system can get in place. So we're in the final phase of being able to prepare it, and then it'll be a powerful package that hits the households and makes everyday life a little less difficult for ordinary people.
ParlaMint-NO_2021-12-08.ana.ud311e130	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e135	It is good that it turns out that it is possible to get money out to a part of those who need it the most, already before Christmas. We are pleased that this is in line with what SV strongly wanted. I want to ask a question related to it. Firstly, does the government also evaluate other targeted schemes? The students are mentioned. Clearly, we are concerned about the many people who have poor advice but who are just above housing support levels. Earlier in the fall, SV promoted a proposal to create a targeted scheme for them, which was voted down in Stortinget. Is that what the government is assessing? And in this regard, is the Prime Minister sure that the sum of the government now up to, $1,500 a month, is enough to meet the electricity costs of the housing beneficiaries?
ParlaMint-NO_2021-12-08.ana.ud311e140	I would like to say that this has to be added to what was given on housing support earlier this autumn. This is also, as the Minister of State said today, a support that is now announced for months to come, so we believe it will be absolutely certain. Those who receive housing support are also often electricity customers, so the scheme I am now sketching, which we come with when it comes to electricity billing, will also apply to them. In the case of students, students who have the electricity bill included in the rental contract may be protected if there is a fixed contract, but otherwise there are many students on the furniture and in apartments who pay high electricity bills. They will now receive support through loans and scholarships, increase in the scholarship, and they will benefit from the scheme we are now designing. And then we'll look at the whole thing together. We have to follow this situation on an ongoing basis, but I'm concerned that the arrangement we're making now is going to be powerful, clear, help ordinary people, mean something for the bills they're going to pay, and facilitate the situation that's now arisen.
ParlaMint-NO_2021-12-08.ana.ud311e149	Sofie Marhaug – for follow-up questions.
