ParlaMint-NO_2021-06-14.ana.ud492e551	The representative Per Espen Stoknes will present a proposal for a representative.
ParlaMint-NO_2021-06-14.ana.ud492e556	It is not with pleasure, but in despair I present a proposal for a representative for an extraordinary supervisory campaign in Norwegian pig farms, with the wish for urgent procedure under point (c) of the second paragraph of Article 39 of the Rules of Procedure.
ParlaMint-NO_2021-06-14.ana.ud492e561	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2021-06-14.ana.ud492e568	The President will propose the election of a President-in-Office of the Council this week – and consider it adopted. The President will propose Svein Harberg. – Other proposals are not available, and Svein Harberg is unanimously elected president of this week’s meetings. Before the matters on today's map are dealt with, the President will state that case no. 39 – Unit – will be dealt with after case No. 30, and that it's now going to be voting in the first place. The President therefore asks the representatives to remain in office until the vote is over and the minutes have been finalised. Furthermore, the President will inform you that today's meeting will continue beyond noon if necessary. 16th@item: inlistbox Case No. 1 to 30 will be treated as a whole.
ParlaMint-NO_2021-06-14.ana.ud492e915	No one has asked for the floor. The size then goes to voting on the case no. 1-30 on today's map and case no. 39, Unit.
ParlaMint-NO_2021-06-14.ana.ud492e926	Case No. 1–30 is the second reading of legal acts and concerns legislative acts 168 up to and including 197. There are no comments. Thus, the law of the Storting has been passed on the second time and will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2021-06-14.ana.ud492e1095	The size is then for the treatment of today's map. Case No. 31-38 will be dealt with as a whole.
ParlaMint-NO_2021-06-14.ana.ud492e1204	At the request of the Committee on Transport and Communications, the President will organise the debate as follows: Working Party 35 minutes, Right 30 minutes, Progress Party 20 minutes, Central Party 15 minutes, Socialist Left Party 10 minutes, Left 5 minutes, Christian People's Party 5 minutes, Green Party 5 minutes, Red 5 minutes and Minister for Transport 5 minutes. Furthermore, within the allocated speaking time, up to five lines will be given with replies after submissions by the main numbering members of the lots and up to six lines with replies from members of the government. Those who had to sign on the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-14.ana.ud492e1215	First of all, I would like to express my great thanks to the Committee for a good and constructive cooperation in the work on the national transport plan. It is a comprehensive report that is of great interest to both peoples and businesses in the whole country as well as to politics. Particular attention is given to the project portfolio, which provides clear guidance on which transport projects are to be developed in the coming years. This plan sets out to develop important transport corridors, to build strong housing and labour markets and to facilitate growth and development across the country. From the viewpoint of the government parties, we note that there is a relatively broad disintegration of the overall framework underpinned by the government. In our opinion, a total of about 1,200 billion is. kr ambitious, but at the same time realistic. The exception is the Progress Party, which has increased the frame by 400 billion. kr, which, in our opinion, is unrealistically high and not feasible within the space of action we believe to see in the years to come. There also appears to be relatively broad support for the main priorities of the plan, which contributes to both predictability of implementation and predictability around the whole country as to which projects are coming, and when. This plan has taken several steps to get even more transportation out of each penny. We only prioritise concrete projects during the first six-year period and implement the principle of portfolio management. It creates more flexibility to continue working on improving the projects. The aim of portfolio management is to facilitate the continuous improvement of projects. In an age of ever faster technological change, flexibility is particularly important. Now we give our transport companies a bigger space for action all the time to work with improvements. The benefits shall be recovered and the costs shall be reduced. Since the Right came into government, the budget for transport has almost doubled. We build a road and a path like never before. But it's not enough to give more money. It has also been necessary to carry out more reforms, both in order to provide better opportunities for people and businesses, and also in order to obtain the best possible transport for each krone we use of the resources of the community and taxpayers. National transport plan proposes to continue and further develop the reforms we have already undertaken. We continue to modernise the transport sector. New Roads are given new routes throughout the country and the company is given a railway project for the first time. We're going to build on the success of Nye Weegen, and it's going to be exciting to see how they solve the challenges of the Ringeriksbanen and E16 joint project. The establishment of New Roads has also shown that it is possible to rethink whether the conditions are facilitated. Early involvement of suppliers and portfolio management is one of the factors that have contributed to improvement and that both the Bane NOR and the State Road Service can make use of in their work. We need to facilitate the full potential of the entire transport business. We also continue to compete on the railway because it provides a better offer to travellers at a lower price for the community and the taxpayers. We release funds that we can use to develop Norwegian railways. The opposition, consisting of the Workers' Party, the Centre Party, and SV have voted against and criticised the changes we have made in the field of transport, but have few, if any, their own solutions. The answer is largely reversal, now most recently about the railway reform. It has rarely been a good idea to meet tomorrow's challenges with yesterday's solutions, and it can be expensive too. The national road maintenance network has been reduced for the first time in several decades in 2015 and the reduction continues in 2021 and in the NTP period. In a new NTP, we also take important steps for the county roads. The majority of the county road network was transferred to the county municipalities in the context of the administrative reform in 2010. Now a national power cap is taken to repair the county roads. The initiative is two-fold and consists of a new grant scheme and increased compensation for the tunnel safety regulation. The total bet is $18 billion. kr, which is additional to that received by the county through the ordinary income system. For the Right, it has been important that the scheme is targeted and that economic pathways and housing and labour market regions are given priority. This is not an application-based scheme. Resources are allocated on the basis of the size of the maintenance set-off and the county municipality itself will be able to give priority to the roads to be built within the criteria of the scheme. An excess is required at least equal to the state part, i.e. a 50-50 split layer between state and state. I have great faith that this will be a good tool to reduce the maintenance run on the county road network, as well as the slightly over 20 billion used annually by county municipalities for this purpose. A new national transport plan also follows up the climate plan and the ambition to halve greenhouse gas emissions from the transport sector by 2030. We will implement new solutions and work specifically to reduce emissions from both the construction and use of transport infrastructure. If we are to succeed in this work, we must continue to facilitate the development of a technology that allows all modes of transport to be based on low and zero emission solutions. We believe that the answer is to make use of the opportunities offered by the technology for better transport solutions and lower emissions, not to restrict the freedom of movement of citizens. The phase-in of electric cars in Norway is a success. The tax exemption has made this possible, and the new car sales of electric cars are now over 50 pst. It should always pay to act environmentally friendly. Therefore, we will focus our policy on achieving the objective of selling only zero-emission passenger cars by 2025. The switch to new technologies in ferries is another example in which we actively use public procurement policies and tenders to impose low- and zero-emission solutions, combined with good grant schemes through Enova. In a short time, a large part of the ferries will be based on low and zero emission technologies. It shows that it's useful. At the same time, we also see a positive development related to speedboats. We're making great efforts to facilitate more people going, cycling or using public transport, and to facilitate a climate-friendly and environmentally friendly urban development of 80 billion. kr to urban areas. Urban growth agreements have been established with the four major urban areas, and the next five are on their way. In addition, we see that there may be a need for some simpler solutions for the other urban areas. That is why we are now setting up a grant scheme to stimulate an increase in collective, cycling and walking in five new urban areas. It's the first time a four-year scheme, but as it's natural to further develop both the scale and the number of urban areas if the results are what we want. We are facing major changes in the transport sector. New technology will give us new opportunities and some new challenges. Analysis shows that forms of transport complement each other and that in a country where Norway is dependent on both road, rail, air and sea transport. If we are to achieve our climate objectives, we need to develop technologies that make all modes of transport based on low or zero emission solutions. We have to cut the emissions, not the evolution. New technologies and new mobility solutions will contribute to new and better solutions for the future. It is important that this development is regulated in a way that supports its development and benefits for capacity utilisation in existing infrastructure, road safety, climate and the environment. At the same time, we need to be aware of the challenges that this can create, not least in terms of privacy and data sharing. We have a lot of environments in Norway that work well to develop and implement new technologies in the transport sector. That is why we also see a clear need to strengthen research efforts in this area, and we are doubling the research funds in this NTP. A record bet on traffic creates a lot of activity and ring-effects. Norwegian suppliers have shown over time that they are competitive, and a large part of the contracts have gone to Norwegian contractors for the last eight years. It is good and helps to strengthen the Norwegian supplier industry. At the same time, we need to work continuously to ensure that there is also a situation in the years to come. National transport plan is an ambitious and realistic plan that facilitates a balanced development of infrastructure across the country. At the same time, we will introduce new technologies, cut emissions and ensure that a modern infrastructure contributes to both value creation and development.
ParlaMint-NO_2021-06-14.ana.ud492e1261	It's going to be line change.
ParlaMint-NO_2021-06-14.ana.ud492e1266	In recent days, the Chairman of the Committee and the undersigned have had the opportunity to discuss the situation of the construction industry in Norway and the fact that during this government the development projects have become much larger. I understand that the chairman of the committee has disputed this, but now Veilück has gone through all transport contracts, road and rail development – all contracts worth over half a billion kroner from 2017. According to the Road Cover presented, 9 pst went in 2017. of the contracts to foreign operators. By 2020, that percentage had increased to 43, and so far this year has 52 pst. by the development projects went to foreign entrepreneurs and projects increased and increased. I assume that the chairman of the committee does not doubt the figures from Road Deck. Why does the government and the majority of the population run this policy?
