ParlaMint-NO_2021-12-14.ana.ud410e261	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2021-12-14.ana.ud410e266	I have, on behalf of the representatives Sylvi Listhaug, Morten Wold and myself, the pleasure of promoting a proposal to oblige health companies to follow the advice given to patients from the Expert Panel.
ParlaMint-NO_2021-12-14.ana.ud410e271	The proposal will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will state that today's meeting will continue beyond 1 p.m. 16th@item: inlistbox
ParlaMint-NO_2021-12-14.ana.ud410e291	No one has asked for the floor.
ParlaMint-NO_2021-12-14.ana.ud410e308	No one has asked for the floor.
ParlaMint-NO_2021-12-14.ana.ud410e325	We disagree about a lot in this house, but I think we all gather about the desire to have strong institutions that work in each way to protect important values in our society. There are institutions that provide democratic control, institutions that ensure that human rights are upheld, institutions that ensure that, as a Norwegian citizen, the meeting with a powerful administrative apparatus is not completely helpless, and institutions that control power and do their part to make our society even a little better, report by report. The previous chairman of this committee well called these institutions the jewels of the crown of democracy, and it's actually quite strikingly summed up. I know that I have the committee with me when I express my gratitude for the important and good work done in the underlying bodies of the Storting. The draft budget put on the table by the Presidency is adopted in its entirety by the government and promoted to the Grand Duchy without any changes. It is therefore a pleasure to be able to present a unanimous vote on behalf of the Committee.
ParlaMint-NO_2021-12-14.ana.ud410e334	We in the Control and Constitutional Committee are responsible for the five external bodies of the Storting: the Riksrevisionen, the Civil Ombudsman, the EOS Committee, the Ombudsman of Defence and the Norwegian Institute for Human Rights. All five are important actors in society who, in their own way, work to promote the rights of the individual in response to powerful governance. They complement Storting's own control activities. Budgetary negotiations may be tough and time-consuming, but I will honestly admit that we may not have had the toughest budgetary rounds in the Committee on Control and Constitutional Affairs. On the basis of the current state of play, there is a clear and thorough process in which the external bodies of the Stortinge first submitted their draft budget to the Stortinge and the Presidency decided on a draft budget forwarded to the Ministry of Finance for inclusion in the State budget. It is in this way that we guarantee our external bodies financial independence from management. This financial independence, like organisational independence, is their fundamental element in the performance of their role. So the lack of lengthy and complicated budgetary negotiations in the Committee, in this context, I would say, is a quality sign, because it helps to underline the independence of our external bodies.
ParlaMint-NO_2021-12-14.ana.ud410e341	Several have not asked for the floor on case No. 3rd@item: inlistbox Case No. 4 and 5 will be treated together.
ParlaMint-NO_2021-12-14.ana.ud410e372	At the request of the Finance Committee, the President will arrange the debate as follows: 5 minutes for each party group and 5 minutes for members of the Government. Furthermore, within the allocated speaking time, there will be a reply to replies from members of the government, and those who have to subscribe to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-12-14.ana.ud410e379	I'm sorry that the voice is a little poor today. There might be someone who thinks I've used up my voice for this year, but I'm going to try to make it last a little bit longer. I would like to thank the Committee on Good Cooperation and Patience. However, I would say that there may have been varying degrees of patience in the committee, but equally full patience. I would also like to thank SV, who has contributed to the majority for a good budget and a good tax package for next year. At the entrance to Christmas this year, there are tough times for many in Norway. Just in these tough times, it is particularly important to have a redistributive policy – a policy that looks at those who are most demanding in society, looking at how we can design fiscal policies, where we provide relief to those with low and medium incomes, and those who have their backs to bear them, can do something more. We also need to have a policy to see Norway as a whole, to see those who live extremely, the life and the situation of those who don't have the media's searchlight every day, that we are making it easier for them to get a little better everyday life through the political choices we make. There have been many discussions and many who have talked about the arrangements and decisions that the Stortinget takes to be targeted. What's the focus? Well, for example, when looking after families with children who have a demanding economy, it is aimed at reducing the price of kindergarten and reducing the SFO price. When many commuters have large expenditures, and it is demanding in their everyday lives, the aim is to reduce the tax on commuting. And many commuters within the ordinary commuting distance get several thousand dollars in tax dollars with the manner the majority ensures today. For a very large number of those living along the coast, who in their everyday lives depend on the use of ferries, it is important that ferry prices do not rise again, as the right-hand government suggested in its proposal for a government budget, but that ferry prices should fall further. In addition, we will ensure – for those living in island communities and small communities around Norway – that they are gradually free of charge. It has a great impact on the economy of those who live in those societies, and on their everyday lives. And for those who live in our northernmost part of the country, for example North Troms and Finnmark, the special deduction is strengthened, the deduction is increased for both seafarers, in agriculture and in fisheries, and the trade union deduction is also strengthened by doubling it over two years. It matters to people's everyday lives. Through the charging policy, we will also help to increase some environmental taxes. It is also in the structure of the majority with the Workers' Party, the Centre Party and SV. At the same time, it is important in environmental and climate policy to ensure the polluter-pays principle, but at the same time one must have the principle that the one with the strongest back should bear the heaviest burden. That is exactly why we are contributing, among other things. to increase the CO 2 tax on petroleum companies on the cap while compensating for increased user charges. We have a powerful reduction in the electricity charge. It is targeted when electricity prices increase, to reduce electricity charges. In addition, over the last few days by the government, we have put forward a targeted power support scheme for households that has major challenges these days. And for those who are concerned that there are those who in today's situation won't save electricity when you get some compensation for electricity prices above 70 kWh, I think most people who don't save electricity in such a situation have such high income and so high wealth that they get the opportunity to contribute more to the community next year at the majority's tax and tax arrangements. It is a good budget for the country that we have set up.
ParlaMint-NO_2021-12-14.ana.ud410e405	It has been 12 days since we adopted the framework of the State budget in 2022 – a budget that will help to reduce disparities, among others. through the tax havens taken. In the Workers' Party, we opted for ordinary people to get lower taxes, while they have to pay more. In this budget, the Workers' Party-Center Party government delivers on this. About 82 pst. is taxed at or below next year compared to this year. At the same time, the richest have to pay more. We're introducing a new step in the tax on wealth, on assets over 20 million. kr, a new step in the tax on income and a reduction in the discount on shares. Dividend taxes are increased. It is definitely a new course in fiscal policy, for which I would like to thank the Central Party and the SV for their cooperation. Tax policy shall contribute to a number of policy objectives. Tax policy shall contribute to the financing of our welfare state. The welfare state was not completed in 1970, 1990 or 2021. There are still large, unresolved tasks within the welfare state, which are dealt with by the budgetary conciliation between the government parties and the SV. Tax policy shall also contribute to the reduction of greenhouse gas emissions and the achievement of climate objectives, initially for 2030. We are not on track, and we must ensure that climate policy is fair and effective. The tax scheme adopted in the autumn of 2022 contributes to this. Tax policy should also contribute to predictability for people and businesses. This predictability is currently in play. Predictability is at stake with a coronary apathy that is constantly coming back with new mutants, new partial closures — at least very intrusive measures — that affect individuals and individual industries. Therefore, taxation policy should provide predictability for people with normal incomes and for businesses. Tax policy shall contribute to the smoothing of differences. In Norway, differences have increased over time, and the coronary apathy contributes to accelerating these differences. Many have managed to save money under the pandemic at previously low management rates and low housing costs, while retaining the job, while those who have been hit by the measures and have lost their jobs or have been granted leave have not had the opportunity to save money. Politics plays a role in such a crisis. Today, the government has presented financial measures such as: contains dividend limitation in the compensation schemes. It helps to ensure that crisis policy does not increase differences. It also contributes to a high level of welfare under the pandemic, as such a crisis illustrates well the gaps in the welfare state. Not least, we close the gaps in the arrangements for workers, and we create security for workers who are at risk of losing or losing their jobs. With the tax and tax arrangements for 2022, the rate is revalued. People with normal income are required to pay less tax. This also applies to trade union members. We double the union deduction over two years. Under the previous government it became more expensive to be a member of a trade union. The previous government recognised at that time the unorganised working life of its government platform. Now there is a new government, a new majority and a new course. We use fiscal policy to support an organised working life. The course conversion has also come to the charging policy, where the Progress Party in government increased the fees by 6 billion. NOK before they were put down at the end of the period, when the party had left the government. Now it's the end of the Jojo policy. Where taxes are levied, other taxes or income taxes shall be reduced. Next year, people with normal and low incomes are going to pay less taxes than today, and the wealthiest can contribute more to the community. It is fully possible to create a tax system that reduces differences, finances well-being, cuts emissions and creates predictability for people and businesses.
