ParlaMint-NO_2021-10-27.ana.ud17e28	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2021-10-27.ana.ud17e33	On behalf of Morten Wold, Per-Willy Amundsen, Tor André Johnsen and myself, I would like to put forward a proposal to improve the care of society's need for the protection and treatment of seriously mentally ill people.
ParlaMint-NO_2021-10-27.ana.ud17e38	The representative, Frank Edvard Sve, will present a proposal for a representative.
ParlaMint-NO_2021-10-27.ana.ud17e43	On behalf of the representative Sylvi Listhaug and myself, I would like to make a proposal on the drainage of the mountain range at Åknes.
ParlaMint-NO_2021-10-27.ana.ud17e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2021-10-27.ana.ud17e64	On Monday the Stortinge received a message from the Prime Minister's office saying that Prime Minister Jonas Gahr Støre will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Erna Solberg.
ParlaMint-NO_2021-10-27.ana.ud17e73	This weekend, one of the most important conferences of the year, namely the Glasgow climate conference, starts. It is a long-awaited conference with many important and major themes. In this connection, the Prime Minister was interviewed in the Financial Times, where he stated that the Norwegian Oil Fund should now be a political instrument. It is striking that, by May at the latest, the Stortinges Finance Committee and a unanimous growth were very clear and clear. The Financial Committee then wrote that ‘the objective of the SPU is the highest possible financial return at acceptable risk’. And also that: ‘SPU is not a policy instrument, but developments in society nationally and globally make important premises for the framework within which the Fund operates’.» That's why my question to the Prime Minister is why, in the Financial Times, he launched a shift where the fund is now to be more political, despite the fact that a unanimous increase as late as in May decided that SPU should not be a political instrument.
ParlaMint-NO_2021-10-27.ana.ud17e85	I agree with Mr Solberg that the meeting in Glasgow is of great importance. The world needs to work together to achieve climate objectives that can prevent global warming above 1.5 degrees. Climate targets need to be reinforced. It must involve society as a whole and all sectors. It is also necessary to inspire the world of finance to look at the long-term objectives and assess climate risk. There we have to take responsibility widely. Norway is prepared for this, and I will attend the conference myself. The state pension fund abroad is the property of the people. Therefore, it is politically in the sense that it is in this room that we decide how to manage our pension fund in the long term. The state pension fund abroad is not a policy instrument to pursue sectoral policies in different areas, pick winners based on policies. There is a high return on acceptable risk driven by the world's most advanced administrators to secure our pensions over time. So it's going to be a fund that Norway knows about, and that reflects our values. That is why we have gradually developed criteria. We have an ethical framework around it, and we update how the fund is structured – in a broad way – over time. That is the underlying political decision. But I didn't tell the Financial Times that it was about a political instrument that we were going to achieve sectoral goals for Norway. I stressed that this fund, which is the world's largest pension fund, is the property of Norwegian people. It's going to last forever. We also have a responsibility to take care of eternity, and must therefore also ensure that our fund is managed in line with the long-term objectives that climate risk also challenges us. That's the thing. I fully support the unanimous decision taken in Stortinget. Norway shall be in the forefront of responsible management for future generations.
ParlaMint-NO_2021-10-27.ana.ud17e96	I understand that the Prime Minister believes that he has not launched anything new in connection with this, that he has not suggested that we should do anything new. But the Financial Times says that this is a breach of previous policies and what previous governments have said about the fund, so much so that they lift it up as part of the invasion. That means that the signal the Prime Minister has given out of the country is that we now have a new policy on how to use the fund. This is done in relation to climate issues and an interview in a series related to the start-up of the Glasgow meeting. Then my question is: why did the Prime Minister feel the need to create a basis for a new policy from the new government, if not?
ParlaMint-NO_2021-10-27.ana.ud17e101	Long before the invasion of the Financial Times, I said at a Zero conference that we shouldn't be afraid to say that we have a political framework around our pension fund. That's what I said at the Zero Conference two years ago, and then Prime Minister Solberg, at that time, was very alarmed that this was a new course and was going to put the whole administration in jeopardy. It didn't. There is a stability, long-termity and unanimity in this house with which I think the Prime Minister should be careful – no, sorry, the representative should be careful to... [[muttering in the hall]]
ParlaMint-NO_2021-10-27.ana.ud17e106	These are new roles I understand.
ParlaMint-NO_2021-10-27.ana.ud17e111	I knew it had to come at some point. I think the representative from Hordaland, Erna Solberg, should be careful to create an unnecessary disagreement. [[Laughter]] But at the same time, I want to say that if we're not able to see that there's a need to do new things, we go backwards into the future. We took the initiative here, in 2013–2014, that the State pension fund abroad should withdraw from coal. The government was very sceptical about that. It was finally done, and it was a wise decision. Now I'm talking about the importance of having a long-term perspective to deal with climate risk. That's also wise and correct.
ParlaMint-NO_2021-10-27.ana.ud17e118	There will be follow-up questions – first Erna Solberg.
ParlaMint-NO_2021-10-27.ana.ud17e123	I then understand that the Prime Minister did not have an ambition to signal to the outside world that it was a new policy. But he won't answer why he just felt like starting this in an interview in the Financial Times, so that they and the rest of the world see this as a new policy. Does that mean that it was simply words, what was said? Then my question is, has the Prime Minister done something to the Financial Times to correct the false impression he has given internationally that we have now politicized the fund in a new way?
ParlaMint-NO_2021-10-27.ana.ud17e128	No, because the answer was complementary. There was a question from the Financial Times about how the Norwegian Prime Minister looked at the political framework around that fund, and I explained that. It's the property of the Norwegian people. We've hit it in, we've adopted rules, extraction mechanisms and guidelines so that we can actively exercise ownership. That's wise. That's the policy. So it's the representative Solberg who here creates a picture that there's something that radically violates the administration tradition. High returns on acceptable risk are about that we are also able to see what climate means by risk. There's been a sample of people working on, who have made recommendations, and we're going to follow that. And it's an important topic in Glasgow, talking about how the world's financial system is going to meet a challenge from climate change. This discussion wants Norway to participate in, and therefore there is no reason to correct that interview.
ParlaMint-NO_2021-10-27.ana.ud17e136	Erna Solberg – for follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e141	I'm not the one that creates confusion, it's the Prime Minister who has now made another impression internationally, and he's also going to meet internationally. It is true that as Prime Minister, I was concerned that we should not do this, because we are under a constant pressure on the question of why we exclude individual businesses in some countries, why we do not invest anymore, why we do not have a plan, why we do not use the fund more as development aid. All these themes are constantly on our hands. So now, through the new Central Bank Act and the guidelines related to this, we have transferred responsibility to the Norwegian Bank's Governing Council to make assessments of the extent of individual companies, just to create arm's length distances. I'm amazed that the Prime Minister doesn't see that if you express internationally that this is more political, it also means that it increases the stress on it. My question is first and foremost – and he has not answered that – why he needed to say this in his interview with the Financial Times.
