ParlaMint-NO_2021-10-20.ana.ud207e37	The representative, Kristoffer Robin Haug, will present a proposal for a representative.
ParlaMint-NO_2021-10-20.ana.ud207e42	On behalf of the representative Irene Ojala and myself, I have the honour of promoting representative proposals to ensure a good hospital offer for patients in the field of mental health protection and multidisciplinary specialised drug treatment.
ParlaMint-NO_2021-10-20.ana.ud207e47	The representative, Jan Tore Sanner, will put forward a proposal for a representative.
ParlaMint-NO_2021-10-20.ana.ud207e52	On behalf of Erna Solberg, Margret Hagerup, Kari-Anne Jønes, Turid Kristensen, Mathilde Tybring-Gjedde and myself, I would like to propose a comprehensive reform of high school.
ParlaMint-NO_2021-10-20.ana.ud207e57	The proposals will be dealt with in a regulatory manner. The President will draw attention to the fact that case No. 1 on today's map has not been out in the regulatory time, i.e. 48 hours, cf. Paragraph 46 of the Rules of Procedure. However, the President will propose that the matter be examined. – No objection has been raised, and it is deemed to have been adopted. Furthermore, the President will state that there will be voting in case no. 1 now initially, and the President therefore asks the representatives to sit a little more. The President will inform you that today's meeting will continue beyond noon. 16th@item: inlistbox
ParlaMint-NO_2021-10-20.ana.ud207e81	No one has asked for the floor.
ParlaMint-NO_2021-10-20.ana.ud207e93	The Presidency had set the Storting to do the following:
ParlaMint-NO_2021-10-20.ana.ud207e7811	Case No. 2 and 3 will be treated together.
ParlaMint-NO_2021-10-20.ana.ud207e7834	The debate takes place over two days and begins with speeches by parliamentary leaders of up to 10 minutes, followed by a row of up to seven lines for each post. Then there will be 43 posts of up to 5 minutes, which will be closed in full on the first day of the debate and distributed among the parties as follows: Part of the work 14 articles, Right 10 posts, Party 7 posts, Party of Progress 5 posts, Party of Social Left 3 posts, Item of Red 2 and Item of Left 2. Four lines are opened after two of the entries from the Labour Party, the Right and the Centre Parties and after one of the entries from the Advance Party, the Socialist Left Party, the Red and Left Parties. Five government councils shall be given a speaking time of up to 5 minutes each, with a subsequent row of up to seven lines. After completion of the allocated speaking time, open for articles of up to 3 minutes. The first day of the debate shall end at the latest by 10 a.m. 22nd@item: inlistbox Thursday's meeting will be set at 2.30 p.m. 10 and starting with a post from the Prime Minister of up to 15 minutes, followed by a row of 14 rows, broken down by size, then any remaining three minutes from today's meeting, as well as those who sign up during Thursday's debate.
ParlaMint-NO_2021-10-20.ana.ud207e7853	The harvest’s decision to raise the stakes gave a clear signal that Norway wanted a political shift. Six out of ten voters voted for a game in opposition to the right government. The two largest-relapse lots were just the two largest right-hand parts, the Right and the Advance Party. The voters were informed that they wanted a new government and not least a new policy. The new Workers' Party-Center Party government presented on Monday a statement that will provide Norway with a new and more equitable course. It has become a platform that is in line with what we went to elections and that is right for the challenges facing Norway. Because on the way into this ageing period, there is no concealment that the tasks are large, both in the short and long term. The Labour Party went to the elections on a policy for ordinary people. There was a message of people, if not the parties on the right-hand side, recognized themselves in. After eight years of right-wing policy, people wanted a new course. People had been tired of unsocial and unfair cuts, while the country's wealthiest became tax collectors in the budget by budget, that workers were left with the bill through increased taxes when budgets were to be settled, that power was shifted from employee to employer, that ever new privatisation reforms in health care were more important than resolving the fixed crisis and giving hospitals the resources they were promised before Solberg's government joined, that welfare services and security were weakened, and that differences increased, both socially, geographically and economically. So rather than defending this policy, the Right election campaign started by doing what they do best, by attacking – not on the political solutions of the Labour Party, but on the message. As Vice President Tina Bru said, when she devoted all her national meeting speech to attacking the Workers' Party, who are really ordinary people? – Just having to ask the question after eight years in government may say more than all the world’s TV debates and newspaper headlines can do. But it doesn't seem like the voters thought it was so hard to understand, and the government platform that was presented last week is just this: a platform that points out the course for a better everyday life for people all over Norway – people who go to work, bikes to work and train commuter to work, people who, because of injury or illness, can no longer go to work, people who are concerned about the security of basic welfare services, whether it's for a father who needs care, a friend who needs cancer treatment, or a grandchildren who in the autumn have had their first school day, people who run ambulances on narrow roads, people who are afraid that the ambulance won't come in time when they need it, and people who try to get the family economy to go up with an average income. These are the ones we in this room are here for, these are the ones we're going to make policy for. The Hurdal platform states that working for everyone in a safe working life is the key to fairer distribution and freedom for individuals, for families throughout the country, for the many who are out of work, and for many who have a job they experience insecurity in. Whole, regular jobs and a salary to live from provide basic security. That is why we need to remove general access to temporary employment and to stop hiring that is in need of permanent employment. We're going to introduce what we call a Norwegian model, which ensures skilled workers and apprentices a serious working life. It is good for individual workers, but also important for enterprises, the labour force and society at large. So we can say the same thing about the renewal and strengthening of tripartite cooperation. We double the union deduction, and we ensure that the social partners are represented in all relevant government committees. However, ensuring a safe working life is also about taking action to ensure that there are jobs in tomorrow's working life. We have opted for a fair climate policy, which cuts emissions and creates jobs, and they will come in green industries. It is not a change that has been made overnight, but with a targeted effort for increased exports and a state and a community that takes responsibility and supports the new industries, we are going to get it done. A number of new jobs in new green industries are essential for achieving climate goals, but also for making the transition fair. When we say we're going to put ordinary people first, it's about turning around a trend where a few run away, and the great majority will be left with the bill. It is therefore so important for the Workers' Party to combat inequality and injustice. In recent years, differences have increased in Norway. The previous government contributed to this development in some areas. It's politics. In other areas, it did little to stop ongoing developments. It's also politics. Either the cause is active action or the lack of action, the consequence is the same, and we should reverse this development. We're going to stop a number of the unsocial and unfair cuts of the previous government, which have hit some of the least, most hard. Brilliant support for children shall be put back in place, the unemployed and the trainees shall be refunded the holiday allowance, and people receiving the redundancy allowance shall not be thrown out of the scheme until they have been completed. We're going to make it more reasonable for the workers to get to work. Those who depend on the ferry, and those who commute, and who have taken the bill for right-wing policy for several years, will get more in the wallet. And we're going to do something about taxes and taxes. For too many years, the biggest tax cuts have come to those who are already in good shape. We say that those who make NOK 750,000 or less will get the same or lower tax, while those who earn more will also contribute more. The same is true of those with wealth. It's redistribution, and it's fair. When we say that we put ordinary people first, it's also about restoring a basic security for important welfare services. It is about ensuring access to what is closest to us in life, such as good health services, kindergartens and schools, but also the more critical functions, such as ambulances, fire and rescue and police — that these services are available to everyone, no matter what you serve, or where you live. We need to strengthen the fixed medical system, make a powerful force for mental health and ensure that hospitals have a good enough economy to provide all citizens with sound and safe treatment, instead of spending money on expensive and inadequate privatisation reforms. We need to strengthen the presence and presence of the police throughout the country. Good kindergartens and schools with enough staff and enough time are not just good for children; it is a cornerstone of the security of society. Several qualified teachers with more time for each individual are key to more practical learning and early school participation. A strengthened educational standard contributes to the same thing. In addition, prices should be reduced. It is good for people's wallet and an important measure to lower the threshold for children to go to kindergarten and SFO. A government statement gives the Storting the opportunity to have an overall debate on what society we want, both here and now, for individuals, families, communities and businesses, and also for tomorrow, the next year, the next four years, and also the years that follow. Our task in this room is to prioritize. We do these priorities based on our values and our social view. Priorities change the daily lives of people here and now, and the future of Norway. It's a responsibility that rests with all the parties and us who sit in this room. In recent years, we have had different government constellations in Norway. We've had a minority government with a cooperation agreement that secured a majority of cases in Stortinget. We've had a majority government, and we've had an ordinary minority government without any cooperation agreement. The government that has now joined is a minority government. That means that the Storting is going to be important. I want to end my contribution by inviting good and constructive cooperation with all parties who want a new course for Norway – a safer working life, where people will get a job and a wage to live off, a powerful effort to reduce differences and inequalities between people, and a fair climate policy, which cuts emissions and creates jobs. Lots leaving government offices often say that they must be a constructive opposition party. As the parliamentary leader, I can promise that the Labour Party will be a constructive government party, so that together, here in this Chamber, we can find solutions that will make Norway the best use of the opportunities we have, and give ordinary people a better life.
ParlaMint-NO_2021-10-20.ana.ud207e7883	It's going to be line change.
ParlaMint-NO_2021-10-20.ana.ud207e7888	First, I would like to congratulate the representative of Aasrud on his job as parliamentary head of the main government party. From my own experience, I can say that there will never be a boring day at work. It'll never be a day just like you thought. But exciting and busy, I'm sure it'll be. The government received its declaration in Hurdal. Now the child has been brought to the Storting. So far, we have heard the most about how the Workers' Party and the Centre have united their electoral campaign – trust, almost ordinary people in absolutely the whole country, in Norway in which we are so happy. But the substance, solutions and measures for what the government is going to do, how to solve the challenges it faces, are waiting. The Hurdal platform offers few surprises. It has a reverse and brake strategy in the process of conversion, climate and modernisation. So the question for the representative Aasrud is: what are the major challenges Norway is facing, and how is the government going to solve them?
ParlaMint-NO_2021-10-20.ana.ud207e7897	First, I would like to thank you for the congratulations and the reminder that there may be some busy days. I will do it and hope to continue to have good cooperation with everyone in Stortinget. If you read the Hurdal Declaration, you will see that it contains a clear picture of how we are going to make the changes that are absolutely necessary. First of all, we have to get more people to work. We're totally dependent on that. We have to get more people to work that are outside today, and there are too many people outside. Then we have to have a fairer distribution of the goods, so we don't have to cut in all the well-being goods, which Right has been good for the last years they've been in government. Not least, we need to pursue a climate policy that ensures that we both get to change and create new jobs. It's absolutely necessary for the transition we're about to enter into in terms of climate to be fair, and for no one to fall outside.
ParlaMint-NO_2021-10-20.ana.ud207e7904	I noticed that the first three minutes of the representative's posts were about the Right. It might be an expression that there are not so many visions to present from this Hurdal platform. It was better to talk about things you're used to talking about, right, so-called unsocial profile. It is announced a new course, but it was not new enough for SV. I have to say there is surprisingly little new in the platform. It is only in the budget negotiations with SV that we will see what is the new course. So the concrete content of the new government's political project is to be defined by a party that chose not to join the government. There is talk of a trust reform, but there is no trust in the students who want to choose higher education. There is no trust in patients who are struggling with drugs and mental disorders who are not allowed to use free treatment options. Is trust reform really a trust reform for the system and the public, and a distrust of patients, students and people who want to make their own choices?
ParlaMint-NO_2021-10-20.ana.ud207e7913	No, the trust reform we present is not a distrust of any of those patient groups. When we're going to develop what we offer to different patient groups, to different users, we have to do it in cooperation with the organisations that represent them. But we've seen that we've got a society where you measure a lot, that's a lot of reporting. We hear about professionals who spend time writing reports. It is measured and counted. A good welfare society must be based on other criteria. We have to trust the professionals who are there, who have the shoes and know how things can be done better. I am absolutely sure that with enhanced cooperation with the trade union movement, we will have many new good solutions that will serve the user groups mentioned by the representative of Helleland. It will be good for people, it will be good for society, and not least it will ensure an economy that is right and fair, where we distribute the good we have, in a better way than that we bet on more privatisation.
ParlaMint-NO_2021-10-20.ana.ud207e7918	I would also like to congratulate the representative, Mr Aasrud, and hope that she will be able to contribute to clarification, because there is now complete confusion as to the policy of taxation to be followed by the government with regard to petrol and diesel. At a time when interest rates are rising, food prices are sky-high, power prices are record high and we also have sky-high petrol and diesel prices, many in Norway are concerned about the economy. Prime Minister Gahr Støre said in the election campaign that he thought it was all right with petrol and diesel prices of 20 kroner per litre. Barth Eide, who is now Minister for Climate and Environment, said in the Political Quarter that pump prices are going up. Then I also heard Finance Minister Schlagsvold Vedum on the radio today talk about different components – without giving me any answer. So my question is simply whether the Workers' Party supports Barth Eide in saying that the diesel and petrol charges should be raised, or whether this can now be a guarantee that they will be kept down and preferably also reduced.
ParlaMint-NO_2021-10-20.ana.ud207e7925	Thank you for the question, and thank you for the congratulations. I understand that a lot of people in society are now worried about increased electricity prices. They pay the same toll charges they have paid for a long time – as the Progress Party was good at giving them. We are going to put forward a charging scheme for petrol and diesel prices, where we are increasing the CO 2 tax up to NOK 2 000, but we are going to find good solutions that make those who depend on using a car drop a huge increase. We'll come back with the details of the state budget, and I'm pretty sure we're going to find good solutions that will make people the most, when they see what we put forward in the supplementary proposition that comes in a few weeks, will be satisfied.
ParlaMint-NO_2021-10-20.ana.ud207e7935	The current year, the tolls have been reduced by 2 billion. kr, or at least the repayment of tolls. We're excited to see if the new government continues to do that, or if the drivers have to pay even more. As far as the CO 2 tax is concerned, we have registered that we want an increase, which will provide a worse framework for the Norwegian industry. It worries us because it could mean the deflagration of jobs that Norway desperately needs. But I do not feel that I received any answer to the question. What I asked about was whether this and now there can be a guarantee that the taxes on petrol and diesel will not be set up. Or it will mean that Barth Eide, who is the Minister for Climate and Environment, is actually almost set aside before he has started, as he has promised that these fees will go up. So I'm still asking for an explanation of what the Workers' Party here thinks is right.
ParlaMint-NO_2021-10-20.ana.ud207e7948	As I said in my post, we're going to come back to the details of the supplementary proposition that comes in just a few weeks. I am absolutely sure that both the Ministry of Finance and other departments are working under pressure to find good solutions that make us find a fair way to ensure that we get a better climate, which we are totally dependent on. At the same time, those who are dependent on using a car in their day-to-day functioning will have an adjustment that will make them feel reasonably good. I am sure that the Minister of Finance and others will come back when we get that supplementary proposition to the Stortinget.
ParlaMint-NO_2021-10-20.ana.ud207e7953	Let me first congratulate you on the platform and minority government! That is quite right, as the representative Aasrud says: Six out of ten voters have wanted change – more justice, more environment. We have now been for eight years with galloping increases in both income and – not least – wealth. We've seen that the welfare has been weakened, that the wealthiest pay less to the community, while they're sitting on a larger part of the cake. On behalf of all six out of ten who have wanted a change, a real change, and want to bring down the differences in society, what in the government platform is the direction of a proper redistribution in Norway? Could the representative Aasrud explain that?
ParlaMint-NO_2021-10-20.ana.ud207e7962	Thank you for the question. The fight against Difference Norway is one of the most important struggles we can take to preserve the model of society we have, and in the platform we have presented, we have said that we should have a fairer tax policy. We're going to increase the wealth tax, we're going to increase the tax on income over NOK 750,000, and we're going to reduce the tax on people with low and average incomes. We're going to make sure that the pay gap in the public sector is reduced. We need a fight against tax havens – it is also important in this context. Not least, we're going to reduce the cost of having kids in kindergarten and SFO, and we're going to make it cheaper for people to commute. So there are a number of measures in the platform that will help us reduce the differences. And we have to work on it, because it's married to a society whose differences continue to increase.
ParlaMint-NO_2021-10-20.ana.ud207e7967	It will be exciting to see when we get the additional proposition to Stortinget, what the government is doing. We in SV are going to be constructive, but we have our policy that we want to put pressure on. In relation to the big tax question of how to reduce both income and wealth differences, to contribute more to the community, it is to create good welfare reforms. There are many welfare initiatives in the platform. In what way are the tax formulations of the platform in line with the desire for different types of welfare reforms – for young people, for men’s offices, etc.?
ParlaMint-NO_2021-10-20.ana.ud207e7974	We have to see everything in context. An important part of our platform is that we get more people working. This will give us more money we can distribute. It will enable us to comply with the wording of the platform. We have put forward a platform that is within the framework of a safe economic policy. The working party will never come up with a budget that is not related. The important thing is that we distribute the tax differently and get more tax revenue by increasing the wealth tax for those who have large assets. We have to make sure that more people get into work, and we also have to work to do things in new ways, so that we can free up funds to meet the welfare challenges we have, and the measures on the platform we want to implement.
ParlaMint-NO_2021-10-20.ana.ud207e7979	I am in the line of congratulations for a new government, a new platform and a new position for the representative. This platform comes into the wake of a pandemic, where I think we've all seen the extent to which we're dependent on other countries in the world, on good and bad, that we're a country that's open, and that has to relate to the rest of the world, not least that there's a lot of people in Norway who live their lives across borders. One thing our parties have in common is the belief that international cooperation is the key to solving the major challenges we face, but also that commitment cooperation is also serving Norway well. However, in the Hurdal platform, there is a wording that I am a bit over, because it says that we need to assess the experience of EEA cooperation. It is harmless enough, but it also says that experience should be gained from neighbouring countries outside the EU. I can't read this in any other way than to explore alternatives to the EEA Agreement. If that agreement is established, why should alternatives to the EEA Agreement be explored? Why is it more important to look at experiences from, for example: Switzerland than from countries like Sweden and Denmark?
ParlaMint-NO_2021-10-20.ana.ud207e7988	Thank you for your question and thank you for your congratulations. We can only conclude that the EEA Agreement is binding on Norway with a government from the Workers' Party and the Centre's Party. However, it is important that we gain experience from the work that has been done since the previous major investigation – it was well received in 2012 or 2013. It is almost ten years ago, so it is important that we get a review where we look at what areas this has been good and whether there are things we need to strengthen or work more on, but it is also important that we look at what experience the countries outside the EU have had. I think it makes sense that we have a knowledge base that we can build on, but that doesn't mean we're going to risk the EEA agreement.
ParlaMint-NO_2021-10-20.ana.ud207e7993	The cord shift is over.
ParlaMint-NO_2021-10-20.ana.ud207e7998	I will be allowed to begin by congratulating Jonas Gahr Støre both with the election and with the appointment of his government. The Prime Minister has chosen an experienced but also exciting team. I wish the new government good luck and hope that it will help make Norway an even better country to live in. In the Stortinget right will be a constructive opposition party, but we will also challenge the government. I'll come back to it. The government will take over at a time when the arrows are pointing in the right direction. Greenhouse gas emissions are falling. Developments in the transport sector are particularly important. In September, 77 pst. of newly registered passenger cars zero-emission vehicle. There will be fewer unemployed. An increasing number of enterprises now report that labour shortages prevent further growth and value creation. The employment rate is higher than when my government joined, despite the pandemic and record unemployment just a few months ago. More and more are still completing secondary education. Several choose professional subjects, and record girls have applied for male-dominated education programmes. The share of health-related benefits is reduced — if one ignores a short-term increase during the pandemic. The competitiveness of industry towards the rest of the world has improved significantly. It contributes to the great interest in establishing new industries, which we have seen in recent years. According to the Central Statistical Office, Norwegian exports are record high. mainland exports are so far in 2021 44 pst. higher than in the same period in 2013. I notice that the new government will increase mainland exports by 50 pst. by 2030. That is, you add up to a level of ambition that's about the same rate of growth that we've seen in the last eight years. For the first time in many years, there was a lower proportion of children in poor families in 2019 than in the previous year. Reduced immigration is now beginning to appear in statistics. And finally, in a world where differences are increasing, income inequality in Norway is stable. As I said, there are many arrows pointing in the right direction. I hope that the new government will see to it that progress continues. I say hope, because it's not easy to predict. In many areas, the Hurdal Platform and the Government Declaration are characterised by ambitions about goals that were also expressed by the previous government. That's good, and it shows that we're together about a lot. In many areas, however, the platform is a little concrete. Most concretely, the platform is when it comes to reverse and looking backwards. In the Common Era, my government highlighted dangerous climate change and qualifying more for work as the two most important challenges in the coming years. I see no such clear priorities from the new government. For example: climate, the platform is only concrete when it comes to reducing greenhouse gas emissions. The right will therefore challenge the government with concrete proposals. There are proposals that will continue to reduce greenhouse gas emissions, providing children and young people with a school that prepares them even better for work and student life and that gives those who are outside the labour market a chance to try out, an opportunity to increase their skills and feel the joy of contributing. It is a proposal that makes it easier to take education at the same time as work and at the same time receive benefits for living and that gives patients more, no less right to choose, and shorter waiting time for treatment — to mention some of the areas. The green shift in business is going on for too much. The jobs to replace the petroleum sector in the future are now under way. We know that they will require high skills, predictable market access and a business that has muscles to invest. If we are to continue to have a high level of well-being in Norway, they must also deliver high value creation and income to the community. If profitable jobs in petroleum are replaced by jobs requiring subsidies and state aid, our welfare ambitions must be greatly reduced. In this area, the platform is rich in words, but poor in solutions. A mantra for my government has been that no one should go out to date in our working life. There is an image of the importance of knowledge and competence for individuals to be able to associate with, participate in the labour market and ensure income from living by themselves and their families — the fundamental well-being of our society. The challenges and the need for change and rapid adaptation to the needs of the labour market will be great, both for primary, secondary and higher education, and in the policy of competence. Here too, there are no concrete answers to what we have been presented by the new government. So we have to wait until we know what the government will actually do in most areas. But I'm fundamentally optimistic, so I'm not going to take the troubles ahead. I remember the debate in 2013. I think a lot of people took grief in advance, and it went a lot, much better – it also shows the results today. I am pleased that the Prime Minister in his speech wanted good cooperation with all the parties on the Stortinget. The right is going to be recognizable as a constructive opposition party. We will make concrete proposals that help to keep the arrows pointing in the right direction for Norway. I want to challenge the government to support these proposals. The right will also challenge the government in terms of international cooperation. A good relationship with the countries closest to us is good preparedness. We've learned that under the pandemic. The EEA Agreement helped to bring infectious disease control equipment into the country and to supply us with vaccines. As long as Norway is outside the EU, we cannot take anything for granted. The EEA Agreement helps, but it does not solve everything. A good relationship with our European friends and allies is an important investment for the day it really does. It is more important for Norway and our preparedness than it is for the countries within the EU. In the end, I want to express a little surprise at the lack of interest of the new government in Norway’s international maritime investment – or the oatmeal, as Jonas Gahr Støre used to say before he became Prime Minister. The maritime effort has grown to become an important foreign policy initiative for Norway. It is important for our business and development, and what happens in other countries is closely related to how we can use our resources in the future. The International High Level Panel on Sustainable Marine Economy, for which Norway has taken the initiative, is an example of how we have worked strategically and actively to keep the sea on the international agenda. Many countries listen to us on these issues because they feel that we have a lot to contribute – from research, good management environments, good skills. In both business, research and management, we have large and important environments – and the sea, we have that in common in the world. It is in our interest that other countries also manage their marine resources in a responsible and sustainable way. Once the sea as an international bet has disappeared, I hope it was a forgetfulness and that it was not a signal. During this debate, I would like to ask for a clear and clear confirmation of this very thing.
ParlaMint-NO_2021-10-20.ana.ud207e8023	It's going to be line change.
