ParlaMint-NO_2021-06-02.ana.ud52e210	The representative, Mr Hemdal, will put forward a proposal for a representative.
ParlaMint-NO_2021-06-02.ana.ud52e215	On behalf of the major representatives of Kari Kønaas Kjos, Björn Laabak, Himanshu Gulati, Per-Willy Amundsen and myself, I am delighted to present a proposal for measures for those who live on a secret or confidential address.
ParlaMint-NO_2021-06-02.ana.ud52e220	The proposal will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will state that today's meeting will continue beyond 1 p.m. 16th@item: inlistbox
ParlaMint-NO_2021-06-02.ana.ud52e240	At the request of the Health and Welfare Committee, the President will organise the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to four lines of response will be given after contributions from the member of the government, and those who have to sign up to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e247	I want to start by thanking the Committee for a good cooperation. Today, we have a legislative change aimed at creating a coherent healthcare service and an equivalent partnership between municipalities and health businesses, as described in the National Health and Hospital Plan for 2020-2023. The Committee has been consulted and all recordings are positive. KS refers to regions and health businesses that are already well under way and have established good cooperation agreements. It is particularly fine then for a real mound to hear that Health Fonna in Health West is being brought forward by the KS as a precursor in this context. Furthermore, more emphasise the need for in-flight evaluation and instruments to achieve the objective of legislative changes. We from the Workers' Party have been and are engaged in good interaction, and we want to introduce a trust reform in which employees are given more trust and increased participation in their own working day. We will reduce market thinking and target management in the specialist health service as well as in the municipal health service. In order to achieve good interaction, we also believe it is important to have strong public ownership. This is good for employees, and it is not least good for patients with a need for healthcare. The principle that the sick are given priority first is very important – and not those with the largest wallet. The Labour Party is pleased to implement interaction reform version 2.0 and here ensure that demands for e.g. quality, ICT solutions and deadlines are linked to the patient cycle. There we have high ambitions for a better interaction between hospital and community health services for the benefit of the patient. This is how people who get sick today expect to be met with a well-coordinated healthcare service. Here today's law change will help, but it doesn't come of itself. It needs to increase resources to make it work.
ParlaMint-NO_2021-06-02.ana.ud52e258	All patients shall receive a comprehensive and consistent, good-quality health and care service, irrespective of their country of residence, and whether the service is provided by the municipality or hospital. Interactions have been challenging, both within hospitals and between municipalities and hospitals. It's not good when patients experience being throwing balls between different instances in the system. The most important thing for them is that they get good treatment, not which body it is responsible for what. Interaction reform has had its child diseases, and it has been important to improve cooperation between hospitals and municipalities. In the National Health and Hospital Plan, which we debated and adopted about a year ago, the government launched the establishment of 19 health communities. The municipalities were also part of the team, and it was anchored in an agreement between the government and the KS. And now the health communities are going to be even better. Many regions and health businesses are already well under way and have established good cooperation agreements. It's about getting good patient paths across health companies and municipalities. Common sense of reality is a prerequisite for planning and developing services together. It is therefore very good when we now have a new requirement for the cooperation agreement that municipalities and health companies have to agree concretely on how to plan and develop services together. I think this is going to mean a lot for the trust between hospitals and municipalities, and that once again means a better and more coherent treatment for patients. With regard to a proposal from the minority, I would like to point out that the UN Convention on the Rights of the Child is a Norwegian law. We have a number of provisions in health legislation that respect the principles deriving from the Convention on the Rights of the Child, including: it follows from the Patient and User Rights Act that children who are able to form their own views shall be informed and heard. The information shall be adapted to the individual assumptions of the recipient, such as: age and maturity. The same law provides for when parents can consent on behalf of their children and when children have consent competence independently of their parents. It is also worth mentioning the equivalency reform, where the government proposes to legislate a new child co-ordinator system in healthcare. The principles of the UN Convention on the Rights of the Child to be heard, decisions on the best interests of children and the right to privacy of children are already well respected.
ParlaMint-NO_2021-06-02.ana.ud52e269	We need the hospitals and the municipalities to talk. Many patients become caste balls between hospitals and municipalities. This law doesn't remove this, but it's a step on the way. We've seen terrible cases about patients who have been sent back and forth between hospitals and municipalities because you try to save money and thus forget that you have a goal, and that's helping patients, not just saving money. In several cases, SV has supported the health communities without support from the other red-green batches. It was a little bad to support comments with the right parties alone, but SV supports all good suggestions, wherever they come from. It is good that all parties in the Health and Welfare Committee now support bringing the health communities into a law. It is important that health communities are not fed on starvation, as this government has done in many other schemes. We believe that we need more resources in public health rather than tax cuts for the rich. If the health community gets enough resources, it can be a good arrangement, but then we need a new red-green government. I am promoting the proposal from the Labour Party, the Centre Party and SV to ensure that the law is in line with the UN Convention on the Rights of the Child to be heard, decisions on the best interests of the child and the right to privacy of the child.
ParlaMint-NO_2021-06-02.ana.ud52e280	The representative, Nicholas Wilkinson, then addressed the proposal to which he referred.
ParlaMint-NO_2021-06-02.ana.ud52e285	The government wants to create a coherent and sustainable health and care service and an equivalent partnership between municipalities and health businesses. Better joint planning between municipalities and health businesses is crucial to achieving this. Today health enterprises and municipalities are planning and developing services within their areas of responsibility. It varies the extent to which they involve each other in their respective plans and decisions, and little joint planning takes place. Lack of cooperation in the planning and development of services may result in total supply not meeting the needs of the population. For example, the absence of coordinated planning processes related to rehabilitation services may lead to a reduction in the capacity of healthcare businesses without equivalent upgrading in municipalities – or vice versa. The result may be a gap between the need for rehabilitation services and the availability of services. My impression is that the processes associated with the conclusion of the statutory cooperation agreements have so far been more marked by a desire to split up responsibility than by the need to take a joint responsibility for a patient course which, in its nature, goes across health companies and municipalities. The aim of the legislative proposal is for health enterprises and municipalities to agree in detail on how to implement joint planning of services to patients in need of assistance from both levels of service and on how to specifically involve each other in their own planning work that is relevant to the other. In the National Health and Hospital Plan for 2020-2023, the government launched the establishment of 19 health communities between municipalities and health businesses. This is anchored in an agreement between the government and KS. In the health community, municipalities and health enterprises, together with representatives of the local decision-makers and users, shall plan and develop services for patients who need services from both levels. Better joint planning is one of the principles of the agreement. The proposed legislative amendment is thus an important measure to achieve the objectives of the health communities. The proposal received broad support in the consultation, and I am pleased that the Committee has joined the proposal. As the Committee and several hearing bodies have pointed out, this legislative amendment is not sufficient to achieve the objective of coherent and sustainable services alone. It is the sum of the measures presented in the National Health and Hospital Plan that will be able to achieve these objectives. At the same time, like several consultation bodies, I believe that the introduction of this legal requirement will help to strengthen the anchoring and obligations of both municipalities and health businesses.
ParlaMint-NO_2021-06-02.ana.ud52e298	It's going to be line change.
ParlaMint-NO_2021-06-02.ana.ud52e303	The Labour Party has spent a lot of energy in this room worrying about the lack of follow-up to the interaction reform. This is, of course, the main means of providing seamless healthcare and strengthening interaction between municipalities and specialist health services. At the National Council for Health, Höie’s watch, the specialist health service has transferred more and more tasks to the municipal health service, without strengthening the municipal health service accordingly. The national audit reports have been clear on this. They say that the strength relationship between specialist health services and municipalities is uneven, for the benefit of health businesses – in their favour. What is the Council of State’s comfort to the local health service in this regard?
ParlaMint-NO_2021-06-02.ana.ud52e310	I don't think comfort helps. What helps is to build up services, and that's what this government has done, by strengthening the local government's economy and, above all, contributing to a strong annual growth in health and care services, and in particular growth related to people with a high level of competence. What one sees, are the bets the government has had, among other things. as a follow-up to the first wholesale notification of primary health services, which is the main follow-up to the interaction reform. One of the challenges of the interaction reform is that it did not describe what municipal health and care services should be. That is why I am the Minister of Health who has provided the first major health service message, which has also been followed up by considerable efforts, not least on the competence of municipal health and care services.
ParlaMint-NO_2021-06-02.ana.ud52e315	I'm glad of the answer. I am pleased that the government has been more detailed about what the local health service should take over. Patients in Norway today are not concerned with the level at which they should be treated. Therefore, the interaction reform has become an established expression among patients as well as employees — an understanding that it should be more seamless. But what is the reason why the government has not just used the interaction reform and developed it further? One could take it to a version 2.0 and use it as a tool, precisely because it's used out in the sector itself.
ParlaMint-NO_2021-06-02.ana.ud52e321	We have taken out the things that we think were important to address when it came to the direction of the interaction reform, because it was a broad political consensus, but then we have made some changes to the instruments and the thinking. That is why I believe that the health community is a better concept, because unfortunately the interaction reform has become very strongly linked to the legal and economic instruments that the Stoltenberg government introduced. This has also contributed to the fact that the municipalities and hospitals have perhaps become more concerned about what they are not responsible for than what they can solve together. Therefore, the objective of the health communities is that municipalities and hospitals should work more together and be less concerned about where the legal and economic boundaries go, too many of the instruments of the interaction reform, as originally foreseen, created parties instead of partners.
ParlaMint-NO_2021-06-02.ana.ud52e326	Thank you for a good proposal from the Council of State. But it's a problem, and it's not very clear that the child's right to be heard is in the law. We have been informed by the professionals – those who use the services – that the UN Convention on the Rights of the Child is not being used so much. We have a lot of laws, and it's hard for many people to read all the laws, to follow them all the time. We therefore propose that it be very clear that when working with these children, you should follow the UN Convention on the Rights of the Child to be heard, decisions on the best interests of the child and the right of the child to privacy. Why wouldn't the government take this into this law?
ParlaMint-NO_2021-06-02.ana.ud52e333	That's because, as the representative knows, this is very clear in our law. But the challenge may be greater implementation. That's why we work with it in a lot of different areas to ensure that children's influence on their own health care and that their voice is heard. It is also something that I hope that the health community will contribute – that children are raised as an area. One of the measures that have inspired this solution is the mental health provision of children in Health Fonna. There have been children and young people with a constant presence as premiscuous suppliers for the design of the service. It is a good example that now needs to be used extensively in the establishment of health communities.
ParlaMint-NO_2021-06-02.ana.ud52e338	The cord shift is over. Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2021-06-02.ana.ud52e357	At the request of the Health and Welfare Committee, the President will organise the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to four lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e364	We are dealing with a proposition that is about changes in the Health Care Act, notification of health impairments that are important for road safety. There is a joint committee behind the vote. Today, doctors, psychologists and opticians are obliged to notify public authorities if a patient who holds a driving licence for a motor vehicle or an aircraft licence does not meet the health requirements. It is also the case that the health status must be assumed not to be short-lived in order for the obligation to occur. It is proposed that this obligation be extended to air traffic controllers. An overall committee endorses this amendment. Air traffic controllers have critical tasks of periodic intensity and pressure in the working situation. At present, health professionals have no obligation to notify relevant public authorities if a patient is unloaded or has the right to drive on board a rail ship or on board a maritime vehicle. The proposal proposes to ensure that health professionals are able to report on certain health deficiencies. This also applies to maritime and rail vehicles as well as to pilots. An authorisation is also proposed to provide for other groups to be eligible for notification. This is just it – a notification access. This is not an obligation but an opportunity to notify in a discretionary assessment that it is necessary to avoid injury. I would like to stress that the patient will be informed that such a message has been given. Today, there is an obligation for doctors, psychologists and opticians to encourage patients who do not comply with the health requirements to submit the licence or certificate. It has been proposed that this should be changed to an obligation to notify that they cannot bring about any means of release until the health status has improved. As I said, there is an overall committee that supports the position in this matter.
ParlaMint-NO_2021-06-02.ana.ud52e381	There is today an obligation for doctors, psychologists and opticians to report if a patient with a driving licence for a motor vehicle or aircraft does not meet the health requirements and the reduced health status is not short-lived. The proposal proposes that air traffic controllers should be subject to this notification requirement. Air traffic controllers have critical duties in aviation and therefore, to prevent accidents, medical fitness is essential. The intention to minimise the risk to society also suggests that there should be access to notification in other professions where there is a high potential for harm. whereas this consideration must be weighed against the considerations of professional secrecy; In addition, the Government has made proposals for notification if doctors, psychologists or opticians consider that there is reason to believe that a patient who is unloaded or driving a maritime or rail vehicle has a health impairment that could lead to injury to a person. In the assessment of the occupational groups to be covered, the Government considers that there is a need to define what is strictly necessary. Provision has also been made for a permit for the Ministry to provide for other groups to be eligible for notification. The proposal implies that doctors, psychologists and opticians are allowed to notify if the conditions are met — not an obligation to notify. Reference is made to the fact that it cannot be expected that permanent staff, psychologist or optician have detailed knowledge of the tasks and the potential for damage of different occupational groups covered by the provision. Furthermore, it is not expected that these health professionals groups will have detailed knowledge of the health requirements for the different groups. In this connection, I would like to point out that the proposed reporting access is intended to be a safety valve. There are also other provisions designed to ensure that, due to their health, persons are not to pose a threat to road safety. Persons with work which is subject to a specific health requirement must, inter alia,: provide a health statement by a doctor authorised to carry out such examinations. These workers are also obliged to report to the employer in the event of health deterioration. The employer continues to have obligations to follow up such notifications. The legislative proposal will help to avoid accidents and dangerous incidents, and I am therefore pleased that an overall committee has joined the proposal that has been promoted.
ParlaMint-NO_2021-06-02.ana.ud52e398	Several have not asked for the floor on case No. 2nd@item: inlistbox
ParlaMint-NO_2021-06-02.ana.ud52e415	At the request of the Health and Welfare Committee, the President will organise the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to four lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e422	In the bill, the government proposes changes to the Health Personnel Act and the Patient Records Act. The changes shall facilitate cooperation and learning in healthcare, improve quality and improve patient safety. Health professionals can refer to a patient in treatment with current legislation, and information can be provided to collaborators when necessary to provide sound health care, but it is unclear whether the legislation allows for the sharing of information on a patient for other types of cooperation and learning in health care services, which we also need. The legislative changes proposed in the proposal shall clarify what is the lawful sharing of information in the service and facilitate better cooperation and learning. The proposal allows healthcare professionals to exchange information related to a patient with a view to supporting healthcare professionals in making health care decisions for another patient. The changes shall contribute to the proper training of health professionals and provide a clearer regulation of the exchange of patient information at morning meetings and in other interactions necessary for the implementation of health care. There has been consultation, how many people were concerned that this is being done in a safe and secure way. That's when we make all kinds of changes in privacy and sensitive patient information. But the proposition here provides access to health information that needs to be described as safe and that can be used for the development and future use of clinical decision support tools that we want more from. These changes allow establishments carrying out genetic studies under the Biotechnology Act to cooperate in the establishment of a treatment-oriented health register with interpreted genetic variants. It will help improve health care and increase patient safety. The Labour Party is particularly pleased that this comes into good legal framework. A unanimous committee supports the proposals. The working party believes that by facilitating the learning, cooperation and wider use of decision-support tools in healthcare, health care provided in the service can be of even better quality. The same applies to the proposed register of interpreted genetic variants, which should contribute to better diagnosis and thus increase patient safety. A minority want a public sample to review all healthcare information management, and I expect other representatives to argue for it. The working party does not support it at this stage or in conjunction with this proposition.
ParlaMint-NO_2021-06-02.ana.ud52e439	As the rapporteur said, I should like to make good on the proposal we are making in the vote. The centre party will support these legislative changes, but we need a note and a proposal that goes on an important input from the Norwegian Medical Association. They have a critically critical hearing statement. One agrees on the need, but they think that the proposed changes are not fit to achieve the purpose. They suggest that we ask for a holistic clean-up with several changes and adjustments to the proposed proposals, and then they suggest that a public selection should be set up to look at the regulation of health care information management in their well-being. They ask questions about what is now proposed, contribute to an extra-legislative fragmentation, and that it becomes too unclear what is involved in liability. So they show that today it is actually a challenge that the digital systems are not adequately organised to meet the need to protect information, to limit access and to secure the care of patients' rights. This is a very serious warning from the Medical Association. If it fails here, it's a crisis. The Medical Association also believes that it must be done and assessed more closely how patients' right to oppose transparency in practice is intended to be maintained. It's also a very important comment from the Medical Association. From this point on, I will include an additional suggestion in the setting. We support the proposition, but we suggest setting up a public selection to look at the regulation of information management in the healthcare system in its health care system, and that there are measures for the Storting that can help facilitate cooperation and learning across borders, but at the same time the need to protect information, restrict access and secure the care of patients' rights.
ParlaMint-NO_2021-06-02.ana.ud52e450	The representative Kjersti Toppe then mentioned the proposal she referred to, from the centre party and SV.
ParlaMint-NO_2021-06-02.ana.ud52e455	Research, development and new technologies help to create the patient’s health care. This bill will facilitate cooperation and learning in healthcare. The background for the case is that it is unclear to what extent today’s legislation opens up for patient information to be discussed in situations where there are more people present than those who treat the patient in question. In addition, the legislation allows little information on a patient to be used to provide health care to other patients in ongoing professional work. It is also unclear whether today’s legislation allows information on former patients and patients for whom no medical care is available to be used in training activities. This is now being opened up in this legislative proposal. This can contribute to the development of new methods, the development of new clinical decision-making tools, better training and the deployment of new technologies. At the same time, it is important to ensure a good balance between the ability of healthcare professionals to have access to records and the patient’s privacy. Therefore, we support that access to health information for one patient to provide health care to another patient is limited to providing this information only to doctors and dentists on request. With regard to the proposal of the Centre Party and the SV to set up a public body to look at the regulation of information management in healthcare, the government parties do not currently support this. It is true that there may be a need for a more comprehensive and comprehensive regulation of the area than an exemption from the obligation of professional secrecy, and it has not been given that all forms of aid for decision-making based on artificial intelligence should be regulated equally. But we believe that the derogation proposed here is an important start to a long-term work that could provide a greater knowledge base and clarity in today's legislation. In addition, the Directorate-General for Health, the Directorate for e-Health and the National Medicines Agency have been commissioned to review national framework conditions for the use of artificial intelligence. Health regions should also contribute here.
ParlaMint-NO_2021-06-02.ana.ud52e468	The research and use of new knowledge is very fast. We need more than just this proposal. We need more than just dispensation from the obligation of professional secrecy. SV supports the proposal to amend the law now, in order to facilitate the use of knowledge for better treatment for patients. We are also promoting our own proposal. We have to look at the whole thing, in terms of regulation and better digital systems, which we don't have. We need a public body to improve the mechanisms, to provide more help, more knowledge and more personal security. Norway is going to be hanging when we just patch on an old system that doesn't work well. The Swedish authorities have repeatedly proposed that basic health data be stored in Norway and owned by the public. It is important for control, safety and personal safety, but also for getting more knowledge and expanding a modern healthcare service that can help better. The Medical Association has proposed a public body and a proposal to promote SV together with the Centre Party today.
