Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u1	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u2	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u3	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	JakobMagnusson	Magnússon, Jakob Frímann	M	1953	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u4	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u5	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	JakobMagnusson	Magnússon, Jakob Frímann	M	1953	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u6	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	notMP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	AdalsteinnSverrisson	Sverrisson, Aðalsteinn Haukur	M	1973	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u7	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	TomasTomasson	Tómasson, Tómas A	M	1949	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u8	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u9	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	JohannJohannsson	Jóhannsson, Jóhann Páll	M	1992	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u10	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	KristrunFrostadottir	Frostadóttir, Kristrún	F	1988	
ParlaMint-IS-en_2022-04-06-63	ParlaMint-IS_2022-04-06-63.u11	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-63, 06.04.2022.	2022-04-06	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	ArndisGunnarsdottir	Gunnarsdóttir, Arndís Anna Kristínardóttir	F	1982	
