Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit01spe0002par0248	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kamer.Genç	Genç, Kamer	M	1940	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit01spe0001par0249	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit01spe0003par0429	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Bayram.Özçelik	Özçelik, Bayram	M	1966	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit01spe0001par0430	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0004par0104	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Muharrem.İnce	İnce, Muharrem	M	1964	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0001par0105	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0004par0106	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Muharrem.İnce	İnce, Muharrem	M	1964	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0005par0107	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mustafa.Elitaş	Elitaş, Mustafa	M	1957	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0004par0109	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Muharrem.İnce	İnce, Muharrem	M	1964	
