Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0002par0296	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	AzizeSibel.Gönül	Gönül, Azize Sibel	F	1966	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0003par0300	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Regular	MP	notMinister	MHP	Nationalist Movement Party	Opposition	Right to far-right	Necati.Özensoy	Özensoy, Necati	M	1961	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0004par0301	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0005par0305	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	MehmetAkif.Hamzaçebi	Hamzaçebi, Mehmet Akif	M	1953	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0006par0320	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0007par0322	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	AhmetHaluk.Koç	Koç, Ahmet Haluk	M	1954	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0006par0323	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0008par0324	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Nurettin.Canikli	Canikli, Nurettin	M	1960	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0006par0325	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2011-07-14-tbmm-T24	tbmm-2011-07-14sit01spe0009par0327	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 10	2011-07-14	Unicameralism	24	1	10	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	AhmetHaluk.Koç	Koç, Ahmet Haluk	M	1954	
