Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-2	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-6	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-16	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-23	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-31	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-38	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-43	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-47	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q23916255	Lindhagen, Åsa	F	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-53	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q59269310	Alm, Ann-Sofie	F	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-59	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q23916255	Lindhagen, Åsa	F	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-67	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q59269310	Alm, Ann-Sofie	F	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-72	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q23916255	Lindhagen, Åsa	F	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-83	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q59269310	Alm, Ann-Sofie	F	-	
ParlaMint-SE-en_2019-12-02-prot-201920--42	i-b1a175dadf2e0a05-89	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 42	2019-12-02	Unicameralism	2019/20	-	-	2019/20--42	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q23916255	Lindhagen, Åsa	F	-	
