Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-25	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-30	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18246258	Svenneling, Håkan	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-41	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-49	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18246258	Svenneling, Håkan	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-57	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-64	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18246258	Svenneling, Håkan	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-69	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-72	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-78	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5887149	Johansson, Mattias Bäckström	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-86	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2019-05-27-prot-201819--95	i-90fda9a3d5c39f0d-92	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 95	2019-05-27	Unicameralism	2018/19	-	-	2018/19--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5887149	Johansson, Mattias Bäckström	M	-	
