Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-ATNd3r5ieMr2VDFg7L8iKf	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-1	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4973765	Quicklund, Saila	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-5	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-9	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4973765	Quicklund, Saila	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-11	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-14	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q16162546	Bieler, Paula	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-17	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-19	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q16162546	Bieler, Paula	F	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-21	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-24	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q19976447	Cato, Jonny	M	-	
ParlaMint-SE-en_2019-01-24-prot-201819--43	i-8753b306d031d54f-28	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 43	2019-01-24	Unicameralism	2018/19	-	-	2018/19--43	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
