Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-5	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-12	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-21	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-31	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-40	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-49	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-55	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-58	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-66	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5887280	Johansson, Ola	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-77	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-85	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5887280	Johansson, Ola	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-94	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-103	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5887280	Johansson, Ola	M	-	
ParlaMint-SE-en_2019-03-15-prot-201819--66	i-5025096418ecfd00-108	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 66	2019-03-15	Unicameralism	2018/19	-	-	2018/19--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
