Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-7SAT63YPafnpDgg6VS4snC	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-2	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18202362	Stenergard, Maria Malmer	F	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-ErwWtg278QpiareYAcqWEj	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4787806	Shekarabi, Ardalan	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-8	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18202362	Stenergard, Maria Malmer	F	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-10	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4787806	Shekarabi, Ardalan	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-13	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q70886056	Aranda, Clara	F	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-NYSsZrorqZgJZULTLZ9aB2	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-21	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q70886056	Aranda, Clara	F	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-24	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-27	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18238133	Christensson, Fredrik	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-31	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-34	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18238133	Christensson, Fredrik	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-36	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-39	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q37013194	Jallow, Momodou	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-41	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-45	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q37013194	Jallow, Momodou	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-47	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-50	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2019-09-26-prot-201920--10	i-785df56b21f03667-54	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 10	2019-09-26	Unicameralism	2019/20	-	-	2019/20--10	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
