Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-2	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-7	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-18	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-26	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-34	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-43	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-48	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-52	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4787806	Shekarabi, Ardalan	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-59	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q70407251	Damsgaard, Mikael	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-67	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4787806	Shekarabi, Ardalan	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-75	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q70407251	Damsgaard, Mikael	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-81	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4787806	Shekarabi, Ardalan	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-91	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q70407251	Damsgaard, Mikael	M	-	
ParlaMint-SE-en_2019-09-17-prot-201920--5	i-b286276d01c3b855-96	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 5	2019-09-17	Unicameralism	2019/20	-	-	2019/20--5	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4787806	Shekarabi, Ardalan	M	-	
