Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-5fpytBNSVUMK5x1bUhtdPr	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-1	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4939382	Rahm, Elisabeth Björnsdotter	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-4	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-6	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4939382	Rahm, Elisabeth Björnsdotter	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-8	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-11	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q4959972	Kronlid, Julia	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-15	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5615474	Dahlgren, Hans	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-16	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q4959972	Kronlid, Julia	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-18	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5615474	Dahlgren, Hans	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-20	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q3058054	Erlandsson, Eskil	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-23	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5615474	Dahlgren, Hans	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-28	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q3058054	Erlandsson, Eskil	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-29	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5615474	Dahlgren, Hans	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-30	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q37013194	Jallow, Momodou	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-Ks22fYm6LtvoZsn8uYbq2E	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-38	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q37013194	Jallow, Momodou	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-41	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-45	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-49	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5615474	Dahlgren, Hans	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-53	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-55	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5615474	Dahlgren, Hans	M	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-56	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4859755	Westerholm, Barbro	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-58	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-61	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4859755	Westerholm, Barbro	F	-	
ParlaMint-SE-en_2019-01-31-prot-201819--45	i-c13266b95347f0db-64	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 45	2019-01-31	Unicameralism	2018/19	-	-	2018/19--45	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
